dimension_id:ID,:LABEL,value:float,value_string
DIM_PE001001_1921_POP_TOT,E54_Dimension,719.0,
DIM_PE001001_1921_BRIT_ENG,E54_Dimension,182.0,
DIM_PE001001_1921_BRIT_IRISH,E54_Dimension,214.0,
DIM_PE001001_1921_BRIT_SCOTCH,E54_Dimension,323.0,
DIM_PE001002_1921_POP_TOT,E54_Dimension,714.0,
DIM_PE001002_1921_BRIT_ENG,E54_Dimension,82.0,
DIM_PE001002_1921_BRIT_IRISH,E54_Dimension,348.0,
DIM_PE001002_1921_BRIT_SCOTCH,E54_Dimension,211.0,
DIM_PE001002_1921_EUR_FRENCH,E54_Dimension,64.0,
DIM_PE001002_1921_EUR_DUTCH,E54_Dimension,9.0,
DIM_PE001003_1921_POP_TOT,E54_Dimension,937.0,
DIM_PE001003_1921_BRIT_ENG,E54_Dimension,352.0,
DIM_PE001003_1921_BRIT_IRISH,E54_Dimension,249.0,
DIM_PE001003_1921_BRIT_SCOTCH,E54_Dimension,303.0,
DIM_PE001003_1921_EUR_FRENCH,E54_Dimension,9.0,
DIM_PE001003_1921_EUR_DUTCH,E54_Dimension,20.0,
DIM_PE001003_1921_EUR_GERMAN,E54_Dimension,4.0,
DIM_PE001004_1921_POP_TOT,E54_Dimension,891.0,
DIM_PE001004_1921_BRIT_ENG,E54_Dimension,98.0,
DIM_PE001004_1921_BRIT_IRISH,E54_Dimension,74.0,
DIM_PE001004_1921_BRIT_SCOTCH,E54_Dimension,713.0,
DIM_PE001004_1921_EUR_FRENCH,E54_Dimension,5.0,
DIM_PE001004_1921_UNSPECIFIED,E54_Dimension,1.0,
DIM_PE001005_1921_POP_TOT,E54_Dimension,422.0,
DIM_PE001005_1921_BRIT_ENG,E54_Dimension,16.0,
DIM_PE001005_1921_BRIT_IRISH,E54_Dimension,100.0,
DIM_PE001005_1921_BRIT_SCOTCH,E54_Dimension,305.0,
DIM_PE001005_1921_EUR_FRENCH,E54_Dimension,1.0,
DIM_PE001006_1921_POP_TOT,E54_Dimension,920.0,
DIM_PE001006_1921_BRIT_ENG,E54_Dimension,201.0,
DIM_PE001006_1921_BRIT_IRISH,E54_Dimension,77.0,
DIM_PE001006_1921_BRIT_SCOTCH,E54_Dimension,403.0,
DIM_PE001006_1921_EUR_FRENCH,E54_Dimension,239.0,
DIM_PE001007_1921_POP_TOT,E54_Dimension,839.0,
DIM_PE001007_1921_BRIT_ENG,E54_Dimension,46.0,
DIM_PE001007_1921_BRIT_IRISH,E54_Dimension,298.0,
DIM_PE001007_1921_BRIT_SCOTCH,E54_Dimension,243.0,
DIM_PE001007_1921_EUR_FRENCH,E54_Dimension,251.0,
DIM_PE001007_1921_EUR_DUTCH,E54_Dimension,1.0,
DIM_PE001008_1921_POP_TOT,E54_Dimension,727.0,
DIM_PE001008_1921_BRIT_ENG,E54_Dimension,20.0,
DIM_PE001008_1921_BRIT_IRISH,E54_Dimension,203.0,
DIM_PE001008_1921_BRIT_SCOTCH,E54_Dimension,453.0,
DIM_PE001008_1921_EUR_FRENCH,E54_Dimension,49.0,
DIM_PE001008_1921_EUR_DUTCH,E54_Dimension,2.0,
DIM_PE001009_1921_POP_TOT,E54_Dimension,749.0,
DIM_PE001009_1921_BRIT_ENG,E54_Dimension,30.0,
DIM_PE001009_1921_BRIT_IRISH,E54_Dimension,160.0,
DIM_PE001009_1921_BRIT_SCOTCH,E54_Dimension,510.0,
