measurement_id:ID,:LABEL,label,notes
MEAS_BC001001_1901_HOUSES,E16_Measurement,HOUSES for BC001001 in 1901,
MEAS_BC001001_1901_FAMILIES,E16_Measurement,FAMILIES for BC001001 in 1901,
MEAS_BC001001_1901_POP_TOT,E16_Measurement,POP_TOT for BC001001 in 1901,
MEAS_BC001001_1901_POP_M,E16_Measurement,POP_M for BC001001 in 1901,
MEAS_BC001001_1901_POP_F,E16_Measurement,POP_F for BC001001 in 1901,
MEAS_BC001001_1901_SINGLE_M,E16_Measurement,SINGLE_M for BC001001 in 1901,
MEAS_BC001001_1901_SINGLE_F,E16_Measurement,SINGLE_F for BC001001 in 1901,
MEAS_BC001001_1901_MARRIED_M,E16_Measurement,MARRIED_M for BC001001 in 1901,
MEAS_BC001001_1901_MARRIED_F,E16_Measurement,MARRIED_F for BC001001 in 1901,
MEAS_BC001001_1901_WIDOWED_M,E16_Measurement,WIDOWED_M for BC001001 in 1901,
MEAS_BC001001_1901_WIDOWED_F,E16_Measurement,WIDOWED_F for BC001001 in 1901,
MEAS_BC001002_1901_AREA_AC,E16_Measurement,AREA_AC for BC001002 in 1901,
MEAS_BC001002_1901_HOUSES,E16_Measurement,HOUSES for BC001002 in 1901,
MEAS_BC001002_1901_FAMILIES,E16_Measurement,FAMILIES for BC001002 in 1901,
MEAS_BC001002_1901_POP_TOT,E16_Measurement,POP_TOT for BC001002 in 1901,
MEAS_BC001002_1901_POP_M,E16_Measurement,POP_M for BC001002 in 1901,
MEAS_BC001002_1901_POP_F,E16_Measurement,POP_F for BC001002 in 1901,
MEAS_BC001002_1901_SINGLE_M,E16_Measurement,SINGLE_M for BC001002 in 1901,
MEAS_BC001002_1901_SINGLE_F,E16_Measurement,SINGLE_F for BC001002 in 1901,
MEAS_BC001002_1901_MARRIED_M,E16_Measurement,MARRIED_M for BC001002 in 1901,
MEAS_BC001002_1901_MARRIED_F,E16_Measurement,MARRIED_F for BC001002 in 1901,
MEAS_BC001002_1901_WIDOWED_M,E16_Measurement,WIDOWED_M for BC001002 in 1901,
MEAS_BC001002_1901_WIDOWED_F,E16_Measurement,WIDOWED_F for BC001002 in 1901,
MEAS_BC001003_1901_HOUSES,E16_Measurement,HOUSES for BC001003 in 1901,
