measurement_id:ID,:LABEL,label,notes
MEAS_PE001012_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001012 in 1921,
MEAS_PE001012_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001012 in 1921,
MEAS_PE001012_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001012 in 1921,
MEAS_PE001012_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001012 in 1921,
MEAS_PE001013_1921_POP_TOT,E16_Measurement,POP_TOT for PE001013 in 1921,
MEAS_PE001013_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001013 in 1921,
MEAS_PE001013_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001013 in 1921,
MEAS_PE001013_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001013 in 1921,
MEAS_PE001013_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE001013 in 1921,
MEAS_PE001013_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001013 in 1921,
MEAS_PE001014_1921_POP_TOT,E16_Measurement,POP_TOT for PE001014 in 1921,
MEAS_PE001014_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001014 in 1921,
MEAS_PE001014_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001014 in 1921,
MEAS_PE001014_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001014 in 1921,
MEAS_PE001014_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE001014 in 1921,
MEAS_PE001014_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001014 in 1921,
MEAS_PE001015_1921_POP_TOT,E16_Measurement,POP_TOT for PE001015 in 1921,
MEAS_PE001015_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001015 in 1921,
MEAS_PE001015_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001015 in 1921,
MEAS_PE001015_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001015 in 1921,
MEAS_PE001015_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE001015 in 1921,
MEAS_PE001015_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001015 in 1921,
MEAS_PE001015_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001015 in 1921,
MEAS_PE001016_1921_POP_TOT,E16_Measurement,POP_TOT for PE001016 in 1921,
MEAS_PE001016_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001016 in 1921,
MEAS_PE001016_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001016 in 1921,
MEAS_PE001016_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001016 in 1921,
MEAS_PE001016_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001016 in 1921,
MEAS_PE001016_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001016 in 1921,
MEAS_PE001016_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE001016 in 1921,
MEAS_PE001017_1921_POP_TOT,E16_Measurement,POP_TOT for PE001017 in 1921,
MEAS_PE001017_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001017 in 1921,
MEAS_PE001017_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001017 in 1921,
MEAS_PE001017_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001017 in 1921,
MEAS_PE001017_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001017 in 1921,
MEAS_PE001017_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE001017 in 1921,
MEAS_PE001018_1921_POP_TOT,E16_Measurement,POP_TOT for PE001018 in 1921,
MEAS_PE001018_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001018 in 1921,
MEAS_PE001018_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001018 in 1921,
MEAS_PE001018_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001018 in 1921,
MEAS_PE001018_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE001018 in 1921,
MEAS_PE001018_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001018 in 1921,
MEAS_PE001018_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001018 in 1921,
MEAS_PE001018_1921_ASIA_OTHER,E16_Measurement,ASIA_OTHER for PE001018 in 1921,
MEAS_PE001018_1921_NEGRO,E16_Measurement,NEGRO for PE001018 in 1921,
MEAS_PE001019_1921_POP_TOT,E16_Measurement,POP_TOT for PE001019 in 1921,
MEAS_PE001019_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001019 in 1921,
MEAS_PE001019_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001019 in 1921,
MEAS_PE001019_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001019 in 1921,
MEAS_PE001019_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE001019 in 1921,
MEAS_PE001019_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001019 in 1921,
MEAS_PE001019_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001019 in 1921,
MEAS_PE001019_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE001019 in 1921,
MEAS_PE001020_1921_POP_TOT,E16_Measurement,POP_TOT for PE001020 in 1921,
MEAS_PE001020_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001020 in 1921,
MEAS_PE001020_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001020 in 1921,
MEAS_PE001020_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001020 in 1921,
MEAS_PE001020_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001020 in 1921,
MEAS_PE001020_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001020 in 1921,
MEAS_PE001020_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE001020 in 1921,
MEAS_PE001020_1921_EUR_SCANDINAVIAN,E16_Measurement,EUR_SCANDINAVIAN for PE001020 in 1921,
MEAS_PE001021_1921_POP_TOT,E16_Measurement,POP_TOT for PE001021 in 1921,
MEAS_PE001021_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001021 in 1921,
MEAS_PE001021_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001021 in 1921,
MEAS_PE001021_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001021 in 1921,
MEAS_PE001022_1921_POP_TOT,E16_Measurement,POP_TOT for PE001022 in 1921,
MEAS_PE001022_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001022 in 1921,
MEAS_PE001022_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001022 in 1921,
MEAS_PE001022_1921_INDIAN,E16_Measurement,INDIAN for PE001022 in 1921,
MEAS_PE001023_1921_POP_TOT,E16_Measurement,POP_TOT for PE001023 in 1921,
MEAS_PE001023_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001023 in 1921,
MEAS_PE001023_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001023 in 1921,
MEAS_PE001023_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001023 in 1921,
MEAS_PE001023_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001023 in 1921,
MEAS_PE001023_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001023 in 1921,
MEAS_PE001023_1921_EUR_SCANDINAVIAN,E16_Measurement,EUR_SCANDINAVIAN for PE001023 in 1921,
MEAS_PE001023_1921_ASIA_SYRIAN,E16_Measurement,ASIA_SYRIAN for PE001023 in 1921,
MEAS_PE001023_1921_UNSPECIFIED,E16_Measurement,UNSPECIFIED for PE001023 in 1921,
MEAS_PE001024_1921_POP_TOT,E16_Measurement,POP_TOT for PE001024 in 1921,
MEAS_PE001024_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001024 in 1921,
MEAS_PE001024_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001024 in 1921,
MEAS_PE001024_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001024 in 1921,
MEAS_PE001024_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001024 in 1921,
MEAS_PE001024_1921_EUR_ITALIAN,E16_Measurement,EUR_ITALIAN for PE001024 in 1921,
MEAS_PE001025_1921_POP_TOT,E16_Measurement,POP_TOT for PE001025 in 1921,
MEAS_PE001025_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001025 in 1921,
MEAS_PE001025_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001025 in 1921,
MEAS_PE001025_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001025 in 1921,
MEAS_PE001025_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE001025 in 1921,
MEAS_PE001025_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001025 in 1921,
MEAS_PE001025_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001025 in 1921,
MEAS_PE001025_1921_EUR_SCANDINAVIAN,E16_Measurement,EUR_SCANDINAVIAN for PE001025 in 1921,
MEAS_PE002001_1921_POP_TOT,E16_Measurement,POP_TOT for PE002001 in 1921,
MEAS_PE002001_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002001 in 1921,
MEAS_PE002001_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002001 in 1921,
MEAS_PE002001_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002001 in 1921,
MEAS_PE002001_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002001 in 1921,
