dimension_id:ID,:LABEL,value:float,value_string
DIM_BC001001_1891_POP_XX_N,E54_Dimension,671.0,
DIM_BC001001_1891_POP_XF_N,E54_Dimension,141.0,
DIM_BC001001_1891_HOUSE_XO_N,E54_Dimension,141.0,
DIM_BC001001_1891_HOUSE_XX_N,E54_Dimension,141.0,
DIM_BC001001_1891_HOUSE_WX_N,E54_Dimension,141.0,
DIM_BC001001_1891_HOUSE_01S_N,E54_Dimension,135.0,
DIM_BC001001_1891_HOUSE_02S_N,E54_Dimension,6.0,
DIM_BC001001_1891_HOUSE_01R_N,E54_Dimension,93.0,
DIM_BC001001_1891_HOUSE_02R_N,E54_Dimension,24.0,
DIM_BC001001_1891_HOUSE_03R_N,E54_Dimension,10.0,
DIM_BC001001_1891_HOUSE_04R_N,E54_Dimension,2.0,
DIM_BC001001_1891_HOUSE_05R_N,E54_Dimension,3.0,
DIM_BC001001_1891_HOUSE_06to10R_N,E54_Dimension,6.0,
DIM_BC001001_1891_HOUSE_11to15R_N,E54_Dimension,3.0,
DIM_BC001001_1891_HOUSE_XU_N,E54_Dimension,54.0,
DIM_BC001001_1891_HOUSE_XC_N,E54_Dimension,23.0,
DIM_BC001002_1891_POP_XX_N,E54_Dimension,534.0,
DIM_BC001002_1891_POP_XF_N,E54_Dimension,117.0,
DIM_BC001002_1891_HOUSE_XO_N,E54_Dimension,114.0,
DIM_BC001002_1891_HOUSE_XX_N,E54_Dimension,108.0,
DIM_BC001002_1891_HOUSE_TX_N,E54_Dimension,6.0,
DIM_BC001002_1891_HOUSE_WX_N,E54_Dimension,108.0,
DIM_BC001002_1891_HOUSE_01S_N,E54_Dimension,97.0,
DIM_BC001002_1891_HOUSE_02S_N,E54_Dimension,11.0,
DIM_BC001002_1891_HOUSE_01R_N,E54_Dimension,81.0,
DIM_BC001002_1891_HOUSE_02R_N,E54_Dimension,5.0,
DIM_BC001002_1891_HOUSE_03R_N,E54_Dimension,8.0,
DIM_BC001002_1891_HOUSE_04R_N,E54_Dimension,5.0,
DIM_BC001002_1891_HOUSE_05R_N,E54_Dimension,3.0,
DIM_BC001002_1891_HOUSE_06to10R_N,E54_Dimension,4.0,
DIM_BC001002_1891_HOUSE_11to15R_N,E54_Dimension,2.0,
DIM_BC001002_1891_HOUSE_XU_N,E54_Dimension,3.0,
DIM_BC001002_1891_HOUSE_XC_N,E54_Dimension,1.0,
DIM_BC001003_1891_POP_XX_N,E54_Dimension,234.0,
