measurement_id:ID,:LABEL,label,notes
MEAS_ON001001_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001001 in 1871,
MEAS_ON001001_1871_HOUSE_TS_N,E16_Measurement,HOUSE_TS_N for ON001001 in 1871,
MEAS_ON001001_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001001 in 1871,
MEAS_ON001001_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001001 in 1871,
MEAS_ON001001_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001001 in 1871,
MEAS_ON001001_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001001 in 1871,
MEAS_ON001001_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001001 in 1871,
MEAS_ON001001_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001001 in 1871,
MEAS_ON001001_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001001 in 1871,
MEAS_ON001001_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001001 in 1871,
MEAS_ON001002_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001002 in 1871,
MEAS_ON001002_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001002 in 1871,
MEAS_ON001002_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001002 in 1871,
MEAS_ON001002_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001002 in 1871,
MEAS_ON001002_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001002 in 1871,
MEAS_ON001002_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001002 in 1871,
MEAS_ON001002_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001002 in 1871,
MEAS_ON001002_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001002 in 1871,
MEAS_ON001002_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001002 in 1871,
MEAS_ON001003_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001003 in 1871,
MEAS_ON001003_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001003 in 1871,
MEAS_ON001003_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001003 in 1871,
MEAS_ON001003_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001003 in 1871,
MEAS_ON001003_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001003 in 1871,
MEAS_ON001003_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001003 in 1871,
MEAS_ON001003_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001003 in 1871,
MEAS_ON001003_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001003 in 1871,
MEAS_ON001003_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001003 in 1871,
MEAS_ON001004_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001004 in 1871,
MEAS_ON001004_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001004 in 1871,
MEAS_ON001004_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001004 in 1871,
MEAS_ON001004_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001004 in 1871,
MEAS_ON001004_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001004 in 1871,
MEAS_ON001004_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001004 in 1871,
MEAS_ON001004_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001004 in 1871,
MEAS_ON001004_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001004 in 1871,
MEAS_ON001004_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001004 in 1871,
MEAS_ON001005_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001005 in 1871,
MEAS_ON001005_1871_HOUSE_TS_N,E16_Measurement,HOUSE_TS_N for ON001005 in 1871,
MEAS_ON001005_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001005 in 1871,
MEAS_ON001005_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001005 in 1871,
MEAS_ON001005_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001005 in 1871,
MEAS_ON001005_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001005 in 1871,
MEAS_ON001005_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001005 in 1871,
MEAS_ON001005_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001005 in 1871,
MEAS_ON001005_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001005 in 1871,
MEAS_ON001005_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001005 in 1871,
MEAS_ON001006_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001006 in 1871,
MEAS_ON001006_1871_HOUSE_TS_N,E16_Measurement,HOUSE_TS_N for ON001006 in 1871,
MEAS_ON001006_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001006 in 1871,
MEAS_ON001006_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001006 in 1871,
MEAS_ON001006_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001006 in 1871,
MEAS_ON001006_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001006 in 1871,
MEAS_ON001006_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001006 in 1871,
MEAS_ON001006_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001006 in 1871,
MEAS_ON001006_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001006 in 1871,
MEAS_ON001006_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001006 in 1871,
MEAS_ON001007_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001007 in 1871,
MEAS_ON001007_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001007 in 1871,
MEAS_ON001007_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001007 in 1871,
MEAS_ON001007_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001007 in 1871,
MEAS_ON001007_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001007 in 1871,
MEAS_ON001007_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001007 in 1871,
MEAS_ON001007_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001007 in 1871,
MEAS_ON001008_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001008 in 1871,
MEAS_ON001008_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001008 in 1871,
MEAS_ON001008_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001008 in 1871,
MEAS_ON001008_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001008 in 1871,
MEAS_ON001008_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001008 in 1871,
MEAS_ON001008_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001008 in 1871,
MEAS_ON001008_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001008 in 1871,
MEAS_ON001008_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001008 in 1871,
MEAS_ON001008_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001008 in 1871,
MEAS_ON001009_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001009 in 1871,
MEAS_ON001009_1871_HOUSE_TS_N,E16_Measurement,HOUSE_TS_N for ON001009 in 1871,
MEAS_ON001009_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001009 in 1871,
MEAS_ON001009_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001009 in 1871,
MEAS_ON001009_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001009 in 1871,
MEAS_ON001009_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001009 in 1871,
MEAS_ON001009_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001009 in 1871,
MEAS_ON001009_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001009 in 1871,
MEAS_ON001009_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001009 in 1871,
MEAS_ON001009_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001009 in 1871,
MEAS_ON001010_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001010 in 1871,
MEAS_ON001010_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001010 in 1871,
MEAS_ON001010_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001010 in 1871,
MEAS_ON001010_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001010 in 1871,
MEAS_ON001010_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001010 in 1871,
MEAS_ON001010_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001010 in 1871,
MEAS_ON001010_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001010 in 1871,
MEAS_ON001010_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001010 in 1871,
MEAS_ON001010_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001010 in 1871,
MEAS_ON001011_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001011 in 1871,
MEAS_ON001011_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001011 in 1871,
MEAS_ON001011_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001011 in 1871,
MEAS_ON001011_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001011 in 1871,
MEAS_ON001011_1871_HOUSE_XO_N,E16_Measurement,HOUSE_XO_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_XF_N,E16_Measurement,POP_XF_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_XX_N,E16_Measurement,POP_XX_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_MX_N,E16_Measurement,POP_MX_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_FX_N,E16_Measurement,POP_FX_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_MM_N,E16_Measurement,POP_MM_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_FM_N,E16_Measurement,POP_FM_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_XM_N,E16_Measurement,POP_XM_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_MW_N,E16_Measurement,POP_MW_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_FW_N,E16_Measurement,POP_FW_N for ON001011 in 1871,
MEAS_ON001011_1871_POP_XW_N,E16_Measurement,POP_XW_N for ON001011 in 1871,
MEAS_ON001011_1871_AGE_0to17MS_N,E16_Measurement,AGE_0to17MS_N for ON001011 in 1871,
MEAS_ON001011_1871_AGE_0to17FS_N,E16_Measurement,AGE_0to17FS_N for ON001011 in 1871,
MEAS_ON001011_1871_AGE_0to17XS_N,E16_Measurement,AGE_0to17XS_N for ON001011 in 1871,
MEAS_ON001012_1871_ARE_XX_A,E16_Measurement,ARE_XX_A for ON001012 in 1871,
MEAS_ON001012_1871_HOUSE_TS_N,E16_Measurement,HOUSE_TS_N for ON001012 in 1871,
MEAS_ON001012_1871_HOUSE_XI_N,E16_Measurement,HOUSE_XI_N for ON001012 in 1871,
MEAS_ON001012_1871_HOUSE_XU_N,E16_Measurement,HOUSE_XU_N for ON001012 in 1871,
MEAS_ON001012_1871_HOUSE_XC_N,E16_Measurement,HOUSE_XC_N for ON001012 in 1871,
