dimension_id:ID,:LABEL,value:float,value_string
DIM_ON001001_1871_ARE_XX_A,E54_Dimension,21770.0,
DIM_ON001001_1871_HOUSE_TS_N,E54_Dimension,1.0,
DIM_ON001001_1871_HOUSE_XI_N,E54_Dimension,280.0,
DIM_ON001001_1871_HOUSE_XU_N,E54_Dimension,7.0,
DIM_ON001001_1871_HOUSE_XC_N,E54_Dimension,6.0,
DIM_ON001001_1871_HOUSE_XO_N,E54_Dimension,281.0,
DIM_ON001001_1871_POP_XF_N,E54_Dimension,283.0,
DIM_ON001001_1871_POP_XX_N,E54_Dimension,1566.0,
DIM_ON001001_1871_POP_MX_N,E54_Dimension,812.0,
DIM_ON001001_1871_POP_FX_N,E54_Dimension,754.0,
DIM_ON001001_1871_POP_MM_N,E54_Dimension,253.0,
DIM_ON001001_1871_POP_FM_N,E54_Dimension,251.0,
DIM_ON001001_1871_POP_XM_N,E54_Dimension,504.0,
DIM_ON001001_1871_POP_MW_N,E54_Dimension,10.0,
DIM_ON001001_1871_POP_FW_N,E54_Dimension,19.0,
DIM_ON001001_1871_POP_XW_N,E54_Dimension,29.0,
DIM_ON001001_1871_AGE_0to17MS_N,E54_Dimension,549.0,
DIM_ON001001_1871_AGE_0to17FS_N,E54_Dimension,484.0,
DIM_ON001001_1871_AGE_0to17XS_N,E54_Dimension,1033.0,
DIM_ON001002_1871_ARE_XX_A,E54_Dimension,756.0,
DIM_ON001002_1871_HOUSE_XI_N,E54_Dimension,415.0,
DIM_ON001002_1871_HOUSE_XU_N,E54_Dimension,15.0,
DIM_ON001002_1871_HOUSE_XC_N,E54_Dimension,2.0,
DIM_ON001002_1871_HOUSE_XO_N,E54_Dimension,415.0,
DIM_ON001002_1871_POP_XF_N,E54_Dimension,415.0,
DIM_ON001002_1871_POP_XX_N,E54_Dimension,1936.0,
DIM_ON001002_1871_POP_MX_N,E54_Dimension,974.0,
DIM_ON001002_1871_POP_FX_N,E54_Dimension,962.0,
DIM_ON001002_1871_POP_MM_N,E54_Dimension,343.0,
DIM_ON001002_1871_POP_FM_N,E54_Dimension,344.0,
DIM_ON001002_1871_POP_XM_N,E54_Dimension,687.0,
DIM_ON001002_1871_POP_MW_N,E54_Dimension,17.0,
DIM_ON001002_1871_POP_FW_N,E54_Dimension,82.0,
DIM_ON001002_1871_POP_XW_N,E54_Dimension,99.0,
DIM_ON001002_1871_AGE_0to17MS_N,E54_Dimension,614.0,
DIM_ON001002_1871_AGE_0to17FS_N,E54_Dimension,536.0,
DIM_ON001002_1871_AGE_0to17XS_N,E54_Dimension,1150.0,
DIM_ON001003_1871_ARE_XX_A,E54_Dimension,23860.0,
DIM_ON001003_1871_HOUSE_XI_N,E54_Dimension,346.0,
DIM_ON001003_1871_HOUSE_XU_N,E54_Dimension,26.0,
