dimension_id:ID,:LABEL,value:float,value_string
DIM_ON001001_1851_POP_MX_N,E54_Dimension,668.0,
DIM_ON001001_1851_POP_FX_N,E54_Dimension,619.0,
DIM_ON001001_1851_POP_XX_N,E54_Dimension,1287.0,
DIM_ON001001_1851_POP_FMM_N,E54_Dimension,562.0,
DIM_ON001001_1851_POP_FMF_N,E54_Dimension,542.0,
DIM_ON001001_1851_POP_FNMM_N,E54_Dimension,106.0,
DIM_ON001001_1851_POP_FNMF_N,E54_Dimension,77.0,
DIM_ON001001_1851_POP_FMAM_N,E54_Dimension,26.0,
DIM_ON001001_1851_POP_FMAF_N,E54_Dimension,33.0,
DIM_ON001001_1851_POP_XF_N,E54_Dimension,234.0,
DIM_ON001001_1851_BIRTH_MX_N,E54_Dimension,29.0,
DIM_ON001001_1851_BIRTH_FX_N,E54_Dimension,28.0,
DIM_ON001001_1851_AGE_0to01M_N,E54_Dimension,28.0,
DIM_ON001001_1851_AGE_0to01F_N,E54_Dimension,27.0,
DIM_ON001001_1851_DTH_0to01M_N,E54_Dimension,2.0,
DIM_ON001001_1851_DTH_0to01F_N,E54_Dimension,2.0,
DIM_ON001001_1851_AGE_01to02M_N,E54_Dimension,29.0,
DIM_ON001001_1851_AGE_01to02F_N,E54_Dimension,22.0,
DIM_ON001001_1851_DTH_01to02M_N,E54_Dimension,1.0,
DIM_ON001001_1851_AGE_02to03M_N,E54_Dimension,29.0,
DIM_ON001001_1851_AGE_02to03F_N,E54_Dimension,16.0,
DIM_ON001001_1851_DTH_02to03M_N,E54_Dimension,2.0,
DIM_ON001001_1851_AGE_03to04M_N,E54_Dimension,18.0,
DIM_ON001001_1851_AGE_03to04F_N,E54_Dimension,21.0,
DIM_ON001001_1851_AGE_04to05M_N,E54_Dimension,10.0,
DIM_ON001001_1851_AGE_04to05F_N,E54_Dimension,17.0,
DIM_ON001001_1851_DTH_04to05M_N,E54_Dimension,1.0,
DIM_ON001001_1851_DTH_04to05F_N,E54_Dimension,1.0,
DIM_ON001001_1851_AGE_05to10M_N,E54_Dimension,94.0,
DIM_ON001001_1851_AGE_05to10F_N,E54_Dimension,102.0,
DIM_ON001001_1851_DTH_05to10M_N,E54_Dimension,2.0,
DIM_ON001001_1851_AGE_10to15MS_N,E54_Dimension,92.0,
DIM_ON001001_1851_AGE_10to15FS_N,E54_Dimension,79.0,
DIM_ON001001_1851_DTH_10to15M_N,E54_Dimension,1.0,
DIM_ON001001_1851_AGE_15to20MS_N,E54_Dimension,63.0,
DIM_ON001001_1851_AGE_15to20FM_N,E54_Dimension,9.0,
DIM_ON001001_1851_AGE_15to20FS_N,E54_Dimension,73.0,
DIM_ON001001_1851_AGE_20to30MM_N,E54_Dimension,41.0,
DIM_ON001001_1851_AGE_20to30MS_N,E54_Dimension,67.0,
DIM_ON001001_1851_AGE_20to30MW_N,E54_Dimension,2.0,
DIM_ON001001_1851_AGE_20to30FM_N,E54_Dimension,52.0,
DIM_ON001001_1851_AGE_20to30FS_N,E54_Dimension,42.0,
DIM_ON001001_1851_AGE_20to30FW_N,E54_Dimension,5.0,
DIM_ON001001_1851_AGE_30to40MM_N,E54_Dimension,46.0,
DIM_ON001001_1851_AGE_30to40MS_N,E54_Dimension,20.0,
DIM_ON001001_1851_AGE_30to40MW_N,E54_Dimension,4.0,
DIM_ON001001_1851_AGE_30to40FM_N,E54_Dimension,57.0,
DIM_ON001001_1851_AGE_30to40FS_N,E54_Dimension,4.0,
DIM_ON001001_1851_AGE_30to40FW_N,E54_Dimension,5.0,
DIM_ON001001_1851_DTH_30to40M_N,E54_Dimension,1.0,
DIM_ON001001_1851_AGE_40to50MM_N,E54_Dimension,44.0,
DIM_ON001001_1851_AGE_40to50MS_N,E54_Dimension,3.0,
DIM_ON001001_1851_AGE_40to50MW_N,E54_Dimension,6.0,
DIM_ON001001_1851_AGE_40to50FM_N,E54_Dimension,33.0,
DIM_ON001001_1851_AGE_40to50FS_N,E54_Dimension,1.0,
DIM_ON001001_1851_AGE_40to50FW_N,E54_Dimension,5.0,
DIM_ON001001_1851_DTH_40to50M_N,E54_Dimension,1.0,
DIM_ON001001_1851_AGE_50to60MM_N,E54_Dimension,35.0,
DIM_ON001001_1851_AGE_50to60MS_N,E54_Dimension,6.0,
DIM_ON001001_1851_AGE_50to60MW_N,E54_Dimension,3.0,
DIM_ON001001_1851_AGE_50to60FM_N,E54_Dimension,19.0,
DIM_ON001001_1851_AGE_50to60FS_N,E54_Dimension,3.0,
