measurement_id:ID,:LABEL,label,notes
MEAS_PE001001_1881_WHT_XX_A,E16_Measurement,WHT_XX_A for PE001001 in 1881,
MEAS_PE001001_1881_WHT_SX_B,E16_Measurement,WHT_SX_B for PE001001 in 1881,
MEAS_PE001001_1881_BAR_XX_B,E16_Measurement,BAR_XX_B for PE001001 in 1881,
MEAS_PE001001_1881_OAT_XX_B,E16_Measurement,OAT_XX_B for PE001001 in 1881,
MEAS_PE001001_1881_PEA_BX_A,E16_Measurement,PEA_BX_A for PE001001 in 1881,
MEAS_PE001001_1881_BWT_XX_B,E16_Measurement,BWT_XX_B for PE001001 in 1881,
MEAS_PE001001_1881_CRN_XX_B,E16_Measurement,CRN_XX_B for PE001001 in 1881,
MEAS_PE001001_1881_POT_XX_A,E16_Measurement,POT_XX_A for PE001001 in 1881,
MEAS_PE001001_1881_POT_XX_B,E16_Measurement,POT_XX_B for PE001001 in 1881,
MEAS_PE001001_1881_ROOT_TX_B,E16_Measurement,ROOT_TX_B for PE001001 in 1881,
MEAS_PE001001_1881_ROOT_OTH_B,E16_Measurement,ROOT_OTH_B for PE001001 in 1881,
MEAS_PE001001_1881_HAY_XX_A,E16_Measurement,HAY_XX_A for PE001001 in 1881,
MEAS_PE001001_1881_HAY_XX_T,E16_Measurement,HAY_XX_T for PE001001 in 1881,
MEAS_PE001001_1881_GRA_XS_B,E16_Measurement,GRA_XS_B for PE001001 in 1881,
MEAS_PE001002_1881_WHT_XX_A,E16_Measurement,WHT_XX_A for PE001002 in 1881,
MEAS_PE001002_1881_WHT_SX_B,E16_Measurement,WHT_SX_B for PE001002 in 1881,
MEAS_PE001002_1881_BAR_XX_B,E16_Measurement,BAR_XX_B for PE001002 in 1881,
MEAS_PE001002_1881_OAT_XX_B,E16_Measurement,OAT_XX_B for PE001002 in 1881,
MEAS_PE001002_1881_PEA_BX_A,E16_Measurement,PEA_BX_A for PE001002 in 1881,
MEAS_PE001002_1881_BWT_XX_B,E16_Measurement,BWT_XX_B for PE001002 in 1881,
MEAS_PE001002_1881_CRN_XX_B,E16_Measurement,CRN_XX_B for PE001002 in 1881,
MEAS_PE001002_1881_POT_XX_A,E16_Measurement,POT_XX_A for PE001002 in 1881,
MEAS_PE001002_1881_POT_XX_B,E16_Measurement,POT_XX_B for PE001002 in 1881,
MEAS_PE001002_1881_ROOT_TX_B,E16_Measurement,ROOT_TX_B for PE001002 in 1881,
MEAS_PE001002_1881_ROOT_OTH_B,E16_Measurement,ROOT_OTH_B for PE001002 in 1881,
MEAS_PE001002_1881_HAY_XX_A,E16_Measurement,HAY_XX_A for PE001002 in 1881,
MEAS_PE001002_1881_HAY_XX_T,E16_Measurement,HAY_XX_T for PE001002 in 1881,
MEAS_PE001002_1881_GRA_XS_B,E16_Measurement,GRA_XS_B for PE001002 in 1881,
MEAS_PE001003_1881_WHT_XX_A,E16_Measurement,WHT_XX_A for PE001003 in 1881,
MEAS_PE001003_1881_WHT_SX_B,E16_Measurement,WHT_SX_B for PE001003 in 1881,
MEAS_PE001003_1881_BAR_XX_B,E16_Measurement,BAR_XX_B for PE001003 in 1881,
MEAS_PE001003_1881_OAT_XX_B,E16_Measurement,OAT_XX_B for PE001003 in 1881,
MEAS_PE001003_1881_PEA_BX_A,E16_Measurement,PEA_BX_A for PE001003 in 1881,
MEAS_PE001003_1881_BWT_XX_B,E16_Measurement,BWT_XX_B for PE001003 in 1881,
MEAS_PE001003_1881_CRN_XX_B,E16_Measurement,CRN_XX_B for PE001003 in 1881,
MEAS_PE001003_1881_POT_XX_A,E16_Measurement,POT_XX_A for PE001003 in 1881,
MEAS_PE001003_1881_POT_XX_B,E16_Measurement,POT_XX_B for PE001003 in 1881,
MEAS_PE001003_1881_ROOT_TX_B,E16_Measurement,ROOT_TX_B for PE001003 in 1881,
MEAS_PE001003_1881_ROOT_OTH_B,E16_Measurement,ROOT_OTH_B for PE001003 in 1881,
MEAS_PE001003_1881_HAY_XX_A,E16_Measurement,HAY_XX_A for PE001003 in 1881,
MEAS_PE001003_1881_HAY_XX_T,E16_Measurement,HAY_XX_T for PE001003 in 1881,
MEAS_PE001003_1881_GRA_XS_B,E16_Measurement,GRA_XS_B for PE001003 in 1881,
MEAS_PE001004_1881_WHT_XX_A,E16_Measurement,WHT_XX_A for PE001004 in 1881,
MEAS_PE001004_1881_WHT_SX_B,E16_Measurement,WHT_SX_B for PE001004 in 1881,
MEAS_PE001004_1881_BAR_XX_B,E16_Measurement,BAR_XX_B for PE001004 in 1881,
MEAS_PE001004_1881_OAT_XX_B,E16_Measurement,OAT_XX_B for PE001004 in 1881,
MEAS_PE001004_1881_PEA_BX_A,E16_Measurement,PEA_BX_A for PE001004 in 1881,
MEAS_PE001004_1881_BWT_XX_B,E16_Measurement,BWT_XX_B for PE001004 in 1881,
MEAS_PE001004_1881_CRN_XX_B,E16_Measurement,CRN_XX_B for PE001004 in 1881,
MEAS_PE001004_1881_POT_XX_A,E16_Measurement,POT_XX_A for PE001004 in 1881,
MEAS_PE001004_1881_POT_XX_B,E16_Measurement,POT_XX_B for PE001004 in 1881,
MEAS_PE001004_1881_ROOT_TX_B,E16_Measurement,ROOT_TX_B for PE001004 in 1881,
MEAS_PE001004_1881_ROOT_OTH_B,E16_Measurement,ROOT_OTH_B for PE001004 in 1881,
MEAS_PE001004_1881_HAY_XX_A,E16_Measurement,HAY_XX_A for PE001004 in 1881,
MEAS_PE001004_1881_HAY_XX_T,E16_Measurement,HAY_XX_T for PE001004 in 1881,
MEAS_PE001004_1881_GRA_XS_B,E16_Measurement,GRA_XS_B for PE001004 in 1881,
MEAS_PE001005_1881_WHT_XX_A,E16_Measurement,WHT_XX_A for PE001005 in 1881,
MEAS_PE001005_1881_WHT_SX_B,E16_Measurement,WHT_SX_B for PE001005 in 1881,
MEAS_PE001005_1881_BAR_XX_B,E16_Measurement,BAR_XX_B for PE001005 in 1881,
MEAS_PE001005_1881_OAT_XX_B,E16_Measurement,OAT_XX_B for PE001005 in 1881,
MEAS_PE001005_1881_PEA_BX_A,E16_Measurement,PEA_BX_A for PE001005 in 1881,
MEAS_PE001005_1881_BWT_XX_B,E16_Measurement,BWT_XX_B for PE001005 in 1881,
MEAS_PE001005_1881_CRN_XX_B,E16_Measurement,CRN_XX_B for PE001005 in 1881,
MEAS_PE001005_1881_POT_XX_A,E16_Measurement,POT_XX_A for PE001005 in 1881,
