dimension_id:ID,:LABEL,value:float,value_string
DIM_AB001007_1911_UNSPECIFIED,E54_Dimension,12.0,
DIM_AB001008_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001008_1911_BRIT_ENGLISH,E54_Dimension,15.0,
DIM_AB001008_1911_BRIT_IRISH,E54_Dimension,5.0,
DIM_AB001008_1911_BRIT_SCOTCH,E54_Dimension,9.0,
DIM_AB001008_1911_POLISH,E54_Dimension,4.0,
DIM_AB001008_1911_UNSPECIFIED,E54_Dimension,131.0,
DIM_AB001009_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001009_1911_BRIT_ENGLISH,E54_Dimension,3.0,
DIM_AB001009_1911_BRIT_OTHER,E54_Dimension,1.0,
DIM_AB001009_1911_BELGIAN,E54_Dimension,1.0,
DIM_AB001009_1911_CHINESE,E54_Dimension,2.0,
DIM_AB001009_1911_SCANDINAVIAN,E54_Dimension,1.0,
DIM_AB001009_1911_SWISS,E54_Dimension,5.0,
DIM_AB001009_1911_UNSPECIFIED,E54_Dimension,12.0,
DIM_AB001010_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001010_1911_BRIT_ENGLISH,E54_Dimension,340.0,
DIM_AB001010_1911_BRIT_IRISH,E54_Dimension,126.0,
DIM_AB001010_1911_BRIT_SCOTCH,E54_Dimension,212.0,
DIM_AB001010_1911_BRIT_OTHER,E54_Dimension,10.0,
DIM_AB001010_1911_FRENCH,E54_Dimension,24.0,
DIM_AB001010_1911_GERMAN,E54_Dimension,21.0,
DIM_AB001010_1911_CHINESE,E54_Dimension,40.0,
DIM_AB001010_1911_DUTCH,E54_Dimension,1.0,
DIM_AB001010_1911_ITALIAN,E54_Dimension,1.0,
DIM_AB001010_1911_JAPANESE,E54_Dimension,20.0,
DIM_AB001010_1911_JEWISH,E54_Dimension,2.0,
DIM_AB001010_1911_POLISH,E54_Dimension,3.0,
DIM_AB001010_1911_RUSSIAN,E54_Dimension,1.0,
DIM_AB001010_1911_SCANDINAVIAN,E54_Dimension,30.0,
DIM_AB001010_1911_SWISS,E54_Dimension,3.0,
DIM_AB001010_1911_UNSPECIFIED,E54_Dimension,103.0,
DIM_AB001011_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001011_1911_BRIT_ENGLISH,E54_Dimension,118.0,
DIM_AB001011_1911_BRIT_IRISH,E54_Dimension,46.0,
DIM_AB001011_1911_BRIT_SCOTCH,E54_Dimension,99.0,
DIM_AB001011_1911_BRIT_OTHER,E54_Dimension,12.0,
DIM_AB001011_1911_FRENCH,E54_Dimension,1.0,
DIM_AB001011_1911_GERMAN,E54_Dimension,17.0,
DIM_AB001011_1911_AUSTRO_HUNGARIAN,E54_Dimension,36.0,
DIM_AB001011_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,2.0,
DIM_AB001011_1911_CHINESE,E54_Dimension,27.0,
DIM_AB001011_1911_ITALIAN,E54_Dimension,120.0,
DIM_AB001011_1911_POLISH,E54_Dimension,169.0,
DIM_AB001011_1911_RUSSIAN,E54_Dimension,6.0,
DIM_AB001011_1911_SCANDINAVIAN,E54_Dimension,11.0,
DIM_AB001011_1911_SWISS,E54_Dimension,1.0,
DIM_AB001011_1911_UNSPECIFIED,E54_Dimension,29.0,
DIM_AB001012_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001012_1911_BRIT_ENGLISH,E54_Dimension,130.0,
DIM_AB001012_1911_BRIT_IRISH,E54_Dimension,44.0,
DIM_AB001012_1911_BRIT_SCOTCH,E54_Dimension,52.0,
DIM_AB001012_1911_BRIT_OTHER,E54_Dimension,13.0,
DIM_AB001012_1911_FRENCH,E54_Dimension,3.0,
DIM_AB001012_1911_GERMAN,E54_Dimension,12.0,
DIM_AB001012_1911_AUSTRO_HUNGARIAN,E54_Dimension,165.0,
DIM_AB001012_1911_BELGIAN,E54_Dimension,17.0,
DIM_AB001012_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,1.0,
DIM_AB001012_1911_CHINESE,E54_Dimension,61.0,
DIM_AB001012_1911_DUTCH,E54_Dimension,1.0,
DIM_AB001012_1911_ITALIAN,E54_Dimension,42.0,
DIM_AB001012_1911_JEWISH,E54_Dimension,8.0,
DIM_AB001012_1911_POLISH,E54_Dimension,55.0,
DIM_AB001012_1911_RUSSIAN,E54_Dimension,116.0,
DIM_AB001012_1911_SCANDINAVIAN,E54_Dimension,7.0,
DIM_AB001012_1911_UNSPECIFIED,E54_Dimension,27.0,
DIM_AB001013_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001013_1911_BRIT_ENGLISH,E54_Dimension,84.0,
DIM_AB001013_1911_BRIT_IRISH,E54_Dimension,39.0,
DIM_AB001013_1911_BRIT_SCOTCH,E54_Dimension,87.0,
DIM_AB001013_1911_FRENCH,E54_Dimension,6.0,
DIM_AB001013_1911_GERMAN,E54_Dimension,24.0,
