tcpuid_1851,csd_name_1851,cd_name_1851,pr_1851,tcpuid_1861,csd_name_1861,cd_name_1861,pr_1861,relationship,iou,frac_from,frac_to,name_similarity
ON006003,Clarke,Durham,ON,ON069004,Clarke,Durham ,ON,OVERLAPS,0.9742,0.9742,1.0,100.0
ON008004,Gosfield,Essex,ON,ON071004,Golded,Essex,ON,SAME_AS,1.0,1.0,1.0,70.0
ON011014,Sydenham,Grey,ON,ON075013,"Owen Sound, Town of",Grey,ON,OVERLAPS,0.0414,0.0421,0.7061,45.56
ON011014,Sydenham,Grey,ON,ON075016,Sydenham,Grey,ON,OVERLAPS,0.953,0.953,1.0,100.0
ON014002,Trafalgar,Halton,ON,ON077007,Trafalgar,Halton,ON,OVERLAPS,0.9709,0.9709,1.0,100.0
ON015003,"Elzevir, Madoc & Tudor",Hastings,ON,ON078002,Elzevir,Hastings,ON,OVERLAPS,0.2625,0.3515,0.5091,63.79
ON018008,Sarnia,Lambton,ON,ON081008,Sarnia,Lambton,ON,OVERLAPS,0.9771,0.9771,1.0,100.0
ON019007,Elmsley N,Lanark,ON,ON082007,Elinsley,Lanark,ON,SAME_AS,0.9862,0.9862,1.0,79.41
ON019007,Elmsley N,Lanark,ON,ON082016,"Smith's Falls, Village",Lanark,ON,OVERLAPS,0.0137,0.0138,0.8131,48.06
ON021003,Richmond,Lennox,ON,ON084010,Richmond,Lennox and Addington ,ON,OVERLAPS,0.9665,0.9665,1.0,83.85
ON023005,Adelaide,Middlesex,ON,ON086011,"Strathroy, Village",Middlesex,ON,OVERLAPS,0.0249,0.0255,0.5295,51.54
ON023005,Adelaide,Middlesex,ON,ON086001,Adelaide,Middlesex,ON,OVERLAPS,0.9745,0.9745,1.0,100.0
ON028003,Chinguacousy,Peel,ON,ON091004,Chinguacousy,Peel,ON,OVERLAPS,0.968,0.968,1.0,100.0
ON029001,Blanchard,Perth,ON,ON092001,Blanchard,Perth,ON,OVERLAPS,0.9764,0.988,0.9881,100.0
ON029005,Logan,Perth,ON,ON092010,"Mitchell, Village",Perth,ON,OVERLAPS,0.0115,0.0117,0.5095,42.73
ON030003,Dummer & Burleigh,Peterboro,ON,ON093005,Dummer,Peterborough,ON,SAME_AS,1.0,1.0,1.0,62.24
ON039005,Nichol,Wellington,ON,ON103013,Nichol,Wellington,ON,OVERLAPS,0.9589,0.9589,1.0,100.0
ON040008,Bertie,Welland,ON,ON102001,Bertie,Welland,ON,OVERLAPS,0.9624,0.9624,1.0,100.0
ON040004,Crowland,Welland,ON,ON102012,"Welland, Village",Welland,ON,OVERLAPS,0.079,0.0805,0.8076,59.17
ON037002,Ops,Victoria,ON,ON100015,Ops,Victoria,ON,OVERLAPS,0.9639,0.9639,1.0,100.0
ON033007,McNab,Renfrew,ON,ON096011,McNab,Renfrew,ON,OVERLAPS,0.9799,0.9799,1.0,100.0
ON006007,Port Hope,Durham,ON,ON069009,"Port Hope, Town of",Durham ,ON,SAME_AS,1.0,1.0,1.0,76.67
ON007008,"St. Thomas, Village",Elgin,ON,ON070007,"St. Thomas, Town of",Elgin,ON,SAME_AS,1.0,1.0,1.0,74.21
ON008010,Tilbury W-O,Essex,ON,ON071012,"Tilbury,West",Essex,ON,SAME_AS,1.0,1.0,1.0,78.7
ON009001,Kingston,Frontenac,ON,ON072013,"Portsmouth, Village",Frontenac,ON,OVERLAPS,0.0071,0.0071,0.9478,40.37
ON016014,Stanley,Huron,ON,ON079014,Stanley and Bayfield,Huron,ON,SAME_AS,1.0,1.0,1.0,66.3
ON016015,Goderich,Huron,ON,ON079003,"Clinton, Village",Huron,ON,OVERLAPS,0.016,0.0161,0.7268,41.67
ON017002,Chatham,Kent,ON,ON080003,Chatham and Gore,Kent,ON,SAME_AS,1.0,1.0,1.0,72.61
ON045003,"Kingston, Frontenac Ward","Kingston, City",ON,ON109002,Frontenac Ward,Kingston,ON,OVERLAPS,0.971,1.0,0.971,73.4
ON021002,Fredericksburg,Lennox,ON,ON084007,Frederichsburgh,Lennox and Addington ,ON,SAME_AS,1.0,1.0,1.0,76.6
ON001004,Shefford,Addington,ON,ON084011,Sheffield,Lennox and Addington ,ON,SAME_AS,1.0,1.0,1.0,68.03
ON025006,Woodhouse,Norfolk,ON,ON087008,Woodhouse and Gore,Norfolk,ON,SAME_AS,1.0,1.0,1.0,76.67
ON026008,Scugog,Ontario,ON,ON089008,Scugog Island,Ontario,ON,SAME_AS,1.0,1.0,1.0,74.21
ON046003,"Bytown, Centre Ward",Bytown,ON,ON111005,Wellington Ward,Ottawa,ON,OVERLAPS,0.4754,0.7187,0.584,47.06
ON027002,Zorra W-O,Oxford,ON,ON090014,"Zorra, West",Oxford,ON,SAME_AS,0.9898,0.9898,1.0,79.0
ON027012,"Ingersol, Town",Oxford,ON,ON090005,"Ingersoll, Village",Oxford,ON,SAME_AS,1.0,1.0,1.0,73.75
ON029008,Easthope S,Perth,ON,ON092004,"Easthope, South",Perth,ON,OVERLAPS,0.977,0.977,1.0,86.0
ON030005,Monaghan,Peterboro,ON,ON093010,"Monaghan, North",Peterborough,ON,SAME_AS,1.0,1.0,1.0,74.41
ON035007,Tiny,Simcoe,ON,ON098020,Reformatory Prison,Simcoe,ON,OVERLAPS,0.003,0.003,0.5015,49.09
ON038006,Galt,Waterloo,ON,ON101003,"Galt, Town of",Waterloo,ON,SAME_AS,1.0,1.0,1.0,62.94
ON040009,Chippewa,Welland,ON,ON102002,"Chippawa, Village",Welland,ON,SAME_AS,1.0,1.0,1.0,69.2
ON036001,Cornwall,Stormont,ON,ON099002,"Cornwall, Township",Stormont,ON,SAME_AS,1.0,1.0,1.0,73.08
ON043001,"Toronto, City","Toronto, City",ON,ON112007,St. Patricks’ Ward,Toronto,ON,OVERLAPS,0.3461,0.3549,0.9329,34.55
ON045001,"Kingston, Sydenham Ward","Kingston, City",ON,ON109006,Sydenham Ward,Kingston,ON,SAME_AS,1.0,1.0,1.0,72.37
ON045002,"Kingston, Rideau Ward","Kingston, City",ON,ON109004,Rideau Ward,Kingston,ON,SAME_AS,0.9993,1.0,0.9993,69.94
ON045004,"Kingston, Cataraqui Ward","Kingston, City",ON,ON109001,Cataraqui Ward,Kingston,ON,SAME_AS,1.0,1.0,1.0,73.4
ON045006,"Kingston, St. Lawrence Ward","Kingston, City",ON,ON109005,St. Lawrence Ward,Kingston,ON,SAME_AS,1.0,1.0,1.0,75.91
ON026011,Oshawa,Ontario,ON,ON089003,"Oshawa, Village",Ontario,ON,SAME_AS,1.0,1.0,1.0,70.0
ON025008,Long Point & Ryerson's Island,Norfolk,ON,ON087006,Walsingham,Norfolk,ON,OVERLAPS,0.0824,0.925,0.083,44.36
ON029004,"Downie, Downie & Gore",Perth,ON,ON092002,Downie,Perth,ON,OVERLAPS,0.9643,0.9643,1.0,61.11
ON015004,Marmora,Hastings,ON,ON078007,Marmon and Lake,Hastings,ON,OVERLAPS,0.6284,0.928,0.6606,68.18
ON035010,Gwillimbury,Simcoe,ON,ON098007,"Gwillimbury, west",Simcoe,ON,OVERLAPS,0.9698,0.9698,1.0,85.0
ON046002,"Bytown, West Ward",Bytown,ON,ON111005,Wellington Ward,Ottawa,ON,OVERLAPS,0.194,0.5333,0.2336,45.0
NT999999,NO DATA,The Territories,NT,ON078013,Tudor and Lake,Hastings,ON,OVERLAPS,0.0001,0.0001,0.6261,37.1
NT999999,NO DATA,The Territories,NT,NT999999,NO DATA,The Territories,NT,OVERLAPS,0.9785,0.9785,1.0,100.0
ON011004,Derby,Grey,ON,ON075004,Derby,Grey,ON,OVERLAPS,0.9583,0.9671,0.9905,100.0
QC080013,Chatham,Two Mountains,QC,QC002002,Chatham,Argenteuil,QC,SAME_AS,1.0,1.0,1.0,77.83
QC080017,Gore,Two Mountains,QC,QC002005,Gore,Argenteuil,QC,SAME_AS,1.0,1.0,1.0,77.83
QC080015,Grenville,Two Mountains,QC,QC002004,Grenville,Argenteuil,QC,SAME_AS,1.0,1.0,1.0,77.83
QC078010,Ste. Rosalie,St. Hyacinthe,QC,QC004007,Ste. Rosalie,Bagot,QC,SAME_AS,1.0,1.0,1.0,76.67
QC078011,St. Simon,St. Hyacinthe,QC,QC004005,St. Liboire,Bagot,QC,OVERLAPS,0.4653,0.4862,0.9156,48.67
QC054012,St. Elzéar,Dorchester,QC,QC005012,St. Elzéar,Beauce,QC,SAME_AS,1.0,1.0,1.0,77.5
QC054016,St. François,Dorchester,QC,QC005014,St. François,Beauce,QC,SAME_AS,1.0,1.0,1.0,77.5
QC054015,St. Frédéric,Dorchester,QC,QC005013,St. Frédéric,Beauce,QC,SAME_AS,1.0,1.0,1.0,77.5
QC054017,St. George,Dorchester,QC,QC005015,St. Georges,Beauce,QC,SAME_AS,1.0,1.0,1.0,74.17
QC048005,"Beauharnois, Village",Beauharnois,QC,QC006001,Beauharnois,Beauharnois,QC,SAME_AS,1.0,1.0,1.0,79.68
QC049003,St. Valier,Bellechasse,QC,QC007008,St. Raphaël,Bellechasse,QC,OVERLAPS,0.308,0.552,0.4106,70.0
QC051008,Nouvelle,Bonaventure,QC,QC009010,Nouvelle and Shoolbreds,Bonaventure,QC,SAME_AS,1.0,1.0,1.0,66.13
QC051001,Port Daniel,Bonaventure,QC,QC009003,Daniel (Port),Bonaventure,QC,SAME_AS,1.0,1.0,1.0,65.0
QC077004,Bolton,Stanstead,QC,QC010001,Bolton,Brome,QC,SAME_AS,1.0,1.0,1.0,74.29
QC075008,Brome,Shefford,QC,QC010002,Brome,Brome,QC,SAME_AS,1.0,1.0,1.0,74.62
QC077005,Potton,Stanstead,QC,QC010004,Potton,Brome,QC,SAME_AS,1.0,1.0,1.0,74.29
QC063001,Sutton,Missisquoi,QC,QC010005,Sutton,Brome,QC,SAME_AS,1.0,1.0,1.0,74.0
QC052002,Longueuil (part),Chambly,QC,QC011009,St. Lambert,Chambly,QC,OVERLAPS,0.0586,0.0608,0.6182,50.74
QC082007,Ste. Julie,Verchères,QC,QC058004,Ste. Julie,Vercheres,QC,OVERLAPS,0.9584,1.0,0.9584,96.67
QC053004,Cap de la Madeleine,Champlain,QC,QC012006,Ste. Flore,Champlain,QC,OVERLAPS,0.2944,0.3135,0.8289,49.31
QC053001,Ste. Anne Lapérade,Champlain,QC,QC012005,Ste. Anne,Champlain,QC,SAME_AS,1.0,1.0,1.0,76.67
QC053002,"St. François X., Batiscan",Champlain,QC,QC012001,Batiscan,Champlain,QC,SAME_AS,1.0,1.0,1.0,63.94
QC053005,St. Maurice,Champlain,QC,QC012008,St. Maurice,Champlain,QC,OVERLAPS,0.473,0.4901,0.9313,100.0
QC074001,Baie St. Paul,Saguenay,QC,QC013001,Baie St. Paul,Charlevoix,QC,SAME_AS,1.0,1.0,1.0,76.67
QC074004,Isles aux Coudres,Saguenay,QC,QC013005,Isle-aux-Coudres,Charlevoix,QC,SAME_AS,1.0,1.0,1.0,66.06
QC074005,Eboulements,Saguenay,QC,QC013004,Eboulements,Charlevoix,QC,SAME_AS,1.0,1.0,1.0,76.67
QC074010,St. Fidèle,Saguenay,QC,QC013010,St. Fidèle,Charlevoix,QC,SAME_AS,1.0,1.0,1.0,76.67
QC074006,St. Irénée,Saguenay,QC,QC013011,St. Irénée,Charlevoix,QC,SAME_AS,1.0,1.0,1.0,76.67
QC074002,St. Urbain,Saguenay,QC,QC013012,St. Urbain,Charlevoix,QC,SAME_AS,1.0,1.0,1.0,76.67
QC057006,Ste. Philomène,Huntingdon,QC,QC014006,Ste. Philomène,Chateauguay,QC,SAME_AS,1.0,1.0,1.0,78.57
QC048008,St. Urbain,Beauharnois,QC,QC014007,St. Urbain Premier,Chateauguay,QC,SAME_AS,1.0,1.0,1.0,60.91
QC076010,Bury,Sherbrooke,QC,QC016001,Bury,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076002,Clifton,Sherbrooke,QC,QC016002,Clifton,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076004,Compton,Sherbrooke,QC,QC016003,Compton,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076008,Eaton,Sherbrooke,QC,QC016004,Eaton,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076001,Hereford,Sherbrooke,QC,QC016006,Hereford,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076011,Lingwick,Sherbrooke,QC,QC016007,Lingwick,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076018,Westbury,Sherbrooke,QC,QC016010,Westbury,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC076020,Winslow,Sherbrooke,QC,QC016011,Winslow,Compton,QC,SAME_AS,1.0,1.0,1.0,77.06
QC080005,St. Colomban,Two Mountains,QC,QC056005,St. Columban,Two Mountains,QC,OVERLAPS,0.9553,0.9553,1.0,94.17
QC080003,Ste. Scholastique,Two Mountains,QC,QC056004,St. Canut,Two Mountains,QC,OVERLAPS,0.3152,0.3239,0.921,67.69
QC054009,Ste. Claire,Dorchester,QC,QC017006,Ste. Claire,Dorchester,QC,OVERLAPS,0.957,0.957,1.0,100.0
QC054010,Ste. Marguerite,Dorchester,QC,QC017007,Ste. Hénédine,Dorchester,QC,OVERLAPS,0.3053,0.324,0.8409,65.0
