tcpuid_1901,csd_name_1901,cd_name_1901,pr_1901,tcpuid_1911,csd_name_1911,cd_name_1911,pr_1911,relationship,iou,frac_from,frac_to,name_similarity
MB006015,"Virden, Town—Ville",Brandon,MB,MB015008,Virden t-v,Brandon,MB,SAME_AS,1.0,1.0,1.0,75.0
MB011016,St. Laurent,Selkirk,MB,MB018001,104 townships,Macdonald,MB,OVERLAPS,0.0499,0.8291,0.0504,15.42
MB008014,Westbourne,Macdonald,MB,MB016001,282 townships,Dauphin,MB,OVERLAPS,0.0816,0.6205,0.0859,25.76
MB008015,Unorganized Territory—Territoire non-organisé,Macdonald,MB,MB016999,NO DATA,Dauphin,MB,OVERLAPS,0.0964,0.6499,0.1017,20.96
MB008006,Lansdowne,Macdonald,MB,MB016001,282 townships,Dauphin,MB,OVERLAPS,0.0421,0.7488,0.0427,26.59
MB008013,Rosedale,Macdonald,MB,MB016001,282 townships,Dauphin,MB,OVERLAPS,0.0351,0.7132,0.0356,20.83
MB009028,Unorganized Territory—Territoire non-organisé,Marquette,MB,MB019999,NO DATA,Marquette,MB,OVERLAPS,0.0371,0.0379,0.6306,43.46
MB009028,Unorganized Territory—Territoire non-organisé,Marquette,MB,MB016999,NO DATA,Dauphin,MB,OVERLAPS,0.2736,0.64,0.3234,20.96
MB009027,Minitonas,Marquette,MB,MB016001,282 townships,Dauphin,MB,OVERLAPS,0.0368,0.8437,0.037,32.95
MB007005,Louise,Lisgar,MB,MB017001,47 townships,Lisgar,MB,OVERLAPS,0.2168,0.7271,0.236,53.33
MB007013,"Morden, Village",Lisgar,MB,MB017002,Morden t-v,Lisgar,MB,SAME_AS,1.0,1.0,1.0,74.8
MB007010,"Gretna, Village",Lisgar,MB,MB017003,Gretna vl (T1 R1 MW1),Lisgar,MB,SAME_AS,1.0,1.0,1.0,65.0
MB007007,"Manitou, Village",Lisgar,MB,MB017004,Manitou vl (T3 R8 MW1),Lisgar,MB,SAME_AS,1.0,1.0,1.0,66.84
MB007009,"Plum Coulee, Village",Lisgar,MB,MB017006,Plum Coulee vl (T3 R3 MW1),Lisgar,MB,SAME_AS,1.0,1.0,1.0,72.61
MB011001,Assiniboia,Selkirk,MB,MB018007,St. Charles pr,Macdonald,MB,OVERLAPS,0.26,0.2951,0.6861,15.42
MB008011,Portage la Prairie,Macdonald,MB,MB020003,Long Plain I R,Portage La Prairie,MB,OVERLAPS,0.0265,0.0266,0.9191,41.67
MB008011,Portage la Prairie,Macdonald,MB,MB020001,74 townships,Portage La Prairie,MB,OVERLAPS,0.1906,0.6262,0.215,16.0
MB007004,Lorne,Lisgar,MB,MB018010,Notre Dame de Lourdes pr,Macdonald,MB,OVERLAPS,0.0014,0.0014,0.5161,23.31
MB007004,Lorne,Lisgar,MB,MB018001,104 townships,Macdonald,MB,OVERLAPS,0.0957,0.943,0.0963,19.56
MB009015,Harrison,Marquette,MB,MB019001,128 townships,Marquette,MB,OVERLAPS,0.0429,0.8988,0.0431,50.0
MB009021,Rossburn,Marquette,MB,MB019001,128 townships,Marquette,MB,OVERLAPS,0.0574,0.8088,0.0582,50.0
MB009023,Silver Creek,Marquette,MB,MB019001,128 townships,Marquette,MB,OVERLAPS,0.0447,0.9402,0.0449,41.2
MB009007,Boulton,Marquette,MB,MB019001,128 townships,Marquette,MB,OVERLAPS,0.0587,0.6687,0.0604,51.0
MB009004,"Birtle, Town—Ville",Marquette,MB,MB019003,Birtle t-v,Marquette,MB,SAME_AS,1.0,1.0,1.0,75.0
MB009017,"Minnedosa, Town—Ville",Marquette,MB,MB019001,128 townships,Marquette,MB,OVERLAPS,0.0011,0.8319,0.0011,54.71
