tcpuid_1851,csd_name_1851,cd_name_1851,pr_1851,tcpuid_1861,csd_name_1861,cd_name_1861,pr_1861,relationship,iou,frac_from,frac_to,name_similarity
ON002001,Brantford,Brant,ON,ON065002,Brantford,Brant,ON,SAME_AS,1.0,1.0,1.0,100.0
ON002003,Burford,Brant,ON,ON065003,Burford,Brant ,ON,SAME_AS,1.0,1.0,1.0,100.0
ON002005,Oakland,Brant,ON,ON065005,Oakland,Brant ,ON,SAME_AS,1.0,1.0,1.0,100.0
ON002002,"Brantford, Town",Brant,ON,ON065001,"Brantford, Town of",Brant,ON,SAME_AS,1.0,1.0,1.0,93.64
ON020005,Elizabethtown,Leeds,ON,ON083007,Elizabethtown,Leeds,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003001,Arran,Bruce,ON,ON066003,Arran,Bruce,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003009,Kincardine,Bruce,ON,ON066012,"Kincardine, Village",Bruce,ON,CONTAINS,0.0097,0.0097,1.0,78.28
ON003009,Kincardine,Bruce,ON,ON066011,Kincaraio,Bruce,ON,SAME_AS,0.9903,0.9903,1.0,81.58
ON003011,Saugeen,Bruce,ON,ON066014,Saugeen,Bruce,ON,CONTAINS,0.9268,0.9268,1.0,100.0
ON003011,Saugeen,Bruce,ON,ON066015,"Southampton, Village",Bruce,ON,CONTAINS,0.0732,0.0732,1.0,50.74
ON003002,Brant,Bruce,ON,ON066004,Brant,Bruce,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003004,Carrick,Bruce,ON,ON066006,Carrick,Bruce,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003005,Culross,Bruce,ON,ON066007,Culross,Bruce,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003006,Elderslie,Bruce,ON,ON066008,Elderslie,Bruce,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003007,Greenock,Bruce,ON,ON066009,Grenock,Bruce,ON,SAME_AS,1.0,1.0,1.0,95.33
ON003008,Huron,Bruce,ON,ON066010,Huron,Bruce,ON,SAME_AS,1.0,1.0,1.0,100.0
ON003010,Kinloss,Bruce,ON,ON066013,Kinlas,Bruce,ON,SAME_AS,1.0,1.0,1.0,83.85
ON004001,Fitzroy,Carleton,ON,ON067001,Fitzroy,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON004003,Goulbourne,Carleton,ON,ON067003,Goulbourne,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON004005,Huntley,Carleton,ON,ON067005,Huntley,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON004006,March,Carleton,ON,ON067007,March,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON004007,Marlborough,Carleton,ON,ON067006,Marlhorough,Carleton,ON,SAME_AS,1.0,1.0,1.0,93.64
ON004008,Nepean,Carleton,ON,ON067008,Nepean,Carleton,ON,SAME_AS,0.9867,0.9867,1.0,100.0
ON004008,Nepean,Carleton,ON,ON111006,Hospital and other Institutions,Ottawa,ON,CONTAINS,0.0091,0.0091,1.0,15.64
ON004011,Torbolton,Carleton,ON,ON067011,Torbolton,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON004010,"Richmond, Village",Carleton,ON,ON067010,"Richmond, Village",Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON039011,Amaranth,Wellington,ON,ON103001,Amaranth,Wellington,ON,SAME_AS,1.0,1.0,1.0,100.0
ON039006,Garafraxa,Wellington,ON,ON103007,Garafraxa,Wellington,ON,SAME_AS,1.0,1.0,1.0,100.0
ON039010,"Minto, Arthur & Luther",Wellington,ON,ON103012,Minto,Wellington,ON,CONTAINS,0.3145,0.3145,1.0,55.93
ON039010,"Minto, Arthur & Luther",Wellington,ON,ON103002,Arthur,Wellington,ON,CONTAINS,0.2952,0.2952,1.0,60.0
ON039010,"Minto, Arthur & Luther",Wellington,ON,ON103010,Luther,Wellington,ON,CONTAINS,0.3903,0.3903,1.0,60.0
ON035016,Mono,Simcoe,ON,ON098010,Mono,Simcoe,ON,SAME_AS,1.0,1.0,1.0,100.0
ON035015,Mulmur,Simcoe,ON,ON098012,Mulmer,Simcoe,ON,SAME_AS,1.0,1.0,1.0,88.33
ON005001,Matilda,Dundas,ON,ON068001,"Iroquois, Village",Dundas,ON,CONTAINS,0.0094,0.0094,1.0,47.5
ON005001,Matilda,Dundas,ON,ON068002,Matilda,Dundas,ON,SAME_AS,0.9906,0.9906,1.0,100.0
ON005002,Mountain,Dundas,ON,ON068004,Mountain,Dundas,ON,SAME_AS,1.0,1.0,1.0,100.0
ON005003,Williamsburg,Dundas,ON,ON068003,"Morrisburgh, Village",Dundas,ON,CONTAINS,0.0099,0.0099,1.0,56.25
ON005003,Williamsburg,Dundas,ON,ON068005,Williamsburgh,Dundas,ON,SAME_AS,0.9901,0.9901,1.0,97.2
ON005004,Winchester,Dundas,ON,ON068006,Winchester,Dundas,ON,SAME_AS,1.0,1.0,1.0,100.0
ON006001,Cartwright,Durham,ON,ON069003,Cartwright,Durham ,ON,SAME_AS,1.0,1.0,1.0,100.0
ON006002,Cavan,Durham,ON,ON069002,Cavan,Durham ,ON,SAME_AS,1.0,1.0,1.0,100.0
ON006003,Clarke,Durham,ON,ON069008,Newcastle,Durham ,ON,CONTAINS,0.0258,0.0258,1.0,58.0
ON006004,Darlington,Durham,ON,ON069001,Bowmanville,Durham ,ON,CONTAINS,0.0525,0.0525,1.0,43.33
ON006004,Darlington,Durham,ON,ON069005,Darlington,Durham ,ON,CONTAINS,0.9475,0.9475,1.0,100.0
ON006005,Hope,Durham,ON,ON069006,Hope,Durham ,ON,SAME_AS,1.0,1.0,1.0,100.0
ON006006,Manvers,Durham,ON,ON069007,Manvers,Durham ,ON,SAME_AS,1.0,1.0,1.0,100.0
ON007002,Bayham,Elgin,ON,ON070008,"Vienna, Village",Elgin,ON,CONTAINS,0.01,0.01,1.0,43.33
ON007002,Bayham,Elgin,ON,ON070002,Bayham,Elgin,ON,SAME_AS,0.99,0.99,1.0,100.0
ON007005,Malahide,Elgin,ON,ON070005,Malahide,Elgin,ON,SAME_AS,1.0,1.0,1.0,100.0
ON007007,Yarmouth,Elgin,ON,ON070009,Yarmouth,Elgin,ON,SAME_AS,1.0,1.0,1.0,100.0
ON007001,Aldborough,Elgin,ON,ON070001,Aldborough,Elgin,ON,SAME_AS,1.0,1.0,1.0,100.0
