tcpuid_1901,csd_name_1901,cd_name_1901,pr_1901,tcpuid_1911,csd_name_1911,cd_name_1911,pr_1911,relationship,iou,frac_from,frac_to,name_similarity
MB008010,Ochre River (part),Macdonald,MB,MB016001,282 townships,Dauphin,MB,WITHIN,0.0613,1.0,0.0613,25.56
MB006011,Oakland,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0773,0.9955,0.0774,44.74
MB006011,Oakland,Brandon,MB,MB015011,Wawanesa vl (T7 R17 MW1),Brandon,MB,CONTAINS,0.0045,0.0045,1.0,43.55
MB006005,Cornwallis,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0646,1.0,0.0646,55.45
MB006007,Elton,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0776,1.0,0.0776,54.71
MB006008,Glenwood,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0773,0.9955,0.0774,37.0
MB006008,Glenwood,Brandon,MB,MB015007,Souris t-v,Brandon,MB,CONTAINS,0.0045,0.0045,1.0,37.78
MB006016,Whitehead,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0774,1.0,0.0774,50.0
MB006006,Daly,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0771,0.9955,0.0771,30.0
MB006006,Daly,Brandon,MB,MB015006,Rivers t-v,Brandon,MB,CONTAINS,0.0045,0.0045,1.0,30.0
MB006013,Sifton,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.1164,0.9969,0.1164,53.33
MB006013,Sifton,Brandon,MB,MB015005,Oak Lake t-v,Brandon,MB,CONTAINS,0.0031,0.0031,1.0,37.78
MB006019,Woodworth,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.1109,0.9559,0.1114,50.0
MB006019,Woodworth,Brandon,MB,MB015003,Oak River I R,Brandon,MB,CONTAINS,0.0441,0.0441,1.0,42.73
MB006012,Pipestone,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.1533,0.9887,0.1536,50.0
MB006012,Pipestone,Brandon,MB,MB015010,Reston vl (T7 R27 MW1),Brandon,MB,CONTAINS,0.0022,0.0022,1.0,52.58
MB006012,Pipestone,Brandon,MB,MB015002,Oak Lake I R,Brandon,MB,CONTAINS,0.009,0.009,1.0,43.33
MB006014,Wallace,Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.1544,0.9977,0.1544,37.37
MB006014,Wallace,Brandon,MB,MB015009,Elkhorn vl (T12 R28 MW1),Brandon,MB,CONTAINS,0.0023,0.0023,1.0,39.03
MB006002,"Brandon, City—Cité",Brandon,MB,MB015001,78 townships,Brandon,MB,WITHIN,0.0126,0.9731,0.0126,44.0
MB006002,"Brandon, City—Cité",Brandon,MB,MB015004,Brandon c,Brandon,MB,CONTAINS,0.0269,0.0269,1.0,76.67
MB011016,St. Laurent,Selkirk,MB,MB018999,NO DATA,Macdonald,MB,CONTAINS,0.1657,0.1657,1.0,27.08
MB011016,St. Laurent,Selkirk,MB,MB018016,St. Laurent vl (T17 R4 MW1),Macdonald,MB,CONTAINS,0.0045,0.0045,1.0,44.28
MB009018,Ochre River (part),Marquette,MB,MB016001,282 townships,Dauphin,MB,WITHIN,0.011,1.0,0.011,25.56
MB009028,Unorganized Territory—Territoire non-organisé,Marquette,MB,MB016007,Winnipegosis vl (T31 R18 MW1),Dauphin,MB,CONTAINS,0.0001,0.0001,1.0,24.53
MB009010,Dauphin,Marquette,MB,MB016001,282 townships,Dauphin,MB,WITHIN,0.0567,1.0,0.0567,21.5
MB009012,Gilbert Plains,Marquette,MB,MB016001,282 townships,Dauphin,MB,WITHIN,0.0386,0.9974,0.0386,23.06
MB009012,Gilbert Plains,Marquette,MB,MB016006,Gilbert Plains vl (T25 R22 MW1),Dauphin,MB,CONTAINS,0.0026,0.0026,1.0,51.06
MB007008,Rhineland,Lisgar,MB,MB017007,Winkler vl (T2 R4 MW1),Lisgar,MB,CONTAINS,0.0022,0.0022,1.0,48.06
MB007008,Rhineland,Lisgar,MB,MB017001,47 townships,Lisgar,MB,WITHIN,0.2605,0.9978,0.2606,43.33
MB007012,Stanley,Lisgar,MB,MB017001,47 townships,Lisgar,MB,WITHIN,0.2405,1.0,0.2405,44.74
MB007006,Pembina,Lisgar,MB,MB017001,47 townships,Lisgar,MB,WITHIN,0.2629,1.0,0.2629,37.37
MB007005,Louise,Lisgar,MB,MB017005,Pilot Mound vl (T3 R11 MW1),Lisgar,MB,CONTAINS,0.0018,0.0018,1.0,42.73
MB011007,Macdonald,Selkirk,MB,MB018001,104 townships,Macdonald,MB,WITHIN,0.1166,0.974,0.1169,16.48
MB011001,Assiniboia,Selkirk,MB,MB018006,St. Boniface pr,Macdonald,MB,CONTAINS,0.0232,0.0232,1.0,31.75
MB011001,Assiniboia,Selkirk,MB,MB018004,Headingly pr,Macdonald,MB,CONTAINS,0.3598,0.3602,0.997,22.84
MB011001,Assiniboia,Selkirk,MB,MB018009,St. James pr,Macdonald,MB,CONTAINS,0.167,0.1682,0.9575,16.48
MB011017,Woodlands,Selkirk,MB,MB018001,104 townships,Macdonald,MB,WITHIN,0.1423,1.0,0.1423,22.84
MB007002,Dufferin,Lisgar,MB,MB018015,Roland vl (T4 R4 MW1),Macdonald,MB,CONTAINS,0.0011,0.0011,1.0,13.66
MB007002,Dufferin,Lisgar,MB,MB018001,104 townships,Macdonald,MB,WITHIN,0.2533,0.9989,0.2534,10.67
MB008011,Portage la Prairie,Macdonald,MB,MB020002,High Bluff pr pt,Portage La Prairie,MB,CONTAINS,0.0129,0.0129,1.0,31.37
MB008011,Portage la Prairie,Macdonald,MB,MB018005,High Bluff pr pt,Macdonald,MB,CONTAINS,0.0129,0.0129,1.0,54.71
MB008011,Portage la Prairie,Macdonald,MB,MB018003,Poplar Point pr,Macdonald,MB,CONTAINS,0.0265,0.0265,1.0,63.94
MB007004,Lorne,Lisgar,MB,MB018011,Swan Lake I R,Macdonald,MB,CONTAINS,0.0556,0.0556,1.0,19.56
MB008009,"Norfolk, South—Sud",Macdonald,MB,MB018013,Cypress River vl (T7 R12 MW3),Macdonald,MB,CONTAINS,0.0018,0.0018,1.0,41.91
MB008009,"Norfolk, South—Sud",Macdonald,MB,MB018001,104 townships,Macdonald,MB,WITHIN,0.1508,0.9915,0.151,48.06
MB008009,"Norfolk, South—Sud",Macdonald,MB,MB018014,Holland vl (T7 R11 MW1),Macdonald,MB,CONTAINS,0.0018,0.0018,1.0,43.66
MB009019,Odanah,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0468,1.0,0.0468,52.11
MB009009,Clan William,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0479,1.0,0.0479,46.8
MB009006,Saskatchewan,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0478,1.0,0.0478,46.8
MB009005,Blanchard,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0481,1.0,0.0481,42.73
MB009025,Strathclair,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.046,0.9616,0.0461,47.5
MB009024,Shoal Lake,Marquette,MB,MB019008,Shoal Lake vl (T17 R23 MW1),Marquette,MB,CONTAINS,0.0046,0.0046,1.0,67.84
MB009024,Shoal Lake,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0481,0.9954,0.0481,42.17
MB009016,Miniota,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0692,0.9666,0.0694,44.0
MB009003,Birtle,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0716,1.0,0.0716,37.37
MB009001,Archie,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.0478,1.0,0.0478,44.74
MB009002,Ellice,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.048,1.0,0.048,37.37
MB009008,Shell River,Marquette,MB,MB019001,128 townships,Marquette,MB,WITHIN,0.1114,1.0,0.1114,47.5
MB009017,"Minnedosa, Town—Ville",Marquette,MB,MB019004,Minnedosa t-v,Marquette,MB,CONTAINS,0.1681,0.1681,1.0,79.41
MB009020,"Rapid City, Town—Ville",Marquette,MB,MB019005,Rapid City vl,Marquette,MB,SAME_AS,1.0,1.0,1.0,82.0
MB009014,Hamiota,Marquette,MB,MB019006,Hamiota vl (T14 R23 MW1),Marquette,MB,CONTAINS,0.0045,0.0045,1.0,61.61
