tcpuid_1861,csd_name_1861,cd_name_1861,pr_1861,tcpuid_1871,csd_name_1871,cd_name_1871,pr_1871,relationship,iou,frac_from,frac_to,name_similarity
ON065003,Burford,Brant ,ON,ON015001,Burford,"Brant, South or West—Sud ou Ouest",ON,SAME_AS,1.0,1.0,1.0,77.89
ON065004,"Dumfries, South",Brant ,ON,ON016003,"Paris, Town—Ville","Brant, North or East—Nord ou Est",ON,OVERLAPS,0.0085,0.0085,0.6293,34.36
ON065004,"Dumfries, South",Brant ,ON,ON016001,"Dumfries, S","Brant, North or East—Nord ou Est",ON,SAME_AS,0.9862,0.9915,0.9947,67.34
ON065008,Tuscarora,Brant ,ON,ON015005,Tuscarora,"Brant, North or East—Nord ou Est",ON,SAME_AS,1.0,1.0,1.0,78.11
ON065005,Oakland,Brant ,ON,ON015002,Oakland,"Brant, South or West—Sud ou Ouest",ON,SAME_AS,1.0,1.0,1.0,77.89
ON065001,"Brantford, Town of",Brant,ON,ON015004,"Brantford, Town—Ville","Brant, South or West—Sud ou Ouest",ON,SAME_AS,1.0,1.0,1.0,61.74
ON083007,Elizabethtown,Leeds,ON,ON068004,Elizabethtown,Brockville,ON,SAME_AS,0.997,0.997,1.0,78.0
ON066011,Kincaraio,Bruce,ON,ON027005,Kincardine,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,65.86
ON066009,Grenock,Bruce,ON,ON027007,Greenock,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,79.62
ON066013,Kinlas,Bruce,ON,ON027002,Kinloss,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,68.13
ON103007,Garafraxa,Wellington,ON,ON034009,"Orangeville, Village","Wellington, Centre",ON,OVERLAPS,0.0099,0.01,0.5727,35.91
ON075010,Melancthon,Grey,ON,ON036004,Melancthon,"Grey, South—Sud",ON,OVERLAPS,0.9543,0.9543,1.0,82.63
ON098010,Mono,Simcoe,ON,ON040003,Mono,Cardwell,ON,SAME_AS,0.9903,0.9903,1.0,78.57
