tcpuid_1861,csd_name_1861,cd_name_1861,pr_1861,tcpuid_1871,csd_name_1871,cd_name_1871,pr_1871,relationship,iou,frac_from,frac_to,name_similarity
ON065002,Brantford,Brant,ON,ON015003,"Brantford, W-O","Brant, South or West—Sud ou Ouest",ON,CONTAINS,0.5714,0.5714,1.0,62.68
ON065002,Brantford,Brant,ON,ON016002,"Brantford, E","Brant, North or East—Nord ou Est",ON,CONTAINS,0.4286,0.4286,1.0,68.11
ON083007,Elizabethtown,Leeds,ON,ON068003,"Brockville, East Ward—Quartier",Brockville,ON,CONTAINS,0.003,0.003,1.0,21.02
ON066001,Albermarle,Bruce,ON,ON028007,Albemarle and Eastnor,"Bruce, North—Nord",ON,CONTAINS,0.8803,0.8803,1.0,54.28
ON066001,Albermarle,Bruce,ON,ON028999,NO DATA,"Bruce, North—Nord",ON,CONTAINS,0.1197,0.1197,1.0,30.11
ON066002,Amabel,Bruce,ON,ON028006,Amabel,"Bruce, North—Nord",ON,SAME_AS,1.0,1.0,1.0,83.64
ON066003,Arran,Bruce,ON,ON028005,Arran,"Bruce, North—Nord",ON,SAME_AS,1.0,1.0,1.0,83.64
ON066014,Saugeen,Bruce,ON,ON028002,Saugeen,"Bruce, North—Nord",ON,SAME_AS,1.0,1.0,1.0,83.64
ON066012,"Kincardine, Village",Bruce,ON,ON027006,"Kincardine, Village","Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,84.29
ON066015,"Southampton, Village",Bruce,ON,ON028003,"Southampton, Village","Bruce, North—Nord",ON,SAME_AS,1.0,1.0,1.0,83.64
ON066004,Brant,Bruce,ON,ON027008,Brant,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,84.29
ON066006,Carrick,Bruce,ON,ON027004,Carrick,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,84.29
ON066007,Culross,Bruce,ON,ON027003,Culross,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,84.29
ON066008,Elderslie,Bruce,ON,ON028004,Elderslie,"Bruce, North—Nord",ON,SAME_AS,1.0,1.0,1.0,83.64
ON066010,Huron,Bruce,ON,ON027001,Huron,"Bruce, South—Sud",ON,SAME_AS,1.0,1.0,1.0,84.29
ON067001,Fitzroy,Carleton,ON,ON078009,Fitzroy,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON067003,Goulbourne,Carleton,ON,ON078004,Goulburn,Carleton,ON,SAME_AS,1.0,1.0,1.0,92.22
ON067004,"Gower, North",Carleton,ON,ON078002,"Gower, N",Carleton,ON,SAME_AS,1.0,1.0,1.0,86.0
ON067005,Huntley,Carleton,ON,ON078007,Huntley,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON067007,March,Carleton,ON,ON078006,March,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON067006,Marlhorough,Carleton,ON,ON078003,Marlborough,Carleton,ON,SAME_AS,1.0,1.0,1.0,93.64
ON067008,Nepean,Carleton,ON,ON078001,Nepean,Carleton,ON,SAME_AS,0.9908,1.0,0.9908,100.0
ON067011,Torbolton,Carleton,ON,ON078008,Torbolton,Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON067010,"Richmond, Village",Carleton,ON,ON078005,"Richmond, Village",Carleton,ON,SAME_AS,1.0,1.0,1.0,100.0
ON103001,Amaranth,Wellington,ON,ON035007,Amaranth,"Wellington, North—Nord",ON,SAME_AS,1.0,1.0,1.0,88.75
ON103007,Garafraxa,Wellington,ON,ON034007,"Garafraxa, W-O","Wellington, Centre",ON,CONTAINS,0.5323,0.5323,1.0,76.21
ON103007,Garafraxa,Wellington,ON,ON034008,"Garafraxa, E","Wellington, Centre",ON,CONTAINS,0.4578,0.4578,1.0,81.43
ON103010,Luther,Wellington,ON,ON035006,Luther,"Wellington, North—Nord",ON,SAME_AS,1.0,1.0,1.0,88.75
ON068002,Matilda,Dundas,ON,ON071001,Matilda,Dundas,ON,SAME_AS,1.0,1.0,1.0,100.0
ON068004,Mountain,Dundas,ON,ON071005,Mountain,Dundas,ON,SAME_AS,1.0,1.0,1.0,100.0
ON068005,Williamsburgh,Dundas,ON,ON071003,Williamsburg,Dundas,ON,SAME_AS,1.0,1.0,1.0,97.2
ON068006,Winchester,Dundas,ON,ON071006,Winchester,Dundas,ON,SAME_AS,1.0,1.0,1.0,100.0
ON068001,"Iroquois, Village",Dundas,ON,ON071002,"Iroquois, Village",Dundas,ON,SAME_AS,1.0,1.0,1.0,100.0
ON068003,"Morrisburgh, Village",Dundas,ON,ON071004,"Morrisburg, Village",Dundas,ON,SAME_AS,1.0,1.0,1.0,98.21
ON069003,Cartwright,Durham ,ON,ON050003,Cartwright,"Durham, West—Ouest",ON,CONTAINS,0.6194,0.6194,1.0,85.0
ON069002,Cavan,Durham ,ON,ON051003,Cavan,"Durham, East—Est",ON,SAME_AS,1.0,1.0,1.0,86.36
ON069004,Clarke,Durham ,ON,ON050004,Clarke,"Durham, West—Ouest",ON,SAME_AS,1.0,1.0,1.0,85.0
ON069005,Darlington,Durham ,ON,ON050001,Darlington,"Durham, West—Ouest",ON,SAME_AS,1.0,1.0,1.0,85.0
ON069006,Hope,Durham ,ON,ON051001,Hope,"Durham, East—Est",ON,SAME_AS,1.0,1.0,1.0,86.36
ON069007,Manvers,Durham ,ON,ON051004,Manvers,"Durham, East—Est",ON,SAME_AS,1.0,1.0,1.0,86.36
ON070002,Bayham,Elgin,ON,ON006005,Bayham,"Elgin, East—Est",ON,SAME_AS,1.0,1.0,1.0,85.0
ON070005,Malahide,Elgin,ON,ON006003,Malahide,"Elgin, East—Est",ON,SAME_AS,1.0,1.0,1.0,85.0
ON070009,Yarmouth,Elgin,ON,ON006001,Yarmouth,"Elgin, East—Est",ON,SAME_AS,1.0,1.0,1.0,85.0
ON070008,"Vienna, Village",Elgin,ON,ON006006,"Vienna, Village","Elgin, East—Est",ON,SAME_AS,1.0,1.0,1.0,85.0
