tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,relationship,iou,frac_from,frac_to,name_similarity
NS020001,Mount Thorn,Pictou,NS,NS039019,Mount Thom,Pictou,NS,CONTAINS,0.7103,0.7103,1.0,90.0
NS020001,Mount Thorn,Pictou,NS,NS039006,Dalhousie,Pictou,NS,CONTAINS,0.2897,0.2897,1.0,44.0
NS020012,New Lairg,Pictou,NS,NS039021,New Larig,Pictou,NS,SAME_AS,1.0,1.0,1.0,92.22
NS020003,River John,Pictou,NS,NS039024,River John,Pictou,NS,SAME_AS,1.0,1.0,1.0,100.0
NS020026,French River,Pictou,NS,NS039009,French River,Pictou,NS,SAME_AS,1.0,1.0,1.0,100.0
NS020016,"New Glasgow, Town—Ville",Pictou,NS,NS039020,"New Glasgow, Town—Ville",Pictou,NS,SAME_AS,1.0,1.0,1.0,100.0
NS020006,"Pictou, Town—Ville",Pictou,NS,NS039023,"Pictou, Town—Ville",Pictou,NS,SAME_AS,1.0,1.0,1.0,100.0
NS007001,Arichat,Richmond,NS,NS041001,Arichat,Richmond,NS,SAME_AS,1.0,1.0,1.0,100.0
NS007005,Black River,Richmond,NS,NS041003,Black River,Richmond,NS,SAME_AS,1.0,1.0,1.0,100.0
NS007003,D'Escousse,Richmond,NS,NS041004,Descousse,Richmond,NS,SAME_AS,1.0,1.0,1.0,96.32
NS007009,Grand River,Richmond,NS,NS041006,Grand River,Richmond,NS,SAME_AS,1.0,1.0,1.0,100.0
NS007004,River lnhabitants,Richmond,NS,NS041012,River Inhabitants,Richmond,NS,SAME_AS,1.0,1.0,1.0,95.88
NS007012,Lochlomond,Richmond,NS,NS041007,Loch Lomond,Richmond,NS,SAME_AS,1.0,1.0,1.0,96.67
NS007008,Red Island,Richmond,NS,NS041010,Red lslands,Richmond,NS,SAME_AS,1.0,1.0,1.0,90.0
NS007006,River Bourgeois,Richmond,NS,NS041011,River Bourgeois,Richmond,NS,SAME_AS,1.0,1.0,1.0,100.0
NS007010,L'Ardoise,Richmond,NS,NS041014,Upper l’Ardoise,Richmond,NS,CONTAINS,0.4792,0.4792,1.0,76.67
NS007010,L'Ardoise,Richmond,NS,NS041008,Lower l’Ardoise,Richmond,NS,CONTAINS,0.5208,0.5208,1.0,76.67
NS007007,St. Peters,Richmond,NS,NS041013,St. Peter’s,Richmond,NS,SAME_AS,1.0,1.0,1.0,96.67
NS013010,Barrington,Shelburne,NS,NS042002,Barrington Passage,Shelburne,NS,CONTAINS,0.1388,0.1388,1.0,80.0
NS013010,Barrington,Shelburne,NS,NS042001,Barrington,Shelburne,NS,CONTAINS,0.8612,0.8612,1.0,100.0
NS013009,Cape Sable Island,Shelburne,NS,NS042003,Cape Sable Island,Shelburne,NS,CONTAINS,0.5476,0.5476,1.0,100.0
NS013009,Cape Sable Island,Shelburne,NS,NS042004,Cape Sable Island Centre,Shelburne,NS,CONTAINS,0.4524,0.4524,1.0,88.05
NS013005,Jordan River,Shelburne,NS,NS042006,Green Harbour,Shelburne,NS,CONTAINS,0.8582,0.8582,1.0,58.0
NS013005,Jordan River,Shelburne,NS,NS042008,Jordan Falls,Shelburne,NS,CONTAINS,0.1418,0.1418,1.0,70.83
NS013004,Ohio,Shelburne,NS,NS042012,Ohio,Shelburne,NS,SAME_AS,1.0,1.0,1.0,100.0
NS013011,Port La Tour,Shelburne,NS,NS042014,Port la Tour,Shelburne,NS,CONTAINS,0.2387,0.2387,1.0,100.0
NS013011,Port La Tour,Shelburne,NS,NS042013,Port Clyde,Shelburne,NS,CONTAINS,0.7613,0.7613,1.0,68.18
NS013008,Shag & Wood's Harbour,Shelburne,NS,NS042016,Shag Harbour,Shelburne,NS,CONTAINS,0.3204,0.3204,1.0,80.91
NS013008,Shag & Wood's Harbour,Shelburne,NS,NS042018,Wood’s Harbour,Shelburne,NS,CONTAINS,0.6796,0.6796,1.0,82.0
NS012002,Local District No. 2,Queens,NS,NS040008,Liverpool,Queen's,NS,WITHIN,0.6301,1.0,0.6301,47.0
NS013006,Lockport,Shelburne,NS,NS042010,Lockeport,Shelburne,NS,SAME_AS,1.0,1.0,1.0,95.88
NS013003,"Shelburn, Town—Ville",Shelburne,NS,NS042015,Sandy Point,Shelburne,NS,CONTAINS,0.2985,0.2985,1.0,52.58
NS013003,"Shelburn, Town—Ville",Shelburne,NS,NS042007,Jordan Bay W-O,Shelburne,NS,CONTAINS,0.628,0.628,1.0,46.47
NS013003,"Shelburn, Town—Ville",Shelburne,NS,NS042017,Shelburne,Shelburne,NS,CONTAINS,0.0735,0.0735,1.0,73.45
NS014009,Argyle,Yarmouth,NS,NS044002,Argyle,Yarmouth,NS,CONTAINS,0.543,0.543,1.0,100.0
NS014009,Argyle,Yarmouth,NS,NS044008,Eel Brook,Yarmouth,NS,CONTAINS,0.457,0.457,1.0,39.33
NS014005,Carleton,Yarmouth,NS,NS044004,Carleton,Yarmouth,NS,SAME_AS,1.0,1.0,1.0,100.0
