person_id,dcb_url,dcb_url_en,dcb_url_fr,dcb_label_en,dcb_label_fr,in_cohort
lincs:00E0FyVJweG,http://www.biographi.ca/en/bio/wilmot_peter_16E.html,http://www.biographi.ca/en/bio/wilmot_peter_16E.html,http://www.biographi.ca/fr/bio/wilmot_peter_16F.html,English DCB biography of Peter Wilmot,Biographie en anglais du DBC de Peter Wilmot,1
lincs:02wHACLpsKA,http://www.biographi.ca/en/bio/pritchard_azariah_6E.html,http://www.biographi.ca/en/bio/pritchard_azariah_6E.html,http://www.biographi.ca/fr/bio/pritchard_azariah_6F.html,English DCB biography of Azariah Pritchard,Biographie en anglais du DBC de Azariah Pritchard,0
lincs:037X3o77Rvm,http://www.biographi.ca/en/bio/elliot_william_12E.html,http://www.biographi.ca/en/bio/elliot_william_12E.html,http://www.biographi.ca/fr/bio/elliot_william_12F.html,French DCB biography of William Elliot,Biographie française du DBC de William Elliot,1
lincs:03Lrh2ObhFO,http://www.biographi.ca/en/bio/druillon_de_mace_pierre_jacques_4E.html,http://www.biographi.ca/en/bio/druillon_de_mace_pierre_jacques_4E.html,http://www.biographi.ca/fr/bio/druillon_de_mace_pierre_jacques_4F.html,English DCB biography of Pierre-Jacques Druillon de Macé,Biographie en anglais du DBC de Pierre-Jacques Druillon de Macé,0
lincs:046ITb7m1Yb,http://www.biographi.ca/en/bio/antrobus_john_5E.html,http://www.biographi.ca/en/bio/antrobus_john_5E.html,http://www.biographi.ca/fr/bio/antrobus_john_5F.html,English DCB biography of John Antrobus,Biographie en anglais du DBC de John Antrobus,0
lincs:04FnVATMWGy,http://www.biographi.ca/en/bio/durand_justinien_3E.html,http://www.biographi.ca/en/bio/durand_justinien_3E.html,http://www.biographi.ca/fr/bio/durand_justinien_3F.html,French DCB biography of Justinien Durand,Biographie française du DBC de Justinien Durand,0
lincs:06gtleur0gG,http://www.biographi.ca/en/bio/burpe_david_7E.html,http://www.biographi.ca/en/bio/burpe_david_7E.html,http://www.biographi.ca/fr/bio/burpe_david_7F.html,French DCB biography of David Burpe,Biographie française du DBC de David Burpe,0
lincs:06iOWVxM3Ng,http://www.biographi.ca/en/bio/waterous_charles_horatio_12E.html,http://www.biographi.ca/en/bio/waterous_charles_horatio_12E.html,http://www.biographi.ca/fr/bio/waterous_charles_horatio_12F.html,English DCB biography of Charles Horatio Waterous,Biographie en anglais du DBC de Charles Horatio Waterous,1
lincs:07nY84AM7FD,http://www.biographi.ca/en/bio/huet_de_la_valiniere_pierre_5E.html,http://www.biographi.ca/en/bio/huet_de_la_valiniere_pierre_5E.html,http://www.biographi.ca/fr/bio/huet_de_la_valiniere_pierre_5F.html,French DCB biography of Pierre Huet de la Valinère,Biographie française du DBC de Pierre Huet de la Valinère,0
lincs:08yMGv37wFr,http://www.biographi.ca/en/bio/o_brien_lucius_james_9E.html,http://www.biographi.ca/en/bio/o_brien_lucius_james_9E.html,http://www.biographi.ca/fr/bio/o_brien_lucius_james_9F.html,English DCB biography of Lucius James O’Brien,Biographie en anglais du DBC de Lucius James O’Brien,1
lincs:09Ex10aA7Hu,http://www.biographi.ca/en/bio/leahey_richard_henry_11E.html,http://www.biographi.ca/en/bio/leahey_richard_henry_11E.html,http://www.biographi.ca/fr/bio/leahey_richard_henry_11F.html,English DCB biography of Richard Henry Leahey,Biographie en anglais du DBC de Richard Henry Leahey,1
lincs:09zRMyFNOll,http://www.biographi.ca/en/bio/somerville_james_1852_8E.html,http://www.biographi.ca/en/bio/somerville_james_1852_8E.html,http://www.biographi.ca/fr/bio/somerville_james_1852_8F.html,English DCB biography of James Somerville,Biographie en anglais du DBC de James Somerville,1
