confidence,dcb_birthYear,dcb_birthplace_buckets,dcb_deathYear,dcb_name,dcb_personId,dcb_url_en,locality_conflict,match_status,matched_age,matched_chain,matched_name,matched_uid,n_candidates
,1847,ontario,1929,Cyrus Albert Birge,lincs:8yZPCu7Xlfs,http://www.biographi.ca/en/bio/birge_cyrus_albert_15E.html,,no_match,,,,,0
,1862,ireland,1930,Lancelot Peter Minehan,lincs:918CLtP97Co,http://www.biographi.ca/en/bio/minehan_lancelot_peter_15E.html,,no_match,,,,,0
medium_no_birthplace,1863,,1899,Theresa Mary Johnson,lincs:92KuHxZf5Db,http://www.biographi.ca/en/bio/johnson_theresa_mary_12E.html,,matched,18,PLACE_ON126002,theresa johnson,940203314,1
medium_no_birthplace,1815,,1895,Alexander Lawson,lincs:92Mr5FkdJOm,http://www.biographi.ca/en/bio/lawson_alexander_12E.html,,ambiguous,,,,,2
medium_no_birthplace,1813,,1891,Patrick Dowd,lincs:95Gdrj2YPmq,http://www.biographi.ca/en/bio/dowd_patrick_12E.html,,matched,68,PLACE_QC180001,patrick dowd,581308001,1
,1807,ireland,,Charles French,lincs:9Cd6PQzK1tR,http://www.biographi.ca/en/bio/french_charles_6E.html,,no_match,,,,,0
high,1853,ontario,1924,Ann Jane Powell,lincs:9Dl3m4suzST,http://www.biographi.ca/en/bio/powell_ann_jane_15E.html,,matched,27,PLACE_ON121012,annie powell,1190605808,1
high,1859,nova scotia;scotland,1937,Elizabeth Maud Bates,lincs:9FWXshdXHxx,http://www.biographi.ca/en/bio/bates_elizabeth_maud_16E.html,,no_match,,,,,0
high,1846,newfoundland,1918,John J. Sullivan,lincs:9GmP5rk38AV,http://www.biographi.ca/en/bio/sullivan_john_j_14E.html,,no_match,,,,,0
medium_no_birthplace,1841,,1892,Alexander McIntyre,lincs:9SCcKN5jTMd,http://www.biographi.ca/en/bio/mcintyre_alexander_12E.html,,ambiguous,,,,,4
medium_no_birthplace,1849,,1924,François-Xavier Drolet,lincs:9SlSQSsqzkA,http://www.biographi.ca/en/bio/drolet_francois_xavier_15E.html,,matched,33,PLACE_QC188001,francois drolet,490700910,1
medium_no_birthplace,1856,,1913,Flavien Granger,lincs:9T77mdiUPRC,http://www.biographi.ca/en/bio/granger_flavien_14E.html,,matched,24,PLACE_QC176002,flavien granger,570802016,1
