person_id,person_name,person_qid,dcb_url,event_type,event_year,census_year,place_id,place_label,geonames_id,geonames_name,match_strategy,confidence
lincs:0QA1k6z4VIU,Abram Nelles,,http://www.biographi.ca/en/bio/nelles_abram_11E.html,birth,1805,1851,PLACE_ON021006,Grimsby,5956030,Forty Mile Creek,pip,high
lincs:0QA1k6z4VIU,Abram Nelles,,http://www.biographi.ca/en/bio/nelles_abram_11E.html,death,1884,1881,PLACE_ON159001,"Brantford, Town—Ville",5907990,Brantford,pip,high
lincs:0Qjb0lmWNrn,Régis Bruyère,,http://www.biographi.ca/en/bio/bruyere_regis_16E.html,death,1933,1921,PLACE_QC059008_1911,"Iberville, T-V",5979157,Iberville,pip,high
lincs:0Qnd12ZDgHJ,John William McRae,,http://www.biographi.ca/en/bio/mcrae_john_william_13E.html,birth,1848,1851,PLACE_ON145003,Osnabruck,,Eastern Ontario,pip,high
lincs:0Qnd12ZDgHJ,John William McRae,,http://www.biographi.ca/en/bio/mcrae_john_william_13E.html,death,1901,1901,PLACE_ON105007_1901,"Ottawa, Victoria, Ward—Quartier",,"Ottawa, Ontario",pip,high
lincs:0TAdNe63Du9,Henry Newsham Peers,,http://www.biographi.ca/en/bio/peers_henry_newsham_9E.html,death,1864,1881,PLACE_BC003012,Saanich S & N,6136944,Saanich,pip,high
lincs:0UAx1ZRc6ze,John Hegan Parks,,http://www.biographi.ca/en/bio/parks_john_hegan_13E.html,death,1903,1901,PLACE_NB021002,"St. John, Dukis, Ward—Quartier",6138517,Saint John,pip,high
lincs:0Y2NoK3XNcY,Narcisse Arcand,,http://www.biographi.ca/en/bio/arcand_narcisse_15E.html,death,1927,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:0Yg5ggOqfsl,Edward Taylor Fletcher,,http://www.biographi.ca/en/bio/fletcher_edward_taylor_12E.html,death,1897,1901,PLACE_BC002004,"New Westminster, City—Cité",,"New Westminster, B.C",pip,high
lincs:0gB5gHOYAbS,William Henry Curran,,http://www.biographi.ca/en/bio/curran_william_henry_15E.html,death,1930,1921,PLACE_BC213002,Richmond (pt),,"New Westminster, B.C",pip,high
lincs:0iuaT8m2UXS,James Gibb,,http://www.biographi.ca/en/bio/gibb_james_8E.html,death,1858,1861,PLACE_QC062003,Montcalm Ward,6325494,Québec,pip,high
lincs:0mlgkkWt7sd,Washington Frank Lynn,,http://www.biographi.ca/en/bio/lynn_washington_frank_13E.html,death,1906,1901,PLACE_MB012004,"Winnipeg, Ward—Quartier No. 4",,Winnipeg (Man.),pip,high
lincs:0yWhbvOlCqD,Albert Prévost,,http://www.biographi.ca/en/bio/prevost_albert_15E.html,death,1926,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:0zjOFoFX26H,Marie-Aveline Bengle,,http://www.biographi.ca/en/bio/bengle_marie_aveline_16E.html,death,1937,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:12I3urxASQD,George Frederick Playter,,http://www.biographi.ca/en/bio/playter_george_frederick_9E.html,death,1866,1861,PLACE_ON080007_1911,Sydney,,Frankford,pip,high
lincs:12gXAn7Hw2d,Donald Alexander Stewart,,http://www.biographi.ca/en/bio/stewart_donald_alexander_12E.html,death,1897,1901,PLACE_NS033002,"Halifax, Ward—Quartier No. 2",,"Halifax, N.S",pip,high
lincs:16gfBbV0bQG,Thomas Hurlburt,,http://www.biographi.ca/en/bio/hurlburt_thomas_10E.html,birth,1808,1851,PLACE_ON113001,Augusta,6172001,United Counties of Leeds and Grenville,pip,high
lincs:16gfBbV0bQG,Thomas Hurlburt,,http://www.biographi.ca/en/bio/hurlburt_thomas_10E.html,death,1873,1871,PLACE_ON087002,"Manitoulin, Centre",6055388,Little Current,pip,high
lincs:1EyQnSNdbx2,John Northway,,http://www.biographi.ca/en/bio/northway_john_15E.html,death,1926,1921,PLACE_ON154011,"Toronto, C",,Toronto,pip,high
lincs:1HmU2QegI66,Viljo Rosvall,,http://www.biographi.ca/en/bio/rosvall_viljo_15E.html,death,1929,1921,PLACE_ON147012,McIntyre,6166142,Thunder Bay,pip,high
lincs:1P5UHyOCKd4,Louis-Anthyme Herdt,,http://www.biographi.ca/en/bio/herdt_louis_anthyme_15E.html,birth,1872,1871,PLACE_PE136014,Township No. 36,6169470,Trout River,pip,high
lincs:1P5UHyOCKd4,Louis-Anthyme Herdt,,http://www.biographi.ca/en/bio/herdt_louis_anthyme_15E.html,death,1926,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:1QW0zXId7bG,Patrick Dollard,,http://www.biographi.ca/en/bio/dollard_patrick_9E.html,death,1868,1871,PLACE_ON077003,"Kingston, Ontario Ward—Quartier",5992500,Kingston,pip,high
lincs:1RyEZkSm2Cf,Alfred Corbett Smith,,http://www.biographi.ca/en/bio/smith_alfred_corbett_13E.html,death,1909,1911,PLACE_NB025008_1891,Saumarez,7302644,Tracadie–Sheila,pip,high
lincs:1Ug6gpnb5rw,Narcisse-Charles Fortier,,http://www.biographi.ca/en/bio/fortier_narcisse_charles_8E.html,birth,1800,1851,PLACE_QC081017,"Québec, cité",6325494,Québec,pip,high
lincs:1VYZnhefI1g,Hugh McKinnon,,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,birth,1843,1851,PLACE_ON154008,Vaughan,,Vaughan,pip,high
lincs:1VYZnhefI1g,Hugh McKinnon,,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,death,1903,1901,PLACE_NT206006,Yukon,,"Dawson City, Y.T",pip,high
lincs:1eZhFHrt4xI,Joseph Harris,,http://www.biographi.ca/en/bio/harris_joseph_12E.html,birth,1835,1851,PLACE_ON138001_1911,York,,Toronto,pip,high
lincs:1eZhFHrt4xI,Joseph Harris,,http://www.biographi.ca/en/bio/harris_joseph_12E.html,death,1899,1901,PLACE_ON129007,"Toronto, Ward—Quartier 2 (part)",,Toronto,pip,high
lincs:1emTuPeGTP7,Solomon Levinson,,http://www.biographi.ca/en/bio/levinson_solomon_16E.html,death,1931,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:1khLATM9Htz,Flora Amelia Ross,,http://www.biographi.ca/en/bio/ross_flora_amelia_12E.html,death,1897,1901,PLACE_BC002004,"New Westminster, City—Cité",,"New Westminster, B.C",pip,high
lincs:1r7XrIHiStr,John Naylor,,http://www.biographi.ca/en/bio/naylor_john_13E.html,death,1906,1901,PLACE_NS033002,"Halifax, Ward—Quartier No. 2",,"Halifax, N.S",pip,high
lincs:1sk0VhC6Ocb,George Frederick Byers,,http://www.biographi.ca/en/bio/byers_george_frederick_16E.html,birth,1872,1871,PLACE_PE136001,City of Charlottetown and Royalty,6113358,Charlottetown,pip,high
