person_id,person_name,person_qid,dcb_url,event_type,event_year,census_year,geonames_id,geonames_name,tcpuid_csd,csd_name,place_id,match_strategy,confidence
lincs:00E0FyVJweG,Peter Wilmot,,http://www.biographi.ca/en/bio/wilmot_peter_16E.html,birth,1824,1851,6091530,"Halifax, N.S",NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:00E0FyVJweG,Peter Wilmot,,http://www.biographi.ca/en/bio/wilmot_peter_16E.html,death,1932,1921,,Truro,NS007026,"Truro, T-V",PLACE_NS007026,pip,high
lincs:037X3o77Rvm,William Elliot,,http://www.biographi.ca/en/bio/elliot_william_12E.html,death,1893,1891,,Toronto,ON131003,"Toronto, St. Paul & St. Mathew’s, Ward—Quartier",PLACE_ON131003_1891,pip,high
lincs:06iOWVxM3Ng,Charles Horatio Waterous,,http://www.biographi.ca/en/bio/waterous_charles_horatio_12E.html,death,1892,1891,5907990,Brantford,ON049001,Brantford W-O,PLACE_ON057002,pip,high
lincs:08yMGv37wFr,Lucius James O’Brien,,http://www.biographi.ca/en/bio/o_brien_lucius_james_9E.html,death,1870,1871,,"Ottawa, Ontario",ON077002,"Ottawa, Victoria Ward—Quartier",PLACE_ON105007_1871,pip,high
lincs:09Ex10aA7Hu,Richard Henry Leahey,,http://www.biographi.ca/en/bio/leahey_richard_henry_11E.html,death,1889,1891,6325494,Québec,QC179005,"Québec, Montcalm Centre, Ward—Quartier",PLACE_QC187002,pip,high
lincs:0BgFKbRYjBn,Thomas Wilder Daniel,,http://www.biographi.ca/en/bio/daniel_thomas_wilder_12E.html,death,1892,1891,6138517,Saint John,NB020003,"St. John, Duke’s, Ward—Quartier",PLACE_NB032007,pip,high
lincs:0E3HVyqa24j,William Hendrie,,http://www.biographi.ca/en/bio/hendrie_william_13E.html,death,1906,1901,5969782,Hamilton,ON069001,"Hamilton, Ward—Quartier 1",PLACE_ON069001,pip,high
lincs:0Fm8cO0xQdt,Alexander McGillivray,,http://www.biographi.ca/en/bio/mcgillivray_alexander_9E.html,death,1862,1861,6104222,Pictou County,NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:0Ijej66nTM7,Ezra Carl Breithaupt,,http://www.biographi.ca/en/bio/breithaupt_ezra_carl_12E.html,birth,1866,1861,6955983,Southwestern Ontario,ON071005,Maidstone,PLACE_ON110006,pip,high
lincs:0Ijej66nTM7,Ezra Carl Breithaupt,,http://www.biographi.ca/en/bio/breithaupt_ezra_carl_12E.html,death,1897,1901,,"Berlin (Kitchener), Ont",ON121004,"Waterloo, Town—Ville",PLACE_ON150010,pip,high
lincs:0ImU99JakMX,William Rees,,http://www.biographi.ca/en/bio/rees_william_10E.html,death,1874,1871,,Toronto,ON045002,"Yorkville, Village",PLACE_ON135004,pip,high
lincs:0Kwz5b8m9eE,Alexander Parker Willis,,http://www.biographi.ca/en/bio/willis_alexander_parker_16E.html,birth,1845,1851,6074278,Millsville,NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:0Kwz5b8m9eE,Alexander Parker Willis,,http://www.biographi.ca/en/bio/willis_alexander_parker_16E.html,death,1934,1921,,Westmount,QC076016,"Westmount, C",PLACE_QC076016,pip,high
lincs:0QA1k6z4VIU,Abram Nelles,,http://www.biographi.ca/en/bio/nelles_abram_11E.html,birth,1805,1851,5956030,Forty Mile Creek,ON022005,Grimsby,PLACE_ON145005,pip,high
lincs:0QA1k6z4VIU,Abram Nelles,,http://www.biographi.ca/en/bio/nelles_abram_11E.html,death,1884,1881,5907990,Brantford,ON159001,"Brantford, Town—Ville",PLACE_ON103007,pip,high
lincs:0Qjb0lmWNrn,Régis Bruyère,,http://www.biographi.ca/en/bio/bruyere_regis_16E.html,death,1933,1921,5979157,Iberville,QC059008,"Iberville, T-V",PLACE_QC059008,pip,high
lincs:0Qnd12ZDgHJ,John William McRae,,http://www.biographi.ca/en/bio/mcrae_john_william_13E.html,birth,1848,1851,,Eastern Ontario,ON036002,Osnabruck,PLACE_ON145003,pip,high
lincs:0Qnd12ZDgHJ,John William McRae,,http://www.biographi.ca/en/bio/mcrae_john_william_13E.html,death,1901,1901,,"Ottawa, Ontario",ON100006,"Ottawa, Victoria, Ward—Quartier",PLACE_ON105007_1871,pip,high
