var_code,year,presence_count
VAR_ORIG_OTH_N,1871,51
VAR_ORIG_PE_N,1871,71
VAR_ORIG_RU_PL_N,1861,80
VAR_ORIG_RU_PR_PL_N,1851,35
VAR_ORIG_SC_N,1851,693
VAR_ORIG_SC_N,1861,871
VAR_ORIG_SC_N,1871,71
VAR_ORIG_SE_NO_N,1851,32
VAR_ORIG_SE_NO_N,1861,137
VAR_ORIG_US_N,1851,642
VAR_ORIG_US_N,1861,858
VAR_ORIG_WI_N,1851,121
VAR_ORIG_WI_N,1861,225
VAR_OTHER_SECTS,1921,2550
VAR_PAGANS,1911,87
VAR_PEA_BX_A,1881,1995
VAR_PEA_XX_A,1851,783
VAR_PEA_XX_A,1861,970
VAR_PEA_XX_B,1851,788
VAR_PEA_XX_B,1861,981
VAR_PEA_XX_B,1871,55
VAR_PEA_XX_B,1891,2214
VAR_POLISH,1911,388
VAR_POP,1911,2446
VAR_POP_AVF_PR,1891,2474
VAR_POP_BF_N,1851,226
VAR_POP_BF_N,1861,313
VAR_POP_BM_N,1851,293
VAR_POP_BM_N,1861,411
VAR_POP_BX_N,1871,34
VAR_POP_F,1911,3209
VAR_POP_F,1921,5158
VAR_POP_FDD_N,1851,305
VAR_POP_FDD_N,1861,354
VAR_POP_FD_N,1901,213
VAR_POP_FL_N,1851,423
VAR_POP_FL_N,1861,570
VAR_POP_FMAF_N,1851,715
VAR_POP_FMAM_N,1851,762
VAR_POP_FMF_N,1851,876
VAR_POP_FMF_N,1861,1049
VAR_POP_FMM_N,1851,876
VAR_POP_FMM_N,1861,1049
VAR_POP_FM_N,1851,887
VAR_POP_FM_N,1861,1047
VAR_POP_FM_N,1871,1700
VAR_POP_FM_N,1881,2135
VAR_POP_FM_N,1891,2474
VAR_POP_FM_N,1901,3180
VAR_POP_FNMF_N,1851,834
VAR_POP_FNMF_N,1861,1029
VAR_POP_FNMM_N,1851,849
VAR_POP_FNMM_N,1861,1029
VAR_POP_FS_N,1851,892
VAR_POP_FS_N,1861,1052
VAR_POP_FS_N,1901,3180
VAR_POP_FW_N,1851,835
VAR_POP_FW_N,1861,1031
VAR_POP_FW_N,1871,1670
VAR_POP_FW_N,1881,2126
VAR_POP_FW_N,1891,2457
VAR_POP_FW_N,1901,3001
VAR_POP_FX_N,1851,892
VAR_POP_FX_N,1861,1055
VAR_POP_FX_N,1871,1700
VAR_POP_FX_N,1881,2135
VAR_POP_FX_N,1891,2474
VAR_POP_FX_N,1901,3180
VAR_POP_M,1911,3231
VAR_POP_M,1921,5310
VAR_POP_MDD_N,1851,365
VAR_POP_MDD_N,1861,461
VAR_POP_MD_N,1901,224
VAR_POP_ML_N,1851,436
VAR_POP_ML_N,1861,604
VAR_POP_MM_N,1851,887
VAR_POP_MM_N,1861,1038
VAR_POP_MM_N,1871,1700
VAR_POP_MM_N,1881,2135
VAR_POP_MM_N,1891,2474
VAR_POP_MM_N,1901,3182
VAR_POP_MS_N,1851,893
VAR_POP_MS_N,1861,1041
VAR_POP_MS_N,1901,3182
VAR_POP_MW_N,1851,840
VAR_POP_MW_N,1861,1028
VAR_POP_MW_N,1871,1664
VAR_POP_MW_N,1881,2118
VAR_POP_MW_N,1891,2452
VAR_POP_MW_N,1901,3077
VAR_POP_MX_N,1851,893
VAR_POP_MX_N,1861,1056
VAR_POP_MX_N,1871,1702
VAR_POP_MX_N,1881,2135
VAR_POP_MX_N,1891,2474
VAR_POP_MX_N,1901,3182
VAR_POP_PER_SQ_MI,1911,2251
VAR_POP_RM_N,1871,67
VAR_POP_SX_N,1851,103
VAR_POP_SX_N,1861,223
VAR_POP_TOT,1911,3231
VAR_POP_TOT,1921,5312
VAR_POP_XDD_N,1871,33
VAR_POP_XF_N,1851,872
VAR_POP_XF_N,1871,1773
VAR_POP_XF_N,1881,2135
VAR_POP_XF_N,1891,2474
VAR_POP_XF_N,1901,3182
VAR_POP_XI_N,1871,51
VAR_POP_XM_N,1871,1771
VAR_POP_XM_N,1881,2135
VAR_POP_XM_N,1891,2474
VAR_POP_XS_N,1871,71
VAR_POP_XW_N,1871,1681
VAR_POP_XW_N,1881,2133
VAR_POP_XW_N,1891,2466
VAR_POP_XX_N,1851,897
VAR_POP_XX_N,1861,1162
VAR_POP_XX_N,1871,1773
VAR_POP_XX_N,1881,2135
VAR_POP_XX_N,1891,2474
VAR_POP_XX_N,1901,3182
VAR_POT_XX_A,1851,795
VAR_POT_XX_A,1861,1008
VAR_POT_XX_A,1881,2101
VAR_POT_XX_A,1891,2444
VAR_POT_XX_B,1851,801
VAR_POT_XX_B,1861,1013
VAR_POT_XX_B,1871,71
VAR_POT_XX_B,1881,2107
VAR_POT_XX_B,1891,2449
VAR_PRESBYTERIANS,1911,2198
VAR_PRESBYTERIANS,1921,3810
VAR_PROTESTANTS,1911,482
VAR_PROTESTANTS,1921,1014
VAR_REL_BC_N,1871,44
VAR_REL_BX_N,1871,62
VAR_REL_CE_N,1871,66
VAR_REL_KS_N,1871,60
VAR_REL_ME_N,1871,64
VAR_REL_OTH_N,1871,45
VAR_REL_PP_N,1871,70
VAR_REL_QU_N,1871,6
VAR_REL_RC_N,1871,71
VAR_REL_UN_N,1871,13
VAR_ROMAN_CATHOLICS,1911,2684
VAR_ROMAN_CATHOLICS,1921,4722
VAR_ROOT_CX_B,1851,531
VAR_ROOT_CX_B,1861,746
VAR_ROOT_MW_A,1861,445
VAR_ROOT_MW_B,1851,348
VAR_ROOT_MW_B,1861,588
VAR_ROOT_OTH_B,1871,48
VAR_ROOT_OTH_B,1881,2030
VAR_ROOT_TX_A,1851,646
VAR_ROOT_TX_A,1861,844
VAR_ROOT_TX_A,1891,2327
VAR_ROOT_TX_B,1851,686
VAR_ROOT_TX_B,1861,879
VAR_ROOT_TX_B,1871,68
VAR_ROOT_TX_B,1881,2032
VAR_ROOT_TX_B,1891,2386
VAR_RUSSIAN,1911,391
VAR_RYE_XX_A,1851,624
VAR_RYE_XX_A,1861,765
VAR_RYE_XX_B,1851,628
VAR_RYE_XX_B,1861,770
VAR_RYE_XX_B,1881,1375
VAR_RYE_XX_B,1891,1223
VAR_SALVATION_ARMY,1911,620
VAR_SALVATION_ARMY,1921,977
VAR_SCANDINAVIAN,1911,855
VAR_SHP_WC_LB,1891,2332
VAR_SHP_WF_LB,1891,1599
VAR_SHP_WX_LB,1851,783
VAR_SHP_WX_LB,1861,973
VAR_SHP_XS_N,1891,2266
VAR_SHP_XX_N,1851,797
VAR_SHP_XX_N,1861,1046
VAR_SHP_XX_N,1871,71
VAR_SHP_XX_N,1891,2365
VAR_SILO_XX_T,1891,373
VAR_STO_XX_V,1861,1062
VAR_SWISS,1911,464
VAR_SWN_PX_BL,1851,776
VAR_SWN_PX_BL,1861,970
VAR_SWN_XS_N,1891,2376
VAR_SWN_XX_N,1851,801
VAR_SWN_XX_N,1861,1060
VAR_SWN_XX_N,1871,71
VAR_SWN_XX_N,1891,2437
VAR_TAN_EX_N,1851,422
VAR_TAN_NR_N,1851,434
VAR_TAN_PX_LB,1871,33
VAR_TAN_PX_V,1851,417
VAR_TAN_XC_N,1851,440
VAR_TAN_XR_N,1851,462
VAR_TAN_XX_N,1851,568
VAR_TAN_XX_N,1871,28
VAR_TOB_XX_LB,1851,444
VAR_TOB_XX_LB,1871,7
VAR_UNSPECIFIED,1911,1599
VAR_UNSPECIFIED,1921,1567
VAR_VARIOUS_SECTS,1911,1287
VAR_VAX_SN_N,1871,70
VAR_WAG_CT_N,1871,71
VAR_WHT_SX_A,1861,988
VAR_WHT_SX_B,1861,989
VAR_WHT_SX_B,1881,1947
VAR_WHT_SX_B,1891,2122
VAR_WHT_WX_A,1861,574
VAR_WHT_WX_B,1861,580
VAR_WHT_WX_B,1871,24
VAR_WHT_WX_B,1881,1007
VAR_WHT_WX_B,1891,966
VAR_WHT_XX_A,1851,796
VAR_WHT_XX_A,1881,1989
VAR_WHT_XX_A,1891,2145
VAR_WHT_XX_B,1851,799
VAR_WHT_XX_B,1871,71
VAR_WOOD_EX_N,1851,715
VAR_WOOD_NR_N,1851,635
VAR_WOOD_PD_LF,1851,310
VAR_WOOD_PD_N,1851,318
VAR_WOOD_PL_LG,1851,202
VAR_WOOD_PL_N,1851,219
VAR_WOOD_PX_N,1851,512
VAR_WOOD_PX_V,1851,513
VAR_WOOD_PY_LF,1851,579
VAR_WOOD_PY_N,1851,585
VAR_WOOD_SL_N,1871,48
VAR_WOOD_SX_N,1851,541
VAR_WOOD_WX_N,1851,752
VAR_WOOD_XC_N,1851,705
VAR_WOOD_XC_V,1851,706
VAR_WOOD_XP_N,1851,422
VAR_WOOD_XX_N,1851,758
VAR_WOOD_XX_N,1871,58
VAR_WOOL_EX_N,1851,207
VAR_WOOL_NR_N,1851,106
VAR_WOOL_PC_YD,1851,198
VAR_WOOL_PX_V,1851,198
VAR_WOOL_XC_N,1851,254
VAR_WOOL_XR_N,1851,279
VAR_WOOL_XX_N,1851,293
