dcb_personId,dcb_name,dcb_birthYear,dcb_deathYear,dcb_url_en,wikidataQid,census_unique_identifier,census_namlast,census_namfrst,census_age,census_sex,census_birthplace_label,persistent_place_id,tcpuid_csd_1881,person_uri,leaf_url,match_method,confidence
lincs:3yCcC3fCnZ1,Thomas Pringle,1830,1911,http://www.biographi.ca/en/bio/pringle_thomas_14E.html,,590911317,pringle,thomas,51,Male,Quebec,PLACE_QC180001,QC090008,https://jimclifford.ca/hgiscanada/places/qc/montr-al-st-antoine-ward-quartier-qc090008-1881/residents/h/p-3/#p-590911317,/hgiscanada/places/qc/montr-al-st-antoine-ward-quartier-qc090008-1881/residents/h/p-3/,name_age_only,medium_no_birthplace
lincs:4M6dxZ8qrwX,John Muir,1799,1883,http://www.biographi.ca/en/bio/muir_john_11E.html,,1140802218,muir,john,82,Male,Scotland,PLACE_ON104004,ON176008,https://jimclifford.ca/hgiscanada/places/on/brant-on176008-1881/residents/h/m/#p-1140802218,/hgiscanada/places/on/brant-on176008-1881/residents/h/m/,name_age_only,medium_no_birthplace
lincs:4mM7ar6W1Ue,Georges-Auguste Dion,1852,1918,http://www.biographi.ca/en/bio/dion_georges_auguste_14E.html,,340304803,dion,george,27,Male,Quebec,PLACE_QC049008,QC049008,https://jimclifford.ca/hgiscanada/places/qc/st-antoine-qc049008-1881/residents/h/d/#p-340304803,/hgiscanada/places/qc/st-antoine-qc049008-1881/residents/h/d/,name_age_only,medium_no_birthplace
lincs:4nS13MmOegR,William Shives Fisher,1854,1931,http://www.biographi.ca/en/bio/fisher_william_shives_16E.html,,180111822,fisher,william,27,Male,New Brunswick,PLACE_NB032011,NB025004,https://jimclifford.ca/hgiscanada/places/nb/st-john-city-lansdowne-ward-quartier-nb025004-1881/residents/d/f/#p-180111822,/hgiscanada/places/nb/st-john-city-lansdowne-ward-quartier-nb025004-1881/residents/d/f/,name_age_birthplace_strict,high
lincs:5HCLNw9s5q6,Silas Huntington,1829,1905,http://www.biographi.ca/en/bio/huntington_silas_13E.html,,671703015,huntington,silas,52,Male,Ontario,PLACE_ON139010,ON103005,https://jimclifford.ca/hgiscanada/places/on/l-orignal-village-on103005-1881/residents/#p-671703015,/hgiscanada/places/on/l-orignal-village-on103005-1881/residents/,name_age_birthplace_strict,high
lincs:5JbIAIqGT4V,Antoine Gauvreau,1841,1911,http://www.biographi.ca/en/bio/gauvreau_antoine_14E.html,,320701725,gauvreau,antoine,39,Male,Quebec,PLACE_QC066012,QC046012,https://jimclifford.ca/hgiscanada/places/qc/st-romuald-qc046012-1881/residents/l/g/#p-320701725,/hgiscanada/places/qc/st-romuald-qc046012-1881/residents/l/g/,name_age_birthplace_strict,high
lincs:5sSWvWbMNPm,John Lathern,1831,1905,http://www.biographi.ca/en/bio/lathern_john_13E.html,,101604613,lathern,john,49,Male,England,PLACE_NS014003,NS014003,https://jimclifford.ca/hgiscanada/places/ns/yarmouth-ns014003-1881/residents/c/l/#p-101604613,/hgiscanada/places/ns/yarmouth-ns014003-1881/residents/c/l/,name_age_birthplace_strict,high
lincs:6KLYDIY9EUJ,Jacques Dufresne,1844,1896,http://www.biographi.ca/en/bio/dufresne_jacques_12E.html,,690807606,dufresne,jacques,37,Male,Quebec,PLACE_ON104002,ON105005,https://jimclifford.ca/hgiscanada/places/on/ottawa-ottawa-ward-quartier-on105005-1881/residents/e/d/#p-690807606,/hgiscanada/places/on/ottawa-ottawa-ward-quartier-on105005-1881/residents/e/d/,name_age_only,medium_no_birthplace
lincs:6jMpgFJubge,John Tod,1794,1882,http://www.biographi.ca/en/bio/tod_john_11E.html,,1241702424,tod,john,87,Male,Scotland,PLACE_BC004003_1881,BC191004,https://jimclifford.ca/hgiscanada/places/bc/victoria-bc191004-1881/residents/#p-1241702424,/hgiscanada/places/bc/victoria-bc191004-1881/residents/,name_age_birthplace_strict,high
lincs:6lVOwiIphd6,Robert Wilson Clindinning,1815,1898,http://www.biographi.ca/en/bio/clindinning_robert_wilson_12E.html,,842101820,clindinning,robt,67,Male,Ireland,PLACE_ON120002_1881,ON134002,https://jimclifford.ca/hgiscanada/places/on/toronto-st-david-s-ward-quartier-on134002-1881/residents/b/c-1/#p-842101820,/hgiscanada/places/on/toronto-st-david-s-ward-quartier-on134002-1881/residents/b/c-1/,name_age_birthplace_strict,high
lincs:6oRVJG0GSY2,Nathaniel Curry,1851,1931,http://www.biographi.ca/en/bio/curry_nathaniel_16E.html,,152303319,curry,nathaniel,29,Male,Nova Scotia,PLACE_NS030002,NS022001,https://jimclifford.ca/hgiscanada/places/ns/amherst-ns022001-1881/residents/a/c/#p-152303319,/hgiscanada/places/ns/amherst-ns022001-1881/residents/a/c/,name_age_birthplace_strict,high
