person_id,person_name,person_qid,dcb_url,event_type,event_year,place_qid,place_id,place_label,match_strategy,confidence
viaf:104265677,Sicotte,Q11762810,http://www.biographi.ca/en/bio/sicotte_louis_victor_11E.html,death,1889,Q141873,PLACE_QC091012,Saint-Hyacinthe,wd,high
viaf:104450927,Auguste-Réal Angers,Q352902,http://www.biographi.ca/en/bio/angers_auguste_real_14E.html,birth,,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104450927,Auguste-Réal Angers,Q352902,http://www.biographi.ca/en/bio/angers_auguste_real_14E.html,death,1919,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104450958,Joseph-H. (Joseph-Hyacinthe) Bellerose,Q3184311,http://www.biographi.ca/en/bio/bellerose_joseph_hyacinthe_12E.html,birth,1820,Q44012,PLACE_QC093015,Trois-Rivières,wd,high
viaf:104451263,Frederic William Cumberland,Q5499066,http://www.biographi.ca/en/bio/cumberland_frederic_william_11E.html,death,1881,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104451325,Antoine-Sébastien Falardeau,Q2853553,http://www.biographi.ca/en/bio/falardeau_antoine_sebastien_11E.html,birth,1822,Q141635,PLACE_QC080002_1911,Cap-Santé,wd,high
viaf:104451715,George Anthony Walkem,Q182697,http://www.biographi.ca/en/bio/walkem_george_anthony_13E.html,death,1908,Q2132,PLACE_BC217001,Victoria,wd,high
viaf:104452305,Charles-Eusèbe Dionne,Q673443,http://www.biographi.ca/en/bio/dionne_charles_eusebe_15E.html,death,1925,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104452346,W. F. (William Findlay) Maclean,Q8009045,http://www.biographi.ca/en/bio/maclean_william_findlay_15E.html,birth,1854,Q488909,PLACE_ON153001,Ancaster,wd,high
viaf:104452346,W. F. (William Findlay) Maclean,Q8009045,http://www.biographi.ca/en/bio/maclean_william_findlay_15E.html,death,1929,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104452351,E.-P. (Emmanuel-Persillier) Lachapelle,Q3052821,http://www.biographi.ca/en/bio/lachapelle_emmanuel_persillier_14E.html,birth,1845,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104452351,E.-P. (Emmanuel-Persillier) Lachapelle,Q3052821,http://www.biographi.ca/en/bio/lachapelle_emmanuel_persillier_14E.html,death,1918,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104452488,W.S. (William Stevens) Fielding,Q3568973,http://www.biographi.ca/en/bio/fielding_william_stevens_15E.html,death,1929,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:104452490,Christopher Finlay Fraser,Q5112320,http://www.biographi.ca/en/bio/fraser_christopher_finlay_12E.html,birth,1839,Q34047,PLACE_ON083002,Brockville,wd,high
viaf:104452490,Christopher Finlay Fraser,Q5112320,http://www.biographi.ca/en/bio/fraser_christopher_finlay_12E.html,death,1894,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104452615,Daniel James MacDonnell,Q56608634,http://www.biographi.ca/en/bio/macdonnell_daniel_james_12E.html,birth,1843,Q810807,PLACE_NB025001,Bathurst,wd,high
viaf:104452615,Daniel James MacDonnell,Q56608634,http://www.biographi.ca/en/bio/macdonnell_daniel_james_12E.html,death,1896,Q5444155,PLACE_ON152022,Fergus,wd,high
viaf:104452670,John MacDonald,Q6246198,http://www.biographi.ca/en/bio/macdonald_john_11E.html,death,1890,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104452847,Sir Charles Hibbert Tupper,Q5079028,http://www.biographi.ca/en/bio/tupper_charles_hibbert_15E.html,birth,1855,Q470594,PLACE_NS008030,Amherst,wd,high
viaf:104452847,Sir Charles Hibbert Tupper,Q5079028,http://www.biographi.ca/en/bio/tupper_charles_hibbert_15E.html,death,1927,Q24639,PLACE_BC206005,Vancouver,wd,high
viaf:104453235,Charles Laberge,Q2959541,http://www.biographi.ca/en/bio/laberge_charles_10E.html,birth,1827,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104453235,Charles Laberge,Q2959541,http://www.biographi.ca/en/bio/laberge_charles_10E.html,death,1874,Q340,PLACE_QC076013_1921,Montreal,wd,high
