id,lat,lon,name,country,feature_class,source
174982,40.250000,45.000000,Armenia,AM,A,geonames_api
255683,38.246200,21.735080,Pátrai,GR,P,geonames_api
272103,33.843889,35.907222,Zahlé,,,lincs_inline
298795,39.000000,35.000000,Türkiye,TR,A,geonames_api
350155,20.267350,38.534550,Red Sea,,H,geonames_api
390903,39.000000,22.000000,Greece,GR,A,geonames_api
498817,59.938630,30.314130,St Petersburg,RU,P,geonames_api
587116,40.500000,47.500000,Azerbaijan,AZ,A,geonames_api
597427,55.416670,24.000000,Lithuania,LT,A,geonames_api
617790,47.250000,28.583330,Moldova,MD,A,geonames_api
618569,47.000000,28.500000,Bessarabia,MD,L,geonames_api
621380,53.614000,28.702500,Staryye Lyady,BY,P,geonames_api
630336,53.000000,28.000000,Belarus,BY,A,geonames_api
630468,53.146360,29.205520,Babruysk,BY,P,geonames_api
650224,62.892380,27.677030,Kuopio,FI,P,geonames_api
660013,64.000000,26.000000,Finland,FI,A,geonames_api
687699,47.839720,35.140570,Zaporizhzhia,UA,A,geonames_api
689067,51.000000,26.000000,Volhynia,UA,L,geonames_api
690791,49.000000,32.000000,Ukraine,UA,A,geonames_api
693301,50.474520,24.280880,Sokal,UA,P,geonames_api
694422,44.555250,33.538510,Sebastopol City,UA,A,geonames_api
701822,47.095140,37.541310,Mariupol,UA,P,geonames_api
705389,48.559444,25.077500,Piadyky,,,lincs_inline
705735,48.438670,25.761110,Kitsman,UA,P,geonames_api
707099,49.023980,24.372060,Kalush,UA,P,geonames_api
712264,48.404480,24.854220,Nyzhnii Bereziv,UA,P,geonames_api
712930,44.511180,33.599420,Balaklava,UA,P,geonames_api
719819,47.000000,20.000000,Hungary,HU,A,geonames_api
756135,52.229770,21.011780,Warsaw,PL,P,geonames_api
757718,54.111750,22.930870,Suwałki,PL,P,geonames_api
798544,52.000000,20.000000,Poland,PL,A,geonames_api
938753,-27.171790,26.126990,Witpoort,ZA,P,geonames_api
953987,-29.000000,24.000000,South Africa,ZA,A,geonames_api
964420,-33.961090,25.614940,Port Elizabeth,ZA,P,geonames_api
1168579,30.000000,70.000000,Pakistan,PK,A,geonames_api
1253993,11.413400,76.695210,Ootacamund,IN,P,geonames_api
1257845,23.838770,78.738740,Saugor,IN,P,geonames_api
1263214,28.980020,77.706360,Meerut,IN,P,geonames_api
1264763,31.718680,74.633040,Lopoke,IN,P,geonames_api
1269395,19.841020,75.886360,Jālna,IN,P,geonames_api
1269750,22.000000,79.000000,India,IN,A,geonames_api
1272832,32.220060,76.320130,Dharamsala,IN,P,geonames_api
1275004,22.562630,88.363040,Kolkata,IN,P,geonames_api
1275339,19.072830,72.882610,Mumbai,IN,P,geonames_api
1277333,12.971940,77.593690,Bengaluru,IN,P,geonames_api
1279228,19.094570,74.738430,Ahilyanagar,IN,P,geonames_api
1279259,27.183330,78.016670,Agra,IN,P,geonames_api
1667982,25.171960,121.442900,Danshui,TW,P,geonames_api
1799000,22.935720,113.355240,panyu,CN,A,geonames_api
1807227,39.045150,114.747460,Huangshikou,CN,P,geonames_api
1809935,23.500000,113.250000,Guangdong,CN,A,geonames_api
1814991,35.000000,105.000000,China,CN,A,geonames_api
1850147,35.689500,139.691710,Tokyo,JP,P,geonames_api
1861060,35.685360,139.753090,Japan,JP,A,geonames_api
1862415,34.400000,132.450000,Hiroshima,JP,P,geonames_api
1880251,1.366670,103.800000,Singapore,SG,A,geonames_api
2017370,60.000000,100.000000,Russia,RU,A,geonames_api
2061327,-30.000000,135.000000,South Australia,AU,A,geonames_api
2077456,-25.000000,135.000000,Australia,AU,A,geonames_api
2112319,35.897670,140.499430,Katori-shi,JP,P,geonames_api
2137075,-18.800000,169.083330,Erromango Island,VU,T,geonames_api
2147714,-33.867850,151.207320,Sydney,AU,P,geonames_api
2152274,-20.000000,145.000000,Queensland,AU,A,geonames_api
2165798,-38.147110,144.360690,Geelong,AU,P,geonames_api
2174003,-27.467940,153.028090,Brisbane,AU,P,geonames_api
2179985,-35.983330,174.450000,Waipu,NZ,P,geonames_api
2182437,-41.383330,173.083330,Spring Grove,NZ,P,geonames_api
2186224,-42.000000,174.000000,New Zealand,NZ,A,geonames_api
2306104,5.556020,-0.196900,Accra,GH,P,geonames_api
2409306,8.487140,-13.235600,Freetown,SL,P,geonames_api
2411585,36.144740,-5.352570,Gibraltar,GI,P,geonames_api
2464470,36.818970,10.165790,Tunis,TN,P,geonames_api
2510769,40.000000,-4.000000,Spain,ES,A,geonames_api
2514301,39.888530,4.265830,Maó,ES,P,geonames_api
2524907,39.298900,16.253070,Cosenza,IT,P,geonames_api
2562772,35.881820,14.449080,Malta,MT,T,geonames_api
2623032,56.000000,10.000000,Denmark,DK,A,geonames_api
2625287,65.538960,-19.471550,Víðimýri,IS,S,geonames_api
2625830,64.510100,-14.512780,Þvottá,IS,S,geonames_api
2627068,65.500000,-19.250000,Skagafjarðarsýsla,IS,A,geonames_api
