presence_id:ID,csd_tcpuid,census_year:int,area_sqm:float,:LABEL
ON002001_1851,ON002001,1851,283139409.27,E93_Presence
ON002003_1851,ON002003,1851,293840443.06,E93_Presence
ON002005_1851,ON002005,1851,48438869.1,E93_Presence
ON002002_1851,ON002002,1851,6529295.12,E93_Presence
ON020005_1851,ON020005,1851,369857063.14,E93_Presence
ON003001_1851,ON003001,1851,246768351.76,E93_Presence
ON003003_1851,ON003003,1851,301384094.6,E93_Presence
ON003009_1851,ON003009,1851,266899945.39,E93_Presence
ON003011_1851,ON003011,1851,183204840.66,E93_Presence
ON003002_1851,ON003002,1851,311562128.68,E93_Presence
ON003004_1851,ON003004,1851,261388218.5,E93_Presence
ON003005_1851,ON003005,1851,249202481.65,E93_Presence
ON003006_1851,ON003006,1851,242203671.06,E93_Presence
ON003007_1851,ON003007,1851,285251885.09,E93_Presence
ON003008_1851,ON003008,1851,256747075.13,E93_Presence
ON003010_1851,ON003010,1851,205846341.34,E93_Presence
ON004001_1851,ON004001,1851,269923915.73,E93_Presence
ON004003_1851,ON004003,1851,291866579.85,E93_Presence
ON004005_1851,ON004005,1851,269530544.33,E93_Presence
ON004006_1851,ON004006,1851,124383085.43,E93_Presence
ON004007_1851,ON004007,1851,275185755.84,E93_Presence
ON004008_1851,ON004008,1851,282571982.09,E93_Presence
ON004011_1851,ON004011,1851,115830468.94,E93_Presence
ON004010_1851,ON004010,1851,1720891.79,E93_Presence
ON039011_1851,ON039011,1851,275452950.64,E93_Presence
ON039006_1851,ON039006,1851,390572711.83,E93_Presence
ON039010_1851,ON039010,1851,997758936.49,E93_Presence
ON035016_1851,ON035016,1851,299929909.57,E93_Presence
ON035015_1851,ON035015,1851,300695831.7,E93_Presence
ON005001_1851,ON005001,1851,277089153.23,E93_Presence
ON005002_1851,ON005002,1851,260569643.04,E93_Presence
ON005003_1851,ON005003,1851,263152491.7,E93_Presence
ON005004_1851,ON005004,1851,261612198.61,E93_Presence
ON006001_1851,ON006001,1851,295228955.07,E93_Presence
ON006002_1851,ON006002,1851,279904683.53,E93_Presence
ON006003_1851,ON006003,1851,319451063.84,E93_Presence
ON006004_1851,ON006004,1851,321482142.44,E93_Presence
ON006005_1851,ON006005,1851,284026611.63,E93_Presence
ON006006_1851,ON006006,1851,313462855.7,E93_Presence
ON007002_1851,ON007002,1851,260463692.91,E93_Presence
ON007005_1851,ON007005,1851,284436713.02,E93_Presence
ON007007_1851,ON007007,1851,314198332.48,E93_Presence
ON007001_1851,ON007001,1851,343227130.27,E93_Presence
ON007003_1851,ON007003,1851,313307447.99,E93_Presence
ON007006_1851,ON007006,1851,329864913.48,E93_Presence
ON008009_1851,ON008009,1851,150012390.73,E93_Presence
ON008002_1851,ON008002,1851,107103615.72,E93_Presence
ON008004_1851,ON008004,1851,265226072.94,E93_Presence
ON008006_1851,ON008006,1851,92101860.4,E93_Presence
ON008007_1851,ON008007,1851,286724272.05,E93_Presence
ON009005_1851,ON009005,1851,393911342.38,E93_Presence
ON009006_1851,ON009006,1851,257369494.93,E93_Presence
ON009008_1851,ON009008,1851,263995750.73,E93_Presence
ON009007_1851,ON009007,1851,238629514.29,E93_Presence
ON009002_1851,ON009002,1851,305416898.86,E93_Presence
ON010004_1851,ON010004,1851,348894958.93,E93_Presence
ON010001_1851,ON010001,1851,258951454.84,E93_Presence
ON010003_1851,ON010003,1851,321505551.43,E93_Presence
ON012002_1851,ON012002,1851,326005117.87,E93_Presence
ON012004_1851,ON012004,1851,276004537.37,E93_Presence
ON011001_1851,ON011001,1851,306738608.78,E93_Presence
ON011003_1851,ON011003,1851,299622310.53,E93_Presence
ON011006_1851,ON011006,1851,319239794.57,E93_Presence
ON011008_1851,ON011008,1851,304040663.07,E93_Presence
ON011011_1851,ON011011,1851,309787090.07,E93_Presence
ON011014_1851,ON011014,1851,341558739.32,E93_Presence
ON011012_1851,ON011012,1851,288855351.88,E93_Presence
ON011005_1851,ON011005,1851,326242445.66,E93_Presence
ON011007_1851,ON011007,1851,297504451.32,E93_Presence
ON011010_1851,ON011010,1851,293511363.59,E93_Presence
ON013004_1851,ON013004,1851,74699198.94,E93_Presence
ON013006_1851,ON013006,1851,186216586.64,E93_Presence
ON013007_1851,ON013007,1851,114400104.55,E93_Presence
ON013010_1851,ON013010,1851,190070401.03,E93_Presence
ON013009_1851,ON013009,1851,305390079.04,E93_Presence
ON014003_1851,ON014003,1851,199578071.31,E93_Presence
ON014004_1851,ON014004,1851,211613600.63,E93_Presence
ON014002_1851,ON014002,1851,307937551.15,E93_Presence
ON015003_1851,ON015003,1851,852543890.12,E93_Presence
ON015009_1851,ON015009,1851,425875161.9,E93_Presence
ON015002_1851,ON015002,1851,237303265.31,E93_Presence
ON015005_1851,ON015005,1851,296828060.49,E93_Presence
ON016006_1851,ON016006,1851,302485908.34,E93_Presence
ON016008_1851,ON016008,1851,688088204.24,E93_Presence
ON016010_1851,ON016010,1851,367228187.28,E93_Presence
ON016001_1851,ON016001,1851,238137639.41,E93_Presence
ON016007_1851,ON016007,1851,234905801.85,E93_Presence
ON016002_1851,ON016002,1851,258008506.03,E93_Presence
ON016011_1851,ON016011,1851,156868371.46,E93_Presence
ON017005_1851,ON017005,1851,507314468.29,E93_Presence
ON017004_1851,ON017004,1851,418925624.62,E93_Presence
ON017006_1851,ON017006,1851,321404080.88,E93_Presence
ON018001_1851,ON018001,1851,347539562.01,E93_Presence
ON018004_1851,ON018004,1851,380760987.14,E93_Presence
ON018005_1851,ON018005,1851,123990729.32,E93_Presence
ON018010_1851,ON018010,1851,314477016.92,E93_Presence
ON018003_1851,ON018003,1851,311075816.36,E93_Presence
ON018006_1851,ON018006,1851,322726801.35,E93_Presence
ON018007_1851,ON018007,1851,343280082.29,E93_Presence
ON018008_1851,ON018008,1851,207280806.56,E93_Presence
ON019004_1851,ON019004,1851,342893216.29,E93_Presence
ON019009_1851,ON019009,1851,275710408.07,E93_Presence
ON019008_1851,ON019008,1851,273972136.22,E93_Presence
ON019011_1851,ON019011,1851,270987861.19,E93_Presence
ON019012_1851,ON019012,1851,277307602.23,E93_Presence
ON019001_1851,ON019001,1851,441203900.72,E93_Presence
ON019002_1851,ON019002,1851,270802060.37,E93_Presence
ON019006_1851,ON019006,1851,268524614.17,E93_Presence
ON019007_1851,ON019007,1851,153450674.01,E93_Presence
ON019010_1851,ON019010,1851,297822397.12,E93_Presence
ON020001_1851,ON020001,1851,263834254.77,E93_Presence
ON020006_1851,ON020006,1851,126642041.37,E93_Presence
ON021001_1851,ON021001,1851,53995774.96,E93_Presence
ON001001_1851,ON001001,1851,69760965.6,E93_Presence
ON001002_1851,ON001002,1851,399284767.58,E93_Presence
ON021003_1851,ON021003,1851,226745505.23,E93_Presence
ON022001_1851,ON022001,1851,145917483.33,E93_Presence
ON022002_1851,ON022002,1851,116833427.71,E93_Presence
ON022003_1851,ON022003,1851,183114987.87,E93_Presence
ON022004_1851,ON022004,1851,100433185.84,E93_Presence
ON022005_1851,ON022005,1851,154588008.25,E93_Presence
ON022006_1851,ON022006,1851,88430557.22,E93_Presence
ON023012_1851,ON023012,1851,468549773.06,E93_Presence
ON023008_1851,ON023008,1851,224817196.41,E93_Presence
ON023011_1851,ON023011,1851,287853211.91,E93_Presence
ON023005_1851,ON023005,1851,201548433.58,E93_Presence
ON016004_1851,ON016004,1851,178300623.63,E93_Presence
ON023007_1851,ON023007,1851,209754311.4,E93_Presence
ON016003_1851,ON016003,1851,298885377.16,E93_Presence
ON023010_1851,ON023010,1851,131898701.66,E93_Presence
ON023002_1851,ON023002,1851,239959475.33,E93_Presence
ON023004_1851,ON023004,1851,160754539.08,E93_Presence
ON023001_1851,ON023001,1851,216876959.35,E93_Presence
ON025003_1851,ON025003,1851,281197229.92,E93_Presence
ON025001_1851,ON025001,1851,148730985.06,E93_Presence
ON025002_1851,ON025002,1851,203418894.71,E93_Presence
ON025005_1851,ON025005,1851,286543284.22,E93_Presence
ON025007_1851,ON025007,1851,355311853.1,E93_Presence
ON025004_1851,ON025004,1851,294466244.74,E93_Presence
ON024001_1851,ON024001,1851,235850510.43,E93_Presence
ON024002_1851,ON024002,1851,211999714.21,E93_Presence
ON024009_1851,ON024009,1851,233479129.45,E93_Presence
ON024006_1851,ON024006,1851,232328965.21,E93_Presence
ON024005_1851,ON024005,1851,322763290.67,E93_Presence
ON024003_1851,ON024003,1851,341954166.22,E93_Presence
ON024007_1851,ON024007,1851,317962097.8,E93_Presence
ON026005_1851,ON026005,1851,296324003.3,E93_Presence
ON026007_1851,ON026007,1851,550486746.51,E93_Presence
ON026009_1851,ON026009,1851,214685551.83,E93_Presence
ON026006_1851,ON026006,1851,245866213.96,E93_Presence
ON026003_1851,ON026003,1851,227769915.86,E93_Presence
ON026002_1851,ON026002,1851,318685413.37,E93_Presence
ON026004_1851,ON026004,1851,291756378.52,E93_Presence
ON027009_1851,ON027009,1851,131115786.19,E93_Presence
ON027008_1851,ON027008,1851,296954246.38,E93_Presence
ON027006_1851,ON027006,1851,296695240.14,E93_Presence
ON028001_1851,ON028001,1851,248831597.32,E93_Presence
ON028002_1851,ON028002,1851,302708160.52,E93_Presence
ON028003_1851,ON028003,1851,361210313.73,E93_Presence
ON028004_1851,ON028004,1851,292875088.51,E93_Presence
ON029006_1851,ON029006,1851,246249791.83,E93_Presence
ON029009_1851,ON029009,1851,295347671.04,E93_Presence
ON029011_1851,ON029011,1851,220508342.29,E93_Presence
ON029010_1851,ON029010,1851,224215546.15,E93_Presence
ON029001_1851,ON029001,1851,216592302.13,E93_Presence
ON029003_1851,ON029003,1851,182655118.99,E93_Presence
ON029002_1851,ON029002,1851,183848061.56,E93_Presence
ON029005_1851,ON029005,1851,243167318.44,E93_Presence
ON030006_1851,ON030006,1851,174651077.67,E93_Presence
ON030002_1851,ON030002,1851,181702052.76,E93_Presence
ON030003_1851,ON030003,1851,661135142.69,E93_Presence
ON030008_1851,ON030008,1851,338250280.95,E93_Presence
ON030007_1851,ON030007,1851,100546545.89,E93_Presence
ON030004_1851,ON030004,1851,805854199.35,E93_Presence
