presence_id:ID,cd_id,census_year:int,area_sqm:float,num_csds:int,:LABEL
CD_ON_Haldimand_1871,CD_ON_Haldimand,1871,1091269171.17,9,E93_Presence
"CD_NS_Halifax,_East_1871","CD_NS_Halifax,_East",1871,4910996019.06,19,E93_Presence
"CD_NS_Halifax,_West_1871","CD_NS_Halifax,_West",1871,1304489284.15,21,E93_Presence
CD_ON_Halton_1871,CD_ON_Halton,1871,1022520353.3,7,E93_Presence
CD_ON_Hamilton_1871,CD_ON_Hamilton,1871,12852054.23,5,E93_Presence
CD_NS_Hants_1871,CD_NS_Hants,1871,3253315285.08,15,E93_Presence
"CD_ON_Hastings,_East—Est_1871","CD_ON_Hastings,_East—Est",1871,1068763698.85,3,E93_Presence
"CD_ON_Hastings,_North—Nord_1871","CD_ON_Hastings,_North—Nord",1871,4955668583.69,10,E93_Presence
"CD_ON_Hastings,_West—Ouest_1871","CD_ON_Hastings,_West—Ouest",1871,322873392.86,3,E93_Presence
CD_QC_Hochelaga_1871,CD_QC_Hochelaga,1871,235856415.84,11,E93_Presence
CD_QC_Huntingdon_Est_1871,CD_QC_Huntingdon_Est,1871,562489175.47,5,E93_Presence
CD_QC_Huntingdon_Ouest_1871,CD_QC_Huntingdon_Ouest,1871,424977752.21,4,E93_Presence
"CD_ON_Huron,_North—Nord_1871","CD_ON_Huron,_North—Nord",1871,2273659033.1,11,E93_Presence
"CD_ON_Huron,_South—Sud_1871","CD_ON_Huron,_South—Sud",1871,1326732059.99,8,E93_Presence
CD_QC_Iberville_1871,CD_QC_Iberville,1871,524661147.12,7,E93_Presence
CD_NS_Inverness_1871,CD_NS_Inverness,1871,4241431980.04,17,E93_Presence
CD_QC_Isles_de_la_Magdeleine_1871,CD_QC_Isles_de_la_Magdeleine,1871,246581431.4,4,E93_Presence
CD_QC_Jacques_Cartier_1871,CD_QC_Jacques_Cartier,1871,257333014.06,9,E93_Presence
CD_QC_Joliette_1871,CD_QC_Joliette,1871,1853133289.02,14,E93_Presence
CD_QC_Kamouraska_1871,CD_QC_Kamouraska,1871,2834514247.32,15,E93_Presence
CD_NB_Kent_1871,CD_NB_Kent,1871,4720822750.27,9,E93_Presence
CD_NB_King's_1871,CD_NB_King's,1871,3618141557.22,13,E93_Presence
CD_NS_King's_1871,CD_NS_King's,1871,2295127038.48,14,E93_Presence
CD_PE_King's_1871,CD_PE_King's,1871,1761486807.47,22,E93_Presence
CD_ON_Kingston_1871,CD_ON_Kingston,1871,7841151.45,7,E93_Presence
CD_QC_L'Assomption_1871,CD_QC_L'Assomption,1871,671646424.43,10,E93_Presence
CD_QC_L'Islet_1871,CD_QC_L'Islet,1871,2134179762.95,7,E93_Presence
CD_QC_Labrador_1871,CD_QC_Labrador,1871,209904399518.66,12,E93_Presence
CD_ON_Lambton_1871,CD_ON_Lambton,1871,2246244313.53,10,E93_Presence
"CD_ON_Lanark,_North—Nord_1871","CD_ON_Lanark,_North—Nord",1871,1684088108.44,7,E93_Presence
"CD_ON_Lanark,_South—Sud_1871","CD_ON_Lanark,_South—Sud",1871,1436324263.14,9,E93_Presence
CD_QC_Laprairie_1871,CD_QC_Laprairie,1871,455369194.27,7,E93_Presence
CD_QC_Laval_1871,CD_QC_Laval,1871,251703807.49,6,E93_Presence
"CD_ON_Leeds_&_Grenville,_North—Nord_1871","CD_ON_Leeds_&_Grenville,_North—Nord",1871,973315994.31,7,E93_Presence
"CD_ON_Leeds,_South—Sud_1871","CD_ON_Leeds,_South—Sud",1871,1930817485.29,10,E93_Presence
CD_ON_Lennox_1871,CD_ON_Lennox,1871,848955836.11,8,E93_Presence
CD_ON_Lincoln_1871,CD_ON_Lincoln,1871,466569096.08,6,E93_Presence
CD_ON_London_1871,CD_ON_London,1871,9108903.78,7,E93_Presence
CD_QC_Lotbiniere_1871,CD_QC_Lotbiniere,1871,1969886012.32,12,E93_Presence
CD_NS_Lunenburg_1871,CD_NS_Lunenburg,1871,3269059803.46,13,E93_Presence
CD_QC_Lévis_(Comté)_1871,CD_QC_Lévis_(Comté),1871,567994264.22,6,E93_Presence
CD_QC_Lévis_(Ville)_1871,CD_QC_Lévis_(Ville),1871,131343302.53,7,E93_Presence
CD_MB_Manitoba_1871,CD_MB_Manitoba,1871,134814075429.05,1,E93_Presence
CD_ON_Manitoulin_1871,CD_ON_Manitoulin,1871,3424441847.5,3,E93_Presence
CD_QC_Maskinonge_1871,CD_QC_Maskinonge,1871,1968569672.72,9,E93_Presence
CD_QC_Megantic_1871,CD_QC_Megantic,1871,1999625257.37,10,E93_Presence
"CD_ON_Middlesex,_East—Est_1871","CD_ON_Middlesex,_East—Est",1871,1213970568.65,4,E93_Presence
"CD_ON_Middlesex,_North—Nord_1871","CD_ON_Middlesex,_North—Nord",1871,1218168900.97,6,E93_Presence
"CD_ON_Middlesex,_West—Ouest_1871","CD_ON_Middlesex,_West—Ouest",1871,1087426083.5,7,E93_Presence
CD_QC_Missisquoi_1871,CD_QC_Missisquoi,1871,968139299.81,12,E93_Presence
CD_ON_Monck_1871,CD_ON_Monck,1871,948146373.46,7,E93_Presence
CD_QC_Montcalm_1871,CD_QC_Montcalm,1871,2502419238.54,9,E93_Presence
CD_QC_Montmagny_1871,CD_QC_Montmagny,1871,1683943281.03,8,E93_Presence
CD_QC_Montmorency_1871,CD_QC_Montmorency,1871,5776776371.43,13,E93_Presence
CD_QC_Montreal_Centre_1871,CD_QC_Montreal_Centre,1871,768098.76,3,E93_Presence
CD_QC_Montreal_Est_1871,CD_QC_Montreal_Est,1871,6863594.65,4,E93_Presence
CD_QC_Montreal_Ouest_1871,CD_QC_Montreal_Ouest,1871,9331008.63,3,E93_Presence
CD_ON_Muskoka_1871,CD_ON_Muskoka,1871,4977060589.0,13,E93_Presence
CD_QC_Napierville_1871,CD_QC_Napierville,1871,413562197.62,6,E93_Presence
CD_NL_Newfoundland_1871,CD_NL_Newfoundland,1871,111661003634.19,1,E93_Presence
CD_ON_Niagara_1871,CD_ON_Niagara,1871,109970574.73,4,E93_Presence
