space_id:ID,latitude:float,longitude:float,crs,:LABEL
CD_ON_Addington_1871_SPACE,44.775918,-76.943606,EPSG:4326,E94_Space_Primitive
CD_NB_Albert_1871_SPACE,45.811379,-64.895607,EPSG:4326,E94_Space_Primitive
"CD_ON_Algoma,_Centre_1871_SPACE",46.641363,-83.831301,EPSG:4326,E94_Space_Primitive
"CD_ON_Algoma,_East—Est_1871_SPACE",46.872161,-82.141209,EPSG:4326,E94_Space_Primitive
"CD_ON_Algoma,_West—Ouest_1871_SPACE",48.77406,-87.055994,EPSG:4326,E94_Space_Primitive
CD_NS_Annapolis_1871_SPACE,44.689055,-65.231051,EPSG:4326,E94_Space_Primitive
CD_NS_Antigonish_1871_SPACE,45.614449,-61.932566,EPSG:4326,E94_Space_Primitive
CD_QC_Argenteuil_1871_SPACE,45.865267,-74.47991,EPSG:4326,E94_Space_Primitive
CD_QC_Arthabaska_1871_SPACE,46.069455,-71.966247,EPSG:4326,E94_Space_Primitive
CD_QC_Bagot_1871_SPACE,45.664424,-72.740596,EPSG:4326,E94_Space_Primitive
CD_QC_Beauce_Est_1871_SPACE,46.080867,-70.677732,EPSG:4326,E94_Space_Primitive
CD_QC_Beauce_Ouest_1871_SPACE,45.838801,-70.908176,EPSG:4326,E94_Space_Primitive
CD_QC_Beauharnois_1871_SPACE,45.239177,-74.002135,EPSG:4326,E94_Space_Primitive
CD_QC_Bellechasse_Nord_1871_SPACE,46.783863,-70.846926,EPSG:4326,E94_Space_Primitive
CD_QC_Bellechasse_Sud_1871_SPACE,46.626092,-70.453192,EPSG:4326,E94_Space_Primitive
CD_QC_Berthier_1871_SPACE,46.276218,-73.413896,EPSG:4326,E94_Space_Primitive
CD_QC_Bonaventure_1871_SPACE,48.247218,-66.150049,EPSG:4326,E94_Space_Primitive
CD_ON_Bothwell_1871_SPACE,42.609689,-82.050404,EPSG:4326,E94_Space_Primitive
"CD_ON_Brant,_North_or_East—Nord_ou_Est_1871_SPACE",43.151737,-80.216212,EPSG:4326,E94_Space_Primitive
"CD_ON_Brant,_South_or_West—Sud_ou_Ouest_1871_SPACE",43.086602,-80.41706,EPSG:4326,E94_Space_Primitive
CD_BC_British_Colombia_1871_SPACE,54.751547,-124.738902,EPSG:4326,E94_Space_Primitive
CD_ON_Brockville_1871_SPACE,44.655721,-75.787378,EPSG:4326,E94_Space_Primitive
CD_QC_Brome_1871_SPACE,45.173949,-72.506739,EPSG:4326,E94_Space_Primitive
"CD_ON_Bruce,_North—Nord_1871_SPACE",44.717274,-81.308634,EPSG:4326,E94_Space_Primitive
"CD_ON_Bruce,_South—Sud_1871_SPACE",44.105067,-81.343242,EPSG:4326,E94_Space_Primitive
CD_NS_Cape_Breton_1871_SPACE,46.012019,-60.268068,EPSG:4326,E94_Space_Primitive
CD_ON_Cardwell_1871_SPACE,43.949274,-79.955394,EPSG:4326,E94_Space_Primitive
CD_NB_Carleton_1871_SPACE,46.386192,-67.455335,EPSG:4326,E94_Space_Primitive
CD_ON_Carleton_1871_SPACE,45.264671,-75.941089,EPSG:4326,E94_Space_Primitive
CD_QC_Chambly_1871_SPACE,45.510819,-73.375714,EPSG:4326,E94_Space_Primitive
CD_QC_Champlain_Nord_1871_SPACE,47.144654,-72.629058,EPSG:4326,E94_Space_Primitive
CD_QC_Champlain_Sud_1871_SPACE,46.523612,-72.415731,EPSG:4326,E94_Space_Primitive
CD_QC_Charlevoix_1871_SPACE,47.733999,-70.596634,EPSG:4326,E94_Space_Primitive
CD_NB_Charlotte_1871_SPACE,45.272906,-66.933353,EPSG:4326,E94_Space_Primitive
CD_QC_Chateauguay_1871_SPACE,45.173339,-73.821048,EPSG:4326,E94_Space_Primitive
CD_QC_Chicoutimi_1871_SPACE,49.823695,-71.705681,EPSG:4326,E94_Space_Primitive
CD_NS_Colchester_1871_SPACE,45.409319,-63.33877,EPSG:4326,E94_Space_Primitive
CD_QC_Compton_1871_SPACE,45.428717,-71.351674,EPSG:4326,E94_Space_Primitive
CD_ON_Cornwall_1871_SPACE,45.084822,-74.812252,EPSG:4326,E94_Space_Primitive
CD_NS_Cumberland_1871_SPACE,45.653966,-64.0963,EPSG:4326,E94_Space_Primitive
CD_QC_Deux-Montagnes_1871_SPACE,45.613472,-74.074749,EPSG:4326,E94_Space_Primitive
CD_NS_Digby_1871_SPACE,44.338931,-65.819901,EPSG:4326,E94_Space_Primitive
CD_QC_Dorchester_Est_1871_SPACE,46.473732,-70.557395,EPSG:4326,E94_Space_Primitive
CD_QC_Dorchester_Ouest_1871_SPACE,46.33711,-70.670086,EPSG:4326,E94_Space_Primitive
CD_ON_Dover_1871_SPACE,42.392361,-82.247543,EPSG:4326,E94_Space_Primitive
CD_QC_Drummond_1871_SPACE,45.833017,-72.423827,EPSG:4326,E94_Space_Primitive
CD_ON_Dundas_1871_SPACE,45.017347,-75.321321,EPSG:4326,E94_Space_Primitive
"CD_ON_Durham,_East—Est_1871_SPACE",44.122189,-78.503817,EPSG:4326,E94_Space_Primitive
"CD_ON_Durham,_West—Ouest_1871_SPACE",44.01036,-78.687576,EPSG:4326,E94_Space_Primitive
"CD_ON_Elgin,_East—Est_1871_SPACE",42.762493,-80.967168,EPSG:4326,E94_Space_Primitive
"CD_ON_Elgin,_West—Ouest_1871_SPACE",42.666016,-81.494461,EPSG:4326,E94_Space_Primitive
CD_ON_Essex_1871_SPACE,42.154556,-82.779055,EPSG:4326,E94_Space_Primitive
CD_ON_Frontenac_1871_SPACE,44.331357,-76.419476,EPSG:4326,E94_Space_Primitive
CD_QC_Gaspé_Centre_1871_SPACE,48.886602,-64.811438,EPSG:4326,E94_Space_Primitive
CD_QC_Gaspé_Ouest_1871_SPACE,48.97031,-65.793187,EPSG:4326,E94_Space_Primitive
CD_QC_Gaspé_Sud_1871_SPACE,48.52896,-64.774479,EPSG:4326,E94_Space_Primitive
CD_ON_Glengarry_1871_SPACE,45.269767,-74.629325,EPSG:4326,E94_Space_Primitive
CD_NB_Gloucester_1871_SPACE,47.572862,-65.414316,EPSG:4326,E94_Space_Primitive
"CD_ON_Grenville,_South—Sud_1871_SPACE",44.793324,-75.574319,EPSG:4326,E94_Space_Primitive
"CD_ON_Grey,_North—Nord_1871_SPACE",44.520174,-80.786714,EPSG:4326,E94_Space_Primitive
"CD_ON_Grey,_South—Sud_1871_SPACE",44.178367,-80.613336,EPSG:4326,E94_Space_Primitive
CD_NS_Guysborough_1871_SPACE,45.280938,-61.833744,EPSG:4326,E94_Space_Primitive
CD_ON_Haldimand_1871_SPACE,42.940595,-79.907624,EPSG:4326,E94_Space_Primitive
"CD_NS_Halifax,_East_1871_SPACE",44.927204,-62.998913,EPSG:4326,E94_Space_Primitive
"CD_NS_Halifax,_West_1871_SPACE",44.621632,-63.71089,EPSG:4326,E94_Space_Primitive
CD_ON_Halton_1871_SPACE,43.520378,-79.890048,EPSG:4326,E94_Space_Primitive
CD_ON_Hamilton_1871_SPACE,43.259899,-79.871511,EPSG:4326,E94_Space_Primitive
CD_NS_Hants_1871_SPACE,45.044906,-63.872361,EPSG:4326,E94_Space_Primitive
"CD_ON_Hastings,_East—Est_1871_SPACE",44.34335,-77.247793,EPSG:4326,E94_Space_Primitive
"CD_ON_Hastings,_North—Nord_1871_SPACE",44.873776,-77.680939,EPSG:4326,E94_Space_Primitive
"CD_ON_Hastings,_West—Ouest_1871_SPACE",44.206249,-77.517014,EPSG:4326,E94_Space_Primitive
CD_QC_Hochelaga_1871_SPACE,45.565933,-73.583047,EPSG:4326,E94_Space_Primitive
CD_QC_Huntingdon_Est_1871_SPACE,45.04262,-73.889607,EPSG:4326,E94_Space_Primitive
CD_QC_Huntingdon_Ouest_1871_SPACE,45.082476,-74.322531,EPSG:4326,E94_Space_Primitive
