:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
ON004008_1851,ON111006_1861,CONTAINS,0.0091,0.0091,1.0,1851,1861,P134_continued
ON004011_1851,ON067011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON004010_1851,ON067010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039011_1851,ON103001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039006_1851,ON103007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039010_1851,ON103012_1861,CONTAINS,0.3145,0.3145,1.0,1851,1861,P134_continued
ON039010_1851,ON103002_1861,CONTAINS,0.2952,0.2952,1.0,1851,1861,P134_continued
ON039010_1851,ON103010_1861,CONTAINS,0.3903,0.3903,1.0,1851,1861,P134_continued
ON035016_1851,ON098010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035015_1851,ON098012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON005001_1851,ON068001_1861,CONTAINS,0.0094,0.0094,1.0,1851,1861,P134_continued
ON005001_1851,ON068002_1861,SAME_AS,0.9906,0.9906,1.0,1851,1861,P134_continued
ON005002_1851,ON068004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON005003_1851,ON068003_1861,CONTAINS,0.0099,0.0099,1.0,1851,1861,P134_continued
ON005003_1851,ON068005_1861,SAME_AS,0.9901,0.9901,1.0,1851,1861,P134_continued
ON005004_1851,ON068006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON006001_1851,ON069003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON006002_1851,ON069002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON006003_1851,ON069008_1861,CONTAINS,0.0258,0.0258,1.0,1851,1861,P134_continued
ON006004_1851,ON069001_1861,CONTAINS,0.0525,0.0525,1.0,1851,1861,P134_continued
ON006004_1851,ON069005_1861,CONTAINS,0.9475,0.9475,1.0,1851,1861,P134_continued
ON006005_1851,ON069006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON006006_1851,ON069007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON007002_1851,ON070008_1861,CONTAINS,0.01,0.01,1.0,1851,1861,P134_continued
ON007002_1851,ON070002_1861,SAME_AS,0.99,0.99,1.0,1851,1861,P134_continued
ON007005_1851,ON070005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON007007_1851,ON070009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON007001_1851,ON070001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON007003_1851,ON070004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON007006_1851,ON070006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008009_1851,ON071011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008002_1851,ON071002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008006_1851,ON071006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008007_1851,ON071007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON009005_1851,ON072002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON009006_1851,ON072006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON009008_1851,ON072016_1861,CONTAINS,0.0098,0.0098,1.0,1851,1861,P134_continued
ON009008_1851,ON072011_1861,SAME_AS,0.9902,0.9902,1.0,1851,1861,P134_continued
ON009007_1851,ON072012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON009002_1851,ON072014_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON010004_1851,ON073002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON010001_1851,ON073003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON010003_1851,ON073004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
