chain_id,year,tcpuid,original_name,canonical_name,should_apply,cd_name,province
chain_00000,1851,QC059005,[Start of chain],[Start of chain],False,L'Assomption,QC
chain_00000,1861,QC001005,Lachenaie,Lachenaie,False,L'Assomption,QC
chain_00001,1851,QC065999,[Start of chain],[Start of chain],False,Hochelaga,QC
chain_00001,1861,QC020999,NO DATA,NO DATA,False,Hochelaga,QC
chain_00002,1851,ON030003,[Start of chain],[Start of chain],False,Peterborough,ON
chain_00002,1861,ON093005,Dummer,Dummer,False,Peterborough,ON
chain_00003,1851,QC049010,[Start of chain],[Start of chain],False,Bellechasse,QC
chain_00003,1861,QC007006,St. Lazare,St. Lazare,False,Bellechasse,QC
chain_00004,1851,ON041001,[Start of chain],[Start of chain],False,Wentworth,ON
chain_00004,1861,ON104004,Beverley,Beverley,False,Wentworth,ON
chain_00005,1851,ON022004,[Start of chain],[Start of chain],False,Lincoln,ON
chain_00005,1861,ON085004,Grantham,Grantham,False,Lincoln,ON
chain_00006,1851,ON003001,[Start of chain],[Start of chain],False,Bruce,ON
chain_00006,1861,ON066003,Arran,Arran,False,Bruce,ON
chain_00007,1851,ON023009,[Start of chain],[Start of chain],False,Middlesex,ON
chain_00007,1861,ON086004,"Dorchester, North","Dorchester, North",False,Middlesex,ON
chain_00008,1851,ON023008,[Start of chain],[Start of chain],False,Middlesex,ON
chain_00008,1861,ON086010,Nissouri,Nissouri,False,Middlesex,ON
chain_00009,1851,ON020001,[Start of chain],[Start of chain],False,Leeds,ON
chain_00009,1861,ON083001,Bastard,Bastard,False,Leeds,ON
chain_00010,1851,ON035001,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00010,1861,ON098014,Orillia and Matchedash,Orillia and Matchedash,False,Simcoe,ON
chain_00011,1851,ON019011,[Start of chain],[Start of chain],False,Lanark,ON
chain_00011,1861,ON082011,Packenham,Packenham,False,Lanark,ON
chain_00012,1851,NS996999,[Start of chain],[Start of chain],False,Nova Scotia,NS
chain_00012,1861,NS996999,NO DATA,NO DATA,False,Nova Scotia,NS
chain_00013,1851,ON026006,[Start of chain],[Start of chain],False,Ontario,ON
chain_00013,1861,ON089009,Thora,Thora,False,Ontario,ON
chain_00014,1851,QC054016,[Start of chain],[Start of chain],False,Beauce,QC
chain_00014,1861,QC005014,St. François,St. François,False,Beauce,QC
chain_00015,1851,ON040009,[Start of chain],[Start of chain],False,Welland,ON
chain_00015,1861,ON102002,"Chippawa, Village","Chippawa, Village",False,Welland,ON
chain_00016,1851,QC080014,[Start of chain],[Start of chain],False,Argenteuil,QC
chain_00016,1861,QC002012,Wentworth,Wentworth,False,Argenteuil,QC
chain_00017,1851,ON023001,[Start of chain],[Start of chain],False,Middlesex,ON
chain_00017,1861,ON086009,Mosa,Mosa,False,Middlesex,ON
chain_00018,1851,ON020006,[Start of chain],[Start of chain],False,Leeds,ON
chain_00018,1861,ON083006,Elmsley,Elmsley,False,Leeds,ON
chain_00019,1851,QC054006,[Start of chain],[Start of chain],False,Dorchester,QC
chain_00019,1861,QC017004,St. Anselme,St. Anselme,False,Dorchester,QC
chain_00020,1851,ON035003,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00020,1861,ON098009,Medonte,Medonte,False,Simcoe,ON
chain_00021,1851,ON023007,[Start of chain],[Start of chain],False,Middlesex,ON
chain_00021,1861,ON086006,Lobo,Lobo,False,Middlesex,ON
chain_00022,1851,ON027008,[Start of chain],[Start of chain],False,Oxford,ON
chain_00022,1861,ON090002,Blenheim,Blenheim,False,Oxford,ON
chain_00023,1851,QC070001,[Start of chain],[Start of chain],False,Richelieu,QC
chain_00023,1861,QC043003,"St. Ours, Village","St. Ours, Village",False,Richelieu,QC
chain_00024,1851,ON001002,[Start of chain],[Start of chain],False,Lennox and Addington ,ON
chain_00024,1861,ON084004,Camden,Camden,False,Lennox and Addington ,ON
chain_00025,1851,ON036002,[Start of chain],[Start of chain],False,Stormont,ON
chain_00025,1861,ON099004,Osnabruck,Osnabruck,False,Stormont,ON
chain_00026,1851,ON009002,[Start of chain],[Start of chain],False,Frontenac,ON
chain_00026,1861,ON072014,Storington,Storington,False,Frontenac,ON
chain_00027,1851,QC068008,[Start of chain],[Start of chain],False,Portneuf,QC
chain_00027,1861,QC041010,Ste. Catherine,Ste. Catherine,False,Portneuf,QC
chain_00028,1851,QC068009,[Start of chain],[Start of chain],False,Portneuf,QC
chain_00028,1861,QC041003,Ecureuils,Ecureuils,False,Portneuf,QC
chain_00029,1851,ON004007,[Start of chain],[Start of chain],False,Carleton,ON
chain_00029,1861,ON067006,Marlhorough,Marlhorough,False,Carleton,ON
chain_00030,1851,ON038004,[Start of chain],[Start of chain],False,Waterloo,ON
chain_00030,1861,ON101012,Woolwich,Woolwich,False,Waterloo,ON
chain_00031,1851,QC062012,[Start of chain],[Start of chain],False,Beauce,QC
chain_00031,1861,QC005007,Lambton,Lambton,False,Beauce,QC
chain_00032,1851,ON039001,[Start of chain],[Start of chain],False,Wellington,ON
chain_00032,1861,ON103005,Erin,Erin,False,Wellington,ON
chain_00033,1851,QC077005,[Start of chain],[Start of chain],False,Brome,QC
chain_00033,1861,QC010004,Potton,Potton,False,Brome,QC
chain_00034,1851,QC081004,[Start of chain],[Start of chain],False,Vaudreuil,QC
chain_00034,1861,QC057004,Rigaud,Rigaud,False,Vaudreuil,QC
chain_00035,1851,ON031006,[Start of chain],[Start of chain],False,Prescott,ON
chain_00035,1861,ON094007,"Plantagenet, North","Plantagenet, North",False,Prescott,ON
chain_00036,1851,ON032004,[Start of chain],[Start of chain],False,Prince Edward,ON
chain_00036,1861,ON095004,Hillier,Hillier,False,Prince Edward,ON
chain_00037,1851,ON039004,[Start of chain],[Start of chain],False,Wellington,ON
chain_00037,1861,ON103009,"Guelph, Town of","Guelph, Town of",False,Wellington,ON
chain_00038,1851,ON021002,[Start of chain],[Start of chain],False,Lennox and Addington ,ON
chain_00038,1861,ON084007,Frederichsburgh,Frederichsburgh,False,Lennox and Addington ,ON
chain_00039,1851,ON008010,[Start of chain],[Start of chain],False,Essex,ON
chain_00039,1861,ON071012,"Tilbury,West","Tilbury,West",False,Essex,ON
chain_00040,1851,ON038006,[Start of chain],[Start of chain],False,Waterloo,ON
chain_00040,1861,ON101003,"Galt, Town of","Galt, Town of",False,Waterloo,ON
chain_00041,1851,QC075006,[Start of chain],[Start of chain],False,Shefford,QC
chain_00041,1861,QC048007,Stukeley,Stukeley,False,Shefford,QC
chain_00042,1851,ON016005,[Start of chain],[Start of chain],False,Huron,ON
chain_00042,1861,ON079018,Usborne,Usborne,False,Huron,ON
chain_00043,1851,QC067020,[Start of chain],[Start of chain],False,Pontiac,QC
chain_00043,1861,QC040014,Sheen,Sheen,False,Pontiac,QC
chain_00044,1851,ON020008,[Start of chain],[Start of chain],False,Leeds,ON
chain_00044,1861,ON083009,Kitley,Kitley,False,Leeds,ON
chain_00045,1851,QC069006,[Start of chain],[Start of chain],False,Quebec (Comté),QC
chain_00045,1861,QC042009,St. Dunstan,St. Dunstan,False,Quebec (Comté),QC
chain_00046,1851,QC075001,[Start of chain],[Start of chain],False,Shefford,QC
chain_00046,1861,QC048004,Milton,Milton,False,Shefford,QC
chain_00047,1851,QC076008,[Start of chain],[Start of chain],False,Compton,QC
chain_00047,1861,QC016004,Eaton,Eaton,False,Compton,QC
chain_00048,1851,QC061008,[Start of chain],[Start of chain],False,Lotbiniere,QC
chain_00048,1861,QC030009,St. Sylvestre,St. Sylvestre,False,Lotbiniere,QC
chain_00049,1851,QC050005,[Start of chain],[Start of chain],False,Berthier,QC
chain_00049,1861,QC008005,Lanoraie,Lanoraie,False,Berthier,QC
chain_00050,1851,QC079008,[Start of chain],[Start of chain],False,Terrebonne,QC
chain_00050,1861,QC055003,Ste. Anne,Ste. Anne,False,Terrebonne,QC
chain_00051,1851,QC077001,[Start of chain],[Start of chain],False,Stanstead,QC
chain_00051,1861,QC053006,Stanstead Plains,Stanstead Plains,False,Stanstead,QC
chain_00052,1851,ON035017,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00052,1861,ON098008,Innisfil,Innisfil,False,Simcoe,ON
chain_00053,1851,QC060006,[Start of chain],[Start of chain],False,L'Islet,QC
chain_00053,1861,QC023002,L’Islet,L’Islet,False,L'Islet,QC
chain_00054,1851,QC071018,[Start of chain],[Start of chain],False,Rimouski,QC
chain_00054,1861,QC045002,MacNider,MacNider,False,Rimouski,QC
chain_00055,1851,ON008006,[Start of chain],[Start of chain],False,Essex,ON
chain_00055,1861,ON071006,Malden,Malden,False,Essex,ON
