year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1901,1911,ON115009,ON121011,"Tottenham, Village",Tottenham vl,1.0,75.2,6,"Simcoe, South—Sud",Simcoe S,ON
1901,1911,ON097001,ON103008,"Beaverton, Village",Beaverton vl,1.0,75.29,6,"Ontario, North—Nord",Ontario N,ON
1901,1911,QC148010,QC166002,Sault St. Louis,Sault St. Louis,1.0,75.29,0,Chateauguay,Laprairie & Napierville,QC
1901,1911,ON102001,ON056002,Burford,Burford,1.0,75.45,0,"Oxford, South—Sud",Brant,ON
1901,1911,QC174001,QC179002,"Montreal, St. Ann’s Ward—Quartier Ste. Anne","Montréal, Ste. Anne ward-quartier",1.0,75.46,10,"Montreal, Ste. Anne, City—Cité","Montréal, Ste. Anne",QC
1901,1911,ON119003,ON129004,Carden,Garden,1.0,75.48,0,"Victoria, North—Nord",Victoria,ON
1901,1911,ON046003,ON056004,Onondaga,Onondago,1.0,75.54,0,"Brant, South—Sud",Brant,ON
1901,1911,PE135014,PE139018,Township 61,Township 61,1.0,75.71,0,"Queens, East-Est",Kings,PE
1901,1911,PE135015,PE139019,Township 63,Township 63,1.0,75.71,0,"Queens, East-Est",Kings,PE
1901,1911,PE135016,PE139020,Township 64,Township 64,1.0,75.71,0,"Queens, East-Est",Kings,PE
1901,1911,NS035010,NS047010,"Margaree Harbour, East side—Côté est",Margaree Harbour E.,1.0,75.82,17,Inverness,Inverness,NS
1901,1911,NS035011,NS047011,"Margaree Harbour, West side—Côté ouest",Margaree Harbour W-O,1.0,75.86,18,Inverness,Inverness,NS
1901,1911,NS028008,NS039009,"East Bay, North—Nord",East Bay North,1.0,75.98,6,Cape Breton,Cape Breton N. & Victoria,NS
1901,1911,ON125001,ON062001,Amaranth,Amaranth,1.0,76.0,0,"Wellington, North—Nord",Dufferin,ON
1901,1911,QC162005,QC147003,Lavaltrie,Lavaltrie,1.0,76.0,0,L’Assomption,Berthier,QC
1901,1911,QC170011,QC196004,St. Bernard de Lacolle,St. Bernard de Lacolle,1.0,76.0,0,Missisquoi,St. Jean & Iberville,QC
1901,1911,ON119008,ON129035,"Fenelon Falls, Village",Fenelon Falls vl,1.0,76.09,6,"Victoria, North—Nord",Victoria,ON
1901,1911,ON043005,ON069005,Clarendon & Miller,Clarendon } Miller,1.0,76.11,0,Addington,Frontenac,ON
1901,1911,ON097004,ON103009,"Cannington, Village",Cannington vl,1.0,76.16,6,"Ontario, North—Nord",Ontario N,ON
1901,1911,ON125004,ON133011,"Clifford, Village",Clifford vl,1.0,76.18,6,"Wellington, North—Nord",Wellington N,ON
1901,1911,ON130007,ON137008,"Holland Landing, Village",Holland Landing vl,1.0,76.36,6,"York, North—Nord",York N,ON
1901,1911,ON095003,ON101006,"Campbellford, Village",Campbellford t-v,1.0,76.39,5,"Northumberland, East—Est",Northumber Land E,ON
1901,1911,ON127003,ON106002,Blenheim,Blenheim,1.0,76.49,0,"Wentworth & Brant, North—Nord",Oxford N,ON
1901,1911,QC162003,QC167011,"L’Assomption, Town—Ville",L'Assomption t-v,1.0,76.5,8,L’Assomption,L'Assomption,QC
1901,1911,ON060010,ON068006,Malden,Maiden,1.0,76.59,0,"Essex, South—Sud",Essex S,ON
1901,1911,ON118004,ON127006,"Toronto, Ward—Quartier 6 (part)","Toronto, ward-quartier 6 pt",1.0,76.6,4,"Toronto, West—Ouest, City—Cité",Toronto S,ON
