info_object_id:ID,:LABEL,label,source_table,file_hash,access_uri,landing_page
SOURCE_TCP_SPATIAL_GDB,E73_Information_Object,TCP_CANADA_CSD_202306.gdb,GDB,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/PKUZJN,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/PKUZJN
SOURCE_CENSUS_1851_AGGREGATE,E73_Information_Object,1851 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/NRPFY5,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/NRPFY5
SOURCE_CENSUS_1861_AGGREGATE,E73_Information_Object,1861 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/1I1C59,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/1I1C59
SOURCE_CENSUS_1871_AGGREGATE,E73_Information_Object,1871 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/IYAR1W,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/IYAR1W
SOURCE_CENSUS_1881_AGGREGATE,E73_Information_Object,1881 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/SFG7UI,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/SFG7UI
SOURCE_CENSUS_1891_AGGREGATE,E73_Information_Object,1891 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/QA4AKE,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/QA4AKE
SOURCE_CENSUS_1901_AGGREGATE,E73_Information_Object,1901 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/6XFJNU,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/6XFJNU
SOURCE_CENSUS_1911_AGGREGATE,E73_Information_Object,1911 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/7ZG4XV,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/7ZG4XV
SOURCE_CENSUS_1921_AGGREGATE,E73_Information_Object,1921 Census Aggregate Data Collection,COLLECTION,,https://borealisdata.ca/api/access/datafile/:persistentId/?persistentId=doi:10.5683/SP3/JPGS9B,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/JPGS9B
