citation_id:ID,:LABEL,citation_text,doi,version,publication_date
CITATION_TCP_SPATIAL,E33_Linguistic_Object,"Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm; Richard, Laurent; St-Hilaire, Marc, 2023, ""The Canadian Historical GIS (Temporal Census Polygons)"", Borealis, V1",https://doi.org/10.5683/SP3/PKUZJN,V1,2023-06
CITATION_CENSUS_1851,E33_Linguistic_Object,"Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm, 2023, ""The Canadian Historical GIS, 1851 [Aggregate data]"", Borealis, V3",https://doi.org/10.5683/SP3/NRPFY5,V3,2023-10
CITATION_CENSUS_1861,E33_Linguistic_Object,"Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm, 2023, ""The Canadian Historical GIS, 1861 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/1I1C59,V2,2023-10
CITATION_CENSUS_1871,E33_Linguistic_Object,"Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm, 2023, ""The Canadian Historical GIS, 1871 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/IYAR1W,V2,2023-10
CITATION_CENSUS_1881,E33_Linguistic_Object,"Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm, 2023, ""The Canadian Historical GIS, 1881 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/SFG7UI,V2,2023-10
CITATION_CENSUS_1891,E33_Linguistic_Object,"The Canadian Peoples / Les populations canadiennes Project; Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm, 2023, ""The Canadian Historical GIS, 1891 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/QA4AKE,V2,2023-10
CITATION_CENSUS_1901,E33_Linguistic_Object,"Cunfer, Geoff; Billard, Rhianne; McClean, Sauvelm, 2023, ""The Canadian Historical GIS, 1901 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/6XFJNU,V2,2023-10
CITATION_CENSUS_1911,E33_Linguistic_Object,"Cunfer, Geoff; Richard, Laurent; St-Hilaire, Marc, 2023, ""The Canadian Historical GIS, 1911 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/7ZG4XV,V2,2023-10
CITATION_CENSUS_1921,E33_Linguistic_Object,"Cunfer, Geoff; Richard, Laurent; St-Hilaire, Marc, 2023, ""The Canadian Historical GIS, 1921 [Aggregate data]"", Borealis, V2",https://doi.org/10.5683/SP3/JPGS9B,V2,2023-10
