observation_id:ID,:LABEL,variable_name,variable_category,value_numeric:float,value_string,unit,source_table,notes
NB183006_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,1129.0,,persons,V1T1,
NB183006_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,980.0,,persons,V1T1,
NB183006_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,2109.0,,persons,V1T1,
NB183007_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,51000.0,,unknown,V1T1,
NB183007_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,4.0,,unknown,V1T1,
NB183007_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,245.0,,unknown,V1T1,
NB183007_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,4.0,,unknown,V1T1,
NB183007_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,21.0,,unknown,V1T1,
NB183007_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,249.0,,unknown,V1T1,
NB183007_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,261.0,,persons,V1T1,
NB183007_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,2015.0,,persons,V1T1,
NB183007_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,1034.0,,persons,V1T1,
NB183007_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,981.0,,persons,V1T1,
NB183007_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,295.0,,persons,V1T1,
NB183007_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,291.0,,persons,V1T1,
NB183007_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,586.0,,persons,V1T1,
NB183007_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,15.0,,persons,V1T1,
NB183007_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,24.0,,persons,V1T1,
NB183007_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,39.0,,persons,V1T1,
NB183007_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,724.0,,persons,V1T1,
NB183007_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,666.0,,persons,V1T1,
NB183007_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1390.0,,persons,V1T1,
NB184001_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,182000.0,,unknown,V1T1,
NB184001_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,14.0,,unknown,V1T1,
NB184001_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,328.0,,unknown,V1T1,
NB184001_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,13.0,,unknown,V1T1,
NB184001_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,17.0,,unknown,V1T1,
NB184001_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,342.0,,unknown,V1T1,
NB184001_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,348.0,,persons,V1T1,
NB184001_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,2393.0,,persons,V1T1,
NB184001_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,1198.0,,persons,V1T1,
NB184001_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,1195.0,,persons,V1T1,
NB184001_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,322.0,,persons,V1T1,
NB184001_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,321.0,,persons,V1T1,
NB184001_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,643.0,,persons,V1T1,
NB184001_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,28.0,,persons,V1T1,
NB184001_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,73.0,,persons,V1T1,
NB184001_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,101.0,,persons,V1T1,
NB184001_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,848.0,,persons,V1T1,
NB184001_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,801.0,,persons,V1T1,
NB184001_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1649.0,,persons,V1T1,
NB184002_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,149000.0,,unknown,V1T1,
NB184002_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,3.0,,unknown,V1T1,
NB184002_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,597.0,,unknown,V1T1,
NB184002_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,14.0,,unknown,V1T1,
NB184002_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,8.0,,unknown,V1T1,
NB184002_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,600.0,,unknown,V1T1,
NB184002_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,603.0,,persons,V1T1,
NB184002_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,3584.0,,persons,V1T1,
NB184002_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,1881.0,,persons,V1T1,
NB184002_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,1703.0,,persons,V1T1,
NB184002_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,490.0,,persons,V1T1,
NB184002_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,490.0,,persons,V1T1,
NB184002_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,980.0,,persons,V1T1,
NB184002_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,55.0,,persons,V1T1,
NB184002_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,85.0,,persons,V1T1,
NB184002_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,140.0,,persons,V1T1,
NB184002_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,1336.0,,persons,V1T1,
NB184002_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,1128.0,,persons,V1T1,
NB184002_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,2464.0,,persons,V1T1,
NB184003_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,1541000.0,,unknown,V1T1,
NB184003_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,5.0,,unknown,V1T1,
NB184003_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,337.0,,unknown,V1T1,
NB184003_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,27.0,,unknown,V1T1,
NB184003_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,11.0,,unknown,V1T1,
NB184003_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,342.0,,unknown,V1T1,
NB184003_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,347.0,,persons,V1T1,
NB184003_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,2186.0,,persons,V1T1,
NB184003_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,1146.0,,persons,V1T1,
NB184003_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,1040.0,,persons,V1T1,
NB184003_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,294.0,,persons,V1T1,
NB184003_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,296.0,,persons,V1T1,
NB184003_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,590.0,,persons,V1T1,
NB184003_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,30.0,,persons,V1T1,
NB184003_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,56.0,,persons,V1T1,
NB184003_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,86.0,,persons,V1T1,
NB184003_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,822.0,,persons,V1T1,
NB184003_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,688.0,,persons,V1T1,
NB184003_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1510.0,,persons,V1T1,
