year,cd_presence,excel_csds,gdb_csds,only_in_excel,only_in_gdb
1851,CD_ON_Essex_1851,10,11,,ON008999_1851
1851,CD_ON_Frontenac_1851,8,9,,ON009999_1851
1851,CD_QC_Bellechasse_1851,12,13,,QC049999_1851
1851,CD_QC_Berthier_1851,16,17,,QC050999_1851
1851,CD_QC_Bonaventure_1851,11,12,,QC051999_1851
1851,CD_QC_Champlain_1851,9,10,,QC053999_1851
1851,CD_QC_Deux-Montagnes_1851,17,18,,QC080999_1851
1851,CD_QC_Dorchester_1851,23,24,,QC054999_1851
1851,CD_QC_Gaspé_1851,11,12,,QC056999_1851
1851,CD_QC_Kamouraska_1851,11,12,,QC058999_1851
1851,CD_QC_L'Islet_1851,14,15,,QC060999_1851
1851,CD_QC_Leinster_1851,16,17,,QC059999_1851
1851,CD_QC_Megantic_1851,14,15,,QC062999_1851
1851,CD_QC_Montmorency_1851,11,12,,QC064999_1851
1851,CD_QC_Montréal_1851,13,13,QC084000_1851,QC065999_1851
1851,CD_QC_Portneuf_1851,13,14,,QC068999_1851
1851,CD_QC_Quebec_County_1851,14,14,QC085000_1851,QC069999_1851
1851,CD_QC_Rimouski_1851,21,22,,QC071999_1851
1851,CD_QC_Saguenay_1851,28,29,,QC074999_1851
1851,CD_QC_St._Maurice_1851,15,16,,QC073999_1851
1861,CD_ON_Brant_1861_1861,8,3,ON065003_1861;ON065004_1861;ON065005_1861;ON065006_1861;ON065008_1861,
1861,CD_ON_Bruce_1861,15,16,,ON066999_1861
1861,CD_ON_Essex_1861,13,14,,ON071999_1861
1861,CD_ON_Hastings_1861,14,15,,ON078999_1861
1861,CD_ON_Peterborough_1861,14,14,ON093014_1861,ON093999_1861
1861,CD_ON_Renfew_1861,21,1,ON096001_1861;ON096002_1861;ON096003_1861;ON096004_1861;ON096005_1861;ON096006_1861;ON096007_1861;ON096008_1861;ON096009_1861;ON096010_1861;ON096011_1861;ON096012_1861;ON096013_1861;ON096014_1861;ON096016_1861;ON096017_1861;ON096018_1861;ON096019_1861;ON096020_1861;ON096021_1861,
1861,CD_ON_Simcoe_1861,21,22,,ON098999_1861
1861,CD_ON_Victoria_1861,17,18,,ON100999_1861
1861,CD_QC_Argenteuil_1861,12,13,,QC002999_1861
1861,CD_QC_Beauce_1861,18,19,,QC005999_1861
1861,CD_QC_Bellechasse_1861,9,10,,QC007999_1861
1861,CD_QC_Berthier_1861,10,11,,QC008999_1861
1861,CD_QC_Bonaventure_1861,11,12,,QC009999_1861
1861,CD_QC_Champlain_1861,12,13,,QC012999_1861
1861,CD_QC_Charlevoix_1861,12,13,,QC013999_1861
1861,CD_QC_Chicoutimi_1861,22,23,,QC015999_1861
1861,CD_QC_Dorchester_1861,11,12,,QC017999_1861
1861,CD_QC_Gaspé_1861,17,18,,QC019999_1861
1861,CD_QC_Hochelaga_1861,7,8,,QC020999_1861
1861,CD_QC_Joliette_1861,14,15,,QC025999_1861
1861,CD_QC_Kamouraska_1861,13,14,,QC026999_1861
1861,CD_QC_L'Islet_1861,6,7,,QC023999_1861
1861,CD_QC_Maskinongé_1861,8,9,,QC031999_1861
1861,CD_QC_Montcalm_1861,11,12,,QC034999_1861
1861,CD_QC_Montmagny_1861,12,13,,QC035999_1861
1861,CD_QC_Montmorency_1861,11,12,,QC036999_1861
1861,CD_QC_Mégantic_1861,10,9,QC032001_1861,
1861,CD_QC_Pontiac_1861,21,22,,QC040999_1861
1861,CD_QC_Portneuf_1861,11,12,,QC041999_1861
1861,CD_QC_Rimouski_1861,13,14,,QC045999_1861
1861,CD_QC_Saguenay_1861,10,11,,QC047999_1861
1861,CD_QC_St._Maurice_1861,7,8,,QC052999_1861
1861,CD_QC_Temiscouata_1861,14,15,,QC054999_1861
1871,CD_NS_Annapolis_1871,15,16,,NS190999_1871
1871,CD_NS_Digby_1871,14,15,,NS191999_1871
1871,CD_NS_Guysborough_1871,15,16,,NS202999_1871
1871,CD_NS_Hants_1871,14,15,,NS188999_1871
1871,CD_NS_Inverness_1871,16,17,,NS203999_1871
1871,CD_NS_Pictou_1871,22,23,,NS200999_1871
1871,CD_NS_Shelburne_1871,8,9,,NS193999_1871
1871,CD_NS_Victoria_1871,12,13,,NS204999_1871
1871,CD_NS_Yarmouth_1871,10,11,,NS192999_1871
1871,"CD_ON_Brant,_North_or_East—Nord_ou_East_1871",4,5,,ON015005_1871
1871,"CD_ON_Brant,_South_or_West—Sud_ou_West_1871",5,4,ON015005_1871,
1871,CD_ON_Bruce_North_1871,8,9,,ON028999_1871
1871,CD_ON_Huron_North_1871,12,11,ON026006_1871,
1871,CD_ON_Huron_South_1871,7,8,,ON026006_1871
1871,CD_ON_Lanark_South_1871,10,9,ON079004_1871,
1871,CD_ON_Leeds_South_1871,9,10,,ON079004_1871
1871,CD_ON_Muskoka_1871,12,13,,ON085999_1871
1871,CD_ON_Peterborough_East_1871,6,13,,ON058001_1871;ON058002_1871;ON058003_1871;ON058004_1871;ON058005_1871;ON058006_1871;ON058007_1871
1871,CD_QC_Bonaventure_1871,13,14,,QC169999_1871
1871,CD_QC_Charlevoix_1871,11,12,,QC149999_1871
1871,CD_QC_Chicoutimi_1871,11,12,,QC150999_1871
1871,CD_QC_Gaspé_Centre_1871,8,9,,QC171999_1871
1871,CD_QC_Hochelaga_1871,10,11,,QC107999_1871
1871,CD_QC_Joliette_1871,13,14,,QC102999_1871
1871,CD_QC_Labrador_1871,11,12,,QC152999_1871
1871,CD_QC_Maskinongé_1871,8,9,,QC128999_1871
1871,CD_QC_Montcalm_1871,8,9,,QC101999_1871
1871,CD_QC_Montmorency_1871,12,13,,QC148999_1871
1871,CD_QC_Ottaoua_Centre_1871,9,10,,QC094999_1871
1871,CD_QC_Portneuf_1871,13,14,,QC143999_1871
1871,CD_QC_Saguenay_1871,2,3,,QC151999_1871
1871,CD_QC_Temiscouata_1871,15,16,,QC166999_1871
1881,CD_MB_Provencher_1881,6,6,MB184006_1881,MB184999_1881
1881,CD_NS_Annapolis_1881,15,16,,NS016999_1881
1881,CD_NS_Digby_1881,16,17,,NS015999_1881
1881,CD_NS_Guysborough_1881,19,20,,NS008999_1881
1881,CD_NS_Halifax_City_1881,39,40,,NS010999_1881
1881,CD_NS_Hants_1881,16,17,,NS018999_1881
1881,CD_NS_Pictou_1881,26,27,,NS020999_1881
1881,CD_NS_Shelburne_1881,11,12,,NS013999_1881
1881,CD_NS_Victoria_1881,14,15,,NS005999_1881
1881,CD_NS_Yarmouth_1881,10,11,,NS014999_1881
1881,CD_NT_The_Territories_1881,18,19,,NT193999_1881
1881,CD_ON_Algoma_1881,33,34,,ON182999_1881
1881,CD_ON_Bruce_North_1881,13,14,,ON177999_1881
1881,CD_ON_Kent_1871_1881,9,10,,ON180999_1881
1881,CD_ON_Muskoka_1881,26,27,,ON131999_1881
1881,CD_QC_Beauce_1881,21,22,,QC048999_1881
1881,CD_QC_Berthier_1881,11,12,,QC086999_1881
1881,CD_QC_Bonaventure_1881,18,19,,QC038999_1881
1881,CD_QC_Champlain_1881,15,16,,QC082999_1881
1881,CD_QC_Charlevoix_1881,12,13,,QC077999_1881
1881,CD_QC_Chicoutimi_&_Saguenay_1881,32,33,,QC076999_1881
1881,CD_QC_Gaspé_1881,23,24,,QC039999_1881
1881,CD_QC_Hochelaga_1881,19,20,,QC091999_1881
1881,CD_QC_Joliette_1881,13,14,,QC087999_1881
1881,CD_QC_Maskinongé_1881,11,12,,QC085999_1881
1881,CD_QC_Montcalm_1881,9,10,,QC089999_1881
1881,CD_QC_Montmorency_1881,13,14,,QC078999_1881
1881,CD_QC_Montréal_1881_1881,9,10,,QC090999_1881
1881,CD_QC_Pontiac_1881,19,20,,QC098999_1881
1881,CD_QC_Portneuf_1881,16,17,,QC081999_1881
1881,CD_QC_Quebec_County_1881,11,12,,QC080999_1881
1881,CD_QC_Rimouski_1881,26,27,,QC040999_1881
1881,CD_QC_Temiscouata_1881,21,22,,QC041999_1881
1881,CD_QC_Trois-Rivières_&_St._Maurice_1881,9,10,,QC084999_1881
1891,CD_MB_Provencher_1891_1891_1891,16,9,MB008001_1891;MB008002_1891;MB008003_1891;MB008004_1891;MB008011_1891;MB008014_1891;MB008016_1891,
1891,CD_NB_Kent_1891,10,11,,NB028999_1891
1891,CD_NB_St._John_1891,9,18,,NB020001_1891;NB020002_1891;NB020003_1891;NB020004_1891;NB020005_1891;NB020006_1891;NB020007_1891;NB020008_1891;NB020009_1891
1891,CD_NS_Annapolis_1891,28,29,,NS026999_1891
1891,CD_NS_Cape_Breton_1891,25,24,NS028016_1891,
1891,CD_NS_Digby_1891,22,23,,NS031999_1891
1891,CD_NS_Guysborough_1891,20,21,,NS032999_1891
1891,CD_NS_Halifax_City_1891,7,45,,NS034001_1891;NS034002_1891;NS034003_1891;NS034004_1891;NS034005_1891;NS034006_1891;NS034007_1891;NS034008_1891;NS034009_1891;NS034010_1891;NS034011_1891;NS034012_1891;NS034013_1891;NS034014_1891;NS034015_1891;NS034016_1891;NS034017_1891;NS034018_1891;NS034019_1891;NS034020_1891;NS034021_1891;NS034022_1891;NS034023_1891;NS034024_1891;NS034025_1891;NS034026_1891;NS034027_1891;NS034028_1891;NS034029_1891;NS034030_1891;NS034031_1891;NS034032_1891;NS034033_1891;NS034034_1891;NS034035_1891;NS034036_1891;NS034037_1891;NS034999_1891
1891,CD_NS_Hants_1891,22,23,,NS035999_1891
1891,CD_NS_Inverness_1891,21,22,,NS036999_1891
1891,CD_NS_Pictou_1891,27,28,,NS039999_1891
1891,CD_NS_Shelburne_1891,18,19,,NS042999_1891
1891,CD_NS_Victoria_1891,16,17,,NS043999_1891
1891,CD_NS_Yarmouth_1891,23,24,,NS044999_1891
1891,CD_NT_The_Unorganized_Territories_1891,1,2,,NT202999_1891
1891,CD_ON_Kingston_City_1881_1891,7,6,ON080001_1891,
1891,CD_ON_Nipissing_1891_1891,12,14,,ON046001_1891;ON046008_1891
1891,CD_ON_Toronto_City_1881_1891,9,8,ON120008_1891,
1891,CD_ON_York_West_1891,8,9,,ON120008_1891
1891,CD_QC_Beauce_1891,27,28,,QC139999_1891
1891,CD_QC_Berthier_1891,12,13,,QC142999_1891
1891,CD_QC_Bonaventure_1891,20,21,,QC143999_1891
1891,CD_QC_Champlain_1891_1891_1891,18,1,QC146001_1891;QC146002_1891;QC146003_1891;QC146004_1891;QC146005_1891;QC146006_1891;QC146007_1891;QC146008_1891;QC146009_1891;QC146010_1891;QC146011_1891;QC146012_1891;QC146013_1891;QC146014_1891;QC146015_1891;QC146016_1891;QC146017_1891;QC146018_1891,QC146999_1891
1891,CD_QC_Charlevoix_1891,12,13,,QC147999_1891
1891,CD_QC_Chicoutimi_&_Saguenay_1891,39,40,,QC149999_1891
