csd_id,csd_name,cd_id,cd_name,wikidata_qid,wikidata_label,wikidata_types,distance_km,our_lat,our_lon
NB022001,Alma,CD_NB_Albert,Albert,Q3365750,Alma Parish,parish of New Brunswick,0.85,45.634105,-65.008148
NB022002,Coverdale,CD_NB_Albert,Albert,Q280281,Coverdale Parish,parish of New Brunswick,2.59,46.005995,-64.878494
NB022003,Elgin,CD_NB_Albert,Albert,Q5360046,Elgin Parish,parish of New Brunswick,18.22,45.80625,-65.033278
NB022004,Harvey,CD_NB_Albert,Albert,Q3365764,Harvey Parish,parish of New Brunswick,2.76,45.705786,-64.811589
NB022005,Hillsborough,CD_NB_Albert,Albert,Q3365768,Hillsborough Parish,parish of New Brunswick,5.35,45.905158,-64.766007
NB022006,Hopewell,CD_NB_Albert,Albert,Q3365770,Hopewell Parish,parish of New Brunswick,4.13,45.80271,-64.686599
NB023001,Aberdeen,CD_NB_Carleton,Carleton,Q3296641,Aberdeen Parish,parish of New Brunswick,1.64,46.507014,-67.281126
NB023002,Brighton,CD_NB_Carleton,Carleton,Q3365787,Brighton Parish,parish of New Brunswick,2.69,46.33083,-67.359889
NB023003,Kent,CD_NB_Carleton,Carleton,Q3365832,Kent Parish,parish of New Brunswick,10.88,46.620351,-67.299346
NB023004,Northampton,CD_NB_Carleton,Carleton,Q3365862,Northampton Parish,parish of New Brunswick,8.35,46.131733,-67.471435
NB023005,Peel,CD_NB_Carleton,Carleton,Q7160236,Peel Parish,parish of New Brunswick,6.03,46.406679,-67.531214
NB023006,Richmond,CD_NB_Carleton,Carleton,Q3365875,Richmond Parish,parish of New Brunswick,5.19,46.077577,-67.72473
NB023007,Simonds,CD_NB_Carleton,Carleton,Q3365925,Simonds Parish,local service district of New Brunswick; parish of New Brunswick,6.07,46.366215,-67.606063
NB023008,Wakefield,CD_NB_Carleton,Carleton,Q7961063,Wakefield Parish,parish of New Brunswick,8.34,46.240485,-67.626094
NB023009,Wicklow,CD_NB_Carleton,Carleton,Q3365948,Wicklow Parish,parish of New Brunswick,7.47,46.501449,-67.706773
NB023010,Wilmot,CD_NB_Carleton,Carleton,Q8022837,Wilmot Parish,parish of New Brunswick,8.37,46.34701,-67.709882
NB023011,Woodstock,CD_NB_Carleton,Carleton,Q3365949,Woodstock Parish,parish of New Brunswick,0.68,46.065954,-67.597958
NB023013,"Hartland, T-V",CD_NB_Carleton,Carleton,Q1019096,Hartland,town,1.16,46.29818,-67.501775
NB023014,"Woodstock, T-V",CD_NB_Carleton,Carleton,Q2559651,Woodstock,town in New Brunswick,1.16,46.145011,-67.587506
NB024001,Campobello,CD_NB_Charlotte,Charlotte,Q3365793,Campobello Parish,parish of New Brunswick,1.12,44.888121,-66.935818
NB024002,Clarendon,CD_NB_Charlotte,Charlotte,Q3365801,Clarendon Parish,parish of New Brunswick,1.65,45.406521,-66.621699
NB024003,Dufferin,CD_NB_Charlotte,Charlotte,Q3365809,Dufferin Parish,parish of New Brunswick,0.12,45.179209,-67.212545
NB024004,Dumbarton,CD_NB_Charlotte,Charlotte,Q3365812,Dumbarton Parish,parish of New Brunswick,2.68,45.411974,-67.049462
NB024005,Grand Manan,CD_NB_Charlotte,Charlotte,Q54801369,Grand Manan,village of New Brunswick,1.28,44.696433,-66.806129
NB024006,Lepreau,CD_NB_Charlotte,Charlotte,Q3365835,Lepreau Parish,parish of New Brunswick,4.49,45.214896,-66.524236
NB024007,Pennfield,CD_NB_Charlotte,Charlotte,Q3365867,Pennfield Parish,parish of New Brunswick,3.7,45.187264,-66.688936
NB024008,St. Andrews,CD_NB_Charlotte,Charlotte,Q3365886,Saint Andrews Parish,parish of New Brunswick,1.33,45.120436,-67.064763
NB024009,Ste. Croix,CD_NB_Charlotte,Charlotte,Q3365913,Saint Croix Parish,parish of New Brunswick,1.74,45.205669,-67.111705
NB024010,St. David,CD_NB_Charlotte,Charlotte,Q3365890,Saint David Parish,parish of New Brunswick,1.43,45.290066,-67.19786
NB024011,St. George,CD_NB_Charlotte,Charlotte,Q3365892,Saint George Parish,parish of New Brunswick,7.39,45.288382,-66.849815
NB024012,St. James,CD_NB_Charlotte,Charlotte,Q3365900,Saint James Parish,parish of New Brunswick,0.26,45.382863,-67.342753
NB024013,St. Patrick,CD_NB_Charlotte,Charlotte,Q7401996,Saint Patrick Parish,local service district of New Brunswick; parish of New Brunswick,7.41,45.237613,-66.992984
NB024014,St. Stephen,CD_NB_Charlotte,Charlotte,Q14875636,Saint Stephen Parish,parish of New Brunswick,0.51,45.207385,-67.322552
NB024015,West Isles,CD_NB_Charlotte,Charlotte,Q7985568,West Isles Parish,parish of New Brunswick,2.41,44.982346,-66.97514
