csd_id,csd_name,matched_qid,matched_label,min_inception,max_inception,predecessor_qids,predecessor_labels,predecessor_inception_min
QC050015,"St. Honoré, par.",Q3462423,Saint-Honoré,1972,1972,,,
QC050024,"St. Ambroise, VL",Q3461746,Saint-Ambroise,1971,1971,,,
QC051006,Compton,Q2990879,Compton,1994,1994,Q138228646;Q138229482,Q138228646=Compton;Q138229482=Compton,1855
QC051010,Hereford (St. Herménégilde),Q63243263,Hereford,1965,1965,,,
QC051011,La Patrie (Ditton),Q1844577,La Patrie,1997,1997,Q138161317;Q138161436,Q138161317=Ditton;Q138161436=La Patrie,1876
QC051020,"Compton, VL",Q2990879,Compton,1994,1994,Q138228646;Q138229482,Q138228646=Compton;Q138229482=Compton,1855
QC052006,St. Eustache,Q141505,Saint-Eustache,1972,1972,,,
QC053004,Ste. Claire,Q3464213,Sainte-Claire,1977,1977,,,
QC053009,St. Isidore,Q3462458,Saint-Isidore,1993,1993,,,
QC053021,"St. Anselme, VL",Q3461785,Saint-Anselme,1998,1998,,,
QC054010,St. Germain de Grantham,Q3462266,Saint-Germain-de-Grantham,1995,1995,Q138066885;Q138066927,Q138066885=Saint-Germain-de-Grantham;Q138066927=Saint-Germain-de-Grantham,1858
QC055010,St. Gédéon de Marlow,Q3462367,Saint-Gédéon-de-Beauce,2003,2003,Q138846311;Q7400645,Q138846311=Saint-Gédéon-de-Beauce;Q7400645=Saint-Gédéon,1900
QC055023,"Lambton, VL",Q3216692,Lambton,1976,1976,,,
QC056012,Grande Rivière,Q142969,Grande-Rivière,1974,1974,Q138660423;Q115099900;Q115099931,Q138660423=Grande-Rivière;Q115099900=Grande-Rivière-Ouest;Q115099931=Petit-Pabos,1855
QC056018,"Hâvre Aubert, par.",Q3128714,Havre-Aubert,1951,1951,,,
QC056025,Percé,Q141991,Percé,1971,1971,Q108261297;Q139032279;Q2883748;Q139032487;Q108420080,Q108261297=Cape Cove;Q139032279=Percé;Q2883748=Barachois;Q139032487=Saint-Pierre-de-la-Malbaie No 2;Q108420080=Bridgeville,1868
QC057030,"Aylmer, T-V",Q2874904,Aylmer,1975,1975,Q21008315;Q138372625;Q138374393,Q21008315=Deschênes;Q138372625=Aylmer;Q138374393=Lucerne,1847
QC057032,"Gracefield, VL",Q141536,Gracefield,2002,2002,Q138554356;Q29307598;Q63854222,Q138554356=Gracefield;Q29307598=Wright;Q63854222=Northfield,1864
QC058003,Franklin,Q3082928,Franklin,1973,1973,,,
QC059001,St. Alexandre,Q3461713,Saint-Alexandre,1988,1988,,,
QC060001,French,Q28154585,French,1966,1966,,,
QC061008,St. Eleuthère (Pohénégamook),Q142284,Pohénégamook,1973,1973,,,
QC061013,St. Pacôme,Q379188,Saint-Pacôme,1980,1980,Q138796189;Q138796226,Q138796189=Saint-Pacôme;Q138796226=Saint-Pacôme,1866
QC061014,St. Pascal,Q142451,Saint-Pascal,1939,1939,,,
QC062014,Décarie,Q63242969,Décarie,1965,1965,,,
QC062026,Lesage,Q63243781,Lesage,1965,1965,,,
QC062045,Ripon,Q3433048,Ripon,2000,2000,Q138732141;Q138732187,Q138732141=Ripon;Q138732187=Ripon,1861
QC062048,St. André Avelin,Q2362715,Saint-André-Avellin,1997,1997,Q138721960;Q138722001,Q138721960=Saint-André-Avellin;Q138722001=Saint-André-Avellin,1855
QC062059,"Chénéville, VL",Q2972038,Chénéville,1996,1996,Q112836860;Q138729958,Q112836860=Vinoy;Q138729958=Chénéville,1903
QC062060,"Ferme Neuve, VL",Q948364,Ferme-Neuve,1997,1997,Q138527598;Q138527697,Q138527598=Ferme-Neuve;Q138527697=Ferme-Neuve,1901
QC062061,"Labelle, VL",Q3214315,Labelle,1973,1973,Q138208300;Q138208363,Q138208300=Joly;Q138208363=Labelle,1883
QC062065,"Mont Laurier, VL",Q142058,Mont-Laurier,2003,2003,,,
QC063003,"Hébertville, par.",Q138303777,Hébertville,2026,2026,Q3144525;Q3461928;Q3144527,Q3144525=Hébertville;Q3461928=Saint-Bruno;Q3144527=Hébertville-Station,1859
QC063018,"St. Gédéon, par.",Q3462366,Saint-Gédéon,1975,1975,Q138779669;Q138779703,Q138779669=Saint-Gédéon;Q138779703=Saint-Gédéon,1887
QC063020,"St. Jérôme, par. (Caron  & Metabetchouan tps.-cts. pt.)",Q63730953,Métabetchouan,1975,1975,Q138786075;Q138786177,Q138786075=Saint-Jérôme;Q138786177=Saint-Jérôme,1873
QC063028,"Hébertville, VL",Q138303777,Hébertville,2026,2026,Q3144525;Q3461928;Q3144527,Q3144525=Hébertville;Q3461928=Saint-Bruno;Q3144527=Hébertville-Station,1859
QC063033,"St. Gédéon, VL",Q3462366,Saint-Gédéon,1975,1975,Q138779669;Q138779703,Q138779669=Saint-Gédéon;Q138779703=Saint-Gédéon,1887
QC066017,"St. Henri, VL",Q3462390,Saint-Henri,1976,1976,,,
QC067003,L'Islet,Q953369,L'Islet,2000,2000,Q3204355;Q2373841;Q3204356,Q3204355=L'Islet-sur-Mer;Q2373841=Saint-Eugène;Q3204356=L'Islet,1868
QC068001,Deschaillons (St. Jean),Q3024305,Deschaillons-sur-Saint-Laurent,1990,1990,Q138318987;Q138319103,Q138318987=Deschaillons;Q138319103=Deschaillons-sur-Saint-Laurent,1891
QC068003,St. Agapit de Beaurivage,Q3461677,Saint-Agapit,1979,1979,,,
QC068007,Ste. Croix,Q3464232,Sainte-Croix,2001,2001,,,
QC068020,"Fortierville, VL",Q3078488,Fortierville,1998,1998,Q138529525;Q138529569,Q138529525=Sainte-Philomène-de-Fortierville;Q138529569=Fortierville,1882
QC068022,"Leclercville, VL",Q3228751,Leclercville,2000,2000,Q139541202;Q139541186,Q139541202=Sainte-Emmélie;Q139541186=Leclercville,1863
QC068023,"Lotbinière, VL",Q3259966,Lotbinière,1979,1979,Q139541216;Q139541242,Q139541216=Saint-Louis-de-Lotbinière;Q139541242=Lotbinière,1855
QC068024,"St. Agapit, VL",Q3461677,Saint-Agapit,1979,1979,,,
QC069003,Louiseville (Rivière du Loup),Q141410,Louiseville,1988,1988,,,
QC069004,St. Alexis des Monts,Q3461718,Saint-Alexis-des-Monts,1984,1984,,,
QC069007,St. Edouard de Maskinongé,Q3463569,Saint-Édouard-de-Maskinongé,1950,1950,,,
QC069014,"Louiseville, T-V",Q141410,Louiseville,1988,1988,,,
QC070009,Ste. Félicité,Q3464274,Sainte-Félicité,1996,1996,,,
QC070020,St. Ulric de la Rivière Blanche,Q3463458,Saint-Ulric,2000,2000,Q138002345;Q138002366,Q138002345=Saint-Ulric;Q138002366=Saint-Ulric-de-Matane,1860
QC070027,"Val Brillant, VL",Q771284,Val-Brillant,1986,1986,Q136588588;Q138016279,Q136588588=Saint-Pierre-du-Lac;Q138016279=Val-Brillant,1890
QC071004,Inverness,Q3153881,Inverness,1998,1998,,,
QC071023,"Inverness, VL",Q3153881,Inverness,1998,1998,,,
QC071024,"Laurierville, VL",Q3219674,Laurierville,1997,1997,Q112836834;Q139491054,Q112836834=Sainte-Julie;Q139491054=Laurierville,1855
QC071025,"Lyster, VL",Q3269804,Lyster,1976,1976,,,
QC071026,"Plessisville, VL",Q124101719,Plessisville,2024,2024,Q766671;Q141378,Q766671=Plessisville;Q141378=Plessisville,1855
QC072001,Dunham,Q142229,Dunham,1971,1971,Q138207981;Q138208247,Q138207981=Dunham;Q138208247=Dunham,1855
QC072017,"Dunham, VL",Q142229,Dunham,1971,1971,Q138207981;Q138208247,Q138207981=Dunham;Q138208247=Dunham,1855
QC072018,"Frelighsburg, VL",Q3087431,Frelighsburg,1985,1985,Q138530673;Q138531105,Q138530673=Frelighsburg;Q138531105=Frelighsburg,1855
QC073002,St. Alexis,Q3461722,Saint-Alexis,2012,2012,Q3461721,Q3461721=Saint-Alexis,1855
QC073006,St. Jacques de l'Achigan,Q3462483,Saint-Jacques,1998,1998,,,
QC073014,"St. Alexis, VL",Q3461722,Saint-Alexis,2012,2012,Q3461721,Q3461721=Saint-Alexis,1855
QC074014,"Montmagny, T-V",Q141946,Montmagny,1966,1966,,,
QC076023,"Laval de Montréal, T-V",Q141810,Laval,1965,1965,Q111967105;Q2964407;Q3219746,Q111967105=Montréal-Laval-Lanaudière-Laurentides-Montérégie;Q2964407=Chomedey;Q3219746=Laval-des-Rapides,1912
QC076026,"Montréal W.-O., T-V",Q138997,Montreal West,2006,2006,,,
QC076031,"Ste. Anne de Bellevue, T-V",Q141500,Sainte-Anne-de-Bellevue,2006,2006,,,
QC076047,"Laval des Rapides, T-V",Q141810,Laval,1965,1965,Q111967105;Q2964407;Q3219746,Q111967105=Montréal-Laval-Lanaudière-Laurentides-Montérégie;Q2964407=Chomedey;Q3219746=Laval-des-Rapides,1912
QC078001,Bécancour,Q141542,Bécancour,1965,1965,Q5533651;Q14875509;Q17640481;Q17632423;Q3541249;Q17622398;Q17638843;Q17638848;Q2372759;Q7402345;Q17632461,Q5533651=Gentilly;Q14875509=Bécancour;Q17640481=Villers;Q17632423=Larochelle;Q3541249=Le Précieux-Sang;Q17622398=Bécancour;Q17638843=Saint-Grégoire-le-Grand;Q17638848=Saint-Édouard-de-Gentilly;Q2372759=Sainte-Angèle;Q7402345=Sainte-Gertrude;Q17632461=Laval,1855
QC078013,St. Léonard d'Aston,Q2392099,Saint-Léonard-d'Aston,1994,1994,Q138114566;Q138114179,Q138114566=Saint-Léonard-d'Aston;Q138114179=Saint-Léonard,1864
QC078014,Ste. Marie de Blandford,Q3464353,Sainte-Marie-de-Blandford,1976,1976,,,
QC078015,Ste. Monique,Q428466,Sainte-Monique,1996,1996,,,
QC078017,St. Pierre les Becquets,Q3463195,Saint-Pierre-les-Becquets,1986,1986,,,
QC078026,"Bécancour, VL",Q141542,Bécancour,1965,1965,Q5533651;Q14875509;Q17640481;Q17632423;Q3541249;Q17622398;Q17638843;Q17638848;Q2372759;Q7402345;Q17632461,Q5533651=Gentilly;Q14875509=Bécancour;Q17640481=Villers;Q17632423=Larochelle;Q3541249=Le Précieux-Sang;Q17622398=Bécancour;Q17638843=Saint-Grégoire-le-Grand;Q17638848=Saint-Édouard-de-Gentilly;Q2372759=Sainte-Angèle;Q7402345=Sainte-Gertrude;Q17632461=Laval,1855
QC079004,Allumette Island—Ile,Q1550291,L'Isle-aux-Allumettes,1998,1998,Q138026168;Q5072963;Q138026199,Q138026168=L'Isle-aux-Allumettes;Q5072963=Chapeau;Q138026199=L'Isle-aux-Allumettes-Partie-Est,1855
QC080003,Deschambault (St. Joseph),Q985593,Deschambault-Grondines,2002,2002,,,
QC080004,Grondines,Q985593,Deschambault-Grondines,2002,2002,,,
QC080006,Neuville (Pointe aux Trembles),Q142490,Neuville,1997,1997,,,
QC080008,Portneuf (Notre Dame de),Q142430,Portneuf,2002,2002,,,
QC080018,St. Raymond,Q142097,Saint-Raymond,1995,1995,Q137772061;Q137772105,Q137772061=Saint-Raymond (parish);Q137772105=Saint-Raymond (town),1855
QC080022,"Donnacona, T-V",Q141639,Donnacona,1967,1967,,,
QC080026,"Neuville, VL",Q142490,Neuville,1997,1997,,,
QC080028,"Pont Rouge, VL",Q142313,Pont-Rouge,1996,1996,Q134392378;Q134392444,Q134392378=Sainte-Jeanne-de-Pont-Rouge;Q134392444=Pont-Rouge,1868
QC080029,"Portneuf, VL",Q142430,Portneuf,2002,2002,,,
QC080034,"St. Raymond, VL",Q142097,Saint-Raymond,1995,1995,Q137772061;Q137772105,Q137772061=Saint-Raymond (parish);Q137772105=Saint-Raymond (town),1855
QC081001,Ancienne Lorette,Q142218,L'Ancienne-Lorette,2006,2006,,,
QC081011,St. Gabriel de Valcartier,Q3462213,Saint-Gabriel-de-Valcartier,1985,1985,,,
QC082006,St. Ours,Q142405,Saint-Ours,1991,1991,,,
QC082012,"St. Ours, T-V",Q142405,Saint-Ours,1991,1991,,,
QC083005,St. Georges de Windsor,Q3462243,Saint-Georges-de-Windsor,1994,1994,,,
QC083008,Windsor,Q139415,Windsor,1999,1999,,,
QC083011,"Richmond, T-V",Q139694,Richmond,1999,1999,,,
QC083012,"Windsor, T-V",Q139415,Windsor,1999,1999,,,
QC084014,Ste. Luce,Q3464325,Sainte-Luce,2001,2001,,,
QC084022,"Mont Joli, VL",Q141717,Mont-Joli,2001,2001,,,
QC084023,"Ste. Angèle de Mérici, VL",Q3464147,Sainte-Angèle-de-Mérici,1989,1989,,,
QC085001,L'Ange Gardien,Q2849264,Ange-Gardien,1997,1997,,,
QC085003,Ste. Angèle de Monnoir,Q3464146,Sainte-Angèle-de-Monnoir,1968,1968,,,
QC085014,"Rougemont, VL",Q3443238,Rougemont,2000,2000,,,
QC086007,Sacré Cœur de Jésus & Labrosse tp.-ct.,Q3461040,Sacré-Coeur,1973,1973,,,
QC086024,Blanc Sablon,Q2905888,Blanc-Sablon,1990,1990,,,
QC086025,Bonne Espérance,Q2910208,Bonne-Espérance,1990,1990,,,
QC086031,Canton Franquelin,Q3082976,Franquelin,1978,1978,,,
QC086058,Longue Pointe,Q3259157,Longue-Pointe-de-Mingan,1966,1966,,,
QC086062,Mingan,Q63244299,Mingan,1965,1965,,,
QC086082,Rivière St. Jean,Q3433584,Rivière-Saint-Jean,1966,1966,,,
QC086083,St. Augustin,Q2212297,Saint-Augustin,1993,1993,,,
QC086084,Sept Iles  (St. Joseph de),Q141699,Sept-Îles,2003,2003,,,
QC086091,Anticosti Island—Ile,Q4543508,L'Île-d'Anticosti,1984,1984,,,
QC089001,Côteau du Lac (St. Ignace),Q141571,Coteau-du-Lac,1982,1982,Q138277836;Q138277576,Q138277836=Saint-Ignace-du-Coteau-du-Lac;Q138277576=Coteau-du-Lac,1855
QC089007,"Côteau du Lac, VL",Q141571,Coteau-du-Lac,1982,1982,Q138277836;Q138277576,Q138277836=Saint-Ignace-du-Coteau-du-Lac;Q138277576=Coteau-du-Lac,1855
QC089010,"Rivière Beaudette, VL",Q3433555,Rivière-Beaudette,1990,1990,,,
QC090010,"Magog, T-V",Q142004,Magog,2002,2002,,,
QC090013,"Dixville, VL",Q369807,Dixville,1995,1995,Q138427190;Q138427279,Q138427190=Saint-Mathieu-de-Dixville;Q138427279=Dixville,1874
QC090014,"Hatley, VL",Q3128316,Hatley,1995,1995,Q138661887;Q138661905,Q138661887=Hatley;Q138661905=Hatley-Partie-Ouest,1912
QC092010,"Lacolle, VL",Q3215834,Lacolle,2001,2001,Q138849373;Q16917144,Q138849373=Lacolle;Q16917144=Notre-Dame-du-Mont-Carmel,1913
QC094012,Fabre,Q63243137,Fabre,1965,1965,,,
QC094018,Guérin,Q63243238,Guérin,1940,1940,,,
QC094022,Landrienne,Q30322653,Landrienne,1936,1936,,,
QC094043,Senneterre,Q63244591,Senneterre,1965,1965,,,
QC094060,"Amos, VL",Q132681711,Amos,2025,2025,Q141705;Q3462198,Q141705=Amos;Q3462198=Saint-Félix-de-Dalquier,1914
QC095002,Cacouna (St. Georges),Q2932587,Cacouna,2006,2006,,,
QC095003,L'Isle Verte,Q3204352,L'Isle-Verte,2000,2000,,,
QC095020,St. Marc du Lac Long,Q3462858,Saint-Marc-du-Lac-Long,1938,1938,,,
QC095031,"Cacouna (St. Georges de), VL",Q2932587,Cacouna,2006,2006,,,
QC096004,Ivry sur le Lac,Q3156361,Ivry-sur-le-Lac,2006,2006,,,
QC097001,Rigaud (Ste. Madeleine),Q3431913,Rigaud,1995,1995,,,
QC097005,Ste. Marthe,Q3464374,Sainte-Marthe,1980,1980,,,
QC097009,"Rigaud, T-V",Q3431913,Rigaud,1995,1995,,,
QC098002,Contrecoeur,Q141547,Contrecœur,1976,1976,Q138271762;Q138273750,Q138271762=Contrecœur;Q138273750=Contrecœur,1855
QC098008,Verchères,Q2514459,Verchères,1971,1971,,,
QC098013,"Verchères, VL",Q2514459,Verchères,1971,1971,,,
QC099002,Dudswell,Q731955,Dudswell,1995,1995,Q17462027;Q112836757;Q138456226,Q17462027=Bishopton;Q112836757=Marbleton;Q138456226=Dudswell,1855
QC099013,Weedon,Q3567038,Weedon,1996,1996,Q138528745;Q131830552,Q138528745=Weedon;Q131830552=Weedon-Centre,1855
QC099015,Wotton,Q956507,Wotton,1993,1993,,,
QC100007,St. François du Lac,Q3462181,Saint-François-du-Lac,1997,1997,,,
QC100017,"Pierreville, VL",Q3387912,Pierreville,2001,2001,,,
QC100018,"St. François du Lac, VL",Q3462181,Saint-François-du-Lac,1997,1997,,,
QC100019,"St. Guillaume, VL",Q3462360,Saint-Guillaume,1995,1995,Q138103957;Q138105337,Q138103957=Saint-Guillaume;Q138105337=Saint-Guillaume,1867
