csd_id,csd_name,matched_qid,matched_label,min_inception,max_inception,predecessor_qids,predecessor_labels,predecessor_inception_min
AB189016,64. Forty Mile,Q5472982,County of Forty Mile No. 8,1954,1954,,,
AB199011,548. Sturgeon,Q7628998,Sturgeon County,1955,1955,,,
MB156005,Rhineland,Q18378256,Rhineland,2015,2015,Q1661025,Q1661025=Rhineland,
MB157002,Lorne,Q18378208,Lorne,2015,2015,Q1660604;Q2848316;Q634264,Q1660604=Lorne;Q2848316=Notre-Dame-de-Lourdes;Q634264=Somerset,1889
MB164005,McCreary,Q2848295,McCreary,1964,1964,,,
MB166001,Armstrong,Q1657638,Armstrong,1945,1945,,,
MB167006,Ste Rose,Q18378262,Ste. Rose,2015,2015,Q1661557;Q138976,Q1661557=Ste. Rose;Q138976=Ste. Rose du Lac,1889
MB168002,Gilbert Plains,Q18702171,Gilbert Plains,2015,2015,Q1659686;Q117978,Q1659686=Gilbert Plains;Q117978=Gilbert Plains,1897
MB168003,Grandview,Q18345798,Grandview,2015,2015,Q1659848,Q1659848=Grandview,
NB028011,St. Léonard,Q7400719,Saint-Léonard Parish,1966,1966,,,
ON133001,Brock,Q387094,Brock,1974,1974,,,
ON133007,Scugog,Q386919,Scugog,1974,1974,,,
ON134010,Zorra E,Q5329738,East Zorra-Tavistock,1975,1975,,,
ON136002,Caledon,Q424659,Caledon,1974,1974,,,
QC038010,Ste. Clothilde de Horton,Q3464220,Sainte-Clotilde-de-Horton,1997,1997,Q138064146;Q138065977,Q138064146=Sainte-Clothilde-de-Horton;Q138065977=Sainte-Clotilde-de-Horton,1864
QC038018,Tingwick,Q3529187,Tingwick,1981,1981,Q138056910;Q138056416,Q138056910=Tingwick;Q138056416=Chénier,1864
QC038023,"Daveluyville, VL",Q60649450,Daveluyville,2016,2016,Q142414;Q3464167,Q142414=Daveluyville;Q3464167=Sainte-Anne-du-Sault,1889
QC039005,Ste. Hélène,Q3464297,Sainte-Hélène-de-Bagot,1977,1977,,,
QC039018,"Upton, VL",Q1001007,Upton,1998,1998,Q138094387;Q138094585,Q138094387=Saint-Éphrem-d'Upton;Q138094585=Upton,1855
QC040008,St. Elzéar,Q3462113,Saint-Elzéar,1994,1994,,,
QC040009,St. Ephrem de Tring,Q3463593,Saint-Éphrem-de-Beauce,1997,1997,,,
QC040012,St. Honoré de Shenley,Q3462420,Saint-Honoré-de-Shenley,2000,2000,,,
QC040017,St. Pierre de Broughton,Q3463170,Saint-Pierre-de-Broughton,1974,1974,,,
QC040019,St. Théophile,Q3463449,Saint-Théophile,1975,1975,,,
QC041008,"Beauharnois, T-V",Q139109,Beauharnois,2002,2002,,,
QC042006,St. Cajetan d'Armagh,Q2861708,Armagh,1993,1993,,,
QC042018,"St. Charles, VL",Q3461950,Saint-Charles-de-Bellechasse,1993,1993,Q138578038;Q138578087,Q138578038=Saint-Charles-Borromée;Q138578087=Saint-Charles,1855
QC043004,Lavaltrie,Q141403,Lavaltrie,2001,2001,,,
QC043007,St. Cuthbert,Q3462007,Saint-Cuthbert,1998,1998,,,
QC043011,St. Michel des Saints,Q3462998,Saint-Michel-des-Saints,1979,1979,,,
QC045007,"Eastman, VL",Q3046582,Eastman,2001,2001,Q138457690;Q138457779,Q138457690=Eastman;Q138457779=Stukely,1855
QC045008,"Farnham, VL",Q63243142,Farnham,1965,1965,,,
QC046002,Chambly (St. Joseph),Q142069,Chambly,1965,1965,Q138018022;Q138018067,Q138018022=Chambly;Q138018067=Fort-Chambly,1848
QC047002,Champlain (La Visitation),Q2955899,Champlain,1982,1982,Q139493735;Q139493759,Q139493735=La Visitation-de-Champlain;Q139493759=Champlain,1855
QC047006,Ste. Anne de la Pérade,Q3464159,Sainte-Anne-de-la-Pérade,1989,1989,Q138586845;Q131830484,Q138586845=Sainte-Anne-de-la-Pérade;Q131830484=La Pérade,1855
QC047034,"Champlain, VL",Q2955899,Champlain,1982,1982,Q139493735;Q139493759,Q139493735=La Visitation-de-Champlain;Q139493759=Champlain,1855
QC047039,"Ste. Thècle, VL",Q3464432,Sainte-Thècle,1989,1989,,,
QC048002,Ile aux Coudres,Q2720280,L'Isle-aux-Coudres,2000,2000,,,
QC049013,"Ormstown, VL",Q3356519,Ormstown,2000,2000,,,
QC049014,"St. Chrysostôme, VL",Q3461973,Saint-Chrysostome,1999,1999,,,
QC050009,"St. Ambroise, par.",Q3461746,Saint-Ambroise,1971,1971,,,
QC050014,"St. Fulgence, par.",Q3462193,Saint-Fulgence,1973,1973,,,
