wikidata_qid,wikidata_label,n_chains,place_ids,names,provinces,place_types,verdict
Q2991266,comté de Hull,4,CD_QC_Hull;CD_QC_Ottawa_County;CD_QC_Outaouais;CD_QC_Wright,Hull;Ottawa County;Outaouais;Wright,QC,CD,CONFLICTING-NAMES
Q448372,Niagara-on-the-Lake,3,PLACE_ON143001_1851;PLACE_ON126011;PLACE_ON143002_1881,"Niagara, Township;Niagara, Town—Ville;Niagara, Town—Ville",ON,CSD,CONFLICTING-NAMES
Q126805,St. Catharines,3,PLACE_ON021002;PLACE_ON093009_1911;PLACE_ON126009,"St. Catherines, Town—Ville;St Catharines c;St. Catharines, C",ON,CSD,CONFLICTING-NAMES
Q2936979,Cap-de-la-Madeleine,3,PLACE_QC053004;PLACE_QC151001;PLACE_QC047030,"Cap de la Madeleine;Cap de la Magdeleine;Cap de la Madeleine, T-V",QC,CSD,CONFLICTING-NAMES
Q139493759,Champlain,3,PLACE_QC012003;PLACE_QC047002_1871;PLACE_QC047034,"Champlain;La Visitation;Champlain, VL",QC,CSD,CONFLICTING-NAMES
Q141505,Saint-Eustache,3,PLACE_QC080008;PLACE_QC056007;PLACE_QC052006_1921,"St. Eustache, Parish;Gaspé Bay N & Sydenham, Township;St. Eustache",QC,CSD,CONFLICTING-NAMES
Q3463285,Saint-Roch-des-Aulnaies,3,PLACE_QC060003;PLACE_QC043005_1881;PLACE_QC067012_1901,St. Ambroise;St. Roch;St. Roch des Aulnaies,QC,CSD,CONFLICTING-NAMES
Q142405,Saint-Ours,3,PLACE_QC070002;PLACE_QC082012;PLACE_QC082006,"St. Ours, Parish;St. Ours, Town—Ville;St. Ours",QC,CSD,CONFLICTING-NAMES
Q142087,Sainte-Thérèse,3,PLACE_QC099003;PLACE_QC096016;PLACE_QC096020,"Ste. Thérèse, Parish;Ste. Thérèse;Ste. Thérèse, T-V",QC,CSD,CONFLICTING-NAMES
Q2932587,Cacouna,3,PLACE_QC054009;PLACE_QC095031;PLACE_QC095002,"St. George de Kakouna;Cacouna, Village;Cacouna",QC,CSD,CONFLICTING-NAMES
Q14875636,Saint Stephen Parish,3,PLACE_NB175009;PLACE_NB013015;PLACE_NB024014,Saint Stephen;St. Stephen's;St. Stephen,NB,CSD,CONFLICTING-NAMES
Q142516,Princeville,3,PLACE_QC038024;PLACE_QC153037;PLACE_QC038006,"Princeville, Village;Stanfold;Princeville (Stanfold)",QC,CSD,CONFLICTING-NAMES
Q3462681,Saint-Lambert-de-Lauzon,3,PLACE_QC154006;PLACE_QC066008;PLACE_QC054008_1851,Fox & Sydenham North—Nord;St. Lambert de Lauzon;St. Lambert,QC,CSD,CONFLICTING-NAMES
Q142490,Neuville,3,PLACE_QC186007;PLACE_QC080026;PLACE_QC080006_1921,"Pointe aux Trembles;Neuville, VL;Neuville (Pointe aux Trembles)",QC,CSD,CONFLICTING-NAMES
Q137772105,Saint-Raymond,3,PLACE_QC143009;PLACE_QC080034;PLACE_QC080018,"St. Raymond;St. Raymond, VL;St. Raymond-Nonnat",QC,CSD,CONFLICTING-NAMES
Q2415848,Tillsonburg,3,PLACE_ON158006;PLACE_ON165002;PLACE_ON134014,"Tilsonburg, Town—Ville;Tilsonburgh;Tilsonburg, Town—Ville",ON,CSD,CONFLICTING-NAMES
Q3463170,Saint-Pierre-de-Broughton,3,PLACE_QC040017_1881;PLACE_QC050012_1881;PLACE_QC048008,St. Pierre de Broughton;St. Pierre de Broughton;St. Hilarion,QC,CSD,CONFLICTING-NAMES
Q112913106,Sainte-Rose-de-Lima,3,PLACE_QC076049;PLACE_QC168009_1911;PLACE_QC076045,"Ste. Rose, Village;Ste. Rose;Ste. Rose, par.",QC,CSD,CONFLICTING-NAMES
Q6671173,Londonderry,3,PLACE_NS029001;PLACE_NS029002;PLACE_NS007001,Acadia Mines W-O;Acadia Mines E;Acadia Mines,NS,CSD,CONFLICTING-NAMES
Q141511,Saint-Félicien,3,PLACE_QC076028;PLACE_QC063016;PLACE_QC063032,"St. Félicien;St. Félicien, par.;St. Félicien, VL",QC,CSD,CONFLICTING-NAMES
Q3462181,Saint-François-du-Lac,3,PLACE_QC206007;PLACE_QC100018;PLACE_QC100007_1921,"St. François;St. François du Lac, VL;St. François du Lac",QC,CSD,CONFLICTING-NAMES
Q112912999,Sainte-Geneviève,3,PLACE_QC076038;PLACE_QC076037;PLACE_QC076008_1921,"Ste. Geneviève de Pierrefonds, VL;Ste. Geneviève, VL;Ste. Geneviève, par.",QC,CSD,CONFLICTING-NAMES
Q1660587,Lansdowne,3,PLACE_MB007013_1891;PLACE_MB008006_1901;PLACE_MB164004_1921,Landsdowne;Lansdowne;Lansdowne,MB,CSD,CONFLICTING-NAMES
Q2991407,comté de Saint-Maurice,3,CD_QC_St._Maurice;CD_QC_St._Maurice_1921;CD_QC_Trois-Rivières_&_St._Maurice,St. Maurice;St. Maurice;Trois-Rivières & St. Maurice,QC,CD,CONFLICTING-NAMES
Q115261670,Hallowell,2,PLACE_ON119009;PLACE_ON140003_1911,Morris;Hallowell,ON,CSD,CONFLICTING-NAMES
Q115261968,Lanark,2,PLACE_ON123008;PLACE_ON082008,Lanark;Algona,ON,CSD,CONFLICTING-NAMES
Q268103,Fort Erie,2,PLACE_ON142004;PLACE_ON151016,"Port Erie, Village;Fort Erie, Village",ON,CSD,CONFLICTING-NAMES
Q252504,North Dumfries,2,PLACE_ON150001;PLACE_ON101002,Dumfries N;Anglesea,ON,CSD,CONFLICTING-NAMES
Q3463379,Saint-Simon,2,PLACE_QC039011;PLACE_QC138011,St. Simon;St. Nazaire (part),QC,CSD,CONFLICTING-NAMES
Q112911931,Saint-Benoît,2,PLACE_QC052003;PLACE_QC052013_1911,"St. Benoit;St. Benoit, VL",QC,CSD,CONFLICTING-NAMES
Q112913108,Sainte-Scholastique,2,PLACE_QC052015;PLACE_QC052011_1881,"Ste. Scholastique, Village;Ste. Scholastique",QC,CSD,CONFLICTING-NAMES
Q932023,Saint-Antoine-de-Tilly,2,PLACE_QC061005;PLACE_QC049008,Ste. Anne de la Pocatière;St. Antoine,QC,CSD,CONFLICTING-NAMES
Q112912505,Saint-Louis,2,PLACE_QC061017;PLACE_QC061011,"Kamouraska, Village;St. Louis de Kamouraska",QC,CSD,CONFLICTING-NAMES
Q112912743,Saint-Rémi,2,PLACE_QC077005;PLACE_QC077007,"St. Rémi;St. Rémi, Village",QC,CSD,CONFLICTING-NAMES
Q3464192,Sainte-Brigitte-de-Laval,2,PLACE_QC178004;PLACE_QC075003,Laval;Laval (Ste. Brigitte),QC,CSD,CONFLICTING-NAMES
Q3461722,Saint-Alexis,2,PLACE_QC176002;PLACE_QC073002,"Montreal, St. James Ward—Quartier St. Jacques;St. Alexis",QC,CSD,CONFLICTING-NAMES
Q112912456,Saint-Joseph-de-Soulanges,2,PLACE_QC089003;PLACE_QC089011,"St. Joseph de Soulanges;St. Joseph de Soulanges N., VL",QC,CSD,CONFLICTING-NAMES
Q112912879,Saint-Zotique,2,PLACE_QC089006;PLACE_QC089013,"St. Zotique;St. Zotique, VL",QC,CSD,CONFLICTING-NAMES
Q141492,Sainte-Anne-des-Plaines,2,PLACE_QC099006;PLACE_QC096008,Ste. Anne;Ste. Anne des Plaines,QC,CSD,CONFLICTING-NAMES
Q112912306,Saint-Isidore,2,PLACE_QC057005_1851;PLACE_QC064003_1851,La Baie;St. Isidore,QC,CSD,CONFLICTING-NAMES
Q139231,Baie-Saint-Paul,2,PLACE_QC048001_1851;PLACE_QC048012_1901,"Baie St. Paul;Baie St. Paul, T-V",QC,CSD,CONFLICTING-NAMES
Q141500,Sainte-Anne-de-Bellevue,2,PLACE_QC108006;PLACE_QC076031_1881,"Ste. Anne;Ste. Anne de Bellevue, Village",QC,CSD,CONFLICTING-NAMES
Q2899316,Berthier-sur-Mer,2,PLACE_QC074003;PLACE_QC044005,Berthier;Hamilton (St. Bonaventure),QC,CSD,CONFLICTING-NAMES
Q112912821,Saint-Thomas,2,PLACE_QC074013_1851;PLACE_QC177011,St. Thomas;Clarendon S,QC,CSD,CONFLICTING-NAMES
Q2219667,Parry Sound,2,PLACE_ON086001;PLACE_ON135049,"The Sound;Parry Sound, T-V",ON,CSD,CONFLICTING-NAMES
Q4859868,Magnetawan,2,PLACE_ON086003;PLACE_ON135053,"Maganetawan;Magnetawan, VL",ON,CSD,CONFLICTING-NAMES
Q3259895,Lot 29,2,PLACE_PE003006;PLACE_PE136007,Township 29;Township No. 32,PE,CSD,CONFLICTING-NAMES
Q3259881,Lot 1,2,PLACE_PE135002;PLACE_PE002001,Township No. 33;Township 1,PE,CSD,CONFLICTING-NAMES
Q1693101,Shelburne,2,PLACE_NS013003;PLACE_NS019018,"Shelburn, Town—Ville;Shelburne, T-V",NS,CSD,CONFLICTING-NAMES
Q7230747,Port La Tour,2,PLACE_NS013011;PLACE_NS019010_1891,Margaree N. E.;Port Latour,NS,CSD,CONFLICTING-NAMES
Q641876,North Sydney,2,PLACE_NS006004;PLACE_NS006009_1891,"Sydney N;North Sydney, T-V",NS,CSD,CONFLICTING-NAMES
Q3365890,Saint David Parish,2,PLACE_NB175008;PLACE_NB024010,Saint David;St. David,NB,CSD,CONFLICTING-NAMES
Q7400719,Saint-Léonard Parish,2,PLACE_NB181005;PLACE_NB028011,Saint Leonard’s;St. Léonard,NB,CSD,CONFLICTING-NAMES
Q3365757,Eldon Parish,2,PLACE_NB031006;PLACE_NB031006_1921,Eldon & Restigouche River;Eldon,NB,CSD,CONFLICTING-NAMES
Q3365795,Caraquet Parish,2,PLACE_NB014003;PLACE_NB025003,Caraquette;Caraquet,NB,CSD,CONFLICTING-NAMES
Q3462266,Saint-Germain-de-Grantham,2,PLACE_QC136003;PLACE_QC054010_1921,St. Germain;St. Germain de Grantham,QC,CSD,CONFLICTING-NAMES
Q112911984,Saint-Césaire,2,PLACE_QC085015;PLACE_QC085004,"St. Césaire, Village;St. Césaire",QC,CSD,CONFLICTING-NAMES
Q3461713,Saint-Alexandre,2,PLACE_QC059001_1861;PLACE_QC196001,"St. Alexandre;Cabano, Packington, & unorg. ter.—Ter. non-org.",QC,CSD,CONFLICTING-NAMES
Q138103957,Saint-Guillaume,2,PLACE_QC153021;PLACE_QC100019,"St. Guillaume;St. Guillaume, VL",QC,CSD,CONFLICTING-NAMES
Q3365886,Saint Andrews Parish,2,PLACE_NB015009;PLACE_NB024008,"St. Andrews, Town & Parish — Ville et Paroisse;St. Andrews",NB,CSD,CONFLICTING-NAMES
Q112912459,Saint-Jovite,2,PLACE_QC197011;PLACE_QC096023,"St. Jovite;St. Jovite, VL",QC,CSD,CONFLICTING-NAMES
Q112912109,Saint-Éphrem,2,PLACE_QC048014_1871;PLACE_QC040025,"St. Ephrem;St. Ephrem, VL",QC,CSD,CONFLICTING-NAMES
Q142039,Salaberry-de-Valleyfield,2,PLACE_QC140002;PLACE_QC041007_1901,"Salaberry de Valleyfield, Town—Ville;Valleyfield (Salaberry de), C",QC,CSD,CONFLICTING-NAMES
