chain_id,name,province,n_presences,decision,inherited_qid,inherited_label,inherited_mint_reason,target_chains,signals,confidence,evidence
PLACE_AB001001,92 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001002,Sarcee I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001003,Stony I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001004,Gap (T24 R10 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001005,Rocky Mtn. Park (along C.P.R.),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001006,Calgary c,AB,1,INHERIT_QID,Q36312,Calgary,,PLACE_AB194026,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (calgary, URBAN, AB) bucket -> PLACE_AB194026"
PLACE_AB001007,Acme vl (T29 R5 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001008,Airdrie vl (T27 R1 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001009,Anthracite vl (not inc),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001010,Banff vl (T26 R12 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001011,Bank Head vl (T26 R11 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001012,Canmore vl (T24 R10 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001013,Carstairs vl (T30 R1 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001014,Cochrane vl (T26 R4 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001015,Crossfield vl (T28 R1 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001016,Exshaw vl (T24 R9 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001017,Langdon vl (T23 R27 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001018,Strathmore vl (T24 R25 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB001999_1911,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002001,226 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002002,Athabaska District,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002003,Peace River District,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002004,Indian Reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002005_1911,Jasper Park,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002006,Edmonton c,AB,1,INHERIT_QID,Q2096,Edmonton,,PLACE_AB199016,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (edmonton, URBAN, AB) bucket -> PLACE_AB199016"
PLACE_AB002007,St. Albert t-v,AB,1,INHERIT_QID,Q939127,St. Albert,,PLACE_AB199021_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (st. albert, URBAN, AB) bucket -> PLACE_AB199021_1921"
PLACE_AB002008,Stony Plain t-v,AB,1,INHERIT_QID,Q1744021,Stony Plain,,PLACE_AB199022_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (stony plain, URBAN, AB) bucket -> PLACE_AB199022_1921"
PLACE_AB002009,Athabaska Landing vl (T66 R24 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002010,Bickerdike vl (T53 R20 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002011,Cardiff vl (T55 R25 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002012,Edson vl (T53 R17 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002013,Elm Park vl (T53 R24 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002014,Entwhistle vl (T53 R7 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002015,Morinville vl (T55 R25 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002016,N. Edmonton vl (T53 R24 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002017,W. Edmonton vl (T53 R24 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002018,Victoria Place vl (T53 R24 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB002999,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003001,198 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003002,Blood I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003003,Peigan I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003004,Claresholm t-v,AB,1,INHERIT_QID,Q1746566,Claresholm,,PLACE_AB190021_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (claresholm, URBAN, AB) bucket -> PLACE_AB190021_1921"
PLACE_AB003005,High River t-v,AB,1,INHERIT_QID,Q1743705,High River,,PLACE_AB192018_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (high river, URBAN, AB) bucket -> PLACE_AB192018_1921"
PLACE_AB003006,Macleod t-v,AB,1,INHERIT_QID,Q2128700,Fort Macleod,,PLACE_AB190025_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (macleod, URBAN, AB) bucket -> PLACE_AB190025_1921"
PLACE_AB003007,Nanton t-v,AB,1,INHERIT_QID,Q1744143,Nanton,,PLACE_AB192019_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (nanton, URBAN, AB) bucket -> PLACE_AB192019_1921"
PLACE_AB003008,Okotoks t-v,AB,1,INHERIT_QID,Q1363726,Okotoks,,PLACE_AB192020_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (okotoks, URBAN, AB) bucket -> PLACE_AB192020_1921"
PLACE_AB003009,Pincher Creek t-v,AB,1,INHERIT_QID,Q1744046,Pincher Creek,,PLACE_AB190027_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (pincher creek, URBAN, AB) bucket -> PLACE_AB190027_1921"
PLACE_AB003010,Blairmore vl (T7 R4 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003011,Barons vl (T12 R23 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003012,Bellevue vl (T7 R3 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003013,Carmangay vl (T13 R23 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003014,Cayley vl (T7 R28 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003015,Coleman vl (T8 R4 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003016,Cowley vl (T7 R1 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003017,Frank vl (T7 R3 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003018,Granum vl (T10 R26 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003019,Hillcrest vl (T7 R3 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003020,Lille vl (T8 R3 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003021,Passburg vl (T7 R3 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003022,Pincher City vl (T7 R3 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003023,Stavely vl (T14 R27 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB003999_1911,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004001,606 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004002_1911,Blackfoot I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004003,Lethbridge c,AB,1,INHERIT_QID,Q270887,Lethbridge,,PLACE_AB190018_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (lethbridge, URBAN, AB) bucket -> PLACE_AB190018_1921"
PLACE_AB004004_1911,Medicine Hat c,AB,1,INHERIT_QID,Q368241,Medicine Hat,,PLACE_AB189023_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (medicine hat, URBAN, AB) bucket -> PLACE_AB189023_1921"
PLACE_AB004005,Cardston t-v,AB,1,INHERIT_QID,Q1743545,Cardston,,PLACE_AB190020_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (cardston, URBAN, AB) bucket -> PLACE_AB190020_1921"
PLACE_AB004006,Magrath t-v,AB,1,INHERIT_QID,Q608478,Magrath,,PLACE_AB190026_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (magrath, URBAN, AB) bucket -> PLACE_AB190026_1921"
PLACE_AB004007,Raymond t-v,AB,1,INHERIT_QID,Q1001461,Raymond,,PLACE_AB190028_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (raymond, URBAN, AB) bucket -> PLACE_AB190028_1921"
PLACE_AB004008,Taber t-v,AB,1,INHERIT_QID,Q1746037,Taber,,PLACE_AB189026_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (taber, URBAN, AB) bucket -> PLACE_AB189026_1921"
PLACE_AB004009,Aetna vl (T2 R25 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004010,Bassano vl (T21 R18 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004011,Bow Island vl (T10 R11 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004012,Brooks vl (T18 R14 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004013,Diamond City vl (T10 R21 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004014,Gleichen vl (T22 R4 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004015,Grassy Lake vl (T10 R13 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004016,Irvine vl (T11 R2 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004017,Mountain View vl (T2 R27 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004018,Munson vl (T30 R20 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004019,Queenston vl (T19 R22 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004020,Redcliffe vl (T13 R6 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004021,Stafford vl (T9 R21 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004022,Sterling vl (T6 R19 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004023,Warner vl (T4 R17 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB004999,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005001,411 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005002,Unorganized parts,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005003,Bobtail I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005004,Didsbury t-v,AB,1,INHERIT_QID,Q1743949,Didsbury,,PLACE_AB194027_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (didsbury, URBAN, AB) bucket -> PLACE_AB194027_1921"
PLACE_AB005005,Innisfail t-v,AB,1,INHERIT_QID,Q1009832,Innisfail,,PLACE_AB196027_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (innisfail, URBAN, AB) bucket -> PLACE_AB196027_1921"
PLACE_AB005006,Lacombe t-v,AB,1,INHERIT_QID,Q1743833,Lacombe,,PLACE_AB196028_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (lacombe, URBAN, AB) bucket -> PLACE_AB196028_1921"
PLACE_AB005007,Olds t-v,AB,1,INHERIT_QID,Q991692,Olds,,PLACE_AB194029_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (olds, URBAN, AB) bucket -> PLACE_AB194029_1921"
PLACE_AB005008,Ponoka t-v,AB,1,INHERIT_QID,Q1744063,Ponoka,,PLACE_AB196029_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (ponoka, URBAN, AB) bucket -> PLACE_AB196029_1921"
PLACE_AB005009,Red Deer t-v,AB,1,INHERIT_QID,Q23025,Red Deer,,PLACE_AB196022_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (red deer, URBAN, AB) bucket -> PLACE_AB196022_1921"
