chain_id,name,province,n_presences,decision,inherited_qid,inherited_label,inherited_mint_reason,target_chains,signals,confidence,evidence
PLACE_AB005010,Stettler t-v,AB,1,INHERIT_QID,Q1746019,Stettler,,PLACE_AB196030_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (stettler, URBAN, AB) bucket -> PLACE_AB196030_1921"
PLACE_AB005011,Alix vl (T39 R23 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005012,Blackfalds vl (T39 R27 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005013,Bowden vl (T34 R1 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005014,Castor vl (T37 R4 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005015,Erskine vl (T39 R20 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005016,Evarts vl (T38 R2 MW5),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005017,Gadsby vl (T38 R17 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005018,North Red Deer vl (T38 R27 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005019,Penhold vl (T36 R28 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005020,Provost vl (T39 R2 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB005021,Trochu vl (T33 R23 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006001,270 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006002,Ermine Skins I R } Hobbema I R,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006004,Strathcona c,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006005,Wetaskiwin c,AB,1,INHERIT_QID,Q950050,Wetaskiwin,,PLACE_AB196023_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (wetaskiwin, URBAN, AB) bucket -> PLACE_AB196023_1921"
PLACE_AB006006,Camrose t-v,AB,1,INHERIT_QID,Q775610,Camrose,,PLACE_AB196025_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (camrose, URBAN, AB) bucket -> PLACE_AB196025_1921"
PLACE_AB006007,Daysland t-v,AB,1,INHERIT_QID,Q1004125,Daysland,,PLACE_AB196026_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (daysland, URBAN, AB) bucket -> PLACE_AB196026_1921"
PLACE_AB006008,Leduc t-v,AB,1,INHERIT_QID,Q1207513,Leduc,,PLACE_AB199019_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (leduc, URBAN, AB) bucket -> PLACE_AB199019_1921"
PLACE_AB006009,Tofield t-v,AB,1,INHERIT_QID,Q2146186,Tofield,,PLACE_AB199023_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (tofield, URBAN, AB) bucket -> PLACE_AB199023_1921"
PLACE_AB006010,Wainwright t-v,AB,1,INHERIT_QID,Q835304,Wainwright,,PLACE_AB195025_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (wainwright, URBAN, AB) bucket -> PLACE_AB195025_1921"
PLACE_AB006011,Bawlf vl (T46 R18 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006012,Ferintosh vl (T44 R21 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006013,Hardisty vl (T43 R9 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006014,Holden vl (T49 R16 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006015,Killam vl (T44 R13 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006016,Millet vl (T47 R25 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006017,New Norway vl (T45 R21 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006018,Ohaton vl (T46 R19 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006019,Ryley vl (T50 R17 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006020,Sedgewick vl (T44 R12 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006021,Strome vl (T45 R15 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006022,Viking vl (T47 R13 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB006999_1911,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007001,263 townships,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007002,Unorganized parts,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007003,Indian Reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007004,Fort Saskatchewan t-v,AB,1,INHERIT_QID,Q1007407,Fort Saskatchewan,,PLACE_AB199018_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (fort saskatchewan, URBAN, AB) bucket -> PLACE_AB199018_1921"
PLACE_AB007005,Vegreville t-v,AB,1,INHERIT_QID,Q1276220,Vegreville,,PLACE_AB198021_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (vegreville, URBAN, AB) bucket -> PLACE_AB198021_1921"
PLACE_AB007006,Vermilion t-v,AB,1,INHERIT_QID,Q3845986,Vermilion,,PLACE_AB198022_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (vermilion, URBAN, AB) bucket -> PLACE_AB198022_1921"
PLACE_AB007007_1911,Bruederheim vl (T55 R20 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007008,Innisfree vl (T51 R11 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007009,Islay vl (T51 R10 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007010,Lamont vl (T55 R19 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007011,Lavoy vl (T52 R13 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007012,Lloydminster vl (T50 R1 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007013,Mannville vl (T50 R9 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB007014,Mundare vl (T53 R16 MW4),AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB190017,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB194024,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB196020,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB199015,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB200999,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB201024,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB201999,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB203027_1921,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB203999,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB204023,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB204999,NO DATA,AB,1,NO_EVIDENCE,,,,,,,
PLACE_AB205002_1921,Indian reserves,AB,1,NO_EVIDENCE,,,,,,,
PLACE_BC001001,Alexandria,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001001_1901,Bennett & Atlin,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001002,Alkali Lake,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001002_1901,Cassiar (Stikine),BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001003,Big Bar,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001003_1901,Cassiar (Skeena),BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001004,Clinton,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001004_1901,"Vancouver, City—Cité",BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC001005,Keithley Creek,BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC001006,Lac La Hache,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001007,Lightning Creek,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001009,Quesnelle,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001010,Richfield,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC001011,Williams’ Lake,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC002001_1901,Chilliwak,BC,1,INHERIT_QID,Q983026,Chilliwack,,PLACE_BC011001,S1_STRICT_YEAR_LINK,high,S1_STRICT_YEAR_LINK via BC002001_1901 -> BC011001_1911 -> PLACE_BC011001
PLACE_BC002003_1901,Dewdney,BC,1,INHERIT_MINT,,,1921 BC unorganized CSD in Fraser Valley; no WD entity for the historical CSD,PLACE_BC209002_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (dewdney, BARE, BC) mint bucket -> PLACE_BC209002_1921"
PLACE_BC002005,Richmond,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003002_1891,Comox,BC,1,INHERIT_MINT,,,1921 BC unorganized census subdivision (Comox land district); no WD entity for the historical CSD,PLACE_BC208002,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (comox, BARE, BC) mint bucket -> PLACE_BC208002"
PLACE_BC003003_1891,Comox S,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003004,Cowichan N,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003004_1901,Esquimalt (part),BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003005,"Nanaimo, City—Cité",BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC003005_1891,Cowichan S,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003006,Gabriola Island,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003006_1901,"Nanaimo, North—Nord",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003007,Goldstream and Sooke,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003007_1901,"Nanaimo, South—Sud",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003008,Lake and High Land,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003008_1901,"Victoria, North—Nord",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003009,Mayne Island,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003009_1901,"Victoria, South—Sud",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003010,Mountain,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003012,Saanich N & S,BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC003013,Salt Spring Island,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC003014_1891,West Shore,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC004001,"Victoria, James’ Bay, Ward—Quartier",BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC004001_1891,Esquimalt (part),BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC004002,"Victoria, Johnson Street, Ward—Quartier",BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC004002_1891,Metchosin,BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC004003,"Victoria, Yates Street, Ward—Quartier",BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC004003_1881,Victoria,BC,3,NO_EVIDENCE,,,,,,,
PLACE_BC004004,"Victoria, City—Cité",BC,1,INHERIT_QID,Q2132,Victoria,,PLACE_BC217001,S3_AMBIGUOUS_NAMED,medium,S3_AMBIGUOUS_NAMED via BC004004_1901 -> BC013001_1911 -> PLACE_BC217001
PLACE_BC005001,Cache Creek,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005002,Douglas Lake,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005002_1901,"Lillooet, East—Est",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005003,Grand Prairie,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005003_1901,"Lillooet, West—Ouest",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005004,Hope,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005004_1901,"Kootenay, E., North Riding—Div. Nord",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005005_1901,"Kootenay, E., South Riding—Div. Sud",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005006,"Kootenay, Lower",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005006_1901,"Kootenay, W.—O., Nelson Riding—Div",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005007,"Kootenay, Upper",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005007_1901,"Kootenay, W.—O., Revelstoke Riding—Div",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005008,Lytton,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005008_1901,"Kootenay, W.—O., Rossland Riding—Div",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005009,Nicola,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005009_1901,"Kootenay, W.—O., Slocan Riding—Div",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005010,Okanagan Mission,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005010_1901,"Yale, East—Est",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005011,Osoyoos,BC,2,NO_EVIDENCE,,,,,,,
PLACE_BC005011_1901,"Yale, North—Nord",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005012,Priest’s Valley,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005012_1901,"Yale, West—Ouest",BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005013,Princeton,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005014,Spallumcheen,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005015,Spence’s Bridge,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC005016,Yale,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC008004,Richmond pt,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC008007_1911,Prince Rupert c,BC,1,INHERIT_QID,Q1015639,Prince Rupert,,PLACE_BC214004_1921,S4_TIER_ROOT_PROVINCE,low,"S4_TIER_ROOT_PROVINCE via (prince rupert, URBAN, BC) bucket -> PLACE_BC214004_1921"
PLACE_BC009014,Sandon c,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC010006,Nanaimo c,BC,1,NO_EVIDENCE,,,,,,,
PLACE_BC010007,Nanaimo suburbs,BC,1,NO_EVIDENCE,,,,,,,
