chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,decision,notes
PLACE_QC121003,St. Charles,QC,Q112911987,Saint-Charles,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC124004,St. Grégoire,QC,Q112912263,Saint-Grégoire-le-Grand,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED_WARN,FAR: 116 km from chain centroid (spatial link is proof)
PLACE_QC127001,Granby,QC,Q3113418,Granby,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC133004,St. Tite,QC,Q112912839,Saint-Tite,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC134002,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 181 km from chain centroid
PLACE_QC135014,St. Léonard,QC,Q3462828,Saint-Léonard-de-Portneuf,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 95 km from chain centroid
PLACE_QC139006_1881,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC139016_1891,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC139020_1901,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC140003,Ascot,QC,Q63242331,Ascot,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC141003,St. Charles,QC,Q112911987,Saint-Charles,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 211 km from chain centroid
PLACE_QC141009,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC142004,Grenville,QC,Q63243234,Grenville,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC143003,St. Dominique,QC,Q3462095,Saint-Dominique,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC144003_1871,L'Ancienne Lorette,QC,Q142218,L'Ancienne-Lorette,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED,
PLACE_QC144005,St. Côme de Kennebec,QC,Q112912027,Saint-Côme,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC144016,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC144019_1911,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC146003_1911,St. Charles Borromée,QC,Q138578038,Saint-Charles-Borromée,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC146016,Ste. Thècle,QC,Q112913114,Sainte-Thècle,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC146017,St. Tite,QC,Q112912839,Saint-Tite,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC146021,St. Tite,QC,Q112912839,Saint-Tite,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC147013,St. Siméon,QC,Q112912788,Saint-Siméon,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED,
PLACE_QC149013,St. Alexis,QC,Q3461722,Saint-Alexis,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 333 km from chain centroid
PLACE_QC149019,St. Dominique,QC,Q3462095,Saint-Dominique,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 336 km from chain centroid
PLACE_QC149020_1901,St. Dominique,QC,Q3462095,Saint-Dominique,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 338 km from chain centroid
PLACE_QC149022,St. François de Sales,QC,Q112912171,Saint-François-de-Sales,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC149024,St. Jérôme,QC,Q112912399,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 332 km from chain centroid
PLACE_QC149025_1901,St. Jean,QC,Q3462540,Saint-Jean-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 152 km from chain centroid
PLACE_QC149026_1901,St. Jérôme,QC,Q112912399,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 332 km from chain centroid
PLACE_QC149027_1901,"St. Jérôme, Village",QC,Q112912401,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
