chain_id,name,province,n_presences,reason
PLACE_AB001001,92 townships,AB,1,no_inheritance_signal
PLACE_AB001002,Sarcee I R,AB,1,no_inheritance_signal
PLACE_AB001003,Stony I R,AB,1,no_inheritance_signal
PLACE_AB001004,Gap (T24 R10 MW5),AB,1,no_inheritance_signal
PLACE_AB001005,Rocky Mtn. Park (along C.P.R.),AB,1,no_inheritance_signal
PLACE_AB001007,Acme vl (T29 R5 MW4),AB,1,no_inheritance_signal
PLACE_AB001008,Airdrie vl (T27 R1 MW5),AB,1,no_inheritance_signal
PLACE_AB001009,Anthracite vl (not inc),AB,1,no_inheritance_signal
PLACE_AB001010,Banff vl (T26 R12 MW5),AB,1,no_inheritance_signal
PLACE_AB001011,Bank Head vl (T26 R11 MW5),AB,1,no_inheritance_signal
PLACE_AB001012,Canmore vl (T24 R10 MW5),AB,1,no_inheritance_signal
PLACE_AB001013,Carstairs vl (T30 R1 MW5),AB,1,no_inheritance_signal
PLACE_AB001014,Cochrane vl (T26 R4 MW5),AB,1,no_inheritance_signal
PLACE_AB001015,Crossfield vl (T28 R1 MW5),AB,1,no_inheritance_signal
PLACE_AB001016,Exshaw vl (T24 R9 MW5),AB,1,no_inheritance_signal
PLACE_AB001017,Langdon vl (T23 R27 MW4),AB,1,no_inheritance_signal
PLACE_AB001018,Strathmore vl (T24 R25 MW4),AB,1,no_inheritance_signal
PLACE_AB001999_1911,NO DATA,AB,1,no_inheritance_signal
PLACE_AB002001,226 townships,AB,1,no_inheritance_signal
PLACE_AB002002,Athabaska District,AB,1,no_inheritance_signal
PLACE_AB002003,Peace River District,AB,1,no_inheritance_signal
PLACE_AB002004,Indian Reserves,AB,1,no_inheritance_signal
PLACE_AB002005_1911,Jasper Park,AB,1,no_inheritance_signal
PLACE_AB002009,Athabaska Landing vl (T66 R24 MW4),AB,1,no_inheritance_signal
PLACE_AB002010,Bickerdike vl (T53 R20 MW5),AB,1,no_inheritance_signal
PLACE_AB002011,Cardiff vl (T55 R25 MW4),AB,1,no_inheritance_signal
PLACE_AB002012,Edson vl (T53 R17 MW5),AB,1,no_inheritance_signal
PLACE_AB002013,Elm Park vl (T53 R24 MW4),AB,1,no_inheritance_signal
PLACE_AB002014,Entwhistle vl (T53 R7 MW5),AB,1,no_inheritance_signal
PLACE_AB002015,Morinville vl (T55 R25 MW4),AB,1,no_inheritance_signal
PLACE_AB002016,N. Edmonton vl (T53 R24 MW4),AB,1,no_inheritance_signal
PLACE_AB002017,W. Edmonton vl (T53 R24 MW4),AB,1,no_inheritance_signal
PLACE_AB002018,Victoria Place vl (T53 R24 MW4),AB,1,no_inheritance_signal
PLACE_AB002999,NO DATA,AB,1,no_inheritance_signal
PLACE_AB003001,198 townships,AB,1,no_inheritance_signal
