chain_id,name,province,n_presences,reason
PLACE_AB003002,Blood I R,AB,1,no_inheritance_signal
PLACE_AB003003,Peigan I R,AB,1,no_inheritance_signal
PLACE_AB003010,Blairmore vl (T7 R4 MW5),AB,1,no_inheritance_signal
PLACE_AB003011,Barons vl (T12 R23 MW4),AB,1,no_inheritance_signal
PLACE_AB003012,Bellevue vl (T7 R3 MW5),AB,1,no_inheritance_signal
PLACE_AB003013,Carmangay vl (T13 R23 MW4),AB,1,no_inheritance_signal
PLACE_AB003014,Cayley vl (T7 R28 MW4),AB,1,no_inheritance_signal
PLACE_AB003015,Coleman vl (T8 R4 MW5),AB,1,no_inheritance_signal
PLACE_AB003016,Cowley vl (T7 R1 MW5),AB,1,no_inheritance_signal
PLACE_AB003017,Frank vl (T7 R3 MW5),AB,1,no_inheritance_signal
PLACE_AB003018,Granum vl (T10 R26 MW4),AB,1,no_inheritance_signal
PLACE_AB003019,Hillcrest vl (T7 R3 MW5),AB,1,no_inheritance_signal
PLACE_AB003020,Lille vl (T8 R3 MW5),AB,1,no_inheritance_signal
PLACE_AB003021,Passburg vl (T7 R3 MW5),AB,1,no_inheritance_signal
PLACE_AB003022,Pincher City vl (T7 R3 MW4),AB,1,no_inheritance_signal
PLACE_AB003023,Stavely vl (T14 R27 MW4),AB,1,no_inheritance_signal
PLACE_AB003999_1911,NO DATA,AB,1,no_inheritance_signal
PLACE_AB004001,606 townships,AB,1,no_inheritance_signal
PLACE_AB004002_1911,Blackfoot I R,AB,1,no_inheritance_signal
PLACE_AB004009,Aetna vl (T2 R25 MW4),AB,1,no_inheritance_signal
PLACE_AB004010,Bassano vl (T21 R18 MW4),AB,1,no_inheritance_signal
PLACE_AB004011,Bow Island vl (T10 R11 MW4),AB,1,no_inheritance_signal
PLACE_AB004012,Brooks vl (T18 R14 MW4),AB,1,no_inheritance_signal
PLACE_AB004013,Diamond City vl (T10 R21 MW4),AB,1,no_inheritance_signal
PLACE_AB004014,Gleichen vl (T22 R4 MW4),AB,1,no_inheritance_signal
PLACE_AB004015,Grassy Lake vl (T10 R13 MW4),AB,1,no_inheritance_signal
PLACE_AB004016,Irvine vl (T11 R2 MW4),AB,1,no_inheritance_signal
PLACE_AB004017,Mountain View vl (T2 R27 MW4),AB,1,no_inheritance_signal
PLACE_AB004018,Munson vl (T30 R20 MW4),AB,1,no_inheritance_signal
PLACE_AB004019,Queenston vl (T19 R22 MW4),AB,1,no_inheritance_signal
PLACE_AB004020,Redcliffe vl (T13 R6 MW4),AB,1,no_inheritance_signal
PLACE_AB004021,Stafford vl (T9 R21 MW4),AB,1,no_inheritance_signal
PLACE_AB004022,Sterling vl (T6 R19 MW4),AB,1,no_inheritance_signal
PLACE_AB004023,Warner vl (T4 R17 MW4),AB,1,no_inheritance_signal
PLACE_AB004999,NO DATA,AB,1,no_inheritance_signal
PLACE_AB005001,411 townships,AB,1,no_inheritance_signal
PLACE_AB005002,Unorganized parts,AB,1,no_inheritance_signal
PLACE_AB005003,Bobtail I R,AB,1,no_inheritance_signal
PLACE_AB005011,Alix vl (T39 R23 MW4),AB,1,no_inheritance_signal
PLACE_AB005012,Blackfalds vl (T39 R27 MW4),AB,1,no_inheritance_signal
PLACE_AB005013,Bowden vl (T34 R1 MW5),AB,1,no_inheritance_signal
PLACE_AB005014,Castor vl (T37 R4 MW4),AB,1,no_inheritance_signal
PLACE_AB005015,Erskine vl (T39 R20 MW4),AB,1,no_inheritance_signal
PLACE_AB005016,Evarts vl (T38 R2 MW5),AB,1,no_inheritance_signal
PLACE_AB005017,Gadsby vl (T38 R17 MW4),AB,1,no_inheritance_signal
PLACE_AB005018,North Red Deer vl (T38 R27 MW4),AB,1,no_inheritance_signal
PLACE_AB005019,Penhold vl (T36 R28 MW4),AB,1,no_inheritance_signal
PLACE_AB005020,Provost vl (T39 R2 MW4),AB,1,no_inheritance_signal
PLACE_AB005021,Trochu vl (T33 R23 MW4),AB,1,no_inheritance_signal
PLACE_AB006001,270 townships,AB,1,no_inheritance_signal
PLACE_AB006002,Ermine Skins I R } Hobbema I R,AB,1,no_inheritance_signal
PLACE_AB006004,Strathcona c,AB,1,no_inheritance_signal
PLACE_AB006011,Bawlf vl (T46 R18 MW4),AB,1,no_inheritance_signal
PLACE_AB006012,Ferintosh vl (T44 R21 MW4),AB,1,no_inheritance_signal
PLACE_AB006013,Hardisty vl (T43 R9 MW4),AB,1,no_inheritance_signal
PLACE_AB006014,Holden vl (T49 R16 MW4),AB,1,no_inheritance_signal
PLACE_AB006015,Killam vl (T44 R13 MW4),AB,1,no_inheritance_signal
PLACE_AB006016,Millet vl (T47 R25 MW4),AB,1,no_inheritance_signal
PLACE_AB006017,New Norway vl (T45 R21 MW4),AB,1,no_inheritance_signal
PLACE_AB006018,Ohaton vl (T46 R19 MW4),AB,1,no_inheritance_signal
PLACE_AB006019,Ryley vl (T50 R17 MW4),AB,1,no_inheritance_signal
PLACE_AB006020,Sedgewick vl (T44 R12 MW4),AB,1,no_inheritance_signal
PLACE_AB006021,Strome vl (T45 R15 MW4),AB,1,no_inheritance_signal
PLACE_AB006022,Viking vl (T47 R13 MW4),AB,1,no_inheritance_signal
PLACE_AB006999_1911,NO DATA,AB,1,no_inheritance_signal
PLACE_AB007001,263 townships,AB,1,no_inheritance_signal
PLACE_AB007002,Unorganized parts,AB,1,no_inheritance_signal
PLACE_AB007003,Indian Reserves,AB,1,no_inheritance_signal
PLACE_AB007007_1911,Bruederheim vl (T55 R20 MW4),AB,1,no_inheritance_signal
PLACE_AB007008,Innisfree vl (T51 R11 MW4),AB,1,no_inheritance_signal
PLACE_AB007009,Islay vl (T51 R10 MW4),AB,1,no_inheritance_signal
PLACE_AB007010,Lamont vl (T55 R19 MW4),AB,1,no_inheritance_signal
PLACE_AB007011,Lavoy vl (T52 R13 MW4),AB,1,no_inheritance_signal
PLACE_AB007012,Lloydminster vl (T50 R1 MW4),AB,1,no_inheritance_signal
PLACE_AB007013,Mannville vl (T50 R9 MW4),AB,1,no_inheritance_signal
PLACE_AB007014,Mundare vl (T53 R16 MW4),AB,1,no_inheritance_signal
PLACE_AB190017,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB194024,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB196020,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB199015,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB200999,NO DATA,AB,1,no_inheritance_signal
PLACE_AB201024,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB201999,NO DATA,AB,1,no_inheritance_signal
PLACE_AB203027_1921,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB203999,NO DATA,AB,1,no_inheritance_signal
PLACE_AB204023,Indian reserves,AB,1,no_inheritance_signal
PLACE_AB204999,NO DATA,AB,1,no_inheritance_signal
PLACE_AB205002_1921,Indian reserves,AB,1,no_inheritance_signal
PLACE_BC001001,Alexandria,BC,1,no_inheritance_signal
PLACE_BC001001_1901,Bennett & Atlin,BC,1,no_inheritance_signal
PLACE_BC001002,Alkali Lake,BC,1,no_inheritance_signal
PLACE_BC001002_1901,Cassiar (Stikine),BC,1,no_inheritance_signal
PLACE_BC001003,Big Bar,BC,1,no_inheritance_signal
PLACE_BC001003_1901,Cassiar (Skeena),BC,1,no_inheritance_signal
PLACE_BC001004,Clinton,BC,1,no_inheritance_signal
PLACE_BC001004_1901,"Vancouver, City—Cité",BC,2,no_inheritance_signal
PLACE_BC001005,Keithley Creek,BC,2,no_inheritance_signal
PLACE_BC001006,Lac La Hache,BC,1,no_inheritance_signal
PLACE_BC001007,Lightning Creek,BC,1,no_inheritance_signal
PLACE_BC001009,Quesnelle,BC,1,no_inheritance_signal
PLACE_BC001010,Richfield,BC,1,no_inheritance_signal
PLACE_BC001011,Williams’ Lake,BC,1,no_inheritance_signal
PLACE_BC002005,Richmond,BC,1,no_inheritance_signal
PLACE_BC003003_1891,Comox S,BC,1,no_inheritance_signal
PLACE_BC003004,Cowichan N,BC,1,no_inheritance_signal
PLACE_BC003004_1901,Esquimalt (part),BC,1,no_inheritance_signal
PLACE_BC003005,"Nanaimo, City—Cité",BC,2,no_inheritance_signal
PLACE_BC003005_1891,Cowichan S,BC,1,no_inheritance_signal
PLACE_BC003006,Gabriola Island,BC,1,no_inheritance_signal
PLACE_BC003006_1901,"Nanaimo, North—Nord",BC,1,no_inheritance_signal
PLACE_BC003007,Goldstream and Sooke,BC,1,no_inheritance_signal
PLACE_BC003007_1901,"Nanaimo, South—Sud",BC,1,no_inheritance_signal
PLACE_BC003008,Lake and High Land,BC,1,no_inheritance_signal
PLACE_BC003008_1901,"Victoria, North—Nord",BC,1,no_inheritance_signal
PLACE_BC003009,Mayne Island,BC,1,no_inheritance_signal
PLACE_BC003009_1901,"Victoria, South—Sud",BC,1,no_inheritance_signal
PLACE_BC003010,Mountain,BC,1,no_inheritance_signal
PLACE_BC003012,Saanich N & S,BC,2,no_inheritance_signal
PLACE_BC003013,Salt Spring Island,BC,1,no_inheritance_signal
PLACE_BC003014_1891,West Shore,BC,1,no_inheritance_signal
PLACE_BC004001,"Victoria, James’ Bay, Ward—Quartier",BC,2,no_inheritance_signal
PLACE_BC004001_1891,Esquimalt (part),BC,2,no_inheritance_signal
PLACE_BC004002,"Victoria, Johnson Street, Ward—Quartier",BC,2,no_inheritance_signal
PLACE_BC004002_1891,Metchosin,BC,2,no_inheritance_signal
PLACE_BC004003,"Victoria, Yates Street, Ward—Quartier",BC,2,no_inheritance_signal
PLACE_BC004003_1881,Victoria,BC,3,no_inheritance_signal
PLACE_BC005001,Cache Creek,BC,1,no_inheritance_signal
PLACE_BC005002,Douglas Lake,BC,1,no_inheritance_signal
PLACE_BC005002_1901,"Lillooet, East—Est",BC,1,no_inheritance_signal
PLACE_BC005003,Grand Prairie,BC,1,no_inheritance_signal
PLACE_BC005003_1901,"Lillooet, West—Ouest",BC,1,no_inheritance_signal
PLACE_BC005004,Hope,BC,1,no_inheritance_signal
PLACE_BC005004_1901,"Kootenay, E., North Riding—Div. Nord",BC,1,no_inheritance_signal
PLACE_BC005005_1901,"Kootenay, E., South Riding—Div. Sud",BC,1,no_inheritance_signal
PLACE_BC005006,"Kootenay, Lower",BC,1,no_inheritance_signal
PLACE_BC005006_1901,"Kootenay, W.—O., Nelson Riding—Div",BC,1,no_inheritance_signal
PLACE_BC005007,"Kootenay, Upper",BC,1,no_inheritance_signal
PLACE_BC005007_1901,"Kootenay, W.—O., Revelstoke Riding—Div",BC,1,no_inheritance_signal
PLACE_BC005008,Lytton,BC,1,no_inheritance_signal
PLACE_BC005008_1901,"Kootenay, W.—O., Rossland Riding—Div",BC,1,no_inheritance_signal
PLACE_BC005009,Nicola,BC,1,no_inheritance_signal
PLACE_BC005009_1901,"Kootenay, W.—O., Slocan Riding—Div",BC,1,no_inheritance_signal
PLACE_BC005010,Okanagan Mission,BC,1,no_inheritance_signal
PLACE_BC005010_1901,"Yale, East—Est",BC,1,no_inheritance_signal
PLACE_BC005011,Osoyoos,BC,2,no_inheritance_signal
PLACE_BC005011_1901,"Yale, North—Nord",BC,1,no_inheritance_signal
PLACE_BC005012,Priest’s Valley,BC,1,no_inheritance_signal
PLACE_BC005012_1901,"Yale, West—Ouest",BC,1,no_inheritance_signal
PLACE_BC005013,Princeton,BC,1,no_inheritance_signal
PLACE_BC005014,Spallumcheen,BC,1,no_inheritance_signal
PLACE_BC005015,Spence’s Bridge,BC,1,no_inheritance_signal
PLACE_BC005016,Yale,BC,1,no_inheritance_signal
PLACE_BC008004,Richmond pt,BC,1,no_inheritance_signal
PLACE_BC009014,Sandon c,BC,1,no_inheritance_signal
PLACE_BC010006,Nanaimo c,BC,1,no_inheritance_signal
PLACE_BC010007,Nanaimo suburbs,BC,1,no_inheritance_signal
PLACE_BC011005_1911,Yale pt,BC,1,no_inheritance_signal
PLACE_BC011008,"Lot 301, Vancouver c pt",BC,1,no_inheritance_signal
PLACE_BC011009,"Hastings townsite, Vancouver c pt",BC,1,no_inheritance_signal
PLACE_BC012001,Vancouver c pt,BC,1,no_inheritance_signal
PLACE_BC012002,Vancouver S,BC,1,no_inheritance_signal
PLACE_BC012003,Vancouver N,BC,1,no_inheritance_signal
PLACE_BC014008_1911,Yale pt,BC,1,no_inheritance_signal
PLACE_BC014015,Phoenix c,BC,1,no_inheritance_signal
PLACE_BC188001,South,BC,1,no_inheritance_signal
PLACE_BC188002,North,BC,1,no_inheritance_signal
PLACE_BC188003,"Cassiar, Northern Interior",BC,1,no_inheritance_signal
PLACE_BC188004,Coast of main land,BC,1,no_inheritance_signal
PLACE_BC189001,"Richfield, Barkerville & Lightning Creek",BC,1,no_inheritance_signal
PLACE_BC189002,Quesnelmouth,BC,1,no_inheritance_signal
PLACE_BC189003,William's Lake and Canoe Creek,BC,1,no_inheritance_signal
PLACE_BC189005,"Clinton, Lillooet",BC,1,no_inheritance_signal
PLACE_BC189006,Omineca,BC,1,no_inheritance_signal
PLACE_BC190001,Yale and Hope,BC,1,no_inheritance_signal
PLACE_BC190002,Lytton and Cache Creek and Spence's Bridge and Kamloops,BC,1,no_inheritance_signal
PLACE_BC190003,"Nicola, O’Kanagan",BC,1,no_inheritance_signal
PLACE_BC190005,Kootenai,BC,1,no_inheritance_signal
PLACE_BC191005,"Esquimalt, Metchosin",BC,1,no_inheritance_signal
PLACE_BC192001,"Nanaïmo, Noonas Bay",BC,1,no_inheritance_signal
PLACE_BC192002,Comox & Alberni,BC,1,no_inheritance_signal
PLACE_BC192003,"Cowichin, Salt Spring Isl.",BC,1,no_inheritance_signal
PLACE_BC192005,"Sooke Lake, Highland, &c.",BC,1,no_inheritance_signal
PLACE_BC192006,Western Coast,BC,1,no_inheritance_signal
PLACE_BC206003,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC207006_1921,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC208004_1921,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC209004_1921,Indian Reserves,BC,1,no_inheritance_signal
PLACE_BC210004_1921,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC211005,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC212006_1921,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC213003,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC214003_1921,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC216003,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC218005_1921,Indian reserves,BC,1,no_inheritance_signal
PLACE_BC999999,NO DATA,BC,1,no_inheritance_signal
PLACE_MB006002_1891,Belcourt,MB,1,no_inheritance_signal
PLACE_MB006003,East Selkirk (Town—Ville) & Varennes,MB,1,no_inheritance_signal
PLACE_MB006004,Fairford & Posen,MB,1,no_inheritance_signal
PLACE_MB006008,Plessis (Fort Alexander),MB,1,no_inheritance_signal
PLACE_MB007001,Archie & Ellice,MB,1,no_inheritance_signal
PLACE_MB007005,Boulton & Shell River,MB,1,no_inheritance_signal
PLACE_MB007009,Elm River,MB,1,no_inheritance_signal
PLACE_MB007011,Glendale,MB,1,no_inheritance_signal
PLACE_MB007013_1891,Landsdowne,MB,1,no_inheritance_signal
PLACE_MB007019,Oak River,MB,1,no_inheritance_signal
PLACE_MB007021,Osprey,MB,1,no_inheritance_signal
PLACE_MB007025,Riding Mountain,MB,1,no_inheritance_signal
PLACE_MB007028,"Russell, Silver Creek",MB,1,no_inheritance_signal
PLACE_MB007030,"Shoal Lake, Strathclair",MB,1,no_inheritance_signal
PLACE_MB008002,"Cypress, North—Nord",MB,1,no_inheritance_signal
PLACE_MB008003,"Cypress, South—Sud",MB,1,no_inheritance_signal
PLACE_MB008006,Hespeler,MB,1,no_inheritance_signal
PLACE_MB008008_1901,Norfolk North—Nord,MB,1,no_inheritance_signal
PLACE_MB008009,"Norfolk, South—Sud",MB,1,no_inheritance_signal
PLACE_MB008010_1901,Ochre River (part),MB,1,no_inheritance_signal
PLACE_MB008011_1891,Ste. Anne,MB,1,no_inheritance_signal
PLACE_MB008014_1891,St. Norbert,MB,1,no_inheritance_signal
PLACE_MB008015_1901,Unorganized Territory—Territoire non-organisé,MB,1,no_inheritance_signal
PLACE_MB008016,Youville,MB,1,no_inheritance_signal
PLACE_MB009005,Carleton,MB,1,no_inheritance_signal
PLACE_MB009009,Derby,MB,1,no_inheritance_signal
PLACE_MB009009_1891,Clan William,MB,2,no_inheritance_signal
PLACE_MB009010,Douglas,MB,1,no_inheritance_signal
PLACE_MB009011,Dufferin N,MB,2,no_inheritance_signal
PLACE_MB009012,Dufferin S,MB,2,no_inheritance_signal
PLACE_MB009015,Inchiquin,MB,1,no_inheritance_signal
PLACE_MB009018,Medora,MB,1,no_inheritance_signal
PLACE_MB009018_1901,Ochre River (part),MB,1,no_inheritance_signal
PLACE_MB009028_1901,Unorganized Territory—Territoire non-organisé,MB,1,no_inheritance_signal
PLACE_MB010001,"Winnipeg, Ward—Quartier No. 1",MB,1,no_inheritance_signal
PLACE_MB010012,Kildonan (part),MB,1,no_inheritance_signal
PLACE_MB010014,Unorganized Territory—Territoire non-organisé,MB,1,no_inheritance_signal
PLACE_MB011003,"East Selkirk, Town—Ville",MB,1,no_inheritance_signal
PLACE_MB011005,Kildonan (part),MB,1,no_inheritance_signal
PLACE_MB011006,St. Paul,MB,3,no_inheritance_signal
PLACE_MB011008,Posen,MB,1,no_inheritance_signal
PLACE_MB011018,Unorganized Territory—Territoire non-organisé,MB,1,no_inheritance_signal
PLACE_MB012001_1901,"Winnipeg, Ward—Quartier No. 1",MB,1,no_inheritance_signal
PLACE_MB012002,"Winnipeg, Ward—Quartier No. 2",MB,2,no_inheritance_signal
PLACE_MB012003,"Winnipeg, Ward—Quartier No. 3",MB,2,no_inheritance_signal
PLACE_MB012004,"Winnipeg, Ward—Quartier No. 4",MB,2,no_inheritance_signal
PLACE_MB012005,"Winnipeg, Ward—Quartier No. 5",MB,2,no_inheritance_signal
PLACE_MB012006,"Winnipeg, Ward—Quartier No. 6",MB,2,no_inheritance_signal
PLACE_MB015001,78 townships,MB,1,no_inheritance_signal
PLACE_MB015002,Oak Lake I R,MB,1,no_inheritance_signal
PLACE_MB015003,Oak River I R,MB,1,no_inheritance_signal
PLACE_MB015004,Brandon c,MB,1,no_inheritance_signal
PLACE_MB015008_1911,Virden t-v,MB,1,no_inheritance_signal
PLACE_MB015009,Elkhorn vl (T12 R28 MW1),MB,1,no_inheritance_signal
PLACE_MB015010,Reston vl (T7 R27 MW1),MB,1,no_inheritance_signal
PLACE_MB015011,Wawanesa vl (T7 R17 MW1),MB,1,no_inheritance_signal
PLACE_MB016001,282 townships,MB,1,no_inheritance_signal
PLACE_MB016002,Indian Reserves,MB,1,no_inheritance_signal
PLACE_MB016004,Grand View t-v,MB,1,no_inheritance_signal
PLACE_MB016006,Gilbert Plains vl (T25 R22 MW1),MB,1,no_inheritance_signal
PLACE_MB016007,Winnipegosis vl (T31 R18 MW1),MB,1,no_inheritance_signal
PLACE_MB016999_1911,NO DATA,MB,1,no_inheritance_signal
PLACE_MB017001,47 townships,MB,1,no_inheritance_signal
PLACE_MB017002_1911,Morden t-v,MB,1,no_inheritance_signal
PLACE_MB017003_1911,Gretna vl (T1 R1 MW1),MB,1,no_inheritance_signal
PLACE_MB017004_1911,Manitou vl (T3 R8 MW1),MB,1,no_inheritance_signal
PLACE_MB017005,Pilot Mound vl (T3 R11 MW1),MB,1,no_inheritance_signal
PLACE_MB017006_1911,Plum Coulee vl (T3 R3 MW1),MB,1,no_inheritance_signal
PLACE_MB017007,Winkler vl (T2 R4 MW1),MB,1,no_inheritance_signal
PLACE_MB018001,104 townships,MB,1,no_inheritance_signal
PLACE_MB018002,Baie St. Paul pr,MB,1,no_inheritance_signal
PLACE_MB018003,Poplar Point pr,MB,1,no_inheritance_signal
PLACE_MB018004,Headingly pr,MB,1,no_inheritance_signal
PLACE_MB018005,High Bluff pr pt,MB,1,no_inheritance_signal
PLACE_MB018006,St. Boniface pr,MB,1,no_inheritance_signal
PLACE_MB018007,St. Charles pr,MB,1,no_inheritance_signal
PLACE_MB018008,St. Francois Xavier pr,MB,1,no_inheritance_signal
PLACE_MB018009,St. James pr,MB,1,no_inheritance_signal
PLACE_MB018010_1911,Notre Dame de Lourdes pr,MB,1,no_inheritance_signal
PLACE_MB018011,Swan Lake I R,MB,1,no_inheritance_signal
PLACE_MB018013,Cypress River vl (T7 R12 MW3),MB,1,no_inheritance_signal
PLACE_MB018014,Holland vl (T7 R11 MW1),MB,1,no_inheritance_signal
PLACE_MB018015,Roland vl (T4 R4 MW1),MB,1,no_inheritance_signal
PLACE_MB018016,St. Laurent vl (T17 R4 MW1),MB,1,no_inheritance_signal
PLACE_MB018999,NO DATA,MB,1,no_inheritance_signal
PLACE_MB019001,128 townships,MB,1,no_inheritance_signal
PLACE_MB019002,Indian Reserves,MB,1,no_inheritance_signal
PLACE_MB019004,Minnedosa t-v,MB,1,no_inheritance_signal
PLACE_MB019005,Rapid City vl,MB,3,no_inheritance_signal
PLACE_MB019006,Hamiota vl (T14 R23 MW1),MB,1,no_inheritance_signal
PLACE_MB019007,Russell vl (T21 R28 MW1),MB,1,no_inheritance_signal
PLACE_MB019008,Shoal Lake vl (T17 R23 MW1),MB,1,no_inheritance_signal
PLACE_MB019999_1911,NO DATA,MB,1,no_inheritance_signal
PLACE_MB020001,74 townships,MB,1,no_inheritance_signal
PLACE_MB020002,High Bluff pr pt,MB,1,no_inheritance_signal
PLACE_MB020003,Long Plain I R,MB,1,no_inheritance_signal
PLACE_MB020004_1911,Carberry t-v,MB,1,no_inheritance_signal
PLACE_MB020005,Gladstone t-v,MB,1,no_inheritance_signal
PLACE_MB020006_1911,Neepawa t-v,MB,1,no_inheritance_signal
PLACE_MB021001,104 townships,MB,1,no_inheritance_signal
PLACE_MB021002,Roseau I R,MB,1,no_inheritance_signal
PLACE_MB021003,Letellier pr,MB,1,no_inheritance_signal
PLACE_MB021004,Lorette pr,MB,1,no_inheritance_signal
PLACE_MB021005,St. Agathe pr,MB,1,no_inheritance_signal
PLACE_MB021006,Ste. Anne pr,MB,1,no_inheritance_signal
PLACE_MB021007,St. Boniface pr,MB,1,no_inheritance_signal
PLACE_MB021008,St. Jean Baptiste pr,MB,1,no_inheritance_signal
PLACE_MB021009,St. Malo pr,MB,1,no_inheritance_signal
PLACE_MB021010_1911,St. Norbert pr,MB,1,no_inheritance_signal
PLACE_MB021011,St. Pierre pr,MB,1,no_inheritance_signal
PLACE_MB021012,St. Pie pr,MB,1,no_inheritance_signal
PLACE_MB021013,St. Vital pr,MB,1,no_inheritance_signal
PLACE_MB021014,Thibeauville pr,MB,1,no_inheritance_signal
PLACE_MB021015,St. Boniface c,MB,1,no_inheritance_signal
PLACE_MB021016,Emerson t-v,MB,1,no_inheritance_signal
PLACE_MB021999,NO DATA,MB,1,no_inheritance_signal
PLACE_MB022001,134 townships,MB,1,no_inheritance_signal
PLACE_MB022002,Kildonan,MB,3,no_inheritance_signal
PLACE_MB022005,St. Pauls,MB,1,no_inheritance_signal
PLACE_MB022006_1911,St. Peters,MB,1,no_inheritance_signal
PLACE_MB022007,Clandeboye I R,MB,1,no_inheritance_signal
PLACE_MB022008,Fisher River I R,MB,1,no_inheritance_signal
PLACE_MB022009,Unorganized parts,MB,1,no_inheritance_signal
PLACE_MB022010,Winnipeg c pt,MB,1,no_inheritance_signal
PLACE_MB022013,Beausejour vl (T12 R7 ME1),MB,1,no_inheritance_signal
PLACE_MB022014,Gimli vl (T27 R4 ME1),MB,1,no_inheritance_signal
PLACE_MB022015,Winnipeg Beach vl (T17 R4 ME1),MB,1,no_inheritance_signal
PLACE_MB022999,NO DATA,MB,1,no_inheritance_signal
PLACE_MB023001,103 townships,MB,1,no_inheritance_signal
PLACE_MB023002_1911,Boissevain t-v,MB,1,no_inheritance_signal
PLACE_MB023007,Napinka vl (T4 R25 MW1),MB,1,no_inheritance_signal
PLACE_MB023999,NO DATA,MB,1,no_inheritance_signal
PLACE_MB024001,Winnipeg c pt,MB,1,no_inheritance_signal
PLACE_MB156009,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB157009_1921,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB159011,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB160010,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB161009,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB162008,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB164008,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB165014,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB166012_1921,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB167008_1921,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB168011_1921,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB170002,Indian reserves,MB,1,no_inheritance_signal
PLACE_MB184001,Morris W-O,MB,1,no_inheritance_signal
PLACE_MB184004,Ste. Agathe,MB,1,no_inheritance_signal
