chain_place_id,canonical_name,province,cd_id,wikidata_qid,wikidata_label,is_chosen
CD_NS_Halifax_City,Halifax City,NS,CD_NS_Halifax,Q2630280,Halifax County,True
CD_NS_Halifax_City,Halifax City,NS,"CD_NS_Halifax,_City—Cité",Q2141,Halifax,False
CD_NS_Halifax_City,Halifax City,NS,CD_NS_Halifax_(City-Ville),Q2141,Halifax,False
