tcpuid,year,province,old_canonical_name,new_canonical_name,old_place_id,new_place_id
AB001007,1911,AB,Acme vl (T29 R5 MW4),"Acme, VL",PLACE_AB001007,PLACE_AB194031
AB001008,1911,AB,Airdrie vl (T27 R1 MW5),"Airdrie, VL",PLACE_AB001008,PLACE_AB194032
AB001010,1911,AB,Banff vl (T26 R12 MW5),Banff (not inc),PLACE_AB001010,PLACE_AB194025
AB001013,1911,AB,Carstairs vl (T30 R1 MW5),"Carstairs, VL",PLACE_AB001013,PLACE_AB194035
AB001014,1911,AB,Cochrane vl (T26 R4 MW5),"Cochrane, VL",PLACE_AB001014,PLACE_AB194036
AB001015,1911,AB,Crossfield vl (T28 R1 MW5),"Crossfield, VL",PLACE_AB001015,PLACE_AB194037
AB001017,1911,AB,Langdon vl (T23 R27 MW4),"Langdon, VL",PLACE_AB001017,PLACE_AB194039
AB001018,1911,AB,Strathmore vl (T24 R25 MW4),"Strathmore, T-V",PLACE_AB001018,PLACE_AB194030
AB002012,1911,AB,Edson vl (T53 R17 MW5),"Edson, T-V",PLACE_AB002012,PLACE_AB200024
AB002014,1911,AB,Entwhistle vl (T53 R7 MW5),"Entwistle, VL",PLACE_AB002014,PLACE_AB200025
AB002015,1911,AB,Morinville vl (T55 R25 MW4),"Morinville, T-V",PLACE_AB002015,PLACE_AB199020
AB003010,1911,AB,Blairmore vl (T7 R4 MW5),"Blairmore, T-V",PLACE_AB003010,PLACE_AB190019
AB003011,1911,AB,Barons vl (T12 R23 MW4),"Barons, VL",PLACE_AB003011,PLACE_AB192023
AB003013,1911,AB,Carmangay vl (T13 R23 MW4),"Carmangay, T-V",PLACE_AB003013,PLACE_AB192017
AB003014,1911,AB,Cayley vl (T7 R28 MW4),"Cayley, VL",PLACE_AB003014,PLACE_AB192025
AB003015,1911,AB,Coleman vl (T8 R4 MW5),"Coleman, T-V",PLACE_AB003015,PLACE_AB190022
AB003016,1911,AB,Cowley vl (T7 R1 MW5),"Cowley, VL",PLACE_AB003016,PLACE_AB190032
AB003017,1911,AB,Frank vl (T7 R3 MW5),"Frank, VL",PLACE_AB003017,PLACE_AB190033
AB003018,1911,AB,Granum vl (T10 R26 MW4),"Granum, T-V",PLACE_AB003018,PLACE_AB190024
AB003022,1911,AB,Pincher City vl (T7 R3 MW4),"Pincher City, VL",PLACE_AB003022,PLACE_AB190035
AB003023,1911,AB,Stavely vl (T14 R27 MW4),"Staveley, T-V",PLACE_AB003023,PLACE_AB192021
AB004010,1911,AB,Bassano vl (T21 R18 MW4),"Bassano, T-V",PLACE_AB004010,PLACE_AB191021
AB004011,1911,AB,Bow Island vl (T10 R11 MW4),"Bow Island, T-V",PLACE_AB004011,PLACE_AB189024
AB004012,1911,AB,Brooks vl (T18 R14 MW4),"Brooks, T-V",PLACE_AB004012,PLACE_AB191022
AB004013,1911,AB,Diamond City vl (T10 R21 MW4),"Diamond City, T-V",PLACE_AB004013,PLACE_AB190023
AB004014,1911,AB,Gleichen vl (T22 R4 MW4),"Gleichen, T-V",PLACE_AB004014,PLACE_AB194028
AB004015,1911,AB,Grassy Lake vl (T10 R13 MW4),"Grassy Lake, VL",PLACE_AB004015,PLACE_AB189028
AB004016,1911,AB,Irvine vl (T11 R2 MW4),"Irvine, T-V",PLACE_AB004016,PLACE_AB189025
AB004018,1911,AB,Munson vl (T30 R20 MW4),"Munson, VL",PLACE_AB004018,PLACE_AB193032
AB004020,1911,AB,Redcliffe vl (T13 R6 MW4),"Redcliffe, T-V",PLACE_AB004020,PLACE_AB191023
AB004022,1911,AB,Sterling vl (T6 R19 MW4),"Stirling, VL",PLACE_AB004022,PLACE_AB190036
AB004023,1911,AB,Warner vl (T4 R17 MW4),"Warner, VL",PLACE_AB004023,PLACE_AB189031
AB005009,1911,AB,Red Deer t-v,"Red Deer, C",PLACE_AB005009,PLACE_AB196022
AB005011,1911,AB,Alix vl (T39 R23 MW4),"Alix, VL",PLACE_AB005011,PLACE_AB196031
AB005012,1911,AB,Blackfalds vl (T39 R27 MW4),"Blackfalds, VL",PLACE_AB005012,PLACE_AB196035
AB005013,1911,AB,Bowden vl (T34 R1 MW5),"Bowden, VL",PLACE_AB005013,PLACE_AB197022
AB005014,1911,AB,Castor vl (T37 R4 MW4),"Castor, T-V",PLACE_AB005014,PLACE_AB195022
AB005015,1911,AB,Erskine vl (T39 R20 MW4),"Erskine, VL",PLACE_AB005015,PLACE_AB196040
AB005017,1911,AB,Gadsby vl (T38 R17 MW4),"Gadsby, VL",PLACE_AB005017,PLACE_AB196042
AB005018,1911,AB,North Red Deer vl (T38 R27 MW4),"North Red Deer, VL",PLACE_AB005018,PLACE_AB197023
AB005019,1911,AB,Penhold vl (T36 R28 MW4),"Penhold, VL",PLACE_AB005019,PLACE_AB196049
AB005020,1911,AB,Provost vl (T39 R2 MW4),"Provost, VL",PLACE_AB005020,PLACE_AB195039
AB005021,1911,AB,Trochu vl (T33 R23 MW4),"Trochu, VL",PLACE_AB005021,PLACE_AB194043
AB006011,1911,AB,Bawlf vl (T46 R18 MW4),"Bawlf, VL",PLACE_AB006011,PLACE_AB196033
AB006012,1911,AB,Ferintosh vl (T44 R21 MW4),"Ferintosh, VL",PLACE_AB006012,PLACE_AB196041
AB006013,1911,AB,Hardisty vl (T43 R9 MW4),"Hardisty, T-V",PLACE_AB006013,PLACE_AB195024
AB006014,1911,AB,Holden vl (T49 R16 MW4),"Holden, VL",PLACE_AB006014,PLACE_AB198025
AB006015,1911,AB,Killam vl (T44 R13 MW4),"Killam, VL",PLACE_AB006015,PLACE_AB195036
AB006016,1911,AB,Millet vl (T47 R25 MW4),"Millet, VL",PLACE_AB006016,PLACE_AB196045
AB006017,1911,AB,New Norway vl (T45 R21 MW4),"New Norway, VL",PLACE_AB006017,PLACE_AB196047
AB006018,1911,AB,Ohaton vl (T46 R19 MW4),"Ohaton, VL",PLACE_AB006018,PLACE_AB196048
AB006019,1911,AB,Ryley vl (T50 R17 MW4),"Ryley, VL",PLACE_AB006019,PLACE_AB198034
AB006020,1911,AB,Sedgewick vl (T44 R12 MW4),"Sedgewick, VL",PLACE_AB006020,PLACE_AB195040
AB006021,1911,AB,Strome vl (T45 R15 MW4),"Strome, VL",PLACE_AB006021,PLACE_AB195041
AB006022,1911,AB,Viking vl (T47 R13 MW4),"Viking, VL",PLACE_AB006022,PLACE_AB195043
AB007007,1911,AB,Bruederheim vl (T55 R20 MW4),"Bruderheim, VL",PLACE_AB007007_1911,PLACE_AB198023
AB007008,1911,AB,Innisfree vl (T51 R11 MW4),"Innisfree, VL",PLACE_AB007008,PLACE_AB198026
AB007009,1911,AB,Islay vl (T51 R10 MW4),"Islay, VL",PLACE_AB007009,PLACE_AB198027
AB007010,1911,AB,Lamont vl (T55 R19 MW4),"Lamont, VL",PLACE_AB007010,PLACE_AB198029
AB007011,1911,AB,Lavoy vl (T52 R13 MW4),"Lavoy, VL",PLACE_AB007011,PLACE_AB198030
AB007012,1911,AB,Lloydminster vl (T50 R1 MW4),"Lloydminster (pt), T-V",PLACE_AB007012,PLACE_AB198020
AB007013,1911,AB,Mannville vl (T50 R9 MW4),"Mannville, VL",PLACE_AB007013,PLACE_AB198031
AB007014,1911,AB,Mundare vl (T53 R16 MW4),"Mundare, VL",PLACE_AB007014,PLACE_AB198033
BC002001,1901,BC,Chilliwak,Chilliwack,PLACE_BC002001_1901,PLACE_BC011001
BC002002,1891,BC,"New Westminster, City—Cité","New Westminster, C",PLACE_BC002004,PLACE_BC213004
BC002004,1901,BC,"New Westminster, City—Cité","New Westminster, C",PLACE_BC002004,PLACE_BC213004
BC003005,1901,BC,"Nanaimo, City—Cité",Nanaimo c,PLACE_BC003005,PLACE_BC010006
BC003007,1891,BC,Goldstream and Sooke,"Victoria, South—Sud",PLACE_BC003007,PLACE_BC003009_1891
BC003011,1891,BC,"Nanaimo, City—Cité",Nanaimo,PLACE_BC003005,PLACE_BC003011
BC004004,1901,BC,"Victoria, City—Cité",Victoria City,PLACE_BC004004,PLACE_BC217001
BC012002,1911,BC,Vancouver S,South Vancouver,PLACE_BC012002,PLACE_BC216002
BC189003,1881,BC,William's Lake and Canoe Creek,Williams’ Lake,PLACE_BC189003,PLACE_BC001011
MB006002,1901,MB,"Brandon, City—Cité","Brandon, C",PLACE_MB006002,PLACE_MB161010
MB006005,1891,MB,Gimli,"Gimli, VL",PLACE_MB166007,PLACE_MB166013
MB006010,1901,MB,"Boissevain, Town—Ville","Boissevain, T-V",PLACE_MB006010,PLACE_MB158009
MB007003,1901,MB,"Carman, Village","Carman, T-V",PLACE_MB007003,PLACE_MB160014
MB007007,1891,MB,Cypress N,"Cypress, North—Nord",PLACE_MB161002,PLACE_MB008002
MB007007,1901,MB,"Manitou, Village","Manitou, VL",PLACE_MB007007_1901,PLACE_MB157011
MB007008,1891,MB,Cypress S,"Cypress, South—Sud",PLACE_MB161003,PLACE_MB008003
MB007009,1901,MB,"Plum Coulee, Village","Plum Coulee, VL",PLACE_MB007009_1901,PLACE_MB156014
MB007010,1891,MB,"Gladstone, Town—Ville","Gladstone, T-V",PLACE_MB007010_1891,PLACE_MB164009
MB007010,1901,MB,"Gretna, Village","Gretna, VL",PLACE_MB007010,PLACE_MB156013
MB007013,1901,MB,"Morden, Village","Morden, T-V",PLACE_MB007013_1901,PLACE_MB156011
MB007015,1891,MB,"Minnedosa, Town—Ville","Minnedosa, T-V",PLACE_MB009017_1891,PLACE_MB165016
