tcpuid,year,persistent_place_id
ON105010,1921,PLACE_ON105010
ON004010,1851,PLACE_ON105013
ON067010,1861,PLACE_ON105013
ON078005,1871,PLACE_ON105013
ON108005,1881,PLACE_ON105013
ON055007,1891,PLACE_ON105013
ON052008,1901,PLACE_ON105013
ON061014,1911,PLACE_ON105013
ON105013,1921,PLACE_ON105013
ON039011,1851,PLACE_ON106001
ON103001,1861,PLACE_ON106001
ON035007,1871,PLACE_ON106001
ON153009,1881,PLACE_ON106001
ON127001,1891,PLACE_ON106001
ON125001,1901,PLACE_ON106001
ON062001,1911,PLACE_ON106001
ON106001,1921,PLACE_ON106001
ON039006,1851,PLACE_ON103007
ON103007,1861,PLACE_ON103007
ON039010,1851,PLACE_ON039010
ON103012,1861,PLACE_ON152008
ON035003,1871,PLACE_ON152008
ON103002,1861,PLACE_ON152017
ON035004,1871,PLACE_ON152017
ON103010,1861,PLACE_ON127006
ON035006,1871,PLACE_ON127006
ON153008,1881,PLACE_ON127006
ON127006,1891,PLACE_ON127006
ON035016,1851,PLACE_ON106005
ON098010,1861,PLACE_ON106005
ON040003,1871,PLACE_ON106005
ON141005,1881,PLACE_ON106005
ON054005,1891,PLACE_ON106005
ON051005,1901,PLACE_ON106005
ON062005,1911,PLACE_ON106005
ON106005,1921,PLACE_ON106005
ON035015,1851,PLACE_ON106006
ON098012,1861,PLACE_ON106006
ON041004,1871,PLACE_ON106006
ON138004,1881,PLACE_ON106006
ON119005,1891,PLACE_ON106006
ON115006,1901,PLACE_ON106006
ON062006,1911,PLACE_ON106006
ON106006,1921,PLACE_ON106006
ON005001,1851,PLACE_ON107001
ON068002,1861,PLACE_ON107001
ON071001,1871,PLACE_ON107001
ON102001,1881,PLACE_ON107001
ON057003,1891,PLACE_ON107001
ON054003,1901,PLACE_ON107001
ON063001,1911,PLACE_ON107001
ON107001,1921,PLACE_ON107001
ON068001,1861,PLACE_ON107006
ON071002,1871,PLACE_ON107006
ON102002,1881,PLACE_ON107006
ON057002,1891,PLACE_ON107006
ON054002,1901,PLACE_ON107006
ON063006,1911,PLACE_ON107006
ON107006,1921,PLACE_ON107006
ON005002,1851,PLACE_ON107002
ON068004,1861,PLACE_ON107002
ON071005,1871,PLACE_ON107002
ON102005,1881,PLACE_ON107002
ON057005,1891,PLACE_ON107002
ON054005,1901,PLACE_ON107002
ON063002,1911,PLACE_ON107002
ON107002,1921,PLACE_ON107002
ON005003,1851,PLACE_ON107003
ON068005,1861,PLACE_ON107003
ON071003,1871,PLACE_ON107003
ON102003,1881,PLACE_ON107003
ON057006,1891,PLACE_ON107003
ON054006,1901,PLACE_ON107003
ON063003,1911,PLACE_ON107003
ON107003,1921,PLACE_ON107003
ON068003,1861,PLACE_ON107007
ON071004,1871,PLACE_ON107007
ON102004,1881,PLACE_ON107007
ON057004,1891,PLACE_ON107007
ON054004,1901,PLACE_ON107007
ON063007,1911,PLACE_ON107007
ON107007,1921,PLACE_ON107007
ON005004,1851,PLACE_ON107004
ON068006,1861,PLACE_ON107004
ON071006,1871,PLACE_ON107004
ON102006,1881,PLACE_ON107004
ON057007,1891,PLACE_ON107004
ON054007,1901,PLACE_ON107004
ON063004,1911,PLACE_ON107004
ON107004,1921,PLACE_ON107004
ON006001,1851,PLACE_ON108001
ON069003,1861,PLACE_ON108001
ON006002,1851,PLACE_ON108002
ON069002,1861,PLACE_ON108002
ON051003,1871,PLACE_ON108002
ON127003,1881,PLACE_ON108002
ON058001,1891,PLACE_ON108002
ON055001,1901,PLACE_ON108002
ON064002,1911,PLACE_ON108002
ON108002,1921,PLACE_ON108002
