tcpuid_from,year_from,name_from,tcpuid_to,year_to,name_to,province,iou,name_similarity
ON003003,1851,Bruce,ON066005,1861,Pence,ON,1.0,58.0
ON008004,1851,Gosfield,ON071004,1861,Golded,ON,1.0,70.0
ON015009,1851,Grimsthorpe,ON078004,1861,Hungerford,ON,1.0,56.67
ON019007,1851,Elmsley N,ON082007,1861,Elinsley,ON,0.9862,79.41
ON030003,1851,Dummer & Burleigh,ON093005,1861,Dummer,ON,1.0,62.24
ON006007,1851,Port Hope,ON069009,1861,"Port Hope, Town of",ON,1.0,76.67
ON007008,1851,"St. Thomas, Village",ON070007,1861,"St. Thomas, Town of",ON,1.0,74.21
ON008010,1851,Tilbury W-O,ON071012,1861,"Tilbury,West",ON,1.0,78.7
ON009003,1851,Hinchinbrook,ON072003,1861,Han,ON,1.0,48.67
ON015007,1851,Thurlow,ON078011,1861,Thurlow and Belleville Seminar,ON,1.0,56.49
ON016014,1851,Stanley,ON079014,1861,Stanley and Bayfield,ON,1.0,66.3
ON017002,1851,Chatham,ON080003,1861,Chatham and Gore,ON,1.0,72.61
ON017003,1851,Dover East & Dover West,ON080004,1861,Dover,ON,1.0,55.0
ON021002,1851,Fredericksburg,ON084007,1861,Frederichsburgh,ON,1.0,76.6
ON001004,1851,Shefford,ON084011,1861,Sheffield,ON,1.0,68.03
ON025006,1851,Woodhouse,ON087008,1861,Woodhouse and Gore,ON,1.0,76.67
ON026008,1851,Scugog,ON089008,1861,Scugog Island,ON,1.0,74.21
ON027002,1851,Zorra W-O,ON090014,1861,"Zorra, West",ON,0.9898,79.0
ON027012,1851,"Ingersol, Town",ON090005,1861,"Ingersoll, Village",ON,1.0,73.75
ON030005,1851,Monaghan,ON093010,1861,"Monaghan, North",ON,1.0,74.41
ON047003,1851,"London, St. Andrew’s Ward",ON110005,1861,Ward No. 5,ON,1.0,46.0
ON047004,1851,"London, St. David’s Ward",ON110006,1861,Ward No. 6,ON,1.0,46.47
ON038006,1851,Galt,ON101003,1861,"Galt, Town of",ON,1.0,62.94
ON040009,1851,Chippewa,ON102002,1861,"Chippawa, Village",ON,1.0,69.2
ON036001,1851,Cornwall,ON099002,1861,"Cornwall, Township",ON,1.0,73.08
ON045001,1851,"Kingston, Sydenham Ward",ON109006,1861,Sydenham Ward,ON,1.0,72.37
ON045002,1851,"Kingston, Rideau Ward",ON109004,1861,Rideau Ward,ON,0.9993,69.94
ON045004,1851,"Kingston, Cataraqui Ward",ON109001,1861,Cataraqui Ward,ON,1.0,73.4
ON045006,1851,"Kingston, St. Lawrence Ward",ON109005,1861,St. Lawrence Ward,ON,1.0,75.91
ON026011,1851,Oshawa,ON089003,1861,"Oshawa, Village",ON,1.0,70.0
QC080013,1851,Chatham,QC002002,1861,Chatham,QC,1.0,77.83
QC080017,1851,Gore,QC002005,1861,Gore,QC,1.0,77.83
QC080015,1851,Grenville,QC002004,1861,Grenville,QC,1.0,77.83
QC055002,1851,"Acton, Township",QC004001,1861,Acton,QC,1.0,39.62
QC078010,1851,Ste. Rosalie,QC004007,1861,Ste. Rosalie,QC,1.0,76.67
QC054012,1851,St. Elzéar,QC005012,1861,St. Elzéar,QC,1.0,77.5
QC054016,1851,St. François,QC005014,1861,St. François,QC,1.0,77.5
QC054015,1851,St. Frédéric,QC005013,1861,St. Frédéric,QC,1.0,77.5
QC054017,1851,St. George,QC005015,1861,St. Georges,QC,1.0,74.17
QC054014,1851,St. Joseph la Beauce,QC005016,1861,St. Joseph,QC,1.0,54.17
QC054013,1851,Ste. Marie,QC005017,1861,Ste. Marie de la Beauce,QC,0.9811,49.92
QC048005,1851,"Beauharnois, Village",QC006001,1861,Beauharnois,QC,1.0,79.68
QC051008,1851,Nouvelle,QC009010,1861,Nouvelle and Shoolbreds,QC,1.0,66.13
QC051001,1851,Port Daniel,QC009003,1861,Daniel (Port),QC,1.0,65.0
QC077004,1851,Bolton,QC010001,1861,Bolton,QC,1.0,74.29
QC075008,1851,Brome,QC010002,1861,Brome,QC,1.0,74.62
QC077005,1851,Potton,QC010004,1861,Potton,QC,1.0,74.29
QC063001,1851,Sutton,QC010005,1861,Sutton,QC,1.0,74.0
QC053001,1851,Ste. Anne Lapérade,QC012005,1861,Ste. Anne,QC,1.0,76.67
QC053002,1851,"St. François X., Batiscan",QC012001,1861,Batiscan,QC,1.0,63.94
QC074001,1851,Baie St. Paul,QC013001,1861,Baie St. Paul,QC,1.0,76.67
QC074004,1851,Isles aux Coudres,QC013005,1861,Isle-aux-Coudres,QC,1.0,66.06
QC074005,1851,Eboulements,QC013004,1861,Eboulements,QC,1.0,76.67
QC074009,1851,Malbaie,QC013009,1861,St. Etienne (Murray Bay),QC,1.0,24.73
QC074003,1851,Petite Rivière,QC013006,1861,Petite Rivière St. François-Xavier,QC,1.0,47.5
QC074010,1851,St. Fidèle,QC013010,1861,St. Fidèle,QC,1.0,76.67
QC074007,1851,"Settrington, Township",QC013008,1861,Settrington,QC,1.0,54.79
QC074006,1851,St. Irénée,QC013011,1861,St. Irénée,QC,1.0,76.67
QC074011,1851,"Callières, Township",QC013002,1861,Callières,QC,1.0,51.67
QC074002,1851,St. Urbain,QC013012,1861,St. Urbain,QC,1.0,76.67
QC057007,1851,Chateauguay,QC014003,1861,St. Joachim de Chateauguay,QC,1.0,50.19
QC057006,1851,Ste. Philomène,QC014006,1861,Ste. Philomène,QC,1.0,78.57
QC048008,1851,St. Urbain,QC014007,1861,St. Urbain Premier,QC,1.0,60.91
QC074024,1851,"Jonquière, Township",QC015008,1861,Jonquière,QC,1.0,48.33
QC076010,1851,Bury,QC016001,1861,Bury,QC,1.0,77.06
QC076002,1851,Clifton,QC016002,1861,Clifton,QC,1.0,77.06
QC076004,1851,Compton,QC016003,1861,Compton,QC,1.0,77.06
QC076008,1851,Eaton,QC016004,1861,Eaton,QC,1.0,77.06
QC076001,1851,Hereford,QC016006,1861,Hereford,QC,1.0,77.06
QC076011,1851,Lingwick,QC016007,1861,Lingwick,QC,1.0,77.06
QC076018,1851,Westbury,QC016010,1861,Westbury,QC,1.0,77.06
QC076020,1851,Winslow,QC016011,1861,Winslow,QC,1.0,77.06
QC080006,1851,Mission du Lac,QC056001,1861,Lake of Two Mountains,QC,1.0,46.0
QC055004,1851,"Durham, Township",QC018001,1861,Durham,QC,1.0,68.18
QC055005,1851,"Grantham, Township",QC018002,1861,Grantham,QC,1.0,73.08
QC055013,1851,"Horton, Township",QC003008,1861,Horton,QC,1.0,41.52
QC055014,1851,"Bulstrode, Township",QC003005,1861,Bulstrode,QC,1.0,48.33
QC055011,1851,"Stanfold, Township",QC003010,1861,Stanfold,QC,1.0,46.41
QC055009,1851,"Tingwick, Township",QC003011,1861,Tingwick,QC,1.0,46.41
QC055008,1851,"Simpson, Township",QC018004,1861,Simpson,QC,1.0,70.83
QC055010,1851,"Wickham, Township",QC018007,1861,Wickham,QC,1.0,70.83
QC055003,1851,"Warwick, Township",QC003012,1861,Warwick,QC,1.0,44.17
QC056005,1851,"Douglass, Township",QC019003,1861,Douglas,QC,1.0,69.2
QC056009,1851,"Fox, Township",QC019004,1861,Fox,QC,1.0,56.25
QC056004,1851,"Malbay, Township",QC019009,1861,Malbaie,QC,1.0,66.52
QC056003,1851,"Percé, Township",QC019013,1861,Percé,QC,1.0,65.0
QC065011,1851,Montréal,QC020002,1861,"Montréal, Parish",QC,1.0,53.73
QC048003,1851,"Elgin, Township",QC021001,1861,Elgin,QC,1.0,43.57
QC048009,1851,"Godmanchester, Township",QC021005,1861,"Huntingdon, Village, and Godmanchester",QC,0.9857,38.41
QC048001,1851,St. Anicet,QC021006,1861,St. Anicet,QC,1.0,78.57
QC065012,1851,St. Michel,QC024001,1861,"Lachine, Parish",QC,1.0,22.02
QC065007,1851,Ste. Anne,QC024004,1861,Ste. Anne,QC,1.0,75.22
QC065006,1851,Ste. Geneviève,QC024005,1861,"Ste. Geneviève, Parish",QC,0.9801,59.66
QC065008,1851,St. Joachim,QC024003,1861,La Pointe Claire,QC,1.0,25.96
QC065005,1851,St. Laurent,QC024007,1861,St. Laurent,QC,1.0,75.22
QC080007,1851,St. Raphaël,QC024008,1861,St. Raphaël and Isle Bizard,QC,1.0,46.95
QC050015,1851,St. Alphonse,QC025001,1861,Cathcart,QC,1.0,25.25
QC050016,1851,Daillebout,QC025012,1861,Ste. Mélanie,QC,1.0,30.34
QC057008,1851,Sault St. Louis,QC027007,1861,Sault St. Louis,QC,1.0,73.16
QC057003,1851,St. Constant,QC027003,1861,St. Constant,QC,1.0,73.16
QC057005,1851,St. Isidore,QC027004,1861,St. Isidore,QC,1.0,73.16
QC057009,1851,St. Jacques,QC027005,1861,St. Jacques le Mineur,QC,1.0,51.28
QC057004,1851,St. Philippe,QC027006,1861,St. Philippe,QC,1.0,73.16
QC057002,1851,"Laprairie, Village",QC027001,1861,"Laprairie, Village",QC,1.0,73.16
QC057011,1851,St. Cyprien,QC037001,1861,St. Cyprien and Convent,QC,1.0,51.01
QC057014,1851,Sherrington,QC037005,1861,Sherrington,QC,1.0,75.71
QC059003,1851,St. Sulpice,QC001011,1861,St. Sulpice,QC,1.0,79.0
QC065002,1851,Enfant Jésus,QC020005,1861,Pointe aux Trembles,QC,1.0,29.64
QC065003,1851,St. Joseph,QC020006,1861,Rivière des Prairies,QC,1.0,21.06
QC079010,1851,St. François de Sales,QC028001,1861,St. François de Sales,QC,1.0,70.0
QC079012,1851,Ste. Rose,QC028003,1861,"Ste. Rose, Parish and Village",QC,1.0,33.16
QC079011,1851,St. Vincent de Paul,QC028004,1861,St. Vincent de Paul,QC,0.9981,70.0
QC065001,1851,St. François,QC020001,1861,Longue Pointe,QC,1.0,23.86
