tcpuid_from,year_from,name_from,tcpuid_to,year_to,name_to,province,iou,name_similarity
QC065004,1851,Sault aux Récollets,QC020007,1861,Sault au Récollet,QC,1.0,73.17
QC054005,1851,St. Henri,QC029004,1861,St. Henri,QC,1.0,74.0
QC054001,1851,"St. Joseph, Pointe Lévi",QC029002,1861,St. Joseph de la Pointe Lévis and Convent,QC,1.0,52.12
QC061006,1851,Ste. Croix,QC030005,1861,Ste. Croix and Convent,QC,1.0,70.75
QC061007,1851,"St. Louis, Lotbinière",QC030001,1861,Lotbinière,QC,1.0,72.16
QC072005,1851,"St. George, Manoir de Caldwell",QC033007,1861,St. George de Clarenceville,QC,1.0,53.33
QC072008,1851,St. Thomas de Foucault,QC033009,1861,St. Thomas,QC,1.0,50.42
QC059010,1851,St. Alexis,QC034005,1861,St. Alexis,QC,1.0,77.5
QC059012,1851,Kilkenny,QC034003,1861,Kilkenny,QC,1.0,77.5
QC059008,1851,St. Esprit,QC034006,1861,St. Esprit,QC,1.0,77.5
QC059013,1851,Ste. Julienne,QC034008,1861,Ste. Julienne,QC,1.0,77.5
QC059015,1851,Chertsey,QC034001,1861,Chertsey,QC,1.0,77.5
QC049002,1851,Berthier,QC035001,1861,Berthier,QC,1.0,73.0
QC049001,1851,St. François & St. Pierre,QC035009,1861,St. François,QC,1.0,48.41
QC060002,1851,St. Thomas,QC035012,1861,St. Thomas,QC,1.0,73.75
QC060001,1851,"Montmagny, Village",QC035007,1861,"Montmagny, Village",QC,1.0,73.75
QC066008,1851,Nicolet,QC038004,1861,Nicolet and Seminary,QC,1.0,66.3
QC055001,1851,"Aston, Township",QC003003,1861,Aston,QC,1.0,38.33
QC067005,1851,Calumet,QC040007,1861,Isle du Calumet,QC,1.0,55.8
QC070004,1851,"St. Pierre, Sorel",QC043007,1861,Sorel Parish,QC,1.0,54.14
QC076017,1851,Dudswell,QC059001,1861,Dudswell,QC,1.0,78.0
QC076021,1851,Stratford,QC059006,1861,Stratford,QC,1.0,78.0
QC062006,1851,Wolfstown,QC059009,1861,Wolfestown,QC,1.0,70.93
QC076012,1851,Weedon,QC059007,1861,Weedon,QC,1.0,78.0
QC076016,1851,Windsor,QC044008,1861,Windsor,QC,1.0,76.67
QC070008,1851,St. Barnabé,QC050002,1861,St. Barnabé,QC,1.0,78.18
QC070007,1851,St. Denis,QC050005,1861,St. Denis and Convent,QC,1.0,50.18
QC057013,1851,"St. Bernard, Lacolle",QC051002,1861,Lacolle,QC,1.0,45.77
QC052014,1851,"St. John, Parish",QC051003,1861,"St. Jean, Parish",QC,1.0,65.0
QC072001,1851,Christieville,QC022001,1861,Iberville,QC,1.0,65.72
QC052013,1851,"St. John, Village",QC051004,1861,"St. Johns, Town of",QC,1.0,43.75
QC076005,1851,Orford & Sherbrooke in Orford,QC064002,1861,Orford,QC,0.9915,45.43
QC081009,1851,St. Clet,QC049003,1861,St. Clet,QC,1.0,76.67
QC081007,1851,St. Ignace,QC049004,1861,St. Ignace,QC,1.0,76.67
QC081008,1851,St. Joseph,QC049005,1861,St. Joseph and Convent,QC,0.9972,50.42
QC081010,1851,St. Zotique,QC049008,1861,St. Zotique,QC,0.9875,76.67
QC071004,1851,St. George de Kacouna,QC054009,1861,St. George de Kakouna,QC,1.0,76.14
QC071010,1851,Isle Verte,QC054004,1861,Isle Verte,QC,1.0,79.47
QC071009,1851,St. Eloi,QC054008,1861,St. Eloi,QC,1.0,79.47
QC079007,1851,Lacorne,QC055008,1861,Ste. Sophie,QC,1.0,45.56
QC073002,1851,Shawanegan,QC052003,1861,St. Boniface,QC,1.0,49.09
QC081002,1851,Vaudreuil,QC057006,1861,"Vaudreuil, Parish",QC,1.0,78.46
QC067001,1851,"Aylmer, Town",QC039003,1861,"Aylmer, Village",QC,1.0,71.48
QC059005,1851,Lachenaie,QC001005,1861,Lachenaie,QC,1.0,79.0
QC070003,1851,William Henry,QC043008,1861,"Sorel, Town, College and Convent",QC,1.0,51.78
QC079002,1851,"Ste. Thérèse, Village",QC055010,1861,"Ste. Thérèse de Blainville, Village and College",QC,1.0,73.24
QC079013,1851,St. Martin,QC028002,1861,St. Martin,QC,1.0,70.0
QC074016,1851,Petit Saguenay & St. Jean,QC015018,1861,St. Jean,QC,1.0,37.27
QC055018,1851,"Kingsey, Township",QC018003,1861,Kingsey,QC,1.0,70.83
QC071002,1851,Fraserville,QC054003,1861,Fraserville,QC,1.0,79.47
QC050004,1851,Berthier,QC008001,1861,"Berthier, Parish",QC,0.9862,76.67
QC065009,1851,"Lachine, Village",QC024002,1861,"Lachine, Village",QC,1.0,75.22
QC067008,1851,Derry,QC039015,1861,"Derry, East and West",QC,1.0,58.0
QC054002,1851,Notre Dame de la Victoire,QC029001,1861,Notre Dame de la Victoire,QC,1.0,74.0
QC080014,1851,Wentworth,QC002012,1861,Wentworth,QC,1.0,77.83
QC080016,1851,Harrington,QC002006,1861,Harrington,QC,1.0,77.83
QC054020,1851,Jersey,QC005006,1861,Jersey,QC,1.0,77.5
QC054021,1851,Linière,QC005008,1861,Linière,QC,1.0,77.5
QC074018,1851,"Harvey, Township",QC015007,1861,Harvey,QC,1.0,41.52
QC074020,1851,"Tremblay, Township",QC015022,1861,Tremblay,QC,1.0,46.41
QC074019,1851,"Simard, Township",QC015016,1861,Simard,QC,1.0,41.52
QC074025,1851,"Kinogomi, Township",QC015009,1861,Kinogami,QC,1.0,41.03
QC074026,1851,"Labarre, Township",QC015010,1861,Labarre,QC,1.0,44.17
QC074027,1851,"Métabetchouan, Township",QC015013,1861,Metabetchouan,QC,1.0,50.0
QC055007,1851,"Wendover, Township",QC018006,1861,Wendover,QC,1.0,73.08
QC058009,1851,"Woodbridge, Township",QC026013,1861,Woodbridge,QC,0.9888,76.67
QC058002,1851,"Ixworth, Township",QC026001,1861,Ixworth,QC,1.0,70.83
QC059016,1851,Wexford,QC034010,1861,Wexford,QC,1.0,77.5
QC060014,1851,Grosse Ile,QC035002,1861,Grosse Isle,QC,1.0,70.42
QC060012,1851,Ile aux Oies,QC035004,1861,Isle aux Oies,QC,1.0,70.95
QC060008,1851,Cap St. Ignace,QC035010,1861,St. Ignace,QC,1.0,62.08
QC076019,1851,Garthby,QC059002,1861,Garthby,QC,1.0,78.0
QC060011,1851,Ile aux Grues,QC035003,1861,Isle aux Grues,QC,1.0,71.16
QC067017,1851,Oldfield,QC040002,1861,Aldfield,QC,1.0,72.5
QC065999,1851,NO DATA,QC020999,1861,NO DATA,QC,1.0,77.06
ON065003,1861,Burford,ON015001,1871,Burford,ON,1.0,77.89
ON065004,1861,"Dumfries, South",ON016001,1871,"Dumfries, S",ON,0.9862,67.34
ON065008,1861,Tuscarora,ON015005,1871,Tuscarora,ON,1.0,78.11
ON065005,1861,Oakland,ON015002,1871,Oakland,ON,1.0,77.89
ON065001,1861,"Brantford, Town of",ON015004,1871,"Brantford, Town—Ville",ON,1.0,61.74
ON083007,1861,Elizabethtown,ON068004,1871,Elizabethtown,ON,0.997,78.0
ON066005,1861,Pence,ON028001,1871,Bruce,ON,1.0,41.64
ON066011,1861,Kincaraio,ON027005,1871,Kincardine,ON,1.0,65.86
ON066009,1861,Grenock,ON027007,1871,Greenock,ON,1.0,79.62
ON066013,1861,Kinlas,ON027002,1871,Kinloss,ON,1.0,68.13
ON098010,1861,Mono,ON040003,1871,Mono,ON,0.9903,78.57
ON098012,1861,Mulmer,ON041004,1871,Mulmur,ON,1.0,73.99
ON069001,1861,Bowmanville,ON050002,1871,"Bowmanville, Town—Ville",ON,1.0,60.29
ON069009,1861,"Port Hope, Town of",ON051002,1871,"Port Hope, Town—Ville",ON,1.0,70.21
ON069008,1861,Newcastle,ON050005,1871,"Newcastle, Village",ON,1.0,61.67
ON070003,1861,Dorchester,ON006004,1871,"Dorchester, S",ON,1.0,75.87
ON070001,1861,Aldborough,ON005001,1871,Aidborough,ON,1.0,76.64
ON070007,1861,"St. Thomas, Town of",ON006002,1871,"Saint Thomas, Town—Ville",ON,1.0,63.84
ON071004,1861,Golded,ON001005,1871,Gosfield,ON,1.0,70.0
ON071999,1861,NO DATA,ON001007,1871,Pelée,ON,1.0,30.0
ON072003,1861,Han,ON064008,1871,Hinchinbrooke,ON,1.0,27.5
ON072004,1861,Kennebec,ON064007,1871,Kenebec,ON,1.0,75.33
ON072005,1861,Kingston,ON065001,1871,"Kingston, Township",ON,0.9896,73.08
ON072011,1861,Pittsburgh,ON065005,1871,"Pittsburg, Howe Island",ON,0.9902,73.75
ON074003,1861,"Gower, South",ON070007,1871,"Gower, S",ON,1.0,70.21
ON074007,1861,"Present, town of",ON069002,1871,"Prescott, Town—Ville",ON,1.0,61.4
ON074005,1861,"Mernakville, Village",ON070004,1871,"Merrickville, Village",ON,1.0,75.67
ON075013,1861,"Owen Sound, Town of",ON037007,1871,"Owen Sound, Town—Ville",ON,1.0,66.63
ON076001,1861,Canboro,ON018003,1871,Canborough,ON,1.0,66.22
ON076006,1861,Moulton and Sherbrooke,ON018001,1871,"Moulton, Sherbrooke",ON,1.0,70.03
ON076005,1861,"Dunnville, Village",ON018002,1871,"Dunnville, Village",ON,1.0,78.57
ON108002,1861,St. Georges’ Ward,ON024001,1871,"Hamilton, St. George’s Ward—Quartier",ON,1.0,72.26
ON078002,1861,Elzevir,ON062006,1871,"Elzevir, Grimsthorpe",ON,1.0,53.44
ON078006,1861,Mador,ON062005,1871,Madoc,ON,0.9869,73.14
ON078011,1861,Thurlow and Belleville Seminar,ON061001,1871,Thurlow,ON,1.0,44.95
ON078010,1861,Sydney,ON060001,1871,Sidney,ON,1.0,75.48
ON078001,1861,"Belleville, Town of",ON060003,1871,"Belleville, Town—Ville",ON,1.0,71.78
ON079017,1861,Turnbury,ON026011,1871,Turnberry,ON,1.0,71.28
ON079014,1861,Stanley and Bayfield,ON025004,1871,Stanley,ON,1.0,50.58
ON079004,1861,Colborno,ON026001,1871,Colborne,ON,1.0,74.89
ON079006,1861,"Goderich, Town of",ON025007,1871,"Goderich, Town—Ville",ON,1.0,67.26
ON080006,1861,Howard,ON003001,1871,Howard,ON,1.0,75.0
ON080007,1861,Orford,ON003002,1871,Orford,ON,1.0,75.0
ON080004,1861,Dover,ON002005,1871,Dover,ON,1.0,76.67
ON080005,1861,Harwich,ON002004,1871,Harwich,ON,1.0,76.67
ON080008,1861,Raleigh,ON002003,1871,Raleigh,ON,1.0,76.67
ON080009,1861,Romney,ON002001,1871,Romney,ON,1.0,76.67
ON080010,1861,Tilbury East,ON002002,1871,"Tilbury, E",ON,1.0,63.94
ON080002,1861,"Chatham, Town of",ON002007,1871,"Chatham, Town—Ville",ON,1.0,58.67
ON109002,1861,Frontenac Ward,ON066003,1871,"Kingston, Frontenac Ward—Quartier",ON,1.0,71.7
ON082007,1861,Elinsley,ON079003,1871,"Elmsley, N",ON,1.0,62.32
ON082015,1861,"Sherbrooke, South",ON079005,1871,"Sherbrooke, S",ON,1.0,76.32
ON082012,1861,"Perth, Town of",ON079008,1871,"Perth, Town—Ville",ON,1.0,65.33
ON083004,1861,"Crosby, North",ON067008,1871,"Crosby, N",ON,1.0,71.56
ON083005,1861,"Crosby, South",ON067007,1871,"Crosby, S",ON,1.0,71.56
ON083006,1861,Elmsley,ON070002,1871,Elmsley,ON,1.0,78.82
ON084004,1861,Camden,ON064001,1871,"Camden, E",ON,0.9935,74.62
ON085007,1861,Niagara,ON020001,1871,"Niagara, Township",ON,1.0,45.12
ON086004,1861,"Dorchester, North",ON009002,1871,"Dorchester, N",ON,1.0,79.95
ON086007,1861,London,ON009003,1871,"London, Township",ON,1.0,57.47
ON086010,1861,Nissouri,ON009004,1871,"Nissouri, W-O",ON,1.0,72.62
ON079002,1861,Biddulph,ON008006,1871,Biddulph,ON,1.0,74.62
ON079011,1861,McGillivray,ON008005,1871,McGillivray,ON,1.0,74.62
ON086012,1861,"Williams, East",ON008002,1871,"Williams, W-O",ON,1.0,69.85
ON086013,1861,"Williams, West",ON008003,1871,"Williams, E",ON,1.0,79.6
ON087008,1861,Woodhouse and Gore,ON011004,1871,Woodhouse,ON,1.0,63.47
ON087004,1861,"Simcoe, Town of",ON012004,1871,"Simcoe, Town—Ville",ON,1.0,67.06
ON089009,1861,Thora,ON049006,1871,Thorah,ON,1.0,79.79
ON089008,1861,Scugog Island,ON049003,1871,Scugog,ON,1.0,60.36
ON089012,1861,"Whitby, West",ON048002,1871,"Whitby, W-O",ON,1.0,71.58
ON111001,1861,By Ward,ON077004,1871,"Ottawa, By Ward—Quartier",ON,1.0,47.27
ON111003,1861,St. Georges’ Ward,ON077003,1871,"Ottawa, St. George’s Ward—Quartier",ON,1.0,59.57
ON111004,1861,Victoria Ward,ON077002,1871,"Ottawa, Victoria Ward—Quartier",ON,1.0,57.98
ON090006,1861,"Nissouri, East",ON014001,1871,"Nissouri, E",ON,1.0,76.6
ON090013,1861,"Zorra, East",ON014004,1871,"Zorra, E",ON,1.0,73.95
ON090014,1861,"Zorra, West",ON014002,1871,"Zorra, W-O",ON,1.0,68.33
ON090012,1861,"Woodstock, Town of",ON014005,1871,"Woodstock, Town—Ville",ON,1.0,68.85
ON090007,1861,"Norwich, North",ON013003,1871,"Norwich, N",ON,1.0,73.99
ON090008,1861,"Norwich, South",ON013002,1871,"Norwich, S",ON,1.0,73.99
ON090010,1861,"Oxford, East",ON013004,1871,"Oxford, E",ON,1.0,75.65
ON090009,1861,"Oxford, North",ON013007,1871,"Oxford, N",ON,0.9889,72.92
ON090011,1861,"Oxford, West",ON013005,1871,"Oxford, W-O",ON,0.9896,70.43
ON091006,1861,Toronto,ON039001,1871,"Toronto, Township",ON,1.0,70.83
ON091002,1861,"Brampton, Town of",ON039005,1871,"Brampton, Village",ON,1.0,71.18
ON092003,1861,"Easthope, North",ON030004,1871,"Easthope, N",ON,1.0,72.87
ON092013,1861,"Stratford, Town of",ON030003,1871,"Stratford, Town—Ville",ON,1.0,67.48
ON092004,1861,"Easthope, South",ON029007,1871,"Easthope, S",ON,1.0,73.52
ON092007,1861,Pullarton,ON029004,1871,Fullarton,ON,1.0,76.51
ON093007,1861,Galway,ON058002,1871,"Galway, Cavendish",ON,1.0,57.7
ON093006,1861,Ennismore,ON056005,1871,Enmsmore,ON,1.0,77.65
ON093010,1861,"Monaghan, North",ON056002,1871,"Monaghan, N",ON,1.0,79.23
ON088009,1861,"Monaghan, South",ON056001,1871,"Monaghan, S",ON,1.0,67.13
ON096002,1861,Alice,ON082009,1871,"Alice, Fraser",ON,1.0,55.04
ON096008,1861,"Brudenoll, Raglan and Radcliffe",ON081007,1871,"Brudenell, Raglan, Radcliffe, Lyndoch",ON,1.0,70.33
ON096004,1861,Arnprior,ON081002,1871,"Arnprior, Village",ON,1.0,61.6
ON067002,1861,Gloucester,ON076005,1871,Gloucester,ON,0.9966,78.0
ON067009,1861,Osgoode,ON076007,1871,Osgoode,ON,1.0,78.0
ON098014,1861,Orillia and Matchedash,ON042011,1871,"Orillia, Matchedash",ON,0.9934,76.46
ON098004,1861,"Collingwood, Town of",ON042002,1871,"Collingwood, Town—Ville",ON,1.0,70.35
ON071013,1861,"Winder, Town of",ON001011,1871,"Windsor, Town—Ville",ON,1.0,75.29
ON110007,1861,Ward No. 7,ON010007,1871,"London, Ward—Quartier No. 7",ON,1.0,67.84
ON110001,1861,Ward No. 1,ON010001,1871,"London, Ward—Quartier No. 1",ON,1.0,67.84
ON110005,1861,Ward No. 5,ON010005,1871,"London, Ward—Quartier No. 5",ON,1.0,67.84
ON110003,1861,Ward No. 3,ON010003,1871,"London, Ward—Quartier No. 3",ON,1.0,67.84
ON110006,1861,Ward No. 6,ON010006,1871,"London, Ward—Quartier No. 6",ON,1.0,67.84
ON110002,1861,Ward No. 2,ON010002,1871,"London, Ward—Quartier No. 2",ON,1.0,67.84
ON110004,1861,Ward No. 4,ON010004,1871,"London, Ward—Quartier No. 4",ON,1.0,67.84
ON101008,1861,"Waterloo, North",ON032003,1871,"Waterloo, N",ON,1.0,76.37
ON101001,1861,"Berlin, Village",ON032004,1871,"Berlin, Town—Ville",ON,1.0,72.29
ON101002,1861,"Dumfries, North",ON031003,1871,"Dumfries, N",ON,1.0,77.01
ON101009,1861,"Waterloo, South",ON031005,1871,"Waterloo, S",ON,1.0,77.01
ON101003,1861,"Galt, Town of",ON031004,1871,"Galt, Town—Ville",ON,1.0,66.05
ON104006,1861,"Flamboro, East",ON023004,1871,Flamborough East,ON,1.0,78.67
ON104007,1861,"Flamboro, West",ON023002,1871,"Flamborough, W-O",ON,1.0,69.33
ON108005,1861,St. Patricks’ Ward,ON024005,1871,"Hamilton, St. Patrick’s Ward—Quartier",ON,1.0,73.27
ON108003,1861,St. Lawrence Ward,ON024004,1871,"Hamilton, St. Lawrence Ward—Quartier",ON,1.0,74.91
ON108004,1861,St. Mary’s Ward,ON024002,1871,"Hamilton, St. Mary's Ward—Quartier",ON,1.0,70.0
ON102007,1861,Pelham,ON018006,1871,Pelham,ON,1.0,75.0
ON102011,1861,Wainfleet.,ON018007,1871,Wainfleet,ON,1.0,71.32
ON065006,1861,Onondag,ON016004,1871,Onondaga,ON,1.0,73.44
ON103009,1861,"Guelph, Town of",ON033003,1871,"Guelph, Town—Ville",ON,1.0,70.26
ON098002,1861,"Barrie, Town of",ON042005,1871,"Barrie, Town—Ville",ON,1.0,65.91
ON112005,1861,St. Johns’ Ward,ON046004,1871,"Toronto, St. John’s Ward—Quartier",ON,1.0,56.99
ON100011,1861,"Lindsay, Town of",ON052003,1871,"Lindsay, Town—Ville",ON,1.0,69.78
ON105004,1861,"Gwillimhury, North",ON043007,1871,"Gwillimbury, N",ON,1.0,68.88
ON083009,1861,Kitley,ON070001,1871,Kitley,ON,1.0,78.82
ON098007,1861,"Gwillimbury, west",ON041002,1871,"Gwillimbury, W-O",ON,1.0,75.05
ON112006,1861,St. Lawrence Ward,ON047001,1871,"Toronto, St. Lawrence Ward—Quartier",ON,1.0,63.27
ON112003,1861,St. Georges’ Ward,ON046001,1871,"Toronto, St. George’s Ward—Quartier",ON,1.0,59.23
