norm_name,province,n_members,reason,members
cote st. paul,QC,2,no_supported_pairs,PLACE_QC162021;PLACE_QC162001
notre dame de grace,QC,2,no_supported_pairs,PLACE_QC155011_1881;PLACE_QC162015
st. leonard,QC,5,partitioned_into_2_sequences,PLACE_QC135014;PLACE_QC175012;PLACE_QC184012;PLACE_QC078030 | PLACE_QC080017
ste. perpetue,QC,2,no_supported_pairs,PLACE_QC078016;PLACE_QC067011_1891
st. moise,QC,4,partitioned_into_2_sequences,PLACE_QC183027;PLACE_QC188030;PLACE_QC193029 | PLACE_QC070026
richelieu,QC,2,no_supported_pairs,PLACE_QC123001;PLACE_QC085013
st. louis de bonsecours,QC,4,partitioned_into_2_sequences,PLACE_QC185010;PLACE_QC191004;PLACE_QC082004_1921 | PLACE_QC181005
st. gabriel de brandon,QC,4,partitioned_into_2_sequences,PLACE_QC142009;PLACE_QC142007;PLACE_QC043009_1911 | PLACE_QC043016
st. damien,QC,2,no_supported_pairs,PLACE_QC043008_1881;PLACE_QC141004
st. honore,QC,2,no_supported_pairs,PLACE_QC095016;PLACE_QC050015
ste. thecle,QC,3,partitioned_into_2_sequences,PLACE_QC146016;PLACE_QC047021 | PLACE_QC047039
burpee,ON,2,no_supported_pairs,PLACE_ON127006_1891;PLACE_ON135004_1911
mills,ON,2,no_supported_pairs,PLACE_ON127015;PLACE_ON135032
tilbury (pt),ON,2,no_supported_pairs,PLACE_ON110026;PLACE_ON121017
ridout,ON,2,no_supported_pairs,PLACE_ON129016;PLACE_ON054079
niagara falls,ON,3,no_supported_pairs,PLACE_ON125006;PLACE_ON151009;PLACE_ON123008_1901
sutton,ON,2,no_supported_pairs,PLACE_ON154022;PLACE_ON054091
unorganized territory,ON,4,partitioned_into_3_sequences,PLACE_ON113015;PLACE_ON096012 | PLACE_ON114013_1881 | PLACE_ON046064
deloraine,MB,2,no_supported_pairs,PLACE_MB009008;PLACE_MB158010
whitewater,MB,3,partitioned_into_2_sequences,PLACE_MB009029 | PLACE_MB006017;PLACE_MB158007
brenda,MB,3,partitioned_into_2_sequences,PLACE_MB009004 | PLACE_MB006003_1901;PLACE_MB158003
portage la prairie,MB,5,partitioned_into_2_sequences,PLACE_MB007022;PLACE_MB008011;PLACE_MB160007 | PLACE_MB008012;PLACE_MB160011
hamiota,MB,3,partitioned_into_2_sequences,PLACE_MB009014;PLACE_MB165019 | PLACE_MB165006
birtle,MB,3,partitioned_into_2_sequences,PLACE_MB009003_1891;PLACE_MB165002 | PLACE_MB165015
rossburn,MB,4,partitioned_into_2_sequences,PLACE_MB007027;PLACE_MB009021;PLACE_MB168005 | PLACE_MB168017
gimli,MB,4,partitioned_into_2_sequences,PLACE_MB006005;PLACE_MB011004;PLACE_MB166013 | PLACE_MB166007
esquimalt (part),BC,2,no_supported_pairs,PLACE_BC004001_1891;PLACE_BC003004_1901
kamloops,BC,3,partitioned_into_2_sequences,PLACE_BC005005;PLACE_BC014004 | PLACE_BC207007
new westminster,BC,3,partitioned_into_2_sequences,PLACE_BC002001 | PLACE_BC002004;PLACE_BC213004
milton,NS,2,no_supported_pairs,PLACE_NS044013;PLACE_NS017008
st. severin,QC,2,no_supported_pairs,PLACE_QC040018_1881_1921;PLACE_QC047019
st. felicien,QC,1,tier_conflict_rural_member_excluded,PLACE_QC063016
st. felicien,QC,2,no_supported_pairs,PLACE_QC076028;PLACE_QC063032
st. joachim de la pointe claire,QC,4,partitioned_into_2_sequences,PLACE_QC157015;PLACE_QC162007_1911;PLACE_QC076009_1921 | PLACE_QC157016
labelle,QC,2,no_supported_pairs,PLACE_QC062021;PLACE_QC062061
other parts autres parties,QC,9,no_supported_pairs,PLACE_QC173011;PLACE_QC144039;PLACE_QC148021;PLACE_QC159026;PLACE_QC176013_1911;PLACE_QC185032;PLACE_QC193035;PLACE_QC205021;PLACE_QC151025
st. valerien,QC,2,no_supported_pairs,PLACE_QC084018;PLACE_QC087009
ste. prudentienne,QC,3,partitioned_into_2_sequences,PLACE_QC059013;PLACE_QC087008 | PLACE_QC087017
maniwaki,QC,2,no_supported_pairs,PLACE_QC057028;PLACE_QC057016_1911
havre aubert,QC,2,no_supported_pairs,PLACE_QC154025;PLACE_QC056018
st. jerome de matane,QC,4,partitioned_into_2_sequences,PLACE_QC188023;PLACE_QC193022;PLACE_QC070011 | PLACE_QC070025
unorg. territoryter. non organise,QC,2,no_supported_pairs,PLACE_QC198015;PLACE_QC149055
trois rivieres (part),QC,2,no_supported_pairs,PLACE_QC194005_1891;PLACE_QC187008
st. theophile,QC,5,partitioned_into_2_sequences,PLACE_QC139008_1891;PLACE_QC144028;PLACE_QC040019_1921 | PLACE_QC151020;PLACE_QC047022
thessalon,ON,2,no_supported_pairs,PLACE_ON102111;PLACE_ON044030
bonfield,ON,2,no_supported_pairs,PLACE_ON130012;PLACE_ON130088
cobden,ON,2,no_supported_pairs,PLACE_ON142039;PLACE_ON102009
york (part),ON,2,no_supported_pairs,PLACE_ON131012_1901;PLACE_ON129010_1901
north toronto (part),ON,2,no_supported_pairs,PLACE_ON131002_1901_1901;PLACE_ON129004_1901
"toronto, wardquartier 3 (part)",ON,3,no_supported_pairs,PLACE_ON129008;PLACE_ON131004_1901;PLACE_ON117003_1901
"toronto, wardquartier 2 (part)",ON,2,no_supported_pairs,PLACE_ON129007;PLACE_ON117002_1901
"toronto, ward quartier 6 pt",ON,2,no_supported_pairs,PLACE_ON127006_1901;PLACE_ON128002_1901
smiths falls (part),ON,2,no_supported_pairs,PLACE_ON082006;PLACE_ON081010_1901
"toronto, ward quartier 1 pt",ON,2,no_supported_pairs,PLACE_ON127001_1901;PLACE_ON125001_1901
english river,ON,2,no_supported_pairs,PLACE_ON044041;PLACE_ON055004
wabigoon,ON,2,no_supported_pairs,PLACE_ON123088;PLACE_ON120026
dryden,ON,2,no_supported_pairs,PLACE_ON120043;PLACE_ON146035
port arthur,ON,2,no_supported_pairs,PLACE_ON044062;PLACE_ON147037
"toronto, wardquartier 5 (part)",ON,2,no_supported_pairs,PLACE_ON131006_1901_1901;PLACE_ON118003_1901
red deer,NT,3,no_supported_pairs,PLACE_NT205048;PLACE_NT202103;PLACE_NT204054
egg lake,NT,2,no_supported_pairs,PLACE_NT205021;PLACE_NT202041
touchwood,NT,2,no_supported_pairs,PLACE_NT204073;PLACE_NT203097
shoal lake,MB,3,partitioned_into_2_sequences,PLACE_MB009024;PLACE_MB165020 | PLACE_MB165012
swan river,MB,2,no_supported_pairs,PLACE_MB009026;PLACE_MB169004
russell,MB,3,partitioned_into_2_sequences,PLACE_MB009022_1901;PLACE_MB168013 | PLACE_MB168006
kildonan (part),MB,2,no_supported_pairs,PLACE_MB010012;PLACE_MB011005
unorganized territoryterritoire non organise,MB,3,no_supported_pairs,PLACE_MB011018;PLACE_MB009028;PLACE_MB010014
ochre river (part),MB,2,no_supported_pairs,PLACE_MB009018_1901;PLACE_MB008010_1901
dauphin,MB,3,partitioned_into_2_sequences,PLACE_MB009010_1901;PLACE_MB167001 | PLACE_MB167009
chilliwack,BC,2,no_supported_pairs,PLACE_BC011001;PLACE_BC209005
alberni,BC,4,partitioned_into_2_sequences,PLACE_BC003001;PLACE_BC003001_1901;PLACE_BC208001 | PLACE_BC208005
