norm_name,province,n_members,reason,members
st. andre,QC,5,partitioned_into_4_sequences,PLACE_QC080011 | PLACE_QC058006_1851;PLACE_QC042011 | PLACE_QC138002 | PLACE_QC063011
st. dominique,QC,6,partitioned_into_3_sequences,PLACE_QC078009;PLACE_QC143003;PLACE_QC039014_1921 | PLACE_QC149019_1881;PLACE_QC149020_1901 | PLACE_QC039003
st. pie,QC,5,partitioned_into_2_sequences,PLACE_QC078008;PLACE_QC004006;PLACE_QC189015;PLACE_QC039017 | PLACE_QC039009_1911
st. simon,QC,5,partitioned_into_2_sequences,PLACE_QC078011;PLACE_QC039011 | PLACE_QC045013;PLACE_QC040002_1871;PLACE_QC193032
lambton,QC,2,no_supported_pairs,PLACE_QC005007;PLACE_QC055023
st. clement,QC,6,partitioned_into_2_sequences,PLACE_QC048011;PLACE_QC006003;PLACE_QC145002;PLACE_QC041002_1921 | PLACE_QC041013;PLACE_QC095009
st. timothee,QC,4,partitioned_into_2_sequences,PLACE_QC048010;PLACE_QC145006;PLACE_QC041013_1921 | PLACE_QC047023
ste. cecile,QC,7,partitioned_into_3_sequences,PLACE_QC006002;PLACE_QC111006;PLACE_QC140003_1881;PLACE_QC145001_1901;PLACE_QC041001_1921 | PLACE_QC127003 | PLACE_QC041012
st. charles,QC,4,partitioned_into_3_sequences,PLACE_QC141003 | PLACE_QC121003;PLACE_QC091004 | PLACE_QC042018
st. lazare,QC,5,partitioned_into_2_sequences,PLACE_QC007006;PLACE_QC045007;PLACE_QC146007;PLACE_QC042011_1921 | PLACE_QC097004
st. michel,QC,8,partitioned_into_5_sequences,PLACE_QC049004;PLACE_QC141009;PLACE_QC042012_1911 | PLACE_QC060005_1851;PLACE_QC201008 | PLACE_QC077003 | PLACE_QC194009 | PLACE_QC100020
st. norbert,QC,3,partitioned_into_2_sequences,PLACE_QC043012 | PLACE_QC052018;PLACE_QC038013
farnham,QC,4,partitioned_into_2_sequences,PLACE_QC075007;PLACE_QC033002;PLACE_QC072014 | PLACE_QC045008_1921
boucherville,QC,3,partitioned_into_2_sequences,PLACE_QC118009;PLACE_QC046001 | PLACE_QC046011
longueuil (part),QC,2,no_supported_pairs,PLACE_QC052002;PLACE_QC057017
longueuil,QC,1,tier_conflict_rural_member_excluded,PLACE_QC011005
longueuil,QC,4,partitioned_into_2_sequences,PLACE_QC046007 | PLACE_QC118002;PLACE_QC145006_1881;PLACE_QC150003_1911
st. bruno,QC,5,partitioned_into_2_sequences,PLACE_QC052005;PLACE_QC118008;PLACE_QC046005 | PLACE_QC149019;PLACE_QC063030
beloeil,QC,2,no_supported_pairs,PLACE_QC145012;PLACE_QC098009_1921
contrecoeur,QC,2,no_supported_pairs,PLACE_QC098002;PLACE_QC098010
st. antoine,QC,3,partitioned_into_2_sequences,PLACE_QC061005_1851;PLACE_QC049008 | PLACE_QC098003
vercheres,QC,4,partitioned_into_2_sequences,PLACE_QC119006;PLACE_QC150014;PLACE_QC098008 | PLACE_QC098013
cap de la madeleine,QC,2,no_supported_pairs,PLACE_QC053004;PLACE_QC047030
champlain,QC,2,no_supported_pairs,PLACE_QC012003;PLACE_QC047034
mont carmel,QC,2,no_supported_pairs,PLACE_QC133001;PLACE_QC159002
st. jean chrysostome,QC,6,partitioned_into_2_sequences,PLACE_QC048014;PLACE_QC071001;PLACE_QC049003_1891 | PLACE_QC054003;PLACE_QC164008;PLACE_QC066006_1911
st. malachie,QC,7,partitioned_into_3_sequences,PLACE_QC048016;PLACE_QC071004 | PLACE_QC160003;PLACE_QC047009_1881;PLACE_QC152011_1891;PLACE_QC053014 | PLACE_QC062050
chicoutimi,QC,1,tier_conflict_rural_member_excluded,PLACE_QC074022
chicoutimi,QC,4,partitioned_into_2_sequences,PLACE_QC015005;PLACE_QC150005;PLACE_QC050018 | PLACE_QC050003
st. augustin,QC,6,partitioned_into_3_sequences,PLACE_QC041007;PLACE_QC143012_1871;PLACE_QC080010 | PLACE_QC097006;PLACE_QC052002_1881 | PLACE_QC086083
st. benoit,QC,2,no_supported_pairs,PLACE_QC052003;PLACE_QC052013_1911
st. eustache,QC,1,tier_conflict_rural_member_excluded,PLACE_QC080008
st. eustache,QC,4,partitioned_into_2_sequences,PLACE_QC052014 | PLACE_QC151006;PLACE_QC156006_1911;PLACE_QC052006_1921
st. joseph,QC,10,partitioned_into_6_sequences,PLACE_QC158004;PLACE_QC139016_1881;PLACE_QC144016;PLACE_QC040013 | PLACE_QC097003;PLACE_QC052008_1881 | PLACE_QC061003 | PLACE_QC040027 | PLACE_QC091015_1901 | PLACE_QC082014
ste. scholastique,QC,4,partitioned_into_2_sequences,PLACE_QC080003;PLACE_QC097009;PLACE_QC052011_1881 | PLACE_QC052015
st. anselme,QC,4,partitioned_into_2_sequences,PLACE_QC160001;PLACE_QC157001_1881;PLACE_QC053001 | PLACE_QC053021
st. isidore,QC,3,partitioned_into_2_sequences,PLACE_QC152007;PLACE_QC053009_1901 | PLACE_QC064003_1851
ste. marguerite,QC,5,partitioned_into_2_sequences,PLACE_QC054010;PLACE_QC159004;PLACE_QC053015 | PLACE_QC094016;PLACE_QC096013
hemmingford,QC,1,tier_conflict_rural_member_excluded,PLACE_QC048012
hemmingford,QC,3,partitioned_into_2_sequences,PLACE_QC021003;PLACE_QC058006_1871 | PLACE_QC058011_1891
ste. genevieve,QC,4,partitioned_into_3_sequences,PLACE_QC162006 | PLACE_QC162026;PLACE_QC076037 | PLACE_QC047008_1871
st. ambroise,QC,7,partitioned_into_4_sequences,PLACE_QC069003;PLACE_QC080006;PLACE_QC185004;PLACE_QC190005 | PLACE_QC060003 | PLACE_QC081023 | PLACE_QC050024
st. charles borromee,QC,3,partitioned_into_2_sequences,PLACE_QC025007;PLACE_QC060005_1871 | PLACE_QC042008
st. paul,QC,3,partitioned_into_2_sequences,PLACE_QC158013;PLACE_QC060013_1911 | PLACE_QC191008
st. thomas,QC,5,partitioned_into_4_sequences,PLACE_QC158014;PLACE_QC060014 | PLACE_QC072010 | PLACE_QC074013_1851 | PLACE_QC206013
st. denis,QC,1,tier_conflict_rural_member_excluded,PLACE_QC071021
st. denis,QC,5,partitioned_into_3_sequences,PLACE_QC026008;PLACE_QC061007_1871 | PLACE_QC190007;PLACE_QC091006 | PLACE_QC091014
st. louis,QC,4,no_supported_pairs,PLACE_QC058005;PLACE_QC065010;PLACE_QC076025;PLACE_QC171012
kamouraska,QC,2,no_supported_pairs,PLACE_QC061017;PLACE_QC160010
buckingham,QC,8,partitioned_into_2_sequences,PLACE_QC039012;PLACE_QC176010;PLACE_QC160003_1901;PLACE_QC165008;PLACE_QC062008 | PLACE_QC097002;PLACE_QC160002_1891;PLACE_QC062057
laprairie,QC,3,partitioned_into_2_sequences,PLACE_QC057001;PLACE_QC064001 | PLACE_QC064008
st. edouard,QC,4,partitioned_into_2_sequences,PLACE_QC057010;PLACE_QC116004;PLACE_QC166009 | PLACE_QC166008_1871
st. remi,QC,3,partitioned_into_2_sequences,PLACE_QC057018;PLACE_QC077005 | PLACE_QC077007
l'assomption,QC,6,partitioned_into_2_sequences,PLACE_QC059001;PLACE_QC162002;PLACE_QC065002 | PLACE_QC059002;PLACE_QC001001;PLACE_QC065011
st. roch,QC,8,partitioned_into_4_sequences,PLACE_QC059011;PLACE_QC001009;PLACE_QC162010_1871 | PLACE_QC060003_1851;PLACE_QC164004;PLACE_QC043005_1881 | PLACE_QC042013 | PLACE_QC082009
ste. agathe,QC,5,partitioned_into_3_sequences,PLACE_QC171002;PLACE_QC068004_1921 | PLACE_QC193003;PLACE_QC202003 | PLACE_QC068025
inverness,QC,3,partitioned_into_2_sequences,PLACE_QC156005;PLACE_QC071004_1891 | PLACE_QC071023
dunham,QC,3,partitioned_into_2_sequences,PLACE_QC065008;PLACE_QC072001 | PLACE_QC072017
st. pierre,QC,5,partitioned_into_3_sequences,PLACE_QC060009;PLACE_QC074012 | PLACE_QC148002;PLACE_QC075011 | PLACE_QC135008
l'ange gardien,QC,7,partitioned_into_3_sequences,PLACE_QC078006;PLACE_QC085001 | PLACE_QC178003;PLACE_QC075002_1921 | PLACE_QC160012;PLACE_QC165018;PLACE_QC062024
laval,QC,2,no_supported_pairs,PLACE_QC178004;PLACE_QC078029
st. francois,QC,9,partitioned_into_4_sequences,PLACE_QC083003;PLACE_QC197005;PLACE_QC201007;PLACE_QC206007 | PLACE_QC158005;PLACE_QC139015;PLACE_QC139011 | PLACE_QC075007_1851 | PLACE_QC074009
st. jean,QC,5,partitioned_into_4_sequences,PLACE_QC015018;PLACE_QC149025 | PLACE_QC186002 | PLACE_QC075008 | PLACE_QC092009
st. joachim,QC,5,partitioned_into_4_sequences,PLACE_QC036009;PLACE_QC075009 | PLACE_QC153004 | PLACE_QC087007 | PLACE_QC056027
st. laurent,QC,1,tier_conflict_rural_member_excluded,PLACE_QC076010
st. laurent,QC,8,partitioned_into_4_sequences,PLACE_QC092011;PLACE_QC158009;PLACE_QC157017;PLACE_QC162008_1911 | PLACE_QC075010 | PLACE_QC038014 | PLACE_QC162019;PLACE_QC076032
montreal,QC,2,tier_conflict_rural_member_excluded,PLACE_QC020002;PLACE_QC107001
becancour,QC,4,partitioned_into_2_sequences,PLACE_QC038001;PLACE_QC179002;PLACE_QC078001 | PLACE_QC078026
gentilly,QC,5,partitioned_into_2_sequences,PLACE_QC066006;PLACE_QC038003;PLACE_QC184002;PLACE_QC078002_1921 | PLACE_QC078027
st. gregoire,QC,4,partitioned_into_2_sequences,PLACE_QC072007;PLACE_QC157007 | PLACE_QC135002;PLACE_QC179012_1881
ste. monique,QC,8,partitioned_into_3_sequences,PLACE_QC038008_1851;PLACE_QC135011;PLACE_QC175014;PLACE_QC179015;PLACE_QC078015 | PLACE_QC095003_1881;PLACE_QC052009_1891 | PLACE_QC094009_1881
grondines,QC,3,partitioned_into_2_sequences,PLACE_QC186005;PLACE_QC080024 | PLACE_QC080004_1921
pointe aux trembles,QC,5,partitioned_into_2_sequences,PLACE_QC041005;PLACE_QC186007 | PLACE_QC163004;PLACE_QC168001_1911;PLACE_QC076005
st. casimir,QC,5,partitioned_into_2_sequences,PLACE_QC143002;PLACE_QC178013;PLACE_QC186013;PLACE_QC080031 | PLACE_QC080012_1921
st. raymond,QC,3,partitioned_into_2_sequences,PLACE_QC041011;PLACE_QC143009 | PLACE_QC080034
notre dame,QC,2,no_supported_pairs,PLACE_QC069001;PLACE_QC091008
st. gabriel,QC,3,partitioned_into_2_sequences,PLACE_QC050012;PLACE_QC008009 | PLACE_QC042012
st. ours,QC,1,tier_conflict_rural_member_excluded,PLACE_QC070002
st. ours,QC,3,partitioned_into_2_sequences,PLACE_QC082012 | PLACE_QC186005_1861;PLACE_QC082006
ste. victoire,QC,6,partitioned_into_2_sequences,PLACE_QC070005;PLACE_QC043009;PLACE_QC120004;PLACE_QC082010 | PLACE_QC153036;PLACE_QC158027
melbourne,QC,2,no_supported_pairs,PLACE_QC044004;PLACE_QC083016
st. camille,QC,2,no_supported_pairs,PLACE_QC099008;PLACE_QC042007
st. hilaire,QC,4,partitioned_into_2_sequences,PLACE_QC063012;PLACE_QC194005;PLACE_QC085016 | PLACE_QC085005_1921
ste. marie,QC,8,partitioned_into_3_sequences,PLACE_QC046006;PLACE_QC123005 | PLACE_QC158002;PLACE_QC139020;PLACE_QC139019;PLACE_QC144018;PLACE_QC040015 | PLACE_QC040028
st. hyacinthe,QC,1,tier_conflict_rural_member_excluded,PLACE_QC050007
st. hyacinthe,QC,3,partitioned_into_2_sequences,PLACE_QC078002;PLACE_QC091012 | PLACE_QC121007
st. damase,QC,7,partitioned_into_3_sequences,PLACE_QC062011;PLACE_QC185005_1891;PLACE_QC091005_1901 | PLACE_QC183017;PLACE_QC188015;PLACE_QC070007 | PLACE_QC165001
st. alexandre,QC,6,partitioned_into_3_sequences,PLACE_QC072006_1851;PLACE_QC059001_1861 | PLACE_QC058011;PLACE_QC026005;PLACE_QC061003_1891 | PLACE_QC059009_1921
notre dame des anges,QC,4,partitioned_into_3_sequences,PLACE_QC175004 | PLACE_QC186008;PLACE_QC080007 | PLACE_QC080027
ste. brigitte,QC,3,partitioned_into_2_sequences,PLACE_QC072009;PLACE_QC191014 | PLACE_QC175007_1871
l'acadie (part),QC,2,no_supported_pairs,PLACE_QC052011;PLACE_QC057015
granby,QC,4,partitioned_into_2_sequences,PLACE_QC048002;PLACE_QC188003;PLACE_QC087003 | PLACE_QC087013
st. polycarpe,QC,6,partitioned_into_2_sequences,PLACE_QC081006;PLACE_QC049006;PLACE_QC110002;PLACE_QC074001;PLACE_QC089012 | PLACE_QC089004_1891
st. telesphore,QC,3,partitioned_into_2_sequences,PLACE_QC049007_1861;PLACE_QC089005_1881 | PLACE_QC066013
st. zotique,QC,2,no_supported_pairs,PLACE_QC089006;PLACE_QC089013
hatley,QC,5,partitioned_into_2_sequences,PLACE_QC191006;PLACE_QC195006;PLACE_QC200003;PLACE_QC090014 | PLACE_QC090003
magog,QC,3,partitioned_into_2_sequences,PLACE_QC056004;PLACE_QC090010 | PLACE_QC090005
riviere du loup,QC,5,partitioned_into_2_sequences,PLACE_QC071001_1851;PLACE_QC041002_1861;PLACE_QC095024 | PLACE_QC085001_1861;PLACE_QC069003_1891
trois pistoles,QC,5,partitioned_into_2_sequences,PLACE_QC071007;PLACE_QC166008;PLACE_QC201022;PLACE_QC095027 | PLACE_QC095030
ste. anne,QC,7,partitioned_into_5_sequences,PLACE_QC099006 | PLACE_QC148009;PLACE_QC178002 | PLACE_QC108006 | PLACE_QC149015_1881;PLACE_QC050025 | PLACE_QC188011
st. jerome,QC,11,partitioned_into_4_sequences,PLACE_QC079004;PLACE_QC056010_1861;PLACE_QC099009;PLACE_QC197009;PLACE_QC096010 | PLACE_QC099010;PLACE_QC096019 | PLACE_QC076024;PLACE_QC149026 | PLACE_QC149027;PLACE_QC063034
terrebonne,QC,3,partitioned_into_2_sequences,PLACE_QC079009;PLACE_QC099001 | PLACE_QC096021
ste. therese,QC,1,tier_conflict_rural_member_excluded,PLACE_QC099003
ste. therese,QC,4,partitioned_into_2_sequences,PLACE_QC099004;PLACE_QC202021;PLACE_QC096020 | PLACE_QC096016
st. barnabe,QC,6,partitioned_into_2_sequences,PLACE_QC052002_1851;PLACE_QC084008_1871;PLACE_QC203003;PLACE_QC093004 | PLACE_QC050002_1851;PLACE_QC091002
st. etienne,QC,3,partitioned_into_2_sequences,PLACE_QC052004;PLACE_QC129005 | PLACE_QC041003
yamachiche,QC,5,partitioned_into_2_sequences,PLACE_QC073005;PLACE_QC084001;PLACE_QC093018_1891 | PLACE_QC203010;PLACE_QC093011
rigaud,QC,4,partitioned_into_2_sequences,PLACE_QC109004;PLACE_QC075002;PLACE_QC097001 | PLACE_QC097009_1881
vaudreuil,QC,5,partitioned_into_2_sequences,PLACE_QC109002;PLACE_QC075006;PLACE_QC195010;PLACE_QC097006_1901 | PLACE_QC097014
joliette,QC,2,no_supported_pairs,PLACE_QC025002;PLACE_QC163014
beauport,QC,4,partitioned_into_2_sequences,PLACE_QC185002;PLACE_QC190002_1911;PLACE_QC081020 | PLACE_QC081002
varennes,QC,2,no_supported_pairs,PLACE_QC098007;PLACE_QC098012
roberval,QC,3,partitioned_into_2_sequences,PLACE_QC015015;PLACE_QC150009 | PLACE_QC063027
berthier,QC,4,partitioned_into_3_sequences,PLACE_QC103003;PLACE_QC043001_1881 | PLACE_QC074003 | PLACE_QC043015
chambly,QC,1,tier_conflict_rural_member_excluded,PLACE_QC052008
chambly,QC,5,partitioned_into_2_sequences,PLACE_QC011004;PLACE_QC118006;PLACE_QC067005 | PLACE_QC118005;PLACE_QC046002
st. narcisse,QC,4,partitioned_into_2_sequences,PLACE_QC012009;PLACE_QC146012;PLACE_QC047016 | PLACE_QC068014
aylmer,QC,3,partitioned_into_2_sequences,PLACE_QC005002 | PLACE_QC097026;PLACE_QC057030
newport,QC,4,partitioned_into_2_sequences,PLACE_QC076009;PLACE_QC051013 | PLACE_QC019011;PLACE_QC056023
st. cyrille,QC,5,partitioned_into_2_sequences,PLACE_QC023004;PLACE_QC165005;PLACE_QC165005_1901;PLACE_QC067006 | PLACE_QC054018
ste. helene,QC,4,partitioned_into_2_sequences,PLACE_QC026009;PLACE_QC061010_1891 | PLACE_QC058006;PLACE_QC039005_1891
blandford,QC,3,partitioned_into_2_sequences,PLACE_QC066002;PLACE_QC038002_1861 | PLACE_QC003004
lachute,QC,2,no_supported_pairs,PLACE_QC080012;PLACE_QC037014
st. ephrem,QC,3,no_supported_pairs,PLACE_QC122008;PLACE_QC048014_1871;PLACE_QC040025
st. hugues,QC,3,partitioned_into_2_sequences,PLACE_QC078012;PLACE_QC122005 | PLACE_QC039015_1911
st. lambert,QC,5,partitioned_into_2_sequences,PLACE_QC011009;PLACE_QC118001;PLACE_QC150017;PLACE_QC046010 | PLACE_QC154006_1861
st. luc (part),QC,2,no_supported_pairs,PLACE_QC057016;PLACE_QC052010_1851
st. luc,QC,3,partitioned_into_2_sequences,PLACE_QC117006;PLACE_QC092005_1881 | PLACE_QC047013
st. alban,QC,5,partitioned_into_2_sequences,PLACE_QC143004;PLACE_QC178010;PLACE_QC181009;PLACE_QC080009 | PLACE_QC080030
indians,QC,2,no_supported_pairs,PLACE_QC069012;PLACE_QC074028
st. cesaire,QC,5,partitioned_into_2_sequences,PLACE_QC078005;PLACE_QC063008;PLACE_QC189007_1891;PLACE_QC085004 | PLACE_QC085015
ascot,QC,6,partitioned_into_2_sequences,PLACE_QC076007;PLACE_QC140003;PLACE_QC193001;PLACE_QC198001;PLACE_QC088001 | PLACE_QC088006
st. louis de gonzague,QC,3,partitioned_into_2_sequences,PLACE_QC048013;PLACE_QC041004 | PLACE_QC053012_1911
hull,QC,3,partitioned_into_2_sequences,PLACE_QC093002;PLACE_QC205010 | PLACE_QC057029
grenville,QC,2,no_supported_pairs,PLACE_QC037004;PLACE_QC037017
st. elzear,QC,3,partitioned_into_2_sequences,PLACE_QC158001;PLACE_QC040008 | PLACE_QC076042
st. george,QC,4,partitioned_into_2_sequences,PLACE_QC048010_1851;PLACE_QC139017;PLACE_QC139014 | PLACE_QC064007_1871
brome,QC,5,partitioned_into_2_sequences,PLACE_QC144003;PLACE_QC144004_1901 | PLACE_QC144003_1901;PLACE_QC149003_1911;PLACE_QC045003_1921
sutton,QC,2,no_supported_pairs,PLACE_QC045006_1851;PLACE_QC045011_1901
baie st. paul,QC,2,no_supported_pairs,PLACE_QC048001_1851;PLACE_QC048012_1901
malbaie,QC,4,partitioned_into_3_sequences,PLACE_QC149009;PLACE_QC152004 | PLACE_QC159018 | PLACE_QC048014_1901
petite riviere,QC,2,no_supported_pairs,PLACE_QC048005_1851;PLACE_QC188003_1911
ste. philomene,QC,3,partitioned_into_2_sequences,PLACE_QC049007_1851 | PLACE_QC166014_1891;PLACE_QC166016
jonquiere,QC,2,no_supported_pairs,PLACE_QC150007;PLACE_QC050019
compton,QC,5,partitioned_into_2_sequences,PLACE_QC142002;PLACE_QC054014_1881;PLACE_QC150005_1891;PLACE_QC051006 | PLACE_QC051020
warwick,QC,6,partitioned_into_2_sequences,PLACE_QC003012;PLACE_QC153032;PLACE_QC038025 | PLACE_QC153031;PLACE_QC153040;PLACE_QC038019
lachine,QC,5,partitioned_into_2_sequences,PLACE_QC108001;PLACE_QC158001_1881 | PLACE_QC108002;PLACE_QC162013;PLACE_QC076012
st. cyprien,QC,4,partitioned_into_3_sequences,PLACE_QC116006;PLACE_QC161008 | PLACE_QC196013_1901 | PLACE_QC053005_1921
st. francois de sales,QC,3,partitioned_into_2_sequences,PLACE_QC076043 | PLACE_QC149022;PLACE_QC063017
longue pointe,QC,5,partitioned_into_3_sequences,PLACE_QC091015;PLACE_QC163003_1891;PLACE_QC168011_1911 | PLACE_QC086058 | PLACE_QC094053
st. henri,QC,3,no_supported_pairs,PLACE_QC164007;PLACE_QC160003_1881;PLACE_QC066017
lotbiniere,QC,3,partitioned_into_2_sequences,PLACE_QC030001;PLACE_QC049003_1871 | PLACE_QC068023
st. alexis,QC,5,partitioned_into_3_sequences,PLACE_QC176002_1851;PLACE_QC073014_1921 | PLACE_QC076013_1871;PLACE_QC149013 | PLACE_QC073002
nicolet,QC,4,partitioned_into_2_sequences,PLACE_QC051007;PLACE_QC179006;PLACE_QC078024 | PLACE_QC179005
st. ignace,QC,3,partitioned_into_2_sequences,PLACE_QC035010 | PLACE_QC110004;PLACE_QC089001_1881
sorel,QC,3,partitioned_into_2_sequences,PLACE_QC082011 | PLACE_QC120005;PLACE_QC061002_1881
st. martin,QC,7,partitioned_into_2_sequences,PLACE_QC028002;PLACE_QC163003;PLACE_QC163010;PLACE_QC168008_1911;PLACE_QC076044 | PLACE_QC139006_1881;PLACE_QC139020_1901
harrington,QC,4,partitioned_into_2_sequences,PLACE_QC002006;PLACE_QC137007;PLACE_QC037005_1911 | PLACE_QC086047
liniere,QC,3,partitioned_into_2_sequences,PLACE_QC005008;PLACE_QC158007 | PLACE_QC040023
almonte,ON,2,no_supported_pairs,PLACE_ON112002_1871;PLACE_ON123015
strathroy,ON,2,no_supported_pairs,PLACE_ON168006;PLACE_ON128018
orillia,ON,3,partitioned_into_2_sequences,PLACE_ON139015;PLACE_ON144009 | PLACE_ON144022
mount forest,ON,2,no_supported_pairs,PLACE_ON035005;PLACE_ON152015
port colborne,ON,2,no_supported_pairs,PLACE_ON142002;PLACE_ON151012
newmarket,ON,2,no_supported_pairs,PLACE_ON154015;PLACE_ON148136
bruce mines,ON,3,partitioned_into_2_sequences,PLACE_ON089001;PLACE_ON182018 | PLACE_ON102110
nipigon,ON,4,partitioned_into_2_sequences,PLACE_ON090005_1871;PLACE_ON182028 | PLACE_ON044059;PLACE_ON147015
dalhousie,NS,4,no_supported_pairs,PLACE_NS016013;PLACE_NS014006;PLACE_NS004018;PLACE_NS016010_1891
yarmouth,NS,2,no_supported_pairs,PLACE_NS014003;PLACE_NS021022
ohio,NS,3,partitioned_into_2_sequences,PLACE_NS014004;PLACE_NS021011 | PLACE_NS019009_1881
carleton,NS,2,no_supported_pairs,PLACE_NS193005;PLACE_NS021005
salmon river,NS,4,partitioned_into_3_sequences,PLACE_NS032018_1871;PLACE_NS010027 | PLACE_NS009019 | PLACE_NS007017
bridgewater,NS,2,no_supported_pairs,PLACE_NS038003;PLACE_NS015043
caledonia,NS,3,partitioned_into_2_sequences,PLACE_NS194006;PLACE_NS052004 | PLACE_NS010002
maitland,NS,4,partitioned_into_2_sequences,PLACE_NS018012;PLACE_NS035011;PLACE_NS012006 | PLACE_NS004014
brookfield,NS,2,no_supported_pairs,PLACE_NS017001;PLACE_NS007002_1881
forks,NS,2,no_supported_pairs,PLACE_NS035007;PLACE_NS010006
"halifax, wardquartier no. 4",NS,2,no_supported_pairs,PLACE_NS009004;PLACE_NS045046
lawrencetown,NS,2,no_supported_pairs,PLACE_NS011017;PLACE_NS004006
dartmouth,NS,5,partitioned_into_2_sequences,PLACE_NS197001;PLACE_NS010013;PLACE_NS034028;PLACE_NS011044 | PLACE_NS010014
wolfville,NS,3,partitioned_into_2_sequences,PLACE_NS037008;PLACE_NS036027 | PLACE_NS014017
brooklyn,NS,2,no_supported_pairs,PLACE_NS012014;PLACE_NS017002
kempt,NS,2,no_supported_pairs,PLACE_NS012005;PLACE_NS017007
gays river,NS,2,no_supported_pairs,PLACE_NS011010;PLACE_NS007008
little river,NS,2,no_supported_pairs,PLACE_NS011018;PLACE_NS009010
smith cove,NS,2,no_supported_pairs,PLACE_NS011037;PLACE_NS009022
north river,NS,2,no_supported_pairs,PLACE_NS007016;PLACE_NS020016
middle river,NS,3,partitioned_into_2_sequences,PLACE_NS038022;PLACE_NS016023 | PLACE_NS020013
new glasgow,NS,3,partitioned_into_2_sequences,PLACE_NS200015;PLACE_NS020017_1881 | PLACE_NS016036
amherst,NS,3,partitioned_into_2_sequences,PLACE_NS022001;PLACE_NS030002 | PLACE_NS008030
river inhabitants,NS,2,no_supported_pairs,PLACE_NS041012;PLACE_NS013018
port hood,NS,3,partitioned_into_2_sequences,PLACE_NS035018;PLACE_NS013027 | PLACE_NS013016
grand narrows,NS,3,partitioned_into_2_sequences,PLACE_NS043007 | PLACE_NS039013;PLACE_NS006006_1921
boularderie,NS,5,partitioned_into_2_sequences,PLACE_NS006003;PLACE_NS028005;PLACE_NS039007 | PLACE_NS043004;PLACE_NS041005
cheticamp,NS,4,partitioned_into_2_sequences,PLACE_NS004013;PLACE_NS036002;PLACE_NS013002 | PLACE_NS009002_1891
st. george,NB,2,no_supported_pairs,PLACE_NB024011;PLACE_NB024018
simonds,NB,2,no_supported_pairs,PLACE_NB032004;PLACE_NB023007
rothesay,NB,2,no_supported_pairs,PLACE_NB027009;PLACE_NB027018
hampton,NB,2,no_supported_pairs,PLACE_NB027004;PLACE_NB027017
woodstock,NB,2,no_supported_pairs,PLACE_NB023011;PLACE_NB023014
gagetown,NB,2,no_supported_pairs,PLACE_NB030005;PLACE_NB030011
sussex,NB,3,partitioned_into_2_sequences,PLACE_NB176011;PLACE_NB027012 | PLACE_NB027016
andover,NB,3,partitioned_into_2_sequences,PLACE_NB034001;PLACE_NB034001_1921 | PLACE_NB034010
perth,NB,4,partitioned_into_2_sequences,PLACE_NB181002;PLACE_NB023007_1881;PLACE_NB034006 | PLACE_NB034009_1921
grand falls,NB,3,partitioned_into_2_sequences,PLACE_NB181004;PLACE_NB034004 | PLACE_NB034008
sackville,NB,2,no_supported_pairs,PLACE_NB035004;PLACE_NB035010
moncton,NB,3,no_supported_pairs,PLACE_NB035003;PLACE_NB024003_1881;PLACE_NB035009_1911
shediac,NB,2,no_supported_pairs,PLACE_NB035006;PLACE_NB035011_1911_1921
richibucto,NB,2,no_supported_pairs,PLACE_NB026005;PLACE_NB026013
