lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
BRIDGE_NAME_MATCH,PLACE_ON085004_1881,PLACE_ON126004,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON093004,PLACE_ON126004,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON025007,PLACE_ON098006,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON088003,PLACE_ON132002_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON123003_1871,PLACE_ON132002_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON088002,PLACE_ON132013,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON123004,PLACE_ON132013,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON054001,PLACE_ON132005_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON166006,PLACE_ON134001_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON028003,PLACE_ON136003_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON140002_1861,PLACE_ON136003_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON140003,PLACE_ON136006,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON043001,PLACE_ON154011,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON029001,PLACE_ON137001,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON092012,PLACE_ON171002,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON171006,PLACE_ON137007_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON057004,PLACE_ON138002,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON057001,PLACE_ON112009,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON125018,PLACE_ON112009,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON119004_1851,PLACE_ON140001,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON109001_1901,PLACE_ON140001,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON115001_1911,PLACE_ON140001,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON109003,PLACE_ON140003_1911,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON119008_1851,PLACE_ON140007,1921,BRIDGE_NAME_MATCH
