tcpuid,year,province,old_canonical_name,new_canonical_name,old_place_id,new_place_id
ON002002,1851,ON,"Brantford, Town—Ville","Brantford, City—Cité",PLACE_ON015004,PLACE_ON103007_1891
ON065001,1861,ON,"Brantford, Town—Ville","Brantford, City—Cité",PLACE_ON015004,PLACE_ON103007_1891
ON015004,1871,ON,"Brantford, Town—Ville","Brantford, City—Cité",PLACE_ON015004,PLACE_ON103007_1891
ON159001,1881,ON,"Brantford, Town—Ville","Brantford, City—Cité",PLACE_ON159001,PLACE_ON103007_1891
ON103002,1861,ON,Arthur,"Arthur, Village",PLACE_ON035004,PLACE_ON152017
ON035004,1871,ON,Arthur,"Arthur, Village",PLACE_ON035004,PLACE_ON152017
ON018008,1851,ON,Sarnia,"Sarnia, Town—Ville",PLACE_ON018008,PLACE_ON122012
ON084009,1861,ON,"Napanee, Village","Napanee, Town—Ville",PLACE_ON117007_1861,PLACE_ON125007
ON063005,1871,ON,"Napanee, Village","Napanee, Town—Ville",PLACE_ON117007_1861,PLACE_ON125007
ON117007,1881,ON,"Napanee, Village","Napanee, Town—Ville",PLACE_ON117007_1861,PLACE_ON125007
ON043001,1851,ON,"Toronto, City","Toronto, C",PLACE_ON043001,PLACE_ON154011
ON092012,1861,ON,"St. Mary’s, Village","St. Mary's, Town—Ville",PLACE_ON092012,PLACE_ON171002
ON039004,1851,ON,"Guelph, Town—Ville","Guelph, City—Cité",PLACE_ON151003,PLACE_ON152013
ON103009,1861,ON,"Guelph, Town—Ville","Guelph, City—Cité",PLACE_ON151003,PLACE_ON152013
ON033003,1871,ON,"Guelph, Town—Ville","Guelph, City—Cité",PLACE_ON151003,PLACE_ON152013
ON151003,1881,ON,"Guelph, Town—Ville","Guelph, City—Cité",PLACE_ON151003,PLACE_ON152013
ON096013,1861,ON,"Pembroke, Town—Ville","Pembroke, T-V",PLACE_ON114007_1861,PLACE_ON142037
ON082005,1871,ON,"Pembroke, Town—Ville","Pembroke, T-V",PLACE_ON114007_1861,PLACE_ON142037
ON114005,1881,ON,"Pembroke, Town—Ville","Pembroke, T-V",PLACE_ON114007_1861,PLACE_ON142037
ON114007,1891,ON,"Pembroke, Town—Ville","Pembroke, T-V",PLACE_ON114007_1861,PLACE_ON142037
ON008008,1851,ON,Sandwich,"Sandwich, Town—Ville",PLACE_ON008008,PLACE_ON110024
ON015001,1851,ON,"Belleville, City—Cité","Belleville, C",PLACE_ON121003,PLACE_ON118025
ON078001,1861,ON,"Belleville, City—Cité","Belleville, C",PLACE_ON121003,PLACE_ON118025
ON060003,1871,ON,"Belleville, City—Cité","Belleville, C",PLACE_ON121003,PLACE_ON118025
ON121003,1881,ON,"Belleville, City—Cité","Belleville, C",PLACE_ON121003,PLACE_ON118025
ON075001,1891,ON,"Belleville, City—Cité","Belleville, C",PLACE_ON075001_1891,PLACE_ON118025
ON072001,1901,ON,"Belleville, City—Cité","Belleville, C",PLACE_ON072001_1901,PLACE_ON118025
ON022008,1851,ON,"Niagara, Town of","Niagara, Town—Ville",PLACE_ON085008,PLACE_ON126011
ON085008,1861,ON,"Niagara, Town of","Niagara, Town—Ville",PLACE_ON085008,PLACE_ON126011
ON089013,1861,ON,"Whitby, Town—Ville",Whitby,PLACE_ON048003,PLACE_ON133010
ON048003,1871,ON,"Whitby, Town—Ville",Whitby,PLACE_ON048003,PLACE_ON133010
ON132003,1881,ON,"Whitby, Town—Ville",Whitby,PLACE_ON132003_1881,PLACE_ON133010
ON027011,1851,ON,"Woodstock, Town—Ville","Woodstock, C",PLACE_ON166005,PLACE_ON134012
ON090012,1861,ON,"Woodstock, Town—Ville","Woodstock, C",PLACE_ON166005,PLACE_ON134012
ON014005,1871,ON,"Woodstock, Town—Ville","Woodstock, C",PLACE_ON166005,PLACE_ON134012
ON166005,1881,ON,"Woodstock, Town—Ville","Woodstock, C",PLACE_ON166005,PLACE_ON134012
ON101007,1861,ON,"Waterloo, Village",Waterloo,PLACE_ON162004,PLACE_ON123003_1891
ON032005,1871,ON,"Waterloo, Village",Waterloo,PLACE_ON162004,PLACE_ON123003_1891
ON162004,1881,ON,"Waterloo, Village",Waterloo,PLACE_ON162004,PLACE_ON123003_1891
ON123004,1891,ON,"Waterloo, Town—Ville","Waterloo, T-V",PLACE_ON130005,PLACE_ON150010
ON121004,1901,ON,"Waterloo, Town—Ville","Waterloo, T-V",PLACE_ON130005,PLACE_ON150010
ON130005,1911,ON,"Waterloo, Town—Ville","Waterloo, T-V",PLACE_ON130005,PLACE_ON150010
ON035018,1851,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON098002,1861,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON042005,1871,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON139006,1881,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON118001,1891,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON114001,1901,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON121008,1911,ON,"Barrie, Town—Ville","Barrie, T-V",PLACE_ON121008,PLACE_ON144019
ON036005,1851,ON,"Cornwall, Town of","Cornwall, T-V",PLACE_ON099001,PLACE_ON145005_1901
ON099001,1861,ON,"Cornwall, Town of","Cornwall, T-V",PLACE_ON099001,PLACE_ON145005_1901
ON020012,1851,ON,"Brockville, Town of","Brockville, T-V",PLACE_ON083002,PLACE_ON124011
ON083002,1861,ON,"Brockville, Town of","Brockville, T-V",PLACE_ON083002,PLACE_ON124011
ON112007,1861,ON,"Toronto, St. Patrick’s Ward—Quartier","Toronto, St. Patrick's Ward—Quartier",PLACE_ON046003,PLACE_ON134008
ON046003,1871,ON,"Toronto, St. Patrick’s Ward—Quartier","Toronto, St. Patrick's Ward—Quartier",PLACE_ON046003,PLACE_ON134008
ON106002,1861,ON,"Sault Ste. Marie, Village","Sault Ste. Marie, C",PLACE_ON106002,PLACE_ON102108
ON089002,1871,ON,Sault Ste. Marie,"Sault Ste. Marie, C",PLACE_ON089002,PLACE_ON102108
ON182022,1881,ON,Sault Ste. Marie,"Sault Ste. Marie, C",PLACE_ON182022,PLACE_ON102108
ON046018,1891,ON,"Sault Ste. Marie, Town—Ville","Sault Ste. Marie, C",PLACE_ON044025,PLACE_ON102108
ON044025,1901,ON,"Sault Ste. Marie, Town—Ville","Sault Ste. Marie, C",PLACE_ON044025,PLACE_ON102108
QC078009,1851,QC,St. Dominique,"St. Dominique, VL",PLACE_QC078009,PLACE_QC039014_1921
QC004002,1861,QC,St. Dominique,"St. Dominique, VL",PLACE_QC143003,PLACE_QC039014_1921
QC122002,1871,QC,St. Dominique,"St. Dominique, VL",PLACE_QC143003,PLACE_QC039014_1921
QC058002,1881,QC,St. Dominique,"St. Dominique, VL",PLACE_QC143003,PLACE_QC039014_1921
QC138003,1891,QC,St. Dominique,"St. Dominique, VL",PLACE_QC143003,PLACE_QC039014_1921
QC138004,1901,QC,St. Dominique,"St. Dominique, VL",PLACE_QC143003,PLACE_QC039014_1921
QC143003,1911,QC,St. Dominique,"St. Dominique, VL",PLACE_QC143003,PLACE_QC039014_1921
QC078008,1851,QC,St. Pie,"St. Pie, VL",PLACE_QC078008,PLACE_QC039017
QC004006,1861,QC,St. Pie,"St. Pie, VL",PLACE_QC004006,PLACE_QC039017
QC122001,1871,QC,St. Pie,"St. Pie, VL",PLACE_QC189015,PLACE_QC039017
QC058001,1881,QC,St. Pie,"St. Pie, VL",PLACE_QC189015,PLACE_QC039017
QC138009,1891,QC,St. Pie,"St. Pie, VL",PLACE_QC189015,PLACE_QC039017
QC189015,1901,QC,St. Pie,"St. Pie, VL",PLACE_QC189015,PLACE_QC039017
QC048010,1851,QC,St. Timothée,"St. Timothée, VL",PLACE_QC048010,PLACE_QC041013_1921
QC006006,1861,QC,St. Timothée,"St. Timothée, VL",PLACE_QC145006,PLACE_QC041013_1921
QC111004,1871,QC,St. Timothée,"St. Timothée, VL",PLACE_QC145006,PLACE_QC041013_1921
QC073002,1881,QC,St. Timothée,"St. Timothée, VL",PLACE_QC145006,PLACE_QC041013_1921
QC140008,1891,QC,St. Timothée,"St. Timothée, VL",PLACE_QC145006,PLACE_QC041013_1921
QC140007,1901,QC,St. Timothée,"St. Timothée, VL",PLACE_QC145006,PLACE_QC041013_1921
QC145006,1911,QC,St. Timothée,"St. Timothée, VL",PLACE_QC145006,PLACE_QC041013_1921
QC049011,1851,QC,"Buckland, Township",Buckland,PLACE_QC049011,PLACE_QC017001
QC049007,1851,QC,"Armagh, Township",Armagh,PLACE_QC049007,PLACE_QC141001_1891
QC075007,1851,QC,Farnham,"Farnham, Town—Ville",PLACE_QC075007,PLACE_QC072014
QC033002,1861,QC,Farnham,"Farnham, Town—Ville",PLACE_QC033002,PLACE_QC072014
QC149016,1891,QC,St. Bruno,"St. Bruno, VL",PLACE_QC149019,PLACE_QC063030
QC149019,1901,QC,St. Bruno,"St. Bruno, VL",PLACE_QC149019,PLACE_QC063030
QC015005,1861,QC,Chicoutimi,"Chicoutimi, Town—Ville",PLACE_QC015005,PLACE_QC050018
QC150005,1871,QC,"Chicoutimi, Village","Chicoutimi, Town—Ville",PLACE_QC150005,PLACE_QC050018
QC074023,1851,QC,"Laterrière, Township",Laterrière,PLACE_QC074023,PLACE_QC149015
QC024006,1861,QC,"Ste. Geneviève, Village","Ste. Geneviève, VL",PLACE_QC162026,PLACE_QC076037
QC108008,1871,QC,"Ste. Geneviève, Village","Ste. Geneviève, VL",PLACE_QC162026,PLACE_QC076037
QC092008,1881,QC,"Ste. Geneviève, Village","Ste. Geneviève, VL",PLACE_QC162026,PLACE_QC076037
QC158006,1891,QC,"Ste. Geneviève, Village","Ste. Geneviève, VL",PLACE_QC162026,PLACE_QC076037
QC157014,1901,QC,"Ste. Geneviève, Village","Ste. Geneviève, VL",PLACE_QC162026,PLACE_QC076037
QC162026,1911,QC,"Ste. Geneviève, Village","Ste. Geneviève, VL",PLACE_QC162026,PLACE_QC076037
QC039011,1861,QC,"Buckingham, Village","Buckingham, T-V",PLACE_QC097002,PLACE_QC062057
QC094002,1871,QC,"Buckingham, Village","Buckingham, T-V",PLACE_QC097002,PLACE_QC062057
QC097002,1881,QC,"Buckingham, Village","Buckingham, T-V",PLACE_QC097002,PLACE_QC062057
QC176009,1891,QC,"Buckingham, Town—Ville","Buckingham, T-V",PLACE_QC160002_1891,PLACE_QC062057
QC160002,1901,QC,"Buckingham, Town—Ville","Buckingham, T-V",PLACE_QC160002_1891,PLACE_QC062057
QC059001,1851,QC,L’Assomption,L'Assomption,PLACE_QC059001,PLACE_QC065002
QC001002,1861,QC,L’Assomption,L'Assomption,PLACE_QC162002,PLACE_QC065002
QC100008,1871,QC,L’Assomption,L'Assomption,PLACE_QC162002,PLACE_QC065002
QC088008,1881,QC,L’Assomption,L'Assomption,PLACE_QC162002,PLACE_QC065002
QC162002,1891,QC,L’Assomption,L'Assomption,PLACE_QC162002,PLACE_QC065002
QC162002,1901,QC,L’Assomption,L'Assomption,PLACE_QC162002,PLACE_QC065002
QC059002,1851,QC,"L’Assomption, Village","L'Assomption, T-V",PLACE_QC059002,PLACE_QC065011
QC001001,1861,QC,"L’Assomption, Village","L'Assomption, T-V",PLACE_QC001001,PLACE_QC065011
QC001010,1861,QC,St. Paul l’Ermite,St. Paul l'Ermite,PLACE_QC162010,PLACE_QC065008_1911
QC100005,1871,QC,St. Paul l’Ermite,St. Paul l'Ermite,PLACE_QC162010,PLACE_QC065008_1911
QC088005,1881,QC,St. Paul l’Ermite,St. Paul l'Ermite,PLACE_QC162010,PLACE_QC065008_1911
QC162009,1891,QC,St. Paul l’Ermite,St. Paul l'Ermite,PLACE_QC162010,PLACE_QC065008_1911
QC162010,1901,QC,St. Paul l’Ermite,St. Paul l'Ermite,PLACE_QC162010,PLACE_QC065008_1911
QC060006,1851,QC,L’Islet,L'Islet,PLACE_QC164001,PLACE_QC170001
QC023002,1861,QC,L’Islet,L'Islet,PLACE_QC164001,PLACE_QC170001
QC164001,1871,QC,L’Islet,L'Islet,PLACE_QC164001,PLACE_QC170001
QC043001,1881,QC,L’Islet,L'Islet,PLACE_QC165003,PLACE_QC170001
QC165003,1891,QC,L’Islet,L'Islet,PLACE_QC165003,PLACE_QC170001
QC061004,1851,QC,St. Flavien,"St. Flavien, VL",PLACE_QC030006,PLACE_QC068026
QC030006,1861,QC,St. Flavien,"St. Flavien, VL",PLACE_QC030006,PLACE_QC068026
QC155006,1871,QC,St. Flavien,"St. Flavien, VL",PLACE_QC166010_1871,PLACE_QC068026
QC049006,1881,QC,St. Flavien,"St. Flavien, VL",PLACE_QC166010_1871,PLACE_QC068026
QC166008,1891,QC,St. Flavien,"St. Flavien, VL",PLACE_QC166010_1871,PLACE_QC068026
QC166010,1901,QC,St. Flavien,"St. Flavien, VL",PLACE_QC166010_1871,PLACE_QC068026
QC171008,1911,QC,St. Flavien,"St. Flavien, VL",PLACE_QC171008,PLACE_QC068026
QC061008,1851,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC155012,PLACE_QC068027
QC030009,1861,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC155012,PLACE_QC068027
QC155012,1871,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC155012,PLACE_QC068027
QC049014,1881,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC166017,PLACE_QC068027
QC166015,1891,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC166017,PLACE_QC068027
QC166017,1901,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC166017,PLACE_QC068027
QC171016,1911,QC,St. Sylvestre,"St. Sylvestre, VL",PLACE_QC171016,PLACE_QC068027
QC059009,1851,QC,St. Jacques,"St. Jacques, VL",PLACE_QC059009,PLACE_QC073015_1921
QC034007,1861,QC,St. Jacques,"St. Jacques, VL",PLACE_QC089001,PLACE_QC073015_1921
QC101001,1871,QC,St. Jacques,"St. Jacques, VL",PLACE_QC089001,PLACE_QC073015_1921
QC089001,1881,QC,St. Jacques,"St. Jacques, VL",PLACE_QC089001,PLACE_QC073015_1921
QC170006,1891,QC,St. Jacques,"St. Jacques, VL",PLACE_QC176007,PLACE_QC073015_1921
QC171006,1901,QC,St. Jacques,"St. Jacques, VL",PLACE_QC176007,PLACE_QC073015_1921
QC176007,1911,QC,St. Jacques,"St. Jacques, VL",PLACE_QC176007,PLACE_QC073015_1921
QC078006,1851,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC078006,PLACE_QC085001
QC064002,1851,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC036001,1861,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC148006,1871,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC078007,1881,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC172002,1891,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC173002,1901,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC178003,1911,QC,L’Ange Gardien,L'Ange Gardien,PLACE_QC178003,PLACE_QC075002_1921
QC094003,1871,QC,L’Ange-Gardien,L'Ange Gardien,PLACE_QC160012,PLACE_QC062024
QC097003,1881,QC,L’Ange-Gardien,L'Ange Gardien,PLACE_QC160012,PLACE_QC062024
QC176022,1891,QC,L’Ange-Gardien,L'Ange Gardien,PLACE_QC160012,PLACE_QC062024
QC160012,1901,QC,L’Ange-Gardien,L'Ange Gardien,PLACE_QC160012,PLACE_QC062024
QC165018,1911,QC,L'Ange-Gardien,L'Ange Gardien,PLACE_QC165018,PLACE_QC062024
QC158010,1891,QC,"St. Laurent, Village","St. Laurent, T-V",PLACE_QC162019,PLACE_QC076032
QC157018,1901,QC,"St. Laurent, Village","St. Laurent, T-V",PLACE_QC162019,PLACE_QC076032
QC162019,1911,QC,"St. Laurent, Village","St. Laurent, T-V",PLACE_QC162019,PLACE_QC076032
QC085000,1851,QC,"Montréal, cité","Montréal, C",PLACE_QC085000,PLACE_QC076013_1921
QC040013,1861,QC,Portage du Fort,"Portage du Fort, VL",PLACE_QC177018,PLACE_QC079027
QC091007,1871,QC,Portage du Fort,"Portage du Fort, VL",PLACE_QC177018,PLACE_QC079027
QC098010,1881,QC,Portage du Fort,"Portage du Fort, VL",PLACE_QC177018,PLACE_QC079027
QC177018,1891,QC,Portage du Fort,"Portage du Fort, VL",PLACE_QC177018,PLACE_QC079027
QC068002,1851,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC041004,1861,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC143001,1871,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC081001,1881,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC178005,1891,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC181005,1901,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC186005,1911,QC,Grondines,"Grondines, VL",PLACE_QC186005,PLACE_QC080024
QC068010,1851,QC,Pointe-aux-Trembles,Pointe aux Trembles,PLACE_QC041005,PLACE_QC186007
QC041005,1861,QC,Pointe-aux-Trembles,Pointe aux Trembles,PLACE_QC041005,PLACE_QC186007
QC065002,1851,QC,Pointe aux Trembles,"Pointe aux Trembles, par.",PLACE_QC163004,PLACE_QC076005
QC020005,1861,QC,Pointe aux Trembles,"Pointe aux Trembles, par.",PLACE_QC163004,PLACE_QC076005
QC107007,1871,QC,Pointe aux Trembles,"Pointe aux Trembles, par.",PLACE_QC163004,PLACE_QC076005
QC091016,1881,QC,Pointe aux Trembles,"Pointe aux Trembles, par.",PLACE_QC163004,PLACE_QC076005
QC155014,1891,QC,Pointe aux Trembles,"Pointe aux Trembles, par.",PLACE_QC163004,PLACE_QC076005
QC163004,1901,QC,Pointe aux Trembles,"Pointe aux Trembles, par.",PLACE_QC163004,PLACE_QC076005
QC168001,1911,QC,Pointe-aux-Trembles,"Pointe aux Trembles, par.",PLACE_QC168001_1911,PLACE_QC076005
QC068001,1851,QC,St. Casimir,"St. Casimir, VL",PLACE_QC143002,PLACE_QC080031
QC041009,1861,QC,St. Casimir,"St. Casimir, VL",PLACE_QC143002,PLACE_QC080031
QC143002,1871,QC,St. Casimir,"St. Casimir, VL",PLACE_QC143002,PLACE_QC080031
QC081011,1881,QC,St. Casimir,"St. Casimir, VL",PLACE_QC178013,PLACE_QC080031
QC178013,1891,QC,St. Casimir,"St. Casimir, VL",PLACE_QC178013,PLACE_QC080031
QC181012,1901,QC,St. Casimir,"St. Casimir, VL",PLACE_QC186013,PLACE_QC080031
QC186013,1911,QC,St. Casimir,"St. Casimir, VL",PLACE_QC186013,PLACE_QC080031
QC084000,1851,QC,"Québec, cité","Québec, C",PLACE_QC084000,PLACE_QC081017
QC069005,1851,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC080002,PLACE_QC081021
