old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_NS205013,PLACE_NS006018,NS,Gabarus,Gabarus,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NS035022,PLACE_NS013020,NS,Strath Lorne,Strath Lorne,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NS005005,PLACE_NS020001_1911,NS,Baddeck,Baddeck,1871;1881,1911;1921,high,bridge_name_match
PLACE_NS041001,PLACE_NS020001_1911,NS,Baddeck,Baddeck,1891;1901,1911;1921,high,bridge_name_match
PLACE_NS205012,PLACE_NS006031,NS,Louisburg,"Louisburg, T-V",1871,1911;1921,high,bridge_name_match
PLACE_NS028020,PLACE_NS006031,NS,Louisburg,"Louisburg, T-V",1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NS006016,PLACE_NS040021,NS,Sydney,"Sydney, Town—Ville",1871;1881,1891;1901;1911,high,bridge_name_match
PLACE_NS006005,PLACE_NS028001,NS,Ball's Creek,Ball’s Creek,1871;1881,1891,high,bridge_name_match
PLACE_NS006003,PLACE_NS039007,NS,Boularderie,Boularderie,1871;1881,1911,high,bridge_name_match
PLACE_NS028005,PLACE_NS039007,NS,Boularderie,Boularderie,1891;1901,1911,high,bridge_name_match
PLACE_NS043004,PLACE_NS041005,NS,Boularderie,Boularderie,1871;1881;1891,1901,high,bridge_name_match
PLACE_NS204007,PLACE_NS020008_1881,NS,Englishtown,Englishtown,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NS006009,PLACE_NS040012,NS,Lingan,Lingan,1871;1881,1911,high,bridge_name_match
PLACE_NS028015,PLACE_NS040012,NS,Lingan,Lingan,1891,1911,high,bridge_name_match
PLACE_NS028017,PLACE_NS040012,NS,Lingan,Lingan,1901,1911,high,bridge_name_match
PLACE_NS004013,PLACE_NS013002,NS,Cheticamp,Cheticamp,1871;1881,1901;1911;1921,high,bridge_name_match
PLACE_NS036002,PLACE_NS013002,NS,Cheticamp,Cheticamp,1891,1901;1911;1921,high,bridge_name_match
PLACE_NS005013,PLACE_NS020007,NS,Cape North,Cape North,1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NB174010,PLACE_NB032001,NB,Lancaster,Lancaster,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB179009,PLACE_NB036010,NB,Prince William,Prince William,1871,1901;1911;1921,high,bridge_name_match
PLACE_NB025015,PLACE_NB036010,NB,Prince William,Prince William,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_NB179011,PLACE_NB036002,NB,Canterbury,Canterbury,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB179010,PLACE_NB036004_1881,NB,Dumfries,Dumfries,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB178001,PLACE_NB033001,NB,Blissville,Blissville,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB025013,PLACE_NB036008,NB,New Maryland,New Maryland,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_NB176011,PLACE_NB027012,NB,Sussex,Sussex,1871,1881;1891;1901;1911;1921,high,bridge_name_match
