old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_ON110006_1881,PLACE_ON124014,ON,"Newboro, Village","Newboro, VL",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON085011_1881,PLACE_ON126009,ON,"St. Catharines, City—Cité","St. Catharines, C",1881;1891;1901,1921,medium,bridge_name_match
PLACE_ON123009,PLACE_ON132015,ON,"Hastings, Village","Hastings, Village",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON132004_1871,PLACE_ON133011,ON,Whitby E,Whitby E,1871;1881,1921,high,bridge_name_match
PLACE_ON104005_1891,PLACE_ON133011,ON,Whitby E,Whitby E,1891;1901;1911,1921,high,bridge_name_match
PLACE_ON126003_1881,PLACE_ON138013,ON,Monaghan N,Monaghan N,1881,1901;1911;1921,medium,bridge_name_match
PLACE_ON137002_1881,PLACE_ON154021,ON,"Stouffville, Village","Stouffville, Village",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON137006_1871,PLACE_ON154003,ON,Gwillimbury E,Gwillimbury E,1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON137004,PLACE_ON154012,ON,"Aurora, Village","Aurora, Town—Ville",1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON073001,PLACE_ON100001_1881,ON,"Cornwall, West Ward—Quartier","Cornwall, West Ward—Quartier",1871,1881,high,bridge_name_match
PLACE_ON085007,PLACE_ON135009_1921,ON,Conger,Conger,1871,1921,medium,bridge_name_match
PLACE_ON182020,PLACE_ON102088,ON,Tarbutt,Tarbutt,1881,1901;1911;1921,medium,bridge_name_match
PLACE_ON182019,PLACE_ON102071,ON,Plummer,Plummer,1881,1921,high,bridge_name_match
PLACE_ON055020,PLACE_ON102071,ON,Plummer,Plummer,1891;1901;1911,1921,high,bridge_name_match
PLACE_ON104005_1881,PLACE_ON100007,ON,"Ottawa, Wellington, Ward—Quartier","Ottawa, Wellington, Ward—Quartier",1881;1891,1901,high,bridge_name_match
PLACE_ON182023,PLACE_ON102046,ON,Korah,Korah,1881,1921,medium,bridge_name_match
PLACE_ON055013,PLACE_ON102046,ON,Korah,Korah,1911,1921,medium,bridge_name_match
PLACE_ON182021,PLACE_ON046005,ON,Garden River,Garden River,1881,1891,high,bridge_name_match
PLACE_ON182025,PLACE_ON102095,ON,Vankoughnet,Vankoughnet,1881,1911;1921,medium,bridge_name_match
PLACE_NB023013,PLACE_NB028011,NB,St. Léonard,St. Léonard,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB015007,PLACE_NB024016,NB,"Milltown, Town—Ville","Milltown, T-V",1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB015015,PLACE_NB024014,NB,St. Stephen,St. Stephen,1901,1911;1921,high,bridge_name_match
PLACE_NB032004_1881,PLACE_NB028010,NB,St. Jacques,St. Jacques,1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NS028019,PLACE_NS006023,NS,Main-à-Dieu,Main-à-Dieu,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_NS044011,PLACE_NS010012,NS,Indian Harbour,Indian Harbour,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_NS044012,PLACE_NS010013_1921,NS,Intervale,Intervale,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_NS032022,PLACE_NS010031,NS,Whitehead,Whitehead,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NS039010,PLACE_NS016015,NS,Garden of Eden,Garden of Eden,1881;1891,1911;1921,high,bridge_name_match
PLACE_NS038014_1901,PLACE_NS016015,NS,Garden of Eden,Garden of Eden,1901,1911;1921,high,bridge_name_match
PLACE_NS013005,PLACE_NS019006,NS,Jordan River,Jordan River,1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NS040002,PLACE_NS052007,NS,Church Over,Church Over,1881;1891;1901,1911,high,bridge_name_match
PLACE_NS032010,PLACE_NS010015,NS,Isaac Harbour,Isaac Harbour,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC138004,PLACE_QC039004,QC,St. Ephrem d'Upton,St. Ephrem d'Upton,1891,1901;1911;1921,high,bridge_name_match
PLACE_QC048007_1881,PLACE_QC040003,QC,Sacré Cœur de Jésus,Sacré Cœur de Jésus,1881,1921,medium,bridge_name_match
PLACE_QC038003_1881,PLACE_QC044013,QC,Paspébiac,Paspébiac,1881,1901;1911;1921,medium,bridge_name_match
PLACE_QC146003,PLACE_QC047004_1921,QC,Notre-Dame du Mont Carmel,Notre Dame du Mont Carmel,1881;1891,1921,high,bridge_name_match
PLACE_QC151003,PLACE_QC047004_1921,QC,Notre-Dame du Mont Carmel,Notre Dame du Mont Carmel,1901;1911,1921,high,bridge_name_match
PLACE_QC147008,PLACE_QC048015_1911,QC,"Pointe au Pic, Village","Pointe au Pic, VL",1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC147011_1871,PLACE_QC048010_1901,QC,St. Siméon,St. Siméon,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC076027,PLACE_QC063025,QC,St. Prime,"St. Prime, par.",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC196007,PLACE_QC095005_1921,QC,Notre-Dame du Lac,Notre Dame du Lac,1891;1901,1921,high,bridge_name_match
PLACE_QC201005,PLACE_QC095005_1921,QC,Notre-Dame du Lac,Notre Dame du Lac,1911,1921,high,bridge_name_match
PLACE_QC076031,PLACE_QC149021,QC,St. Fulgence,St. Fulgence,1881,1891,high,bridge_name_match
PLACE_QC150003_1881,PLACE_QC055001_1911,QC,Chesham,Chesham,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC054015,PLACE_QC051022,QC,"Waterville, Village","Waterville, Village",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC156001,PLACE_QC052001,QC,L’Annonciation,L'Annonciation,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC047010,PLACE_QC157011,QC,St. Léon de Standon,St. Léon de Standon,1881,1911,high,bridge_name_match
PLACE_QC152010_1891,PLACE_QC157011,QC,St. Léon de Standon,St. Léon de Standon,1891;1901,1911,high,bridge_name_match
PLACE_QC052014_1881,PLACE_QC054016,QC,"Drummondville, Village","Drummondville, Town—Ville",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC052013,PLACE_QC054005_1921,QC,Kingsey Falls,Kingsey Falls,1881,1921,high,bridge_name_match
PLACE_QC153006_1891,PLACE_QC054005_1921,QC,Kingsey Falls,Kingsey Falls,1891;1901,1921,high,bridge_name_match
PLACE_QC158009_1911,PLACE_QC054005_1921,QC,Kingsey Falls,Kingsey Falls,1911,1921,high,bridge_name_match
PLACE_QC052024,PLACE_QC038009,QC,St. Christophe,St. Christophe,1871;1881,1901;1911;1921,medium,bridge_name_match
PLACE_QC153020_1881,PLACE_QC054010_1921,QC,St. Germain de Grantham,St. Germain de Grantham,1881;1891,1921,high,bridge_name_match
PLACE_QC153011,PLACE_QC054010_1921,QC,St. Germain de Grantham,St. Germain de Grantham,1901,1921,high,bridge_name_match
PLACE_QC158019,PLACE_QC054010_1921,QC,St. Germain de Grantham,St. Germain de Grantham,1911,1921,high,bridge_name_match
PLACE_QC159004_1871,PLACE_QC060004_1901,QC,Ste. Béatrice,Ste. Béatrice,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC176043,PLACE_QC062051,QC,Suffolk,Suffolk,1881;1891,1911;1921,medium,bridge_name_match
PLACE_QC165006,PLACE_QC067007,QC,St. Eugène,St. Eugène,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC166003_1871,PLACE_QC068024,QC,St. Agapit,"St. Agapit, VL",1871;1881;1891;1901,1921,high,bridge_name_match
PLACE_QC171001_1911,PLACE_QC068024,QC,St. Agapit,"St. Agapit, VL",1911,1921,high,bridge_name_match
PLACE_QC050008,PLACE_QC174011,QC,Ste. Anastasie,Ste. Anastasie,1881,1911,high,bridge_name_match
PLACE_QC169013,PLACE_QC174011,QC,Ste. Anastasie,Ste. Anastasie,1891;1901,1911,high,bridge_name_match
PLACE_QC101002,PLACE_QC073008,QC,St. Liguori,St. Liguori,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC135015,PLACE_QC184009,QC,Ste. Eulalie,Ste. Eulalie,1871,1911,high,bridge_name_match
PLACE_QC175009,PLACE_QC184009,QC,Ste. Eulalie,Ste. Eulalie,1881;1891,1911,high,bridge_name_match
PLACE_QC179010,PLACE_QC184009,QC,Ste. Eulalie,Ste. Eulalie,1901,1911,high,bridge_name_match
PLACE_QC135014,PLACE_QC078030,QC,St. Léonard,"St. Léonard, VL",1871,1921,high,bridge_name_match
PLACE_QC175012,PLACE_QC078030,QC,St. Léonard,"St. Léonard, VL",1881;1891,1921,high,bridge_name_match
PLACE_QC184012,PLACE_QC078030,QC,St. Léonard,"St. Léonard, VL",1901;1911,1921,high,bridge_name_match
PLACE_QC051002,PLACE_QC078020,QC,Ste. Sophie de Lévrard,Ste. Sophie de Lévrard,1881,1911;1921,high,bridge_name_match
PLACE_QC175018,PLACE_QC078020,QC,Ste. Sophie de Levrard,Ste. Sophie de Lévrard,1891,1911;1921,high,bridge_name_match
PLACE_QC179019,PLACE_QC078020,QC,Ste. Sophie de Lévrard,Ste. Sophie de Lévrard,1901,1911;1921,high,bridge_name_match
PLACE_QC051001_1881,PLACE_QC078017,QC,St. Pierre les Becquets,St. Pierre les Becquets,1881,1921,high,bridge_name_match
PLACE_QC184016,PLACE_QC078017,QC,St. Pierre les Becquets,St. Pierre les Becquets,1891;1901;1911,1921,high,bridge_name_match
PLACE_QC178016,PLACE_QC080018,QC,St. Raymond Nonnat,St. Raymond-Nonnat,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC040009,PLACE_QC084005,QC,Ste. Blandine,Ste. Blandine,1881,1921,high,bridge_name_match
PLACE_QC193011,PLACE_QC084005,QC,Ste. Blandine,Ste. Blandine,1891;1901;1911,1921,high,bridge_name_match
PLACE_QC167007,PLACE_QC084002,QC,St. Anaclet,St. Anaclet,1871,1921,high,bridge_name_match
PLACE_QC040011_1881,PLACE_QC084002,QC,St. Anaclet,St. Anaclet,1881,1921,high,bridge_name_match
PLACE_QC188009,PLACE_QC084002,QC,St. Anaclet,St. Anaclet,1891;1901,1921,high,bridge_name_match
PLACE_QC193008,PLACE_QC084002,QC,St. Anaclet,St. Anaclet,1911,1921,high,bridge_name_match
PLACE_QC167009,PLACE_QC084007,QC,St. Donat,St. Donat,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC183027,PLACE_QC193029,QC,St. Moïse,St. Moïse,1881;1891,1911,high,bridge_name_match
PLACE_QC188030,PLACE_QC193029,QC,St. Moïse,St. Moïse,1901,1911,high,bridge_name_match
PLACE_QC185008,PLACE_QC091007,QC,St. Hyacinthe le Confesseur,St. Hyacinthe le Confesseur,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC185010,PLACE_QC082004_1921,QC,St. Louis de Bonsecours,St. Louis de Bonsecours,1881;1891,1921,high,bridge_name_match
PLACE_QC191004,PLACE_QC082004_1921,QC,St. Louis de Bonsecours,St. Louis de Bonsecours,1901;1911,1921,high,bridge_name_match
PLACE_QC141001,PLACE_QC090008,QC,Stanstead,Stanstead,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC201021,PLACE_QC095026,QC,Ste. Rose du Dégelé,Ste. Rose du Dégelé,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC192018,PLACE_QC095017,QC,St. François-Xavier & St. Hubert,St. François-Xavier & St. Hubert,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC192016,PLACE_QC095013,QC,St. Epiphane,St. Epiphane,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC099013,PLACE_QC197002,QC,Ste. Adèle,Ste. Adèle,1871,1881;1891;1901,high,bridge_name_match
PLACE_QC099012,PLACE_QC202006,QC,St. Hypolite,St. Hypolite,1871,1911,high,bridge_name_match
PLACE_QC197007,PLACE_QC202006,QC,St. Hypolite,St. Hypolite,1881;1891;1901,1911,high,bridge_name_match
PLACE_QC193012_1881,PLACE_QC096012,QC,Ste. Lucie,Ste. Lucie,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC099011,PLACE_QC197015,QC,St. Sauveur,St. Sauveur,1871,1881;1891;1901,high,bridge_name_match
PLACE_QC203006,PLACE_QC093007,QC,St. Etienne des Grès,St. Etienne des Grès,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC142009,PLACE_QC043009_1911,QC,St. Gabriel de Brandon,St. Gabriel de Brandon,1881;1891,1911;1921,high,bridge_name_match
PLACE_QC142007,PLACE_QC043009_1911,QC,St. Gabriel de Brandon,St. Gabriel de Brandon,1901,1911;1921,high,bridge_name_match
PLACE_QC162016,PLACE_QC076014_1921,QC,"Outremont, Village","Outremont, C",1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC168008,PLACE_QC070009_1911,QC,Ste. Félicité,Ste. Félicité,1871,1911;1921,high,bridge_name_match
PLACE_QC188019,PLACE_QC070009_1911,QC,Ste. Félicité,Ste. Félicité,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC039011_1881,PLACE_QC056031,QC,"Gaspé, Village","Gaspé, Village",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC086011,PLACE_QC043011,QC,St. Michel des Saints,St. Michel des Saints,1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC146016,PLACE_QC047021,QC,Ste. Thècle,Ste. Thècle,1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC169015,PLACE_QC066014,QC,"Lévis, City—Cité","Lévis, C",1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC149051,PLACE_QC086070,QC,Pointe aux Esquimaux,Pointe aux Esquimaux,1871;1881;1891;1901,1921,high,bridge_name_match
PLACE_QC154061,PLACE_QC086070,QC,Pointe aux Esquimaux,Pointe aux Esquimaux,1911,1921,high,bridge_name_match
PLACE_QC047013_1871,PLACE_QC053010,QC,Ste. Justine de Langevin,Ste. Justine de Langevin,1871;1881,1921,medium,bridge_name_match
PLACE_QC052016,PLACE_QC038021,QC,"Victoriaville, Village","Victoriaville, T-V",1871;1881,1921,high,bridge_name_match
PLACE_QC158035,PLACE_QC038021,QC,"Victoriaville, Town—Ville","Victoriaville, T-V",1891;1901;1911,1921,high,bridge_name_match
PLACE_QC046004,PLACE_QC066007,QC,St. Joseph de Lévis,St. Joseph de Lévis,1871;1881,1911;1921,high,bridge_name_match
PLACE_QC164009,PLACE_QC066007,QC,St. Joseph de Lévis,St. Joseph de Lévis,1891;1901,1911;1921,high,bridge_name_match
PLACE_QC181016,PLACE_QC080016,QC,Ste. Jeanne de Neuville,Ste. Jeanne de Neuville,1871;1881;1891;1901,1921,high,bridge_name_match
PLACE_QC186017,PLACE_QC080016,QC,Ste. Jeanne de Neuville,Ste. Jeanne de Neuville,1911,1921,high,bridge_name_match
PLACE_ON054080,PLACE_ON127016,ON,Robinson,Robinson,1891;1901;1911,1921,high,bridge_name_match
PLACE_ON046048,PLACE_ON054008,ON,Billings,Billings,1891,1901;1911,high,bridge_name_match
PLACE_ON046036,PLACE_ON146096,ON,Norman,Norman,1891,1921,medium,bridge_name_match
PLACE_ON099114,PLACE_ON146096,ON,Norman,Norman,1911,1921,medium,bridge_name_match
PLACE_ON044087,PLACE_ON127013,ON,Gordon,Gordon,1891;1901,1921,medium,bridge_name_match
PLACE_ON046057,PLACE_ON054047,ON,Howland,Howland,1891,1911,high,bridge_name_match
PLACE_ON044089,PLACE_ON054047,ON,Howland,Howland,1901,1911,high,bridge_name_match
PLACE_ON046009,PLACE_ON102035,ON,Hilton,Hilton,1891,1901;1911;1921,high,bridge_name_match
PLACE_ON075002,PLACE_ON118030,ON,"Frankford, Village","Frankford, VL",1891,1921,medium,bridge_name_match
PLACE_ON087005,PLACE_ON125004,ON,Fredericksburg N,Fredericksburg N,1891,1921,medium,bridge_name_match
PLACE_ON092011,PLACE_ON125004,ON,Fredericksburg N,Fredericksburg N,1911,1921,medium,bridge_name_match
PLACE_ON087006,PLACE_ON125005_1921,ON,Fredericksburg S,Fredericksburg S,1891,1921,medium,bridge_name_match
PLACE_ON092012_1911,PLACE_ON125005_1921,ON,Fredericksburg S,Fredericksburg S,1911,1921,medium,bridge_name_match
PLACE_ON097002,PLACE_ON129024,ON,"Bracebridge, Town—Ville","Bracebridge, T-V",1891;1901,1911;1921,high,bridge_name_match
PLACE_ON115005_1891,PLACE_ON142009_1911,ON,Brudenell,Brudenell,1891,1911;1921,medium,bridge_name_match
PLACE_ON136006_1881,PLACE_ON133008_1891,ON,York W-O,York W-O,1881,1891,high,bridge_name_match
PLACE_ON046061,PLACE_ON054088,ON,Sheguiandah,Sheguiandah,1891,1911,medium,bridge_name_match
PLACE_ON113015,PLACE_ON096012,ON,Unorganized Territory,Unorganized Territory,1881,1891,high,bridge_name_match
PLACE_NT199001,PLACE_NT203008,NT,Broadview,Broadview,1891,1901,high,bridge_name_match
PLACE_NT200001,PLACE_NT204038,NT,Maple Creek,Maple Creek,1891,1901,high,bridge_name_match
PLACE_NT200004,PLACE_NT204071,NT,Swift Current,Swift Current,1891,1901,high,bridge_name_match
PLACE_MB009017,PLACE_MB157003,MB,Louise,Louise,1891,1921,medium,bridge_name_match
PLACE_MB007005_1901,PLACE_MB157003,MB,Louise,Louise,1901,1921,medium,bridge_name_match
PLACE_MB009025,PLACE_MB157008,MB,Turtle Mountain,Turtle Mountain,1891,1921,medium,bridge_name_match
PLACE_MB007014,PLACE_MB157008,MB,Turtle Mountain,Turtle Mountain,1901,1921,medium,bridge_name_match
PLACE_MB009002,PLACE_MB158002,MB,Arthur,Arthur,1891,1921,medium,bridge_name_match
PLACE_MB006001_1901,PLACE_MB158002,MB,Arthur,Arthur,1901,1921,medium,bridge_name_match
PLACE_MB009001,PLACE_MB157001,MB,Argyle,Argyle,1891,1921,medium,bridge_name_match
PLACE_MB007001_1901,PLACE_MB157001,MB,Argyle,Argyle,1901,1921,medium,bridge_name_match
PLACE_MB009016,PLACE_MB157002,MB,Lorne,Lorne,1891,1921,medium,bridge_name_match
PLACE_MB007004,PLACE_MB157002,MB,Lorne,Lorne,1901,1921,medium,bridge_name_match
PLACE_MB009023,PLACE_MB157005,MB,Riverside,Riverside,1891,1921,medium,bridge_name_match
PLACE_MB007011_1901,PLACE_MB157005,MB,Riverside,Riverside,1901,1921,medium,bridge_name_match
PLACE_MB006017,PLACE_MB158007,MB,Whitewater,Whitewater,1901,1921,medium,bridge_name_match
PLACE_MB006003_1901,PLACE_MB158003,MB,Brenda,Brenda,1901,1921,medium,bridge_name_match
PLACE_MB007018,PLACE_MB161006,MB,Norfolk S,Norfolk S,1891,1921,medium,bridge_name_match
PLACE_MB006011,PLACE_MB161007,MB,Oakland,Oakland,1891;1901,1921,medium,bridge_name_match
PLACE_MB006008,PLACE_MB162002,MB,Glenwood,Glenwood,1891;1901,1921,medium,bridge_name_match
PLACE_MB006013,PLACE_MB162004,MB,Sifton,Sifton,1891;1901,1921,medium,bridge_name_match
PLACE_MB006012,PLACE_MB162003,MB,Pipestone,Pipestone,1891;1901,1921,medium,bridge_name_match
PLACE_MB009006,PLACE_MB161001,MB,Cornwallis,Cornwallis,1891,1921,medium,bridge_name_match
PLACE_MB006005_1901,PLACE_MB161001,MB,Cornwallis,Cornwallis,1901,1921,medium,bridge_name_match
PLACE_MB006016_1891,PLACE_MB162006,MB,Whitehead,Whitehead,1891;1901,1921,medium,bridge_name_match
PLACE_MB009003,PLACE_MB161010,MB,"Brandon, City—Cité","Brandon, C",1891,1911;1921,high,bridge_name_match
PLACE_MB006002,PLACE_MB161010,MB,"Brandon, City—Cité","Brandon, C",1901,1911;1921,high,bridge_name_match
PLACE_MB006007,PLACE_MB161004,MB,Elton,Elton,1891;1901,1921,medium,bridge_name_match
PLACE_MB006019,PLACE_MB162007,MB,Woodworth,Woodworth,1891;1901,1921,medium,bridge_name_match
PLACE_MB006006,PLACE_MB162001,MB,Daly,Daly,1891;1901,1921,medium,bridge_name_match
PLACE_MB006014,PLACE_MB162005,MB,Wallace,Wallace,1891;1901,1921,medium,bridge_name_match
PLACE_MB008008_1891,PLACE_MB156003,MB,Montcalm,Montcalm,1891,1921,medium,bridge_name_match
PLACE_MB010006,PLACE_MB156003,MB,Montcalm,Montcalm,1901,1921,medium,bridge_name_match
PLACE_MB009022,PLACE_MB156005,MB,Rhineland,Rhineland,1891,1921,medium,bridge_name_match
PLACE_MB007008,PLACE_MB156005,MB,Rhineland,Rhineland,1901,1921,medium,bridge_name_match
PLACE_MB006015,PLACE_MB166009,MB,St. Laurent,St. Laurent,1891,1921,medium,bridge_name_match
PLACE_MB011016,PLACE_MB166009,MB,St. Laurent,St. Laurent,1901,1921,medium,bridge_name_match
PLACE_MB007022,PLACE_MB160007,MB,Portage la Prairie,Portage la Prairie,1891,1921,medium,bridge_name_match
PLACE_MB008011,PLACE_MB160007,MB,Portage la Prairie,Portage la Prairie,1901,1921,medium,bridge_name_match
PLACE_MB008012,PLACE_MB160011,MB,"Portage la Prairie, Town—Ville","Portage la Prairie, C",1891;1901,1911;1921,high,bridge_name_match
PLACE_MB009019,PLACE_MB165010,MB,Odanah,Odanah,1891;1901,1921,medium,bridge_name_match
PLACE_MB009006_1891,PLACE_MB165011,MB,Saskatchewan,Saskatchewan,1891;1901,1921,medium,bridge_name_match
PLACE_MB009005_1891,PLACE_MB165003,MB,Blanchard,Blanchard,1891;1901,1921,medium,bridge_name_match
PLACE_MB009017_1891,PLACE_MB165016,MB,"Minnedosa, Town—Ville","Minnedosa, T-V",1891;1901,1911;1921,high,bridge_name_match
PLACE_MB009014,PLACE_MB165019,MB,Hamiota,"Hamiota, VL",1891;1901,1911;1921,high,bridge_name_match
PLACE_MB009016_1891,PLACE_MB165008,MB,Miniota,Miniota,1891;1901,1921,medium,bridge_name_match
PLACE_MB009015_1891,PLACE_MB165007,MB,Harrison,Harrison,1891;1901,1921,medium,bridge_name_match
PLACE_MB009003_1891,PLACE_MB165002,MB,Birtle,Birtle,1891;1901,1921,medium,bridge_name_match
PLACE_MB007027,PLACE_MB168005,MB,Rossburn,Rossburn,1891,1921,medium,bridge_name_match
PLACE_MB009021,PLACE_MB168005,MB,Rossburn,Rossburn,1901,1921,medium,bridge_name_match
PLACE_MB006005,PLACE_MB166013,MB,Gimli,"Gimli, VL",1891,1911;1921,high,bridge_name_match
PLACE_MB011004,PLACE_MB166013,MB,Gimli,"Gimli, VL",1901,1911;1921,high,bridge_name_match
PLACE_MB010003,PLACE_MB012003,MB,"Winnipeg, Ward—Quartier No. 3","Winnipeg, Ward—Quartier No. 3",1891,1901,high,bridge_name_match
PLACE_MB008005,PLACE_MB155002,MB,Hanover,Hanover,1891,1921,medium,bridge_name_match
PLACE_MB010004,PLACE_MB155002,MB,Hanover,Hanover,1901,1921,medium,bridge_name_match
PLACE_MB010001_1891,PLACE_MB156001,MB,De Salaberry,De Salaberry,1891;1901,1921,medium,bridge_name_match
PLACE_MB006007_1891,PLACE_MB160006,MB,Macdonald,Macdonald,1891,1921,medium,bridge_name_match
PLACE_MB011007,PLACE_MB160006,MB,Macdonald,Macdonald,1901,1921,medium,bridge_name_match
PLACE_MB008004_1891,PLACE_MB156002,MB,Franklin,Franklin,1891,1921,medium,bridge_name_match
PLACE_MB010003_1901,PLACE_MB156002,MB,Franklin,Franklin,1901,1921,medium,bridge_name_match
PLACE_MB008015,PLACE_MB155008,MB,Taché,Tache,1891,1921,medium,bridge_name_match
PLACE_MB010013,PLACE_MB155008,MB,Taché,Tache,1901,1921,medium,bridge_name_match
PLACE_BC005005,PLACE_BC014004,BC,Kamloops,Kamloops,1891,1911,medium,bridge_name_match
PLACE_BC001008,PLACE_BC207004,BC,Lillooet,Lillooet,1891,1911;1921,medium,bridge_name_match
PLACE_BC002004,PLACE_BC213004,BC,"New Westminster, City—Cité","New Westminster, C",1891;1901,1911;1921,high,bridge_name_match
PLACE_NS037001_1891,PLACE_NS004001_1921,NS,Bear River,Bear River,1891;1901;1911,1921,high,bridge_name_match
PLACE_NS026020,PLACE_NS004031,NS,Middleton,"Middleton, T-V",1891;1901,1911;1921,high,bridge_name_match
PLACE_NS037012_1891,PLACE_NS004012,NS,Lawrencetown Lane,Lawrencetown Lane,1891;1901;1911,1921,high,bridge_name_match
PLACE_NS028023,PLACE_NS006010,NS,Sydney Mines,"Sydney Mines, T-V",1891,1901;1911;1921,high,bridge_name_match
PLACE_NS006015,PLACE_NS006019,NS,Grand Mira,Grand Mira,1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NS028013,PLACE_NS006030,NS,Glace Bay,"Glace Bay, T-V",1891;1901,1911;1921,high,bridge_name_match
PLACE_NS019004,PLACE_NS007013,NS,Middle Londonderry,Middle Londonderry,1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NS030014,PLACE_NS008034,NS,"Springhill, Town—Ville","Springhill, T-V",1891,1911;1921,medium,bridge_name_match
PLACE_NS030007,PLACE_NS008032,NS,Oxford,"Oxford, T-V",1891,1901;1911;1921,high,bridge_name_match
PLACE_NS043011,PLACE_NS009012,NS,Meteghan,Meteghan,1891;1901;1911,1921,high,bridge_name_match
PLACE_NS043012,PLACE_NS009014,NS,Meteghan River,Meteghan River,1891;1901;1911,1921,high,bridge_name_match
PLACE_NS043004_1891,PLACE_NS009004_1921,NS,Comeauville,Comeauville,1891;1901;1911,1921,high,bridge_name_match
PLACE_NS032011,PLACE_NS010017,NS,Larry River,Larry River,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NS036015,PLACE_NS013015,NS,Port Hastings,Port Hastings,1891,1901;1911;1921,high,bridge_name_match
PLACE_NS047023,PLACE_NS013022,NS,Whycocomagh N.,Whycocomagh N.,1891;1901;1911,1921,high,bridge_name_match
PLACE_NS040004,PLACE_NS052009,NS,Clyde River,Clyde River,1891;1901,1911,high,bridge_name_match
PLACE_NS030032,PLACE_NS008033,NS,"Parrsboro, Town—Ville","Parrsboro, T-V",1891;1901,1911;1921,high,bridge_name_match
PLACE_NS044006,PLACE_NS021006,NS,Chegoggin,Chegoggin,1891,1901;1911;1921,high,bridge_name_match
PLACE_QC139002_1891,PLACE_QC144001_1911,QC,Ditchfield,Ditchfield,1891,1911,medium,bridge_name_match
PLACE_QC139013,PLACE_QC040009_1901,QC,St. Ephrem de Tring,St. Ephrem de Tring,1891,1901;1911;1921,high,bridge_name_match
PLACE_QC139010,PLACE_QC055009,QC,St. Evariste de Forsyth,St. Evariste de Forsyth,1891;1901,1911;1921,high,bridge_name_match
PLACE_QC139024,PLACE_QC055015_1911,QC,St. Sébastien d’Aylmer,St. Sébastien d'Aylmer,1891;1901,1911;1921,high,bridge_name_match
PLACE_QC139024_1891,PLACE_QC139027,QC,St. Victor de Tring,St. Victor de Tring,1891,1901,high,bridge_name_match
PLACE_QC143013_1881,PLACE_QC044018,QC,St. Charles de Caplan,St. Charles de Caplan,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC152008,PLACE_QC157010,QC,Ste. Justine,Ste. Justine,1891,1911,high,bridge_name_match
PLACE_QC152009_1901,PLACE_QC157010,QC,Ste. Justine,Ste. Justine,1901,1911,high,bridge_name_match
PLACE_QC152016,PLACE_QC157019,QC,St. Zacharie de Metgermette,St. Zacharie de Metgermette,1891;1901,1911,high,bridge_name_match
PLACE_QC152014,PLACE_QC053020,QC,Ste. Rose de Watford,Ste. Rose de Watford,1891,1911;1921,high,bridge_name_match
