norm_name,province,n_members,winner,members,reason
wakefield,QC,5,PLACE_QC057025,PLACE_QC039038;PLACE_QC093006;PLACE_QC176048;PLACE_QC205019;PLACE_QC057025,medium_confidence_gap
st. david,QC,4,PLACE_QC100005,PLACE_QC060003_1851;PLACE_QC197003;PLACE_QC206005;PLACE_QC100005,medium_confidence_gap
pierreville,QC,2,PLACE_QC100017,PLACE_QC134004;PLACE_QC100017,medium_confidence_gap
st. zephirin,QC,4,PLACE_QC206014,PLACE_QC060006;PLACE_QC057007;PLACE_QC201011;PLACE_QC206014,medium_confidence_gap
mann,QC,2,PLACE_QC044007_1921,PLACE_QC169009;PLACE_QC044007_1921,medium_confidence_gap
doncaster,QC,2,PLACE_QC094017,PLACE_QC034011;PLACE_QC094017,medium_confidence_gap
clarendon,QC,2,PLACE_QC079011_1901,PLACE_QC091003;PLACE_QC079011_1901,medium_confidence_gap
brompton,QC,5,PLACE_QC083001,PLACE_QC076014;PLACE_QC053010;PLACE_QC187002;PLACE_QC192002_1911;PLACE_QC083001,medium_confidence_gap
hampden,QC,2,PLACE_QC051009,PLACE_QC016005;PLACE_QC051009,medium_confidence_gap
marston,QC,2,PLACE_QC055007,PLACE_QC016008;PLACE_QC055007,medium_confidence_gap
whitton,QC,3,PLACE_QC055017_1911,PLACE_QC016012;PLACE_QC054011_1881;PLACE_QC055017_1911,medium_confidence_gap
tache,QC,2,PLACE_QC149035,PLACE_QC015020;PLACE_QC149035,medium_confidence_gap
roberval,QC,3,PLACE_QC149017,PLACE_QC015015;PLACE_QC150009;PLACE_QC149017,medium_confidence_gap
templeton,QC,4,PLACE_QC057035,PLACE_QC093001;PLACE_QC176044;PLACE_QC205018;PLACE_QC057035,medium_confidence_gap
morin,QC,3,PLACE_QC037010,PLACE_QC079005;PLACE_QC002007;PLACE_QC037010,medium_confidence_gap
price,QC,2,PLACE_QC193006,PLACE_QC005010;PLACE_QC193006,medium_confidence_gap
pabos,QC,3,PLACE_QC159021,PLACE_QC019012;PLACE_QC172005;PLACE_QC159021,medium_confidence_gap
maddington,QC,2,PLACE_QC038005_1911,PLACE_QC003009;PLACE_QC038005_1911,medium_confidence_gap
mansfield,QC,2,PLACE_QC079016,PLACE_QC040010;PLACE_QC079016,medium_confidence_gap
lachute,QC,3,PLACE_QC037014,PLACE_QC080012;PLACE_QC137009_1891;PLACE_QC037014,medium_confidence_gap
dundee,QC,3,PLACE_QC058001,PLACE_QC048004_1851;PLACE_QC161001;PLACE_QC058001,medium_confidence_gap
huntingdon,QC,2,PLACE_QC058012,PLACE_QC048006_1851;PLACE_QC058012,medium_confidence_gap
st. hugues,QC,3,PLACE_QC039015_1911,PLACE_QC078012;PLACE_QC122005;PLACE_QC039015_1911,medium_confidence_gap
ancienne lorette,QC,5,PLACE_QC081001,PLACE_QC069009;PLACE_QC042001_1861;PLACE_QC185001;PLACE_QC190001;PLACE_QC081001,medium_confidence_gap
st. judes,QC,2,PLACE_QC091009_1911,PLACE_QC070009;PLACE_QC091009_1911,medium_confidence_gap
st. paul d'abbotsford,QC,3,PLACE_QC085010_1891,PLACE_QC046008;PLACE_QC063009;PLACE_QC085010_1891,medium_confidence_gap
auckland,QC,2,PLACE_QC155001,PLACE_QC076003;PLACE_QC155001,medium_confidence_gap
ste. flore,QC,5,PLACE_QC093008_1921,PLACE_QC133005;PLACE_QC082011;PLACE_QC146006;PLACE_QC203007;PLACE_QC093008_1921,medium_confidence_gap
garafraxa e,ON,2,PLACE_ON106002_1911,PLACE_ON152009;PLACE_ON106002_1911,medium_confidence_gap
tilbury w o,ON,2,PLACE_ON110015,PLACE_ON181017;PLACE_ON110015,medium_confidence_gap
cayuga n,ON,2,PLACE_ON115002_1911,PLACE_ON070002;PLACE_ON115002_1911,medium_confidence_gap
wawanosh e,ON,2,PLACE_ON119015_1911,PLACE_ON175004;PLACE_ON119015_1911,medium_confidence_gap
macaulay,ON,3,PLACE_ON129010_1911,PLACE_ON085009;PLACE_ON097006;PLACE_ON129010_1911,medium_confidence_gap
stephenson,ON,2,PLACE_ON129019,PLACE_ON085010_1871;PLACE_ON129019,medium_confidence_gap
head,ON,2,PLACE_ON099049,PLACE_ON082012_1871;PLACE_ON099049,medium_confidence_gap
bruce mines,ON,4,PLACE_ON102110,PLACE_ON089001;PLACE_ON182018;PLACE_ON046002;PLACE_ON102110,medium_confidence_gap
nipigon,ON,4,PLACE_ON147015,PLACE_ON090005_1871;PLACE_ON182028;PLACE_ON044059;PLACE_ON147015,medium_confidence_gap
oshawa,ON,4,PLACE_ON133012,PLACE_ON089003;PLACE_ON132005;PLACE_ON098001_1891;PLACE_ON133012,medium_confidence_gap
wood,ON,2,PLACE_ON129022,PLACE_ON085006;PLACE_ON129022,medium_confidence_gap
plymouth,NS,2,PLACE_NS021012,PLACE_NS014001;PLACE_NS021012,medium_confidence_gap
yarmouth,NS,3,PLACE_NS021022,PLACE_NS014003;PLACE_NS042021;PLACE_NS021022,medium_confidence_gap
shelburne,NS,3,PLACE_NS019018,PLACE_NS193006;PLACE_NS042017;PLACE_NS019018,medium_confidence_gap
port mouton,NS,2,PLACE_NS017010,PLACE_NS194001;PLACE_NS017010,medium_confidence_gap
liverpool,NS,4,PLACE_NS017013,PLACE_NS194002;PLACE_NS040008;PLACE_NS040026;PLACE_NS017013,medium_confidence_gap
greenfield,NS,2,PLACE_NS017005,PLACE_NS194005;PLACE_NS017005,medium_confidence_gap
port medway,NS,2,PLACE_NS017009,PLACE_NS194004;PLACE_NS017009,medium_confidence_gap
bridgewater,NS,2,PLACE_NS015043,PLACE_NS038003;PLACE_NS015043,medium_confidence_gap
mahone bay,NS,2,PLACE_NS015045,PLACE_NS195008;PLACE_NS015045,medium_confidence_gap
french village,NS,2,PLACE_NS011009,PLACE_NS010009;PLACE_NS011009,medium_confidence_gap
kentville,NS,3,PLACE_NS014016,PLACE_NS017006;PLACE_NS036015_1901;PLACE_NS014016,medium_confidence_gap
sambro,NS,2,PLACE_NS011031,PLACE_NS010004;PLACE_NS011031,medium_confidence_gap
portuguese cove,NS,2,PLACE_NS011027,PLACE_NS010003;PLACE_NS011027,medium_confidence_gap
eastern passage,NS,2,PLACE_NS011006,PLACE_NS010017;PLACE_NS011006,medium_confidence_gap
preston,NS,2,PLACE_NS011028,PLACE_NS010018;PLACE_NS011028,medium_confidence_gap
jeddore,NS,2,PLACE_NS011016,PLACE_NS010022;PLACE_NS011016,medium_confidence_gap
windsor,NS,4,PLACE_NS012019,PLACE_NS188012;PLACE_NS018003;PLACE_NS034019;PLACE_NS012019,medium_confidence_gap
middle musquodoboit,NS,3,PLACE_NS011021,PLACE_NS010028;PLACE_NS045020;PLACE_NS011021,medium_confidence_gap
upper musquodoboit,NS,2,PLACE_NS045038,PLACE_NS010027;PLACE_NS045038,medium_confidence_gap
westchester,NS,3,PLACE_NS008028,PLACE_NS198006;PLACE_NS030017;PLACE_NS008028,medium_confidence_gap
river philip,NS,3,PLACE_NS008019,PLACE_NS022008;PLACE_NS030012;PLACE_NS008019,medium_confidence_gap
hopewell,NS,2,PLACE_NS016018,PLACE_NS020014;PLACE_NS016018,medium_confidence_gap
wentworth,NS,3,PLACE_NS008026,PLACE_NS198005;PLACE_NS030019;PLACE_NS008026,medium_confidence_gap
kemptown,NS,2,PLACE_NS007009,PLACE_NS019012;PLACE_NS007009,medium_confidence_gap
pugwash,NS,3,PLACE_NS008016_1911,PLACE_NS198003;PLACE_NS030008;PLACE_NS008016_1911,medium_confidence_gap
river hebert,NS,3,PLACE_NS008018,PLACE_NS030013;PLACE_NS042019;PLACE_NS008018,medium_confidence_gap
morristown,NS,2,PLACE_NS005009,PLACE_NS021006;PLACE_NS005009,medium_confidence_gap
cape george,NS,2,PLACE_NS005003,PLACE_NS021005_1871;PLACE_NS005003,medium_confidence_gap
petit de grat,NS,3,PLACE_NS051011,PLACE_NS007002;PLACE_NS041009;PLACE_NS051011,medium_confidence_gap
framboise,NS,2,PLACE_NS018006,PLACE_NS206001;PLACE_NS018006,medium_confidence_gap
west isles,NB,2,PLACE_NB024015,PLACE_NB175011;PLACE_NB024015,medium_confidence_gap
harcourt,NB,2,PLACE_NB026004,PLACE_NB185008;PLACE_NB026004,medium_confidence_gap
eldon,NB,2,PLACE_NB031006_1921,PLACE_NB037001;PLACE_NB031006_1921,medium_confidence_gap
acton,QC,2,PLACE_QC138001,PLACE_QC004001;PLACE_QC138001,medium_confidence_gap
hereford,QC,3,PLACE_QC155009_1911,PLACE_QC142001;PLACE_QC150012_1901;PLACE_QC155009_1911,medium_confidence_gap
durham,QC,3,PLACE_QC054001_1891,PLACE_QC018001;PLACE_QC136009;PLACE_QC054001_1891,medium_confidence_gap
wickham w o,QC,2,PLACE_QC158033,PLACE_QC153035;PLACE_QC158033,medium_confidence_gap
l'anse au griffon,QC,2,PLACE_QC154012,PLACE_QC171003;PLACE_QC154012,medium_confidence_gap
st. felix de valois,QC,4,PLACE_QC060010_1911,PLACE_QC102009;PLACE_QC159009;PLACE_QC158010_1901;PLACE_QC060010_1911,medium_confidence_gap
villeneuve,QC,3,PLACE_QC062053,PLACE_QC094007;PLACE_QC160038;PLACE_QC062053,medium_confidence_gap
baskatong,QC,2,PLACE_QC205003,PLACE_QC093019;PLACE_QC205003,medium_confidence_gap
riviere des prairies,QC,3,PLACE_QC168002_1911,PLACE_QC091017;PLACE_QC163005_1901;PLACE_QC168002_1911,medium_confidence_gap
sault au recollet,QC,2,PLACE_QC163016,PLACE_QC091018;PLACE_QC163016,medium_confidence_gap
lotbiniere,QC,3,PLACE_QC068023,PLACE_QC030001;PLACE_QC049003_1871;PLACE_QC068023,medium_confidence_gap
ste. emelie,QC,2,PLACE_QC068009,PLACE_QC155002;PLACE_QC068009,medium_confidence_gap
st. calixte,QC,2,PLACE_QC176003_1901,PLACE_QC101007;PLACE_QC176003_1901,medium_confidence_gap
montmagny,QC,2,PLACE_QC074014_1921,PLACE_QC172004;PLACE_QC074014_1921,medium_confidence_gap
richmond,QC,2,PLACE_QC083011,PLACE_QC053003_1871;PLACE_QC083011,medium_confidence_gap
stratford,QC,3,PLACE_QC099012_1891,PLACE_QC059006;PLACE_QC053012;PLACE_QC099012_1891,medium_confidence_gap
wolfestown,QC,3,PLACE_QC192022,PLACE_QC059009_1861;PLACE_QC139003;PLACE_QC192022,medium_confidence_gap
lacolle,QC,2,PLACE_QC092010_1921,PLACE_QC068001;PLACE_QC092010_1921,medium_confidence_gap
ste. agathe des monts,QC,2,PLACE_QC096007,PLACE_QC099014;PLACE_QC096007,medium_confidence_gap
st. guillaume,QC,2,PLACE_QC100019,PLACE_QC153021;PLACE_QC100019,medium_confidence_gap
liniere,QC,3,PLACE_QC040023_1921,PLACE_QC005008;PLACE_QC158007;PLACE_QC040023_1921,medium_confidence_gap
derry,QC,2,PLACE_QC062015,PLACE_QC094005;PLACE_QC062015,medium_confidence_gap
mulgrave,QC,2,PLACE_QC062036,PLACE_QC095003;PLACE_QC062036,medium_confidence_gap
wentworth,QC,3,PLACE_QC142012_1911,PLACE_QC002012;PLACE_QC137014_1901;PLACE_QC142012_1911,medium_confidence_gap
simard,QC,2,PLACE_QC149034_1901,PLACE_QC015016;PLACE_QC149034_1901,medium_confidence_gap
trois rivieres,QC,3,PLACE_QC093015,PLACE_QC131005;PLACE_QC083005;PLACE_QC093015,medium_confidence_gap
garthby,QC,3,PLACE_QC099003_1901,PLACE_QC059002_1861;PLACE_QC053018;PLACE_QC099003_1901,medium_confidence_gap
sherbrooke,QC,2,PLACE_QC088005,PLACE_QC140001;PLACE_QC088005,medium_confidence_gap
bonne esperance,QC,3,PLACE_QC086025,PLACE_QC152008;PLACE_QC149041;PLACE_QC086025,medium_confidence_gap
aldfield,QC,2,PLACE_QC079002,PLACE_QC040002_1861;PLACE_QC079002,medium_confidence_gap
wood mountain,NT,2,PLACE_NT204078,PLACE_NT193003;PLACE_NT204078,medium_confidence_gap
athabaska,NT,2,PLACE_NT206001,PLACE_NT193014;PLACE_NT206001,medium_confidence_gap
st. francois xavier,MB,2,PLACE_MB011015,PLACE_MB186010;PLACE_MB011015,medium_confidence_gap
winnipeg,MB,2,PLACE_MB160013,PLACE_MB183003;PLACE_MB160013,medium_confidence_gap
kildonan,MB,3,PLACE_MB022002,PLACE_MB183002;PLACE_MB006006;PLACE_MB022002,medium_confidence_gap
woodlands,MB,3,PLACE_MB163009,PLACE_MB186012;PLACE_MB011017;PLACE_MB163009,medium_confidence_gap
gladstone,MB,2,PLACE_MB008004_1901,PLACE_MB186001;PLACE_MB008004_1901,medium_confidence_gap
rockwood,MB,2,PLACE_MB163003,PLACE_MB011009;PLACE_MB163003,medium_confidence_gap
allan,ON,2,PLACE_ON054002_1911,PLACE_ON046044;PLACE_ON054002_1911,medium_confidence_gap
lefroy,ON,2,PLACE_ON102048,PLACE_ON182017;PLACE_ON102048,medium_confidence_gap
brantford e,ON,2,PLACE_ON056001_1911,PLACE_ON160001;PLACE_ON056001_1911,medium_confidence_gap
dumfries s,ON,3,PLACE_ON103003,PLACE_ON160003;PLACE_ON048004;PLACE_ON103003,medium_confidence_gap
brantford w o,ON,3,PLACE_ON057002,PLACE_ON159004;PLACE_ON049001_1891;PLACE_ON057002,medium_confidence_gap
dorchester s,ON,2,PLACE_ON109003_1911,PLACE_ON090002_1871;PLACE_ON109003_1911,medium_confidence_gap
springfield,ON,3,PLACE_ON109013,PLACE_ON163007;PLACE_ON090007_1891;PLACE_ON109013,medium_confidence_gap
colchester n,ON,3,PLACE_ON110002_1911,PLACE_ON181004;PLACE_ON063003;PLACE_ON110002_1911,medium_confidence_gap
gower s,ON,2,PLACE_ON113003_1911,PLACE_ON085002_1871;PLACE_ON113003_1911,medium_confidence_gap
tudor,ON,2,PLACE_ON118020,PLACE_ON122016;PLACE_ON118020,medium_confidence_gap
bangor,ON,2,PLACE_ON118001_1921,PLACE_ON122010;PLACE_ON118001_1921,medium_confidence_gap
elmsley n,ON,3,PLACE_ON123007_1921,PLACE_ON084006_1871_1891;PLACE_ON090005_1911;PLACE_ON123007_1921,medium_confidence_gap
crosby n,ON,2,PLACE_ON124002_1911,PLACE_ON110012;PLACE_ON124002_1911,medium_confidence_gap
crosby s,ON,2,PLACE_ON124003_1911,PLACE_ON086004_1871;PLACE_ON124003_1911,medium_confidence_gap
st. catharines,ON,2,PLACE_ON126009,PLACE_ON085011_1881;PLACE_ON126009,medium_confidence_gap
dorchester n,ON,2,PLACE_ON128005_1911,PLACE_ON090001_1871;PLACE_ON128005_1911,medium_confidence_gap
whitby e,ON,3,PLACE_ON133011,PLACE_ON132004_1871;PLACE_ON104005_1911;PLACE_ON133011,medium_confidence_gap
zorra e,ON,3,PLACE_ON134010,PLACE_ON166004;PLACE_ON105007_1891;PLACE_ON134010,medium_confidence_gap
norwich n,ON,2,PLACE_ON134005,PLACE_ON106003_1881;PLACE_ON134005,medium_confidence_gap
norwich s,ON,2,PLACE_ON134006_1911,PLACE_ON106004;PLACE_ON134006_1911,medium_confidence_gap
oxford e,ON,4,PLACE_ON134007,PLACE_ON165006;PLACE_ON106007;PLACE_ON107004_1911;PLACE_ON134007,medium_confidence_gap
oxford n,ON,2,PLACE_ON134008_1911,PLACE_ON165009;PLACE_ON134008_1911,medium_confidence_gap
oxford w o,ON,2,PLACE_ON107006_1911,PLACE_ON165007;PLACE_ON107006_1911,medium_confidence_gap
stratford,ON,3,PLACE_ON137012,PLACE_ON172003;PLACE_ON104007_1891;PLACE_ON137012,medium_confidence_gap
easthope s,ON,4,PLACE_ON137004_1921,PLACE_ON171005;PLACE_ON105003_1891;PLACE_ON111003_1911;PLACE_ON137004_1921,medium_confidence_gap
belmont,ON,3,PLACE_ON138003_1921,PLACE_ON110003_1881;PLACE_ON106003_1901;PLACE_ON138003_1921,medium_confidence_gap
methuen,ON,2,PLACE_ON138012,PLACE_ON106018;PLACE_ON138012,medium_confidence_gap
monaghan n,ON,2,PLACE_ON138013,PLACE_ON126003;PLACE_ON138013,medium_confidence_gap
algona s,ON,2,PLACE_ON116002,PLACE_ON114001;PLACE_ON116002,medium_confidence_gap
windsor,ON,2,PLACE_ON110016_1911,PLACE_ON181013;PLACE_ON110016_1911,medium_confidence_gap
waterloo n,ON,2,PLACE_ON130001_1901,PLACE_ON162003;PLACE_ON130001_1901,medium_confidence_gap
dumfries n,ON,3,PLACE_ON150001,PLACE_ON161002;PLACE_ON124002_1891;PLACE_ON150001,medium_confidence_gap
flamborough e,ON,3,PLACE_ON153005,PLACE_ON148002;PLACE_ON129003_1891;PLACE_ON153005,medium_confidence_gap
onondaga,ON,3,PLACE_ON103005,PLACE_ON160002;PLACE_ON046003_1891;PLACE_ON103005,medium_confidence_gap
gwillimbury w o,ON,3,PLACE_ON121003_1911,PLACE_ON138002;PLACE_ON132006_1891;PLACE_ON121003_1911,medium_confidence_gap
conger,ON,2,PLACE_ON135009_1921,PLACE_ON085007_1871;PLACE_ON135009_1921,medium_confidence_gap
tarbutt,ON,2,PLACE_ON055024,PLACE_ON182020;PLACE_ON055024,medium_confidence_gap
plummer,ON,3,PLACE_ON102071,PLACE_ON182019;PLACE_ON055020;PLACE_ON102071,medium_confidence_gap
burgess n,ON,2,PLACE_ON123003_1911_1921,PLACE_ON084003_1871_1891;PLACE_ON123003_1911_1921,medium_confidence_gap
korah,ON,3,PLACE_ON102046,PLACE_ON182023;PLACE_ON055013;PLACE_ON102046,medium_confidence_gap
vankoughnet,ON,2,PLACE_ON102095,PLACE_ON182025;PLACE_ON102095,medium_confidence_gap
jordan river,NS,2,PLACE_NS019006,PLACE_NS013005;PLACE_NS019006,medium_confidence_gap
clyde river,NS,3,PLACE_NS052009,PLACE_NS013001;PLACE_NS040004;PLACE_NS052009,medium_confidence_gap
westville,NS,2,PLACE_NS016040,PLACE_NS039027;PLACE_NS016040,medium_confidence_gap
