norm_name,province,n_members,winner,members,reason
rhineland,MB,3,PLACE_MB156005,PLACE_MB009022;PLACE_MB007008_1901;PLACE_MB156005,medium_confidence_gap
st. laurent,MB,3,PLACE_MB166009,PLACE_MB006015;PLACE_MB011016;PLACE_MB166009,medium_confidence_gap
odanah,MB,2,PLACE_MB165010,PLACE_MB009019_1891;PLACE_MB165010,medium_confidence_gap
saskatchewan,MB,2,PLACE_MB165011,PLACE_MB009006_1891;PLACE_MB165011,medium_confidence_gap
blanchard,MB,2,PLACE_MB165003,PLACE_MB009005_1891;PLACE_MB165003,medium_confidence_gap
miniota,MB,2,PLACE_MB165008,PLACE_MB009016_1891;PLACE_MB165008,medium_confidence_gap
harrison,MB,2,PLACE_MB165007,PLACE_MB009015_1891;PLACE_MB165007,medium_confidence_gap
gimli,MB,3,PLACE_MB166007,PLACE_MB006005;PLACE_MB011004;PLACE_MB166007,medium_confidence_gap
hanover,MB,3,PLACE_MB155002,PLACE_MB008005;PLACE_MB010004;PLACE_MB155002,medium_confidence_gap
de salaberry,MB,2,PLACE_MB156001,PLACE_MB010001_1891;PLACE_MB156001,medium_confidence_gap
macdonald,MB,3,PLACE_MB160006,PLACE_MB006007;PLACE_MB011007;PLACE_MB160006,medium_confidence_gap
franklin,MB,3,PLACE_MB156002,PLACE_MB008004;PLACE_MB010003_1901;PLACE_MB156002,medium_confidence_gap
tache,MB,3,PLACE_MB155008,PLACE_MB008015;PLACE_MB010013;PLACE_MB155008,medium_confidence_gap
lillooet,BC,3,PLACE_BC207004,PLACE_BC001008;PLACE_BC014005;PLACE_BC207004,medium_confidence_gap
north sydney,NS,2,PLACE_NS006009_1911,PLACE_NS028020_1891;PLACE_NS006009_1911,medium_confidence_gap
oxford,NS,2,PLACE_NS008032,PLACE_NS030007;PLACE_NS008032,medium_confidence_gap
malagash,NS,2,PLACE_NS008011,PLACE_NS030006;PLACE_NS008011,medium_confidence_gap
green harbour,NS,2,PLACE_NS019004_1911,PLACE_NS042006;PLACE_NS019004_1911,medium_confidence_gap
ditchfield,QC,2,PLACE_QC144001_1911,PLACE_QC139002_1891;PLACE_QC144001_1911,medium_confidence_gap
natashquan,QC,2,PLACE_QC154058,PLACE_QC076009_1881;PLACE_QC154058,medium_confidence_gap
ste. justine de langevin,QC,2,PLACE_QC053010_1921,PLACE_QC047013_1881;PLACE_QC053010_1921,medium_confidence_gap
st. andre avelin,QC,2,PLACE_QC062068,PLACE_QC176039;PLACE_QC062068,medium_confidence_gap
st. joseph de levis,QC,2,PLACE_QC066007,PLACE_QC046004;PLACE_QC066007,medium_confidence_gap
ste. marie madeleine,QC,2,PLACE_QC091010_1921,PLACE_QC185011_1881;PLACE_QC091010_1921,medium_confidence_gap
como,QC,3,PLACE_QC097011_1921,PLACE_QC195001_1891;PLACE_QC199001_1901;PLACE_QC097011_1921,medium_confidence_gap
st. thomas de pierreville,QC,3,PLACE_QC100013,PLACE_QC057004;PLACE_QC197008;PLACE_QC100013,medium_confidence_gap
howick,QC,2,PLACE_QC049012_1921,PLACE_QC071008;PLACE_QC049012_1921,medium_confidence_gap
cartier,ON,2,PLACE_ON146019,PLACE_ON092013;PLACE_ON146019,medium_confidence_gap
franklin,ON,2,PLACE_ON129006_1921,PLACE_ON091016;PLACE_ON129006_1921,medium_confidence_gap
sinclair,ON,2,PLACE_ON129018,PLACE_ON091042;PLACE_ON129018,medium_confidence_gap
baxter,ON,2,PLACE_ON129001_1921,PLACE_ON091002_1901;PLACE_ON129001_1921,medium_confidence_gap
sudbury,ON,2,PLACE_ON146134,PLACE_ON092056;PLACE_ON146134,medium_confidence_gap
proudfoot,ON,2,PLACE_ON135039,PLACE_ON091039;PLACE_ON135039,medium_confidence_gap
bethune,ON,2,PLACE_ON135002_1921,PLACE_ON091003;PLACE_ON135002_1921,medium_confidence_gap
carling,ON,2,PLACE_ON135006_1921,PLACE_ON091007;PLACE_ON135006_1921,medium_confidence_gap
pringle,ON,2,PLACE_ON135038,PLACE_ON091038;PLACE_ON135038,medium_confidence_gap
patterson,ON,2,PLACE_ON135036,PLACE_ON091036;PLACE_ON135036,medium_confidence_gap
hagerman,ON,2,PLACE_ON135016,PLACE_ON091019;PLACE_ON135016,medium_confidence_gap
joly,ON,2,PLACE_ON135023,PLACE_ON091023;PLACE_ON135023,medium_confidence_gap
lount,ON,2,PLACE_ON135025,PLACE_ON091025;PLACE_ON135025,medium_confidence_gap
laurier,ON,2,PLACE_ON135024,PLACE_ON091024;PLACE_ON135024,medium_confidence_gap
neebing,ON,2,PLACE_ON147014,PLACE_ON044058;PLACE_ON147014,medium_confidence_gap
schreiber,ON,2,PLACE_ON147021,PLACE_ON044070;PLACE_ON147021,medium_confidence_gap
aird island,ON,2,PLACE_ON102002_1921,PLACE_ON092001_1901;PLACE_ON102002_1921,medium_confidence_gap
striker,ON,2,PLACE_ON102085,PLACE_ON044027;PLACE_ON102085,medium_confidence_gap
wells,ON,2,PLACE_ON102099,PLACE_ON044032;PLACE_ON102099,medium_confidence_gap
parkinson,ON,2,PLACE_ON102068,PLACE_ON044020;PLACE_ON102068,medium_confidence_gap
aylesworth,ON,2,PLACE_ON141002,PLACE_ON044035;PLACE_ON141002,medium_confidence_gap
emo,ON,2,PLACE_ON146037,PLACE_ON044042;PLACE_ON146037,medium_confidence_gap
morley,ON,2,PLACE_ON141025,PLACE_ON044057;PLACE_ON141025,medium_confidence_gap
mcirvine,ON,2,PLACE_ON141021,PLACE_ON044052;PLACE_ON141021,medium_confidence_gap
wabigoon,ON,2,PLACE_ON120026,PLACE_ON044076;PLACE_ON120026,medium_confidence_gap
dryden,ON,2,PLACE_ON146035,PLACE_ON044039;PLACE_ON146035,medium_confidence_gap
strathclair,MB,2,PLACE_MB165013,PLACE_MB009025_1901;PLACE_MB165013,medium_confidence_gap
shoal lake,MB,2,PLACE_MB165012,PLACE_MB009024_1901;PLACE_MB165012,medium_confidence_gap
shell river,MB,2,PLACE_MB168008,PLACE_MB009008_1901;PLACE_MB168008,medium_confidence_gap
swan river,MB,2,PLACE_MB169004,PLACE_MB009026_1901;PLACE_MB169004,medium_confidence_gap
archie,MB,2,PLACE_MB165001,PLACE_MB009001_1901;PLACE_MB165001,medium_confidence_gap
ellice,MB,2,PLACE_MB165005,PLACE_MB009002_1901;PLACE_MB165005,medium_confidence_gap
silver creek,MB,2,PLACE_MB168009,PLACE_MB009023_1901;PLACE_MB168009,medium_confidence_gap
