lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
SPLIT_FROM,PLACE_ON003009,PLACE_ON050004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON003011,PLACE_ON028002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON003011,PLACE_ON177004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON004008,PLACE_ON111006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON039010,PLACE_ON035003,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON039010,PLACE_ON103002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON039010,PLACE_ON035006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON005001,PLACE_ON071002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON005003,PLACE_ON107007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON006003,PLACE_ON069008,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON006004,PLACE_ON069001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON006004,PLACE_ON050001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON007002,PLACE_ON057006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON009008,PLACE_ON072016,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON012004,PLACE_ON107006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON014002,PLACE_ON150004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON014002,PLACE_ON068005,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON015003,PLACE_ON078006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON015005,PLACE_ON071015,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON015005,PLACE_ON078008,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON016008,PLACE_ON026010,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON016008,PLACE_ON026007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON016008,PLACE_ON079017,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON017005,PLACE_ON080006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON017005,PLACE_ON080007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON018008,PLACE_ON179001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019004,PLACE_ON082014,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019004,PLACE_ON082004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019001,PLACE_ON082015,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019001,PLACE_ON123001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON021003,PLACE_ON117007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON023012,PLACE_ON110007,1861,SPLIT_FROM
MERGED_INTO,PLACE_ON025007,PLACE_ON157002,1861,MERGED_INTO
SPLIT_FROM,PLACE_ON024001,PLACE_ON088002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON024002,PLACE_ON095004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON026007_1851,PLACE_ON133002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON026007_1851,PLACE_ON133004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON028003,PLACE_ON091002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON028004_1851,PLACE_ON136009,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON029001,PLACE_ON092012,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON030008,PLACE_ON093001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON030004,PLACE_ON056004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON030004,PLACE_ON138011,1861,SPLIT_FROM
