name_id,label,language,kind
APP_NB015002_CANONICAL,Carleton,en,canonical
APP_NB015002_1901_VARIANT,Clarendon,en,variant
APP_NB022005_CANONICAL,Maugerville,en,canonical
APP_NB022007_CANONICAL,Sheffield,en,canonical
APP_NB023011_CANONICAL,St. Hilaire,en,canonical
APP_NB023012_CANONICAL,St. Jacques,en,canonical
APP_NB023013_CANONICAL,St. Leonard's,en,canonical
APP_NB023013_1901_VARIANT,St. Léonard,en,variant
APP_NB028999_CANONICAL,NO DATA,en,canonical
APP_NB032003_CANONICAL,St. Martins,en,canonical
APP_NB032004_CANONICAL,Simonds,en,canonical
APP_NB036008_CANONICAL,New Maryland,en,canonical
APP_NB036009_CANONICAL,North Lake,en,canonical
APP_NB036010_CANONICAL,Prince William,en,canonical
APP_NB036011_CANONICAL,Queensbury,en,canonical
APP_NB036013_CANONICAL,Southampton,en,canonical
APP_NB036014_CANONICAL,Stanley,en,canonical
APP_NB995999_CANONICAL,NO DATA,en,canonical
APP_NL998999_CANONICAL,NO DATA,en,canonical
APP_NL999999_CANONICAL,NO DATA,en,canonical
APP_NS004999_CANONICAL,NO DATA,en,canonical
APP_NS010999_CANONICAL,NO DATA,en,canonical
APP_NS013999_CANONICAL,NO DATA,en,canonical
APP_NS016999_CANONICAL,NO DATA,en,canonical
APP_NS020013_CANONICAL,Middle River,en,canonical
APP_NS020999_CANONICAL,NO DATA,en,canonical
APP_NS026001_CANONICAL,Annapolis Royal,en,canonical
APP_NS026002_CANONICAL,Bear River,en,canonical
APP_NS026003_CANONICAL,Belleisle,en,canonical
APP_NS026004_CANONICAL,Bridgetown,en,canonical
APP_NS026005_CANONICAL,Carleton's Corner,en,canonical
APP_NS026005_1901_VARIANT,Carleton Corner,en,variant
APP_NS026006_CANONICAL,Clarence,en,canonical
APP_NS026007_CANONICAL,Clements,en,canonical
APP_NS026007_1901_VARIANT,Clementsport,en,variant
APP_NS026008_CANONICAL,Clementsvale,en,canonical
APP_NS026010_CANONICAL,Dalhousie,en,canonical
APP_NS026011_CANONICAL,Granville Ferry,en,canonical
APP_NS026012_CANONICAL,"Granville, Lower",en,canonical
APP_NS026013_CANONICAL,Hampton,en,canonical
APP_NS026014_CANONICAL,Lawrencetown Lane,en,canonical
APP_NS026015_CANONICAL,Lequille,en,canonical
APP_NS026016_CANONICAL,Maitland,en,canonical
APP_NS026017_CANONICAL,Margaretsville,en,canonical
APP_NS026018_CANONICAL,Meadowvale,en,canonical
APP_NS026019_CANONICAL,Malvern,en,canonical
APP_NS026019_1901_VARIANT,Melvern,en,variant
APP_NS026020_CANONICAL,Middleton,en,canonical
