var_code,label,category,unit,source_tables,year_count,comparable_across_years,presence_count,quality
VAR_ADVENTISTS,Number of Adventists,REL,persons,"1911:V2T2,1921:V1T38",2,true,1274,signal
VAR_AGE_01to02F_N,Number of females aged 1 to 2,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1889,signal
VAR_AGE_01to02M_N,Number of males aged 1 to 2,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1894,signal
VAR_AGE_02to03F_N,Number of females aged 2 to 3,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1894,signal
VAR_AGE_02to03M_N,Number of males aged 2 to 3,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1899,signal
VAR_AGE_03to04F_N,Number of females age 3 to 4,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1894,signal
VAR_AGE_03to04M_N,Number of males aged 3 to 4,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1902,signal
VAR_AGE_04to05F_N,Number of females aged 4 to 5,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1886,signal
VAR_AGE_04to05M_N,Number of males aged 4 to 5,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1897,signal
VAR_AGE_05to10F_N,Number of females aged 5 to 10,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1921,signal
VAR_AGE_05to10M_N,Number of males aged 5 to 10,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1925,signal
VAR_AGE_05to16F_N,Number of females aged 5 to 16,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_05to16M_N,Number of males aged 5 to 16,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_0to01F_N,Number of females under age 1,AGE,persons,1851:V1T3,1,false,863,signal
VAR_AGE_0to01M_N,Number of males under age 1,AGE,persons,1851:V1T3,1,false,863,signal
VAR_AGE_0to05F_N,Number of females aged 0 to 5,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_0to05M_N,Number of males aged under 5,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_0to17FS_N,Number of single females under 18,AGE,persons,"1871:V1T1,1881:V1T1,1891:V1T3",3,true,6307,signal
VAR_AGE_0to17MS_N,Number of single males under 18,AGE,persons,"1871:V1T1,1881:V1T1,1891:V1T3",3,true,6311,signal
VAR_AGE_0to17XS_N,Number of single persons under 18,AGE,persons,"1871:V1T1,1881:V1T1,1891:V1T3",3,true,6311,signal
VAR_AGE_10to15FM_N,Number of married females aged 10 to 15,AGE,persons,"1851:V1T3,1861:V1T5",2,true,44,sparse
VAR_AGE_10to15FS_N,Number of single females aged 10 to 15,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1920,signal
VAR_AGE_10to15MM_N,Number of married males aged 10 to 15,AGE,persons,1861:V1T5,1,false,11,sparse
VAR_AGE_10to15MS_N,Number of single males aged 10 to 15,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1931,signal
