cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
"CD_ON_Brant,_South—Sud","CD_ON_Brant,_South—Sud",SAME_AS,1.0,1.0,1.0,468893080.44
CD_ON_Brockville,CD_ON_Brockville,SAME_AS,1.0,1.0,1.0,609351364.51
"CD_ON_Bruce,_East—Est","CD_ON_Bruce,_East—Est",SAME_AS,1.0,1.0,1.0,1107404713.82
"CD_ON_Bruce,_North—Nord","CD_ON_Bruce,_North—Nord",SAME_AS,0.9987,0.9987,1.0,2027700273.28
"CD_ON_Bruce,_West—Ouest","CD_ON_Bruce,_West—Ouest",SAME_AS,0.9979,1.0,0.9979,1206087694.73
CD_ON_Cardwell,CD_ON_Cardwell,SAME_AS,1.0,1.0,1.0,1049210234.22
CD_ON_Carleton,CD_ON_Carleton,SAME_AS,1.0,1.0,1.0,1241223529.03
CD_ON_Cornwall_&_Stormont,CD_ON_Cornwall_&_Stormont,SAME_AS,1.0,1.0,1.0,1073175840.7
CD_ON_Dundas,CD_ON_Dundas,SAME_AS,1.0,1.0,1.0,1062423684.23
"CD_ON_Durham,_East—Est","CD_ON_Durham,_East—Est",SAME_AS,1.0,1.0,1.0,885913445.82
"CD_ON_Durham,_West—Ouest","CD_ON_Durham,_West—Ouest",SAME_AS,1.0,1.0,1.0,823788577.57
"CD_ON_Elgin,_East—Est","CD_ON_Elgin,_East—Est",SAME_AS,0.9986,0.9993,0.9993,862485481.82
"CD_ON_Elgin,_West—Ouest","CD_ON_Elgin,_West—Ouest",SAME_AS,1.0,1.0,1.0,1493453341.83
"CD_ON_Essex,_North—Nord","CD_ON_Essex,_North—Nord",SAME_AS,1.0,1.0,1.0,896896336.41
"CD_ON_Essex,_South—Sud","CD_ON_Essex,_South—Sud",SAME_AS,1.0,1.0,1.0,1097290803.58
CD_ON_Frontenac,CD_ON_Frontenac,SAME_AS,1.0,1.0,1.0,965396815.13
CD_ON_Glengarry,CD_ON_Glengarry,SAME_AS,1.0,1.0,1.0,1300967156.12
"CD_ON_Grenville,_South—Sud","CD_ON_Grenville,_South—Sud",SAME_AS,1.0,1.0,1.0,657967742.41
"CD_ON_Grey,_East—Est","CD_ON_Grey,_East—Est",SAME_AS,1.0,1.0,1.0,1906343115.65
"CD_ON_Grey,_North—Nord","CD_ON_Grey,_North—Nord",SAME_AS,1.0,1.0,1.0,1614238519.57
"CD_ON_Grey,_South—Sud","CD_ON_Grey,_South—Sud",SAME_AS,1.0,1.0,1.0,1555076724.98
CD_ON_Halton,CD_ON_Halton,SAME_AS,1.0,1.0,1.0,1022520353.0
"CD_ON_Hamilton,_City—Cité","CD_ON_Hamilton,_City—Cité",SAME_AS,1.0,1.0,1.0,17469935.96
"CD_ON_Hastings,_East—Est","CD_ON_Hastings,_East—Est",WITHIN,0.9763,0.9763,1.0,1068763697.59
"CD_ON_Hastings,_North—Nord","CD_ON_Hastings,_North—Nord",CONTAINS,0.8304,0.8304,1.0,4955668578.9
"CD_ON_Hastings,_West—Ouest","CD_ON_Hastings,_West—Ouest",WITHIN,0.9533,0.9533,1.0,322873392.92
"CD_ON_Huron,_East—Est","CD_ON_Huron,_East—Est",SAME_AS,1.0,1.0,1.0,990574112.37
"CD_ON_Huron,_South—Sud","CD_ON_Huron,_South—Sud",SAME_AS,1.0,1.0,1.0,1098039623.19
"CD_ON_Huron,_West—Ouest","CD_ON_Huron,_West—Ouest",SAME_AS,1.0,1.0,1.0,1061612983.39
CD_ON_Kent,CD_ON_Kent,SAME_AS,1.0,1.0,1.0,1413220279.84
"CD_ON_Kingston,_City—Cite","CD_ON_Kingston,_City—Cite",SAME_AS,1.0,1.0,1.0,1800678.54
"CD_ON_Kingston,_City—Cité","CD_ON_Kingston,_City—Cité",SAME_AS,1.0,1.0,1.0,6040472.89
"CD_ON_Lambton,_East—Est","CD_ON_Lambton,_East—Est",SAME_AS,1.0,1.0,1.0,1372461373.44
"CD_ON_Lambton,_West—Ouest","CD_ON_Lambton,_West—Ouest",SAME_AS,1.0,1.0,1.0,874578052.16
"CD_ON_Lanark,_North—Nord","CD_ON_Lanark,_North—Nord",SAME_AS,1.0,1.0,1.0,2223542567.92
"CD_ON_Lanark,_South—Sud","CD_ON_Lanark,_South—Sud",SAME_AS,0.9994,1.0,0.9994,1613763594.15
"CD_ON_Leeds_&_Grenville,_North—Nord","CD_ON_Leeds_&_Grenville,_North—Nord",SAME_AS,0.9987,0.9987,1.0,736794521.59
"CD_ON_Leeds,_South—Sud","CD_ON_Leeds,_South—Sud",SAME_AS,1.0,1.0,1.0,1750764747.6
CD_ON_Lennox,CD_ON_Lennox,CONTAINS,0.9461,0.9461,1.0,848955835.55
CD_ON_Lincoln_&_Niagara,CD_ON_Lincoln_&_Niagara,WITHIN,0.5745,1.0,0.5745,422761258.07
"CD_ON_London,_City—Cité","CD_ON_London,_City—Cité",SAME_AS,1.0,1.0,1.0,9251582.01
"CD_ON_Middlesex,_East—Est","CD_ON_Middlesex,_East—Est",SAME_AS,0.9946,0.9952,0.9995,1069769997.54
"CD_ON_Middlesex,_North—Nord","CD_ON_Middlesex,_North—Nord",SAME_AS,1.0,1.0,1.0,1070005686.05
"CD_ON_Middlesex,_South—Sud","CD_ON_Middlesex,_South—Sud",SAME_AS,0.9952,1.0,0.9952,957693925.23
"CD_ON_Middlesex,_West—Ouest","CD_ON_Middlesex,_West—Ouest",SAME_AS,1.0,1.0,1.0,994214636.39
CD_ON_Muskoka_&_Parry_Sound,CD_ON_Muskoka_&_Parry_Sound,SAME_AS,0.9875,0.9875,1.0,12972028551.12
CD_ON_Nipissing,CD_ON_Nipissing,WITHIN,0.4438,0.9988,0.4441,80852418609.98
"CD_ON_Norfolk,_North—Nord","CD_ON_Norfolk,_North—Nord",SAME_AS,1.0,1.0,1.0,1081579139.97
"CD_ON_Norfolk,_South—Sud","CD_ON_Norfolk,_South—Sud",WITHIN,0.7606,1.0,0.7606,962168040.66
"CD_ON_Northumberland,_East—Est","CD_ON_Northumberland,_East—Est",SAME_AS,0.9955,0.9955,1.0,1253796532.13
"CD_ON_Northumberland,_West—Ouest","CD_ON_Northumberland,_West—Ouest",SAME_AS,1.0,1.0,1.0,778812150.27
"CD_ON_Ontario,_North—Nord","CD_ON_Ontario,_North—Nord",WITHIN,0.9749,0.9749,1.0,2595773406.8
"CD_ON_Ontario,_South—Sud","CD_ON_Ontario,_South—Sud",WITHIN,0.8995,1.0,0.8995,598837148.25
"CD_ON_Ontario,_West—Ouest","CD_ON_Ontario,_West—Ouest",SAME_AS,1.0,1.0,1.0,820404861.53
"CD_ON_Ottawa,_City—Cité","CD_ON_Ottawa,_City—Cité",WITHIN,0.9683,0.9941,0.9739,13741691.02
"CD_ON_Oxford,_North—Nord","CD_ON_Oxford,_North—Nord",SAME_AS,1.0,1.0,1.0,1167663617.65
"CD_ON_Oxford,_South—Sud","CD_ON_Oxford,_South—Sud",SAME_AS,1.0,1.0,1.0,1032323217.88
CD_ON_Peel,CD_ON_Peel,SAME_AS,1.0,1.0,1.0,738313536.03
"CD_ON_Perth,_North—Nord","CD_ON_Perth,_North—Nord",SAME_AS,1.0,1.0,1.0,1013575015.32
"CD_ON_Perth,_South—Sud","CD_ON_Perth,_South—Sud",SAME_AS,1.0,1.0,1.0,997961914.74
"CD_ON_Peterborough,_East—Est","CD_ON_Peterborough,_East—Est",SAME_AS,0.9995,0.9996,0.9999,6374206390.88
"CD_ON_Peterborough,_West—Ouest","CD_ON_Peterborough,_West—Ouest",SAME_AS,0.9943,0.9988,0.9955,569594138.57
CD_ON_Prescott,CD_ON_Prescott,SAME_AS,1.0,1.0,1.0,1289524738.35
CD_ON_Prince_Edward,CD_ON_Prince_Edward,CONTAINS,0.9206,0.9206,1.0,1177762864.01
"CD_ON_Renfrew,_North—Nord","CD_ON_Renfrew,_North—Nord",CONTAINS,0.7899,0.7899,1.0,2891637028.0
"CD_ON_Renfrew,_South—Sud","CD_ON_Renfrew,_South—Sud",SAME_AS,0.9994,0.9994,1.0,4437279338.97
CD_ON_Russell,CD_ON_Russell,SAME_AS,0.9998,0.9998,1.0,1900694884.06
"CD_ON_Simcoe,_East—Est","CD_ON_Simcoe,_East—Est",SAME_AS,1.0,1.0,1.0,3068726219.62
"CD_ON_Simcoe,_North—Nord","CD_ON_Simcoe,_North—Nord",SAME_AS,1.0,1.0,1.0,1266952428.74
"CD_ON_Simcoe,_South—Sud","CD_ON_Simcoe,_South—Sud",SAME_AS,1.0,1.0,1.0,1457396171.99
"CD_ON_Toronto,_City—Cité","CD_ON_Toronto,_Centre,_City—Cité",CONTAINS,0.0531,0.0531,1.0,1243541.44
"CD_ON_Toronto,_City—Cité","CD_ON_Toronto,_East—Est,_City—Cité",CONTAINS,0.2258,0.2258,1.0,5287658.47
"CD_ON_Victoria,_North—Nord","CD_ON_Victoria,_North—Nord",SAME_AS,1.0,1.0,1.0,3835305203.55
"CD_ON_Victoria,_South—Sud","CD_ON_Victoria,_South—Sud",SAME_AS,1.0,1.0,1.0,1186745627.18
