cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_British_Colombia,CD_BC_Yale,CONTAINS,0.1426,0.1426,1.0,131257719030.41
CD_BC_British_Colombia,CD_BC_Victoria,CONTAINS,0.0002,0.0002,1.0,186369334.68
CD_BC_British_Colombia,CD_BC_Vancouver,CONTAINS,0.0361,0.0361,1.0,33219432807.75
CD_BC_British_Colombia,CD_BC_Cariboo,CONTAINS,0.3594,0.3595,0.999,330913465643.5
CD_BC_British_Colombia,CD_BC_New_Westminster,CONTAINS,0.4611,0.4611,1.0,424420643085.04
CD_MB_Manitoba,CD_MB_Provencher,CONTAINS,0.0586,0.0586,1.0,7896314656.1
CD_MB_Manitoba,CD_MB_Provencher_,CONTAINS,0.0051,0.0051,1.0,686336370.69
CD_MB_Manitoba,CD_MB_Selkirk,CONTAINS,0.0202,0.0202,1.0,2728404473.11
CD_MB_Manitoba,CD_MB_Marquette,CONTAINS,0.1209,0.1209,1.0,16301812598.43
CD_MB_Manitoba,CD_MB_Lisgar,CONTAINS,0.0481,0.0481,0.9971,6488808643.4
CD_NB_Albert,CD_NB_Albert,SAME_AS,1.0,1.0,1.0,1875784373.85
CD_NB_Carleton,CD_NB_Carleton,SAME_AS,1.0,1.0,1.0,3427847680.77
CD_NB_Charlotte,CD_NB_Charlotte,SAME_AS,1.0,1.0,1.0,3676128982.85
CD_NB_Gloucester,CD_NB_Gloucester,SAME_AS,1.0,1.0,1.0,4649288068.04
CD_NB_Kent,CD_NB_Kent,SAME_AS,1.0,1.0,1.0,4720822750.27
CD_NB_King's,CD_NB_King's,SAME_AS,1.0,1.0,1.0,3618141557.22
CD_NB_Northumberland,CD_NB_Northumberland,SAME_AS,1.0,1.0,1.0,12450091202.6
CD_NB_Queen's,CD_NB_Queen's,SAME_AS,1.0,1.0,1.0,4027513316.5
CD_NB_Restigouche,CD_NB_Restigouche,SAME_AS,1.0,1.0,1.0,8843304894.88
CD_NB_St._John,"CD_NB_St._John,_(City-Ville)",CONTAINS,0.0028,0.0028,1.0,4564327.27
CD_NB_St._John,"CD_NB_St._John,_(County-Comté)",SAME_AS,0.9972,0.9972,1.0,1600616461.44
CD_NB_Sunbury,CD_NB_Sunbury,SAME_AS,1.0,1.0,1.0,2811724644.02
CD_NB_Victoria,CD_NB_Victoria,SAME_AS,1.0,1.0,1.0,9204550196.34
CD_NB_Westmorland,CD_NB_Westmoreland,SAME_AS,1.0,1.0,1.0,3820192248.24
CD_NB_York,CD_NB_York,SAME_AS,1.0,1.0,1.0,9387830223.22
