cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_Burrard,CD_BC_Vancouver_City,CONTAINS,0.0037,0.0037,0.9517,1706458924.39
CD_BC_New_Westminster,CD_BC_New_Westminster,WITHIN,0.7794,0.9931,0.7837,12686239294.12
CD_BC_Vancouver,CD_BC_Nanaimo,CONTAINS,0.2019,0.2029,0.9759,6739998370.34
CD_BC_Victoria,CD_BC_Nanaimo,WITHIN,0.0241,1.0,0.0241,166589382.72
CD_BC_Victoria_,CD_BC_Victoria_City,SAME_AS,1.0,1.0,1.0,19779942.39
CD_BC_Yale_&_Cariboo,CD_BC_Kootenay,CONTAINS,0.1736,0.1744,0.9753,72331860917.23
CD_MB_Brandon,CD_MB_Brandon,CONTAINS,0.5402,0.5402,1.0,7516695186.71
CD_MB_Lisgar,CD_MB_Lisgar,CONTAINS,0.3882,0.3882,1.0,4442398528.63
CD_MB_Macdonald,CD_MB_Portage_La_Prairie,CONTAINS,0.3327,0.3327,1.0,7505810950.07
CD_MB_Marquette,CD_MB_Marquette,CONTAINS,0.3449,0.3449,1.0,13415081841.61
CD_MB_Provencher,CD_MB_Provencher,SAME_AS,0.9944,0.9972,0.9972,14639982316.51
CD_MB_Selkirk,CD_MB_Selkirk,CONTAINS,0.6109,0.6111,0.9995,53072736119.02
"CD_MB_Winnipeg,_City—Cité",CD_MB_Winnipeg_City,CONTAINS,0.369,0.3691,0.9993,20755745.49
CD_NB_Albert,CD_NB_Kings_&_Albert,WITHIN,0.3414,1.0,0.3414,1875784361.22
CD_NB_Carleton,CD_NB_Carleton,SAME_AS,1.0,1.0,1.0,3427847663.26
CD_NB_Charlotte,CD_NB_Charlotte,SAME_AS,1.0,1.0,1.0,3676128935.65
CD_NB_Gloucester,CD_NB_Gloucester,WITHIN,0.96,1.0,0.96,4649288021.06
CD_NB_Kent,CD_NB_Kent,SAME_AS,1.0,1.0,1.0,4720822725.66
CD_NB_Kings,CD_NB_Kings_&_Albert,WITHIN,0.6586,1.0,0.6586,3618141510.22
CD_NB_Northumberland,CD_NB_Northumberland,SAME_AS,1.0,1.0,1.0,12450091165.98
CD_NB_Restigouche,CD_NB_Restigouche,WITHIN,0.9781,0.9781,1.0,8649514678.55
"CD_NB_St._John,_City_&_Co—Cité_et_comté",CD_NB_St._John_City_&_County,SAME_AS,1.0,1.0,1.0,1605180765.82
CD_NB_Sunbury_&_Queens,CD_NB_Sunbury_&_Queens,SAME_AS,1.0,1.0,1.0,6839237921.67
CD_NB_Victoria_&_Madawaska,CD_NB_Victoria_&_Madawaska,SAME_AS,1.0,1.0,1.0,9204550026.89
CD_NB_Westmorland,CD_NB_Westmorland,SAME_AS,1.0,1.0,1.0,3820192207.39
CD_NB_York,CD_NB_York,SAME_AS,1.0,1.0,1.0,9387830174.03
