cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_AB_Calgary,CD_AB_Division_No._6,WITHIN,0.5469,1.0,0.5469,14554475535.36
CD_AB_Edmonton,CD_AB_Division_No._12,CONTAINS,0.1111,0.1111,1.0,34116966413.69
CD_AB_Edmonton,CD_AB_Division_No._15,CONTAINS,0.1899,0.1899,1.0,58316608202.4
CD_AB_Edmonton,CD_AB_Division_No._16,CONTAINS,0.0901,0.0901,1.0,27669112972.07
CD_AB_Medicine_Hat,CD_AB_Division_No._1,CONTAINS,0.2897,0.2897,1.0,19082359659.7
CD_AB_Medicine_Hat,CD_AB_Division_No._3,CONTAINS,0.2724,0.2724,1.0,17945598757.79
CD_AB_Victoria,CD_AB_Division_No._13,CONTAINS,0.1371,0.1371,1.0,20162448244.34
CD_BC_Comox-Atlin,CD_BC_Comox-Alberni,CONTAINS,0.1307,0.1312,0.9727,50371813303.78
CD_BC_Comox-Atlin,CD_BC_Skeena,CONTAINS,0.8687,0.8687,1.0,333514361887.51
CD_BC_Kootenay,CD_BC_Kootenay_East,CONTAINS,0.5414,0.5414,1.0,40149641929.82
CD_BC_Kootenay,CD_BC_Kootenay_West,CONTAINS,0.4586,0.4586,1.0,34011372514.07
CD_BC_Nanaimo,CD_BC_Nanaimo,SAME_AS,1.0,1.0,1.0,6906587750.75
CD_BC_New_Westminster,CD_BC_New_Westminster,CONTAINS,0.0671,0.0671,1.0,1085537091.25
CD_BC_New_Westminster,CD_BC_Fraser_Valley,CONTAINS,0.9321,0.9321,1.0,15087393209.04
CD_BC_Vancouver_City,CD_BC_Vancouver_South,CONTAINS,0.0475,0.0475,1.0,85214598.34
CD_BC_Vancouver_City,CD_BC_Vancouver_Centre,CONTAINS,0.0084,0.0084,1.0,15132332.56
CD_BC_Vancouver_City,CD_BC_Burrard,CONTAINS,0.1554,0.1567,0.9517,280900778.08
CD_BC_Victoria_City,CD_BC_Victoria_City,SAME_AS,1.0,1.0,1.0,19779942.39
CD_BC_Yale_&_Cariboo,CD_BC_Yale,CONTAINS,0.0621,0.0621,1.0,26948233261.31
CD_BC_Yale_&_Cariboo,CD_BC_Cariboo,CONTAINS,0.9378,0.9379,1.0,406693339666.79
CD_MB_Brandon,CD_MB_Division_No._8,CONTAINS,0.7693,0.7693,1.0,5782287867.64
CD_MB_Dauphin,CD_MB_Division_No._13,CONTAINS,0.1518,0.1518,1.0,10215739248.95
CD_MB_Dauphin,CD_MB_Division_No._15,CONTAINS,0.0856,0.0856,1.0,5758557591.71
CD_MB_Marquette,CD_MB_Division_No._11,CONTAINS,0.5567,0.5567,1.0,7467702755.9
CD_MB_Provencher,CD_MB_Division_No._1,CONTAINS,0.7462,0.7462,1.0,10955372032.18
CD_MB_Selkirk,CD_MB_Division_No._5,CONTAINS,0.244,0.244,1.0,12953620928.71
CD_MB_Souris,CD_MB_Division_No._4,CONTAINS,0.6392,0.6392,1.0,6397382245.88
CD_MB_Winnipeg_City,CD_MB_Division_No._6,WITHIN,0.003,1.0,0.003,20770677.97
CD_NB_Carleton,CD_NB_Carleton,SAME_AS,1.0,1.0,1.0,3427847663.39
CD_NB_Charlotte,CD_NB_Charlotte,SAME_AS,1.0,1.0,1.0,3676128935.22
CD_NB_Gloucester,CD_NB_Gloucester,SAME_AS,1.0,1.0,1.0,4843078212.42
CD_NB_Kent,CD_NB_Kent,SAME_AS,1.0,1.0,1.0,4720822725.75
CD_NB_Kings_&_Albert,CD_NB_Kings,CONTAINS,0.6586,0.6586,1.0,3618141510.53
CD_NB_Kings_&_Albert,CD_NB_Albert,CONTAINS,0.3414,0.3414,1.0,1875784361.37
CD_NB_Northumberland,CD_NB_Northumberland,SAME_AS,1.0,1.0,1.0,12450091164.21
CD_NB_Restigouche,CD_NB_Restigouche,SAME_AS,1.0,1.0,1.0,8649514679.02
CD_NB_St._John_City_&_County,CD_NB_St._John,SAME_AS,1.0,1.0,1.0,1605180765.54
CD_NB_Sunbury_&_Queens,CD_NB_Sunbury,CONTAINS,0.4111,0.4111,1.0,2811724621.04
CD_NB_Sunbury_&_Queens,CD_NB_Queens,CONTAINS,0.5889,0.5889,1.0,4027513301.76
CD_NB_Victoria_&_Madawaska,CD_NB_Victoria,CONTAINS,0.6159,0.6159,1.0,5669460098.6
CD_NB_Victoria_&_Madawaska,CD_NB_Madawaska,CONTAINS,0.3841,0.3841,1.0,3535089926.03
CD_NB_Westmorland,CD_NB_Westmorland,SAME_AS,1.0,1.0,1.0,3820192206.32
CD_NB_York,CD_NB_York,SAME_AS,1.0,1.0,1.0,9387830173.49
CD_NL_Labrador,CD_NL_Labrador,SAME_AS,1.0,1.0,1.0,55329492462.55
CD_NL_Newfoundland,CD_NL_Newfoundland,SAME_AS,1.0,1.0,1.0,111661003634.19
CD_NS_Annapolis,CD_NS_Annapolis,SAME_AS,1.0,1.0,1.0,3516176104.3
CD_NS_Antigonish,CD_NS_Antigonish,SAME_AS,1.0,1.0,1.0,1561893985.43
CD_NS_Cape_Breton_N._&_Victoria,CD_NS_Victoria,CONTAINS,0.8083,0.8083,1.0,3010081369.36
CD_NS_Cape_Breton_S.,CD_NS_Cape_Breton,WITHIN,0.7396,1.0,0.7396,2027216849.74
CD_NS_Colchester,CD_NS_Colchester,SAME_AS,1.0,1.0,1.0,3786859159.53
CD_NS_Cumberland,CD_NS_Cumberland,SAME_AS,1.0,1.0,1.0,4521900396.29
CD_NS_Digby,CD_NS_Digby,SAME_AS,1.0,1.0,1.0,2801570102.03
CD_NS_Guysborough,CD_NS_Guysborough,SAME_AS,1.0,1.0,1.0,4385253546.36
CD_NS_Halifax_City_&_County,CD_NS_Halifax,SAME_AS,0.9996,0.9996,1.0,6215485248.22
CD_NS_Hants,CD_NS_Hants,SAME_AS,1.0,1.0,1.0,3253315267.58
CD_NS_Inverness,CD_NS_Inverness,SAME_AS,1.0,1.0,1.0,4241431951.64
CD_NS_Kings,CD_NS_Kings,SAME_AS,1.0,1.0,1.0,2295122653.53
CD_NS_Lunenburg,CD_NS_Lunenburg,SAME_AS,1.0,1.0,1.0,3269059773.22
CD_NS_Pictou,CD_NS_Pictou,SAME_AS,1.0,1.0,1.0,2975327404.44
CD_NS_Richmond,CD_NS_Richmond,SAME_AS,1.0,1.0,1.0,1407741344.23
CD_NS_Shelburne_&_Queens,CD_NS_Shelburne,CONTAINS,0.7401,0.7401,1.0,4198177668.63
CD_NS_Shelburne_&_Queens,CD_NS_Queens,CONTAINS,0.2599,0.2599,1.0,1474546129.26
CD_NS_Yarmouth,CD_NS_Yarmouth,SAME_AS,1.0,1.0,1.0,2473884067.74
CD_NT_Northwest_Territories,CD_NT_Northwest_Territories,CONTAINS,0.6616,0.6617,1.0,3228995194168.05
CD_ON_Algoma_E,CD_ON_Manitoulin,CONTAINS,0.0225,0.0225,1.0,4167419797.86
CD_ON_Algoma_W-O,CD_ON_Algoma,WITHIN,0.2824,0.9861,0.2835,46696148307.96
CD_ON_Brant,CD_ON_Brant,WITHIN,0.7996,1.0,0.7996,933102340.8
CD_ON_Brantford,CD_ON_Brant,WITHIN,0.2004,1.0,0.2004,233791543.61
CD_ON_Brockville,CD_ON_Leeds,WITHIN,0.3119,1.0,0.3119,775557872.01
CD_ON_Bruce_N,CD_ON_Bruce,WITHIN,0.5828,1.0,0.5828,2531588856.89
CD_ON_Bruce_S,CD_ON_Bruce,WITHIN,0.4172,1.0,0.4172,1812201794.02
CD_ON_Carleton,CD_ON_Carleton,WITHIN,0.6911,1.0,0.6911,1780678023.2
