cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_New_Westminster,CD_BC_New_Westminster,OVERLAPS,0.0227,0.0228,0.8395,10724745592.81
CD_BC_New_Westminster,CD_BC_Yale_&_Cariboo,OVERLAPS,0.0002,0.0004,0.0005,189424447.75
CD_BC_New_Westminster,CD_NT_Unorganized_Territories,OVERLAPS,0.0,0.0,0.0,1252.75
CD_BC_Yale,CD_BC_New_Westminster,OVERLAPS,0.0144,0.0156,0.1605,2050201208.02
CD_MB_Lisgar,CD_ON_Algoma,OVERLAPS,0.0,0.0,0.0,6116.25
CD_MB_Lisgar,CD_MB_Provencher,OVERLAPS,0.0002,0.0003,0.0015,21961867.83
CD_MB_Lisgar,CD_MB_Lisgar,OVERLAPS,0.0063,0.0072,0.052,594538858.73
CD_MB_Lisgar,CD_MB_Macdonald,OVERLAPS,0.0059,0.0075,0.0275,620614130.87
CD_MB_Marquette,CD_MB_Lisgar,OVERLAPS,0.0109,0.0126,0.0732,838110560.75
CD_MB_Marquette,CD_MB_Selkirk,OVERLAPS,0.0332,0.0741,0.0569,4937349868.23
CD_MB_Marquette,CD_NT_Saskatchewan,OVERLAPS,0.0,0.0,0.0,2980.17
CD_MB_Provencher_,CD_MB_Selkirk,OVERLAPS,0.0004,0.0042,0.0004,38142313.91
CD_MB_Selkirk,CD_MB_Lisgar,OVERLAPS,0.3948,0.4184,0.8748,10010564397.14
"CD_MB_Winnipeg,_City—Cité",CD_MB_Provencher,OVERLAPS,0.0,0.0057,0.0,329168.88
"CD_MB_Winnipeg,_City—Cité",CD_MB_Selkirk,OVERLAPS,0.0,0.0153,0.0,878071.6
CD_NT_Alberta,CD_NT_Saskatchewan,OVERLAPS,0.0,0.0,0.0,2388612.17
CD_NT_Alberta,CD_NT_Unorganized_Territories,OVERLAPS,0.0,0.0,0.0,44529.75
CD_NT_Assiniboia_East-Est,"CD_NT_Assiniboia,_West—Ouest",OVERLAPS,0.0,0.0,0.0,1038612.97
CD_NT_Assiniboia_East-Est,CD_NT_Saskatchewan,OVERLAPS,0.0,0.0,0.0,164449.79
CD_NT_Assiniboia_West-Ouest,"CD_NT_Assiniboia,_East—Est",OVERLAPS,0.0,0.0,0.0,2181762.8
CD_NT_Assiniboia_West-Ouest,CD_NT_Saskatchewan,OVERLAPS,0.0,0.0,0.0,27762.82
CD_NT_Saskatchewan,"CD_NT_Assiniboia,_East—Est",OVERLAPS,0.0,0.0,0.0,501077.77
CD_NT_Saskatchewan,"CD_NT_Assiniboia,_West—Ouest",OVERLAPS,0.0,0.0,0.0,154547.57
CD_NT_Saskatchewan,CD_MB_Marquette,OVERLAPS,0.0,0.0,0.0,1673697.58
CD_NT_Saskatchewan,CD_NT_Alberta,OVERLAPS,0.0,0.0,0.0,588366.59
CD_NT_Saskatchewan,CD_NT_Unorganized_Territories,OVERLAPS,0.0024,0.0445,0.0025,12669389038.86
CD_NT_The_Unorganized_Territories,CD_NT_Saskatchewan,OVERLAPS,0.0,0.0,0.0,1495.61
CD_NT_The_Unorganized_Territories,CD_NT_Alberta,OVERLAPS,0.0,0.0,0.0001,30011622.19
CD_NT_The_Unorganized_Territories,CD_BC_Burrard,OVERLAPS,0.0,0.0,0.0,28631.42
CD_ON_Algoma,CD_ON_Nipissing,OVERLAPS,0.2142,0.2608,0.5453,99276848359.55
CD_ON_Algoma,CD_MB_Selkirk,OVERLAPS,0.0,0.0,0.0,2045.76
"CD_ON_Bruce,_North—Nord","CD_ON_Bruce,_West—Ouest",OVERLAPS,0.0008,0.0013,0.0021,2597995.97
"CD_ON_Elgin,_East—Est","CD_ON_Middlesex,_East—Est",OVERLAPS,0.0003,0.0007,0.0005,579943.09
CD_ON_Haldimand,"CD_ON_Norfolk,_South—Sud",OVERLAPS,0.158,0.3173,0.2394,302792079.29
CD_ON_Haldimand,CD_ON_Haldimand_&_Monok,OVERLAPS,0.4126,0.6827,0.5105,651441686.29
"CD_ON_Hastings,_North—Nord",CD_ON_Nipissing,OVERLAPS,0.0054,0.1696,0.0056,1012439037.69
"CD_ON_Leeds_&_Grenville,_North—Nord","CD_ON_Lanark,_South—Sud",OVERLAPS,0.0004,0.0013,0.0006,963958.96
"CD_ON_Middlesex,_East—Est","CD_ON_Middlesex,_South—Sud",OVERLAPS,0.0023,0.0043,0.0048,4582732.41
"CD_ON_Middlesex,_East—Est","CD_ON_Elgin,_East—Est",OVERLAPS,0.0003,0.0006,0.0007,599191.97
CD_ON_Monck,CD_ON_Haldimand_&_Monok,OVERLAPS,0.393,0.6661,0.4895,624586579.45
CD_ON_Monck,CD_ON_Lincoln_&_Niagara,OVERLAPS,0.2301,0.3339,0.4255,313073663.73
CD_ON_Muskoka_&_Parry_Sound,CD_ON_Nipissing,OVERLAPS,0.0008,0.0125,0.0009,164556189.86
CD_ON_Nipissing,"CD_QC_Unorganized_Districts_-_Abitibi,_Ashuanipi,_Mistassini",OVERLAPS,0.0,0.0,0.0,7976.55
"CD_ON_Ontario,_North—Nord","CD_ON_Ontario,_South—Sud",OVERLAPS,0.0205,0.0251,0.1005,66935667.21
"CD_ON_Ottawa,_City—Cité",CD_ON_Russell,OVERLAPS,0.0,0.0059,0.0,81709.52
"CD_ON_Peterborough,_East—Est","CD_ON_Peterborough,_West—Ouest",OVERLAPS,0.0004,0.0004,0.0045,2597998.89
"CD_ON_Peterborough,_West—Ouest","CD_ON_Peterborough,_East—Est",OVERLAPS,0.0001,0.0012,0.0001,660188.0
"CD_ON_Renfrew,_North—Nord",CD_ON_Nipissing,OVERLAPS,0.0042,0.2101,0.0042,768922404.45
"CD_ON_Renfrew,_South—Sud","CD_ON_York,_North—Nord",OVERLAPS,0.0004,0.0006,0.0017,2597996.34
CD_ON_Russell,"CD_ON_Ottawa,_City—Cité",OVERLAPS,0.0002,0.0002,0.0261,368330.78
"CD_ON_Toronto,_City—Cité","CD_ON_Toronto,_West—Ouest,_City—Cité",OVERLAPS,0.479,0.5086,0.8917,11912296.45
"CD_ON_Toronto,_City—Cité","CD_ON_York,_West—Ouest",OVERLAPS,0.0018,0.0481,0.0019,1126949.85
"CD_ON_Toronto,_City—Cité","CD_ON_York,_East—Est",OVERLAPS,0.006,0.1644,0.0062,3850948.09
"CD_ON_Waterloo,_North—Nord","CD_ON_Waterloo,_South—Sud",OVERLAPS,0.1228,0.2397,0.2011,174662908.08
"CD_ON_Wentworth,_North—Nord","CD_ON_Wentworth_&_Brant,_North—Nord",OVERLAPS,0.2139,0.5181,0.2671,311809903.79
"CD_ON_Wentworth,_North—Nord","CD_ON_Wentworth,_South—Sud",OVERLAPS,0.2196,0.4819,0.2874,290024627.3
"CD_ON_York,_East—Est","CD_ON_York,_West—Ouest",OVERLAPS,0.0007,0.0014,0.0014,864441.46
"CD_ON_York,_West—Ouest","CD_ON_Toronto,_West—Ouest,_City—Cité",OVERLAPS,0.0023,0.0024,0.1083,1446740.43
"CD_ON_York,_West—Ouest","CD_ON_York,_East—Est",OVERLAPS,0.0008,0.0017,0.0016,1019065.76
CD_PE_King’s,"CD_PE_Queens,_East-Est",OVERLAPS,0.0986,0.1659,0.1953,292254451.09
